Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
TOI_2094_30s.0373.fits,0,59367.89642,2459367.896,2459367.896999,1.335064,30,44.353596,27,37,54,0.205011,0.186376,0.114138,2.852948,0.000166,0.000176,0.00014,0.002255,1235.501847,1060.113268,814.150605,1265.027557,12141015.68,3862.194177,991.244551,125.896981,991.744551,130.603019,16.94287,70.028944,2489043.787,2290.221044,1852.480194,1343.627746,3240.015625,1086.813778,259.206189,4049,33.477771,27.379966,27.343481,27.41645,277.910504,0.999992,1300.112626,185.138632,1300.612626,71.361368,16.93902,70.024449,1907314.65,1678.296963,1136.458382,2429.373779,832.808106,253.891627,34.221888,27.587531,27.793183,27.381879,3.413278,0.999775,87.624868,64.853046,88.124868,191.646954,16.954187,70.034798,1243782.944,1472.346341,844.762479,1793.324829,543.084235,260.679024,33.054656,27.234458,27.509414,26.959502,359.449535,0.999592,1990.595906,116.372578,1991.095906,140.127422,16.930324,70.027212,8989918.082,3151.517003,2852.568485,11892.68457,3925.349522,262.671207,32.365793,27.225712,27.768964,26.682461,19.420832,0.997377
TOI_2094_30s.0410.fits,0,59367.91047,2459367.91,2459367.911050,1.362267,30,44.475537,27,37,54,0.205481,0.186096,0.115606,2.838417,0.000151,0.000158,0.000125,0.002014,1364.465996,1175.829016,923.186294,1409.438305,13958997.15,4056.596997,992.366681,126.04994,992.866681,130.45006,16.942856,70.028931,2868312.404,2290.221044,1929.824308,1486.307532,3558.291992,1252.417277,233.170863,4107,33.811488,27.80853,27.741707,27.875353,279.915949,0.999974,1301.196009,185.320211,1301.696009,71.179789,16.939006,70.024435,2190139.543,1733.067857,1263.735597,2730.035645,956.300506,229.920904,33.793672,27.834593,27.932302,27.736885,27.398548,0.999852,88.671589,65.223285,89.171589,191.276715,16.954174,70.034772,1446515.305,1505.137013,961.052245,1926.38208,631.605106,230.095048,33.453505,27.670769,27.959003,27.382535,14.409268,0.999435,1991.677108,116.616801,1992.177108,139.883199,16.930311,70.027193,10322342.31,3344.699923,3086.178893,13089.14941,4507.138003,242.303289,32.42521,27.506188,27.959201,27.053175,18.255282,0.998321
TOI_2094_30s.0406.fits,0,59367.90895,2459367.909,2459367.909530,1.359122,30,44.527956,27,37,54,0.205596,0.18599,0.115206,2.844271,0.00015,0.000158,0.000124,0.00201,1370.255185,1179.948244,927.666834,1415.028856,14008196.5,4056.72611,991.598459,125.738719,992.098459,130.761281,16.942865,70.028953,2880030.139,2290.221044,1929.252236,1492.821978,3567.664062,1257.533698,228.393784,4060,33.887717,27.56292,27.563401,27.562439,315.130479,0.999941,1300.456273,185.046189,1300.956273,71.453811,16.939016,70.024454,2196801.917,1732.262665,1268.169061,2786.242432,959.209559,225.334575,33.988762,27.564602,27.712598,27.416607,13.346598,0.999856,87.838799,64.945385,88.338799,191.554615,16.954185,70.034792,1447112.811,1498.268904,965.856534,1973.891235,631.866,225.917628,33.424475,27.419585,27.708023,27.131148,14.501273,0.999421,1991.002922,116.488179,1991.502922,140.011821,16.930319,70.027203,10364281.77,3348.35528,3095.335142,13896.42773,4525.450412,236.424792,32.368573,27.261026,27.780895,26.741157,14.809935,0.998077
TOI_2094_30s.0409.fits,0,59367.91009,2459367.91,2459367.910670,1.361529,30,44.418274,27,37,54,0.205653,0.186414,0.115986,2.830611,0.000156,0.000164,0.00013,0.002076,1322.472253,1136.91926,891.080482,1363.335868,13362740.79,3996.986985,992.261953,125.80174,992.761953,130.69826,16.942857,70.028947,2748081.141,2290.221044,1908.49807,1439.918219,3381.99292,1199.919609,244.538341,4149,33.87952,27.722938,27.677777,27.768099,286.354215,0.999985,1301.09837,185.095047,1301.59837,71.404953,16.939008,70.02445,2099601.575,1719.913859,1220.759728,2639.912109,916.768091,240.614763,33.901675,27.73252,27.790358,27.674681,34.657076,0.999861,88.482351,64.92725,88.982351,191.57275,16.954177,70.034792,1388807.92,1498.132927,927.02583,1950.068481,606.407806,241.876981,33.201237,27.524111,27.783463,27.26476,17.784377,0.999463,1991.533194,116.417156,1992.033194,140.082844,16.930312,70.027206,9874331.297,3282.285638,3008.370503,12904.99805,4311.518891,252.860898,32.226058,27.381056,27.860329,26.901783,17.290523,0.998193
TOI_2094_30s.0238.fits,0,59367.84512,2459367.845,2459367.845700,1.270343,30,44.562644,27,37,54,0.20568,0.18626,0.116186,2.829858,0.000165,0.000174,0.00014,0.002211,1245.104763,1067.977227,831.492244,1279.813455,12276062.73,3877.4942,989.603205,125.368256,990.103205,131.131744,16.94289,70.028981,2524941.764,2290.221044,1864.48779,1354.228103,3231.831055,1102.488238,259.646677,4186,33.70887,27.413452,27.200932,27.625972,276.309562,0.999748,1298.529435,184.458475,1299.029435,72.041525,16.93904,70.024496,1927516.382,1683.487128,1144.954631,2383.227783,841.628972,255.787955,34.581078,27.66148,27.759092,27.563867,324.720394,0.99955,86.193049,64.290868,86.693049,192.209132,16.954205,70.034837,1277841.174,1479.307044,863.810646,1834.430298,557.955389,257.557185,32.930744,27.249165,27.503867,26.994463,354.673507,0.999638,1989.184505,116.030464,1989.684505,140.469536,16.930342,70.027237,9070705.169,3164.250786,2866.620184,11867.7207,3960.624321,265.7126,32.412062,27.250802,27.819694,26.681909,20.945353,0.996857
TOI_2094_30s.0362.fits,0,59367.89224,2459367.892,2459367.892816,1.327709,30,44.231789,27,37,54,0.205683,0.186213,0.11589,2.833836,0.00015,0.000158,0.000125,0.002003,1368.558205,1178.486359,929.167039,1414.582408,13982723.86,4053.847494,991.29508,125.172902,991.79508,131.327098,16.942869,70.02899,2876005.056,2290.221044,1928.991325,1490.937268,3656.506104,1255.776189,228.703144,4112,33.238436,27.479053,27.385342,27.572764,84.948238,0.999952,1300.143371,184.419293,1300.643371,72.080707,16.939019,70.024495,2195027.092,1733.06483,1266.557981,2694.048584,958.434601,224.545486,34.266375,27.680277,27.866569,27.493985,4.640701,0.999814,87.602623,64.059936,88.102623,192.440064,16.954187,70.034849,1452161.992,1500.693248,967.660776,2050.23877,634.07067,225.980238,33.007749,27.319201,27.628905,27.009496,2.881594,0.999481,1990.615793,115.709744,1991.115793,140.790256,16.930324,70.027254,10335534.78,3343.364409,3091.357542,13655.51758,4512.898353,236.204188,32.26798,27.314178,27.905532,26.722824,20.044134,0.9968
TOI_2094_30s.0520.fits,0,59367.95227,2459367.952,2459367.952850,1.471577,30,44.203097,27,37,54,0.205784,0.1866,0.116553,2.822005,0.000162,0.000174,0.000142,0.002195,1267.19733,1074.54888,821.718721,1285.502322,14169408.12,4347.204903,993.607821,127.725978,994.107821,128.774022,16.942841,70.028821,2915839.95,2290.221044,2119.996592,1375.398414,3704.444092,1273.169661,437.659061,3968,33.314194,28.302093,28.152224,28.451963,293.499234,0.999759,1302.110241,186.910279,1302.610241,69.589721,16.938996,70.024331,2228226.48,1942.507935,1147.087453,2877.556396,972.930751,434.507268,33.913977,28.40782,28.427301,28.388339,324.870334,0.999984,89.930881,66.722601,90.430881,189.777399,16.954159,70.034674,1479096.528,1739.072203,850.508981,2155.990967,645.831341,430.340379,32.743949,28.053567,28.152672,27.954461,359.832524,0.99995,1992.331915,118.128132,1992.831915,138.371868,16.930303,70.027095,10462085.11,3478.574601,3007.578192,12925.50195,4568.155173,453.505236,32.540486,28.043568,28.322316,27.76482,22.20536,0.999226
TOI_2094_30s.0366.fits,0,59367.89376,2459367.894,2459367.894337,1.330399,30,44.233401,27,37,54,0.205803,0.186516,0.116302,2.825819,0.000149,0.000156,0.000123,0.001972,1383.470191,1194.055925,943.708361,1433.318329,14154811.75,4065.438064,991.028765,125.120896,991.528765,131.379104,16.942872,70.028994,2913105.629,2290.221044,1932.28702,1507.594679,3816.14502,1271.975749,222.53127,4128,33.190727,27.363374,27.324024,27.402724,299.791616,0.999968,1299.833207,184.24902,1300.333207,72.25098,16.939023,70.024507,2225088.226,1732.623087,1284.230969,2790.678711,971.560466,218.4886,34.014877,27.480172,27.67623,27.284115,349.366312,0.999766,87.377766,63.988545,87.877766,192.511455,16.95419,70.034854,1474724.347,1499.620699,983.398234,2046.544312,643.922276,218.473684,33.047494,27.130031,27.410595,26.849468,353.841435,0.999552,1990.305261,115.608001,1990.805261,140.891999,16.930327,70.027261,10454999.17,3358.115789,3113.352794,13920.57324,4565.061175,230.744774,32.451998,27.139938,27.723893,26.555982,17.173965,0.997286
TOI_2094_30s.0364.fits,0,59367.893,2459367.893,2459367.893575,1.329091,30,44.32892,27,37,54,0.205843,0.186252,0.116398,2.827445,0.000146,0.000153,0.00012,0.001929,1413.701532,1220.144958,968.375714,1465.917795,14592337.8,4110.309878,991.61541,124.794849,992.11541,131.705151,16.942865,70.029013,3003729.318,2290.221044,1949.003612,1541.161493,3825.438965,1311.545593,215.765218,4164,33.351614,27.387957,27.228457,27.547457,287.975455,0.999793,1300.347216,184.161482,1300.847216,72.338518,16.939017,70.024511,2291120.628,1745.136981,1312.860052,2890.906006,1000.392793,212.698318,34.176147,27.496375,27.673303,27.319448,343.219279,0.999762,87.987364,63.891147,88.487364,192.608853,16.954182,70.034859,1521433.079,1506.742784,1009.749703,2101.770996,664.317133,212.269157,32.851705,27.173478,27.481984,26.864972,348.098171,0.999384,1990.800178,115.54771,1991.300178,140.95229,16.930321,70.027264,10779784.09,3402.773926,3167.940135,14099.31543,4706.874961,225.020457,32.592867,27.1347,27.727825,26.541575,15.946514,0.997351
TOI_2094_30s.0542.fits,0,59367.96063,2459367.961,2459367.961208,1.499059,30,44.53967,27,37,54,0.205863,0.187143,0.116498,2.817031,0.000224,0.00025,0.000216,0.003158,919.594176,750.03303,538.245398,892.107903,14383121.56,5703.102689,994.643254,128.133775,995.143254,128.366225,16.942828,70.028793,2960957.372,2290.221044,2998.171477,987.587733,5115.077148,1292.86969,1683.933808,3966,33.38325,27.686126,27.603346,27.768907,299.355298,0.999867,1303.396093,187.294198,1303.896093,69.205802,16.93898,70.024304,2267372.806,2879.224123,787.494377,4252.55957,990.023566,1682.541771,34.122549,27.929118,28.009428,27.848808,354.493125,0.999966,90.801156,67.269024,91.301156,189.230976,16.954148,70.034637,1500771.091,2726.515537,550.435554,3493.838379,655.295302,1671.71246,33.173696,27.547272,27.718273,27.376271,357.85256,0.999845,1993.40933,118.559641,1993.90933,137.940359,16.93029,70.027065,10614977.67,4098.970817,2589.669003,14754.09961,4634.914037,1712.351672,33.150494,27.497439,27.858812,27.136065,15.122665,0.999075
