# TESS Object of Interest
# File Created: 2021-06-06
# Sectors: S0001-S0036
# Date of previous TOI list release: 2021-06-04
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated
spoc,176860064,1457.01,PC,354.83668,45.719897,7.114,0.006,1766.359365,0.0013,6.375556,0.0007,2.784942,0.204,2638.408383,40.5502,17,No information on the star; V-shaped,,,1,,,,,1545.0,6393.0,280.6,947.389,35.813244,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,236887394,1465.01,KP,303.38174,65.162081,11.8478,0.0061,1766.006734,8e-05,1.420023,1e-06,1.623014,0.009436,23593.258233,89.22266,17 21 24 25,Qatar-1 b,4.57248,0.082846,1,0.768108,0.045256,12.293303,0.726365,1251.952037,4910.0,108.354,580.59296,280.14877,False,5,5,5,5,5,5,5,2019-12-05 16:42:06+0000,2020-09-11 14:14:29+0000
spoc,427654774,1474.01,PC,349.287339,70.190021,14.1431,0.007508,1765.042474,0.003388,5.222621,0.001436,4.693629,0.61336,15867.992018,2007.716,17 18,3-sigma centroid offset towards another star.,4.95337,0.008643,1,0.275946,0.008483,3.721602,0.381201,329.650849,3453.0,157.0,2.790858,8.069622,,2,4,2,2,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,237086564,1466.01,PC,307.395886,61.550433,11.0278,0.006,1766.253229,0.001272,1.871892,2.2e-05,1.644789,0.260366,1031.773654,75.49385,17 24,potential L1 candidate,4.5079,0.110712,1,0.749646,0.071322,2.36637,1.968143,997.392351,4201.0,125.587,233.875718,12.58456,False,1,4,1,1,4,4,4,2019-12-05 16:42:06+0000,2020-09-23 11:19:07+0000
spoc,240968774,1467.01,PC,19.113929,49.23378,10.5977,0.007301,1766.983728,0.002812,5.973384,0.001413,1.605698,0.753235,1373.411277,166.74307,17,,4.74552,0.007707,1,0.490737,0.014515,1.827003,2.407974,525.913556,3834.0,157.0,18.079169,8.569228,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,431514478,1475.01,PC,357.001182,49.790535,8.77994,0.0061,1767.618296,0.001783,8.495351,0.00127,0.906055,0.48717,718.486945,96.2614,17,Significant scattered light; only two transits; period could be doubled; second transit deeper than the first one; low priority,4.29876,0.063938,1,1.88016,0.050161,5.29617,5.259954,1813.345207,10012.0,185.641,2555.306247,8.222785,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,243185500,1468.01,PC,16.654062,19.225878,10.8858,0.007542,1766.928147,0.002013,15.531925,0.002694,1.75933,0.214408,3429.583608,286.74982,17,possible multi,4.85532,0.001087,1,0.369306,0.010922,2.333273,0.274056,308.477758,3382.0,157.0,2.140013,12.679347,,1,4,1,1,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,16920150,1459.01,PC,19.361505,26.746175,10.1583,0.0062,1765.545981,0.004576,9.155934,0.003159,3.141202,0.862038,908.241256,124.59452,17,,4.55718,0.085371,1,0.82204,0.047289,2.494909,2.516799,727.365787,5219.0,133.609,66.150401,7.595617,,2,4,2,2,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,243185500,1468.02,PC,16.654062,19.225878,10.8858,0.007542,1765.678776,0.001847,1.880305,0.000266,1.055416,0.550014,1529.822108,180.69878,17,Centroid offset; but not towards a particular star; possible multi,4.85532,0.001087,2,0.369306,0.010922,1.452351,1.925641,623.576148,3382.0,157.0,35.733782,9.774991,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,17005768,1460.01,PC,20.61057,26.925749,9.9176,0.006,1765.265174,0.000837,6.842651,0.000476,3.345632,0.071432,8120.077557,152.06758,17,There is a positive flare-like feature following the transit events,4.438,0.0,1,1.1282,0.0,17.104019,7.614216,977.188739,5766.0,0.0,215.493818,47.321503,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,44631965,1461.01,PC,22.236225,35.864814,11.3805,0.0079,1767.317052,0.000472,3.568678,0.00015,2.581118,0.029444,20121.185466,267.08032,17,,4.26929,0.088562,1,1.28529,0.078769,20.250375,1.253921,1387.922385,6046.0,127.034,876.963913,79.08283,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,283722336,1469.01,KP,348.320728,57.168355,4.6278,0.0065,1765.954785,0.000386,3.092927,1.1e-05,0.850397,0.035227,265.767206,11.512051,17 24,HD 219134 b,4.59034,0.099051,1,0.750598,0.057535,1.211322,0.593977,950.539966,4884.29,142.835,192.931228,20.624722,False,5,5,5,5,5,5,5,2019-12-05 16:42:06+0000,2020-09-14 22:07:52+0000
spoc,283722336,1469.02,KP,348.320728,57.168355,4.6278,0.0065,1766.169561,0.000699,6.765084,4.5e-05,1.578535,0.087142,280.218937,13.980253,17 24,HD 219134 c,4.59034,0.099051,2,0.750598,0.057535,1.291695,0.470612,732.266562,4884.29,142.835,67.951307,18.54754,False,5,5,5,5,5,5,5,2019-12-05 16:42:06+0000,2020-09-14 22:07:21+0000
spoc,284441182,1470.01,PC,10.088709,61.213626,11.4752,0.007299,1766.468651,0.001024,2.527083,2.6e-05,1.295318,0.398363,1922.538506,154.51329,17 18 24,crowded field; level 1 candidate,4.74607,0.007723,1,0.49012,0.014531,2.165498,1.488719,661.913755,3624.0,157.0,45.365597,12.19623,False,1,4,1,1,4,4,4,2019-12-05 16:42:06+0000,2020-09-14 22:05:29+0000
spoc,432549364,1476.01,KP,0.362154,39.383828,10.2242,0.0061,1765.533801,0.000299,1.217509,2.8e-05,2.731299,0.028348,6587.475934,74.7258,17,KELT 1b,4.2467,0.091689,1,1.46216,0.072802,12.13839,0.621737,2233.34614,6596.04,156.59,5879.564447,84.048904,,5,5,5,5,5,5,5,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,306263608,1471.01,PC,30.904272,21.280864,8.5725,0.006,1767.42,0.003702,20.772024,0.005211,6.543088,0.256768,1400.875814,74.66255,17,Likely multi-planet system; centroid offset not significant,4.46798,0.074554,1,0.966154,0.044322,4.282738,0.245827,766.595136,5625.56,114.232,81.617867,16.987566,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,306955329,1472.01,PC,14.113588,48.637575,10.5508,0.0061,1765.605845,0.001838,6.364103,0.000996,2.553493,0.269312,2514.173371,184.78159,17,,4.50257,0.088788,1,0.859483,0.054065,4.307598,1.126736,825.984655,5103.0,131.442,110.004112,12.043268,,3,4,3,3,4,4,4,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000
spoc,188768068,1462.01,PC,261.350233,52.790686,5.8961,0.006,1766.051162,0.001044,2.177946,1.9e-05,2.223716,0.185482,90.099042,7.146146,17 20 24 25 26,HD 158259b,4.25132,0.07516,1,1.26442,0.059525,1.214249,1.182792,1576.751696,5801.89,124.625,1460.744395,15.668703,False,5,5,5,5,5,5,5,2019-12-05 16:42:06+0000,2020-09-14 22:19:31+0000
