Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,DATE,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6
lsc1m009-fa04-20181106-0088-e91.fits,0,58429.74714,2458429.747,2018,NaN,NaN,NaN,NaN,2018,18.548759,23.052483,1.4,15,34,51,0.43476,0.518743,0.459675,0.523283,0,0,0.000219,0.000307,0.000278,0.000309,0,0,1981.413757,1691.068378,1652.831508,1695.261095,0,0,11533682.57,3235.126022,1989.554862,2054.47258,1990.054862,2042.02742,8.302206,-68.314668,5014383.968,1669.495699,2103.863619,2383.416834,27150.88281,3003.532127,103.730733,3873,18.486909,14.838294,13.32406,16.352528,284.273774,0.947122,2820.135861,1934.324393,2820.635861,2162.175607,8.318452,-68.327166,3939453.775,1889.874224,2084.505797,20743.03906,2359.666921,103.659384,17.979664,14.482719,12.648635,16.316802,276.244766,0.93481,2069.235998,2761.333847,2069.735998,1335.166153,8.303706,-68.238085,3632143.532,1821.794482,1993.717496,18003.05664,2175.593225,100.131838,18.905213,15.059542,13.18059,16.938493,284.982409,0.919558,1094.449165,1827.306689,1094.949165,2269.193311,8.284714,-68.339425,3962085.263,1890.894144,2095.350116,18613.58008,2373.222804,99.384236,18.823249,15.133478,14.010543,16.256414,292.576661,0.956199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0089-e91.fits,0,58429.74767,2458429.748,2018,NaN,NaN,NaN,NaN,2018,23.379535,23.495061,1.4,15,34,51,0.436432,0.520703,0.45819,0.522933,0,0,0.000221,0.000309,0.000278,0.00031,0,0,1978.063146,1686.256268,1645.468781,1689.028309,0,0,11512318.5,3240.816473,1989.322694,2054.294881,1989.822694,2042.205119,8.302222,-68.31475,5024348.082,1734.215392,2109.799672,2381.43372,26859.64844,2897.188034,103.113932,3948,18.622782,14.939708,13.201782,16.677633,286.615772,0.924687,2820.149042,1934.276501,2820.649042,2162.223499,8.318477,-68.327208,3941927.906,1894.889801,2080.294012,22309.73633,2273.032476,102.783399,18.105842,14.641791,12.693416,16.590166,279.676486,0.923177,2069.037451,2761.223827,2069.537451,1335.276173,8.303719,-68.238142,3617381.344,1823.806588,1983.423774,19056.72852,2085.889308,100.266987,19.101068,15.259903,13.224148,17.295658,286.661788,0.901575,1094.217226,1827.254749,1094.717226,2269.245251,8.284729,-68.339528,3953009.252,1893.677266,2087.477799,19475.49414,2279.422309,99.206607,19.139688,15.400703,14.236117,16.56529,294.787745,0.94622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0090-e91.fits,0,58429.74821,2458429.748,2018,NaN,NaN,NaN,NaN,2018,24.122321,22.957995,1.4,15,34,51,0.436164,0.521098,0.457635,0.523143,0,0,0.00022,0.000307,0.000277,0.000308,0,0,1985.816546,1695.090775,1653.505838,1696.700205,0,0,11540933.53,3233.06205,1988.966895,2054.281736,1989.466895,2042.218264,8.30225,-68.315042,5033737.194,1655.837814,2106.402528,2389.731842,26320.32813,3039.994105,103.595912,3783,18.262605,14.701158,13.101874,16.300443,284.563714,0.939407,2819.721062,1934.28501,2820.221062,2162.21499,8.318479,-68.327672,3953692.419,1889.923322,2091.985623,22464.14258,2387.729272,103.140003,17.520633,14.300227,12.368704,16.231749,277.316589,0.924818,2068.695075,2761.095241,2069.195075,1335.404759,8.303775,-68.238557,3623359.392,1817.945393,1993.106837,18334.42969,2188.233268,100.007637,18.725999,14.962104,13.051217,16.872991,286.134308,0.91165,1094.035052,1827.214308,1094.535052,2269.285692,8.284772,-68.33959,3963881.721,1891.019461,2096.161252,19998.05273,2393.882835,99.640348,18.600511,14.997704,13.806319,16.189089,293.128325,0.947862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0091-e91.fits,0,58429.74873,2458429.749,2018,NaN,NaN,NaN,NaN,2018,24.497873,23.114991,1.4,15,34,51,0.435708,0.521411,0.459349,0.520963,0,0,0.00022,0.000308,0.000278,0.000307,0,0,1984.359404,1694.069483,1653.596703,1694.87481,0,0,11552016.03,3238.069244,1989.037014,2054.22101,1989.537014,2042.27899,8.302205,-68.314462,5033306.936,1678.561791,2107.907299,2387.821769,25638.88477,2998.58305,103.831307,3884,18.292679,14.7745,13.141444,16.407557,285.242066,0.935775,2819.728643,1934.108931,2820.228643,2162.391069,8.318456,-68.326984,3959052.062,1893.656132,2090.692178,21774.74414,2358.597749,102.783994,17.866016,14.398438,12.50412,16.292756,278.306851,0.927144,2068.640392,2761.038044,2069.140392,1335.461956,8.303708,-68.23787,3636144.759,1823.28754,1994.279388,17851.81445,2166.226336,100.82126,18.892218,15.014454,13.061045,16.967864,286.310237,0.90771,1094.009807,1827.112911,1094.509807,2269.387089,8.28471,-68.339191,3956819.206,1890.70924,2092.769804,19602.27734,2357.267529,99.900268,18.818258,15.250868,14.12708,16.374655,293.853991,0.952551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0092-e91.fits,0,58429.74926,2458429.749,2018,NaN,NaN,NaN,NaN,2018,24.124134,22.606288,1.4,15,34,51,0.434147,0.520398,0.458092,0.523346,0,0,0.000218,0.000306,0.000276,0.000307,0,0,1987.461226,1698.761668,1658.479798,1701.948756,0,0,11550108.66,3226.795031,1989.282947,2053.982262,1989.782947,2042.517738,8.302243,-68.315044,5014440.182,1605.492872,2098.378948,2389.673317,31733.15625,3123.302676,103.211516,3899,18.059359,14.559339,13.035401,16.083276,285.88463,0.940676,2819.857432,1933.852792,2820.357432,2162.647208,8.318466,-68.327716,3953341.344,1886.847462,2095.209827,26137.75781,2462.384863,101.563109,17.360809,14.046269,12.17318,15.919358,278.120009,0.925507,2068.834837,2760.994186,2069.334837,1335.505814,8.303768,-68.238549,3628725.393,1814.771762,1999.549182,21320.38281,2260.194024,99.273609,18.32924,14.800796,12.946405,16.655187,286.15624,0.914788,1094.405739,1827.036549,1094.905739,2269.463451,8.284766,-68.339544,3968041.918,1886.429505,2103.466844,22804.75195,2471.541287,98.936497,18.249253,14.918566,13.905559,15.931574,294.785876,0.956547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0093-e91.fits,0,58429.74978,2458429.75,2018,NaN,NaN,NaN,NaN,2018,23.708395,22.068633,1.4,15,34,51,0.434377,0.52251,0.456974,0.52245,0,0,0.000217,0.000306,0.000274,0.000305,0,0,1997.974444,1709.574136,1667.234882,1710.528057,0,0,11591371.75,3220.347943,1989.30927,2053.704101,1989.80927,2042.795899,8.302226,-68.314702,5035019.746,1530.032785,2096.17507,2402.003448,30266.69531,3290.792064,102.324006,3835,17.636376,14.311644,12.959188,15.6641,288.133559,0.946018,2819.958324,1933.692732,2820.458324,2162.807268,8.318475,-68.327202,3978043.747,1885.023309,2110.34194,24585.32031,2599.972881,102.126692,17.029652,13.915721,12.286121,15.545322,279.790299,0.939866,2068.933816,2760.547156,2069.433816,1335.952844,8.303727,-68.238108,3635586.156,1809.103857,2009.606106,22568.70508,2376.149186,99.638789,18.118933,14.583129,12.88034,16.285919,288.033603,0.918765,1094.220365,1826.651152,1094.720365,2269.848848,8.28473,-68.339434,3977741.845,1882.676615,2112.812054,22957.80469,2599.775563,98.628655,17.924486,14.666652,13.775407,15.557897,297.918754,0.953503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0094-e91.fits,0,58429.75031,2458429.75,2018,NaN,NaN,NaN,NaN,2018,23.703674,22.35961,1.4,15,34,51,0.43586,0.522155,0.457658,0.522059,0,0,0.000218,0.000306,0.000275,0.000306,0,0,1995.19688,1704.825992,1663.0783,1705.664208,0,0,11571030.77,3223.468328,1989.089696,2053.794514,1989.589696,2042.705486,8.302206,-68.314468,5043344.553,1570.646034,2101.312966,2400.092055,30520.76563,3211.000088,102.737283,3822,17.752842,14.353516,12.824959,15.882073,285.822016,0.938804,2819.841422,1933.756184,2820.341422,2162.743816,8.318457,-68.326981,3969288.294,1886.23026,2104.349812,24891.2793,2527.169208,101.813092,17.186319,14.003713,12.247568,15.759859,278.08393,0.933902,2068.845691,2760.570079,2069.345691,1335.929921,8.303712,-68.237884,3632935.124,1811.960417,2004.974882,21154.32227,2313.01964,99.352376,18.236433,14.598772,12.754905,16.44264,286.211038,0.913238,1093.858048,1826.782237,1094.358048,2269.717763,8.284708,-68.339186,3968807.351,1884.060219,2106.518311,25280.05859,2526.863001,98.379005,17.930707,14.71993,13.639833,15.800028,293.765348,0.953264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0095-e91.fits,0,58429.75083,2458429.751,2018,NaN,NaN,NaN,NaN,2018,23.800182,22.53734,1.4,15,34,51,0.434151,0.521395,0.45786,0.5226,0,0,0.000218,0.000306,0.000276,0.000307,0,0,1989.74641,1701.731684,1660.744378,1703.712328,0,0,11572218.45,3228.505331,1989.493732,2054.039681,1989.993732,2042.460319,8.302205,-68.314684,5024086.663,1595.714447,2100.21949,2392.172193,30839.87891,3148.487294,103.782707,3890,17.840587,14.460055,12.881647,16.038463,286.223923,0.93464,2820.224548,1933.903362,2820.724548,2162.596638,8.318456,-68.327182,3965896.264,1888.785448,2099.707125,25602.42188,2485.342081,103.29542,17.168684,14.012004,12.103147,15.92086,279.451297,0.920056,2069.174154,2760.914396,2069.674154,1335.585604,8.303705,-68.23809,3634405.796,1815.159942,2002.250993,22290.82422,2277.604118,100.935511,18.325746,14.672158,12.764562,16.579755,286.936616,0.905149,1094.315165,1827.059379,1094.815165,2269.440621,8.28471,-68.339424,3971916.39,1887.042815,2104.836392,23274.18555,2489.114764,100.034607,18.162037,14.762013,13.670704,15.853321,294.600251,0.949353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0096-e91.fits,0,58429.75137,2458429.751,2018,NaN,NaN,NaN,NaN,2018,23.725118,22.407488,1.4,15,34,51,0.436149,0.521042,0.45818,0.522604,0,0,0.000219,0.000307,0.000276,0.000307,0,0,1991.222671,1699.863082,1659.232727,1701.894127,0,0,11538985.19,3222.564702,1989.107221,2054.246945,1989.607221,2042.253055,8.302219,-68.314669,5032713.164,1577.379633,2100.599429,2395.846202,29694.24609,3190.552901,105.377882,3895,17.656732,14.402876,12.8929,15.912851,285.474974,0.941518,2819.846803,1934.214288,2820.346803,2162.285712,8.318471,-68.327144,3952747.376,1884.725702,2097.253395,26213.24609,2505.894772,103.985625,17.14675,13.966689,12.204925,15.728452,277.893092,0.933404,2068.81358,2761.0981,2069.31358,1335.4019,8.303718,-68.238075,3625707.56,1812.279622,2000.633631,21396.53125,2298.563696,101.686471,18.318262,14.723852,12.812339,16.635366,286.007848,0.909309,1094.031711,1827.291067,1094.531711,2269.208933,8.284726,-68.33942,3960530.257,1883.713052,2102.51251,22871.69141,2510.828829,101.368561,17.978545,14.708803,13.672879,15.744726,294.57618,0.954076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsc1m009-fa04-20181106-0097-e91.fits,0,58429.75189,2458429.752,2018,NaN,NaN,NaN,NaN,2018,23.499897,22.171344,1.4,15,34,51,0.434649,0.519985,0.45918,0.522574,0,0,0.000218,0.000305,0.000276,0.000306,0,0,1994.514146,1704.271665,1664.445601,1706.746704,0,0,11576857.69,3223.981562,1989.731952,2053.9363,1990.231952,2042.5637,8.302228,-68.314751,5031865.865,1544.307958,2097.89112,2398.53528,32208.49414,3258.330593,106.249924,3803,17.483563,14.289744,12.816758,15.762731,285.895685,0.9424,2820.338518,1933.82467,2820.838518,2162.67533,8.318479,-68.327231,3960428.432,1884.011618,2102.12527,25108.02148,2564.532814,105.333398,16.877449,13.900556,12.149388,15.651725,278.299674,0.933019,2069.304882,2760.85857,2069.804882,1335.64143,8.303724,-68.238143,3643048.973,1814.793873,2007.417497,21724.55664,2359.01716,102.843864,18.093305,14.508753,12.697497,16.320008,286.408215,0.914426,1094.610529,1826.950308,1095.110529,2269.549692,8.284734,-68.33951,3973380.285,1884.431091,2108.530423,22913.83008,2572.919646,101.426327,17.820153,14.562783,13.513333,15.612233,293.827862,0.954688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
