 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,RA_T1,DEC_T1
1,cpt1m012-fa06-20200223-0056-e91.fits,1,0,58903.26453,2458903.264527,NaN,NaN,NaN,2458903.267985,NaN,1.613051,25.877769,24,42,63,0.216279,0.538573,0.37651,0.603663,0.000231,0.000485,0.000368,0.000534,937.515168,1109.596756,1021.932124,1129.734476,6629297.946,2855.393338,1950.42772,1924.368107,1950.92772,1885.131893,1433774.621,1809.557368,1399.101319,1024.782553,3367.335205,792.334438,213.137759,6066,27.71456,21.613909,20.379956,22.847862,277.705406,0.986063,270.713302,3247.016393,2274.640835,3247.516393,1534.859165,2320566.719,1682.141106,1379.531545,5796.138184,1282.394667,216.154404,25.728239,20.527492,18.205056,22.849927,277.843956,0.946148,252.000546,987.728763,1678.597615,988.228763,2130.902385,1813280.297,1523.70742,1190.044935,4113.327637,1002.05737,214.182824,21.26374,28.367438,27.155344,29.579531,309.16559,0.822126,291.059926,1084.230999,1082.554396,1084.730999,2726.945604,2495450.93,1732.624631,1440.272108,5338.389648,1379.039412,215.5221,28.804537,22.461119,21.869522,23.052716,61.054513,0.990192,292.201873,10.448145,-52.483204
2,cpt1m012-fa06-20200223-0057-e91.fits,2,0,58903.26502,2458903.265023,NaN,NaN,NaN,2458903.268481,NaN,1.609198,32.424334,24,42,63,0.21476,0.541135,0.380131,0.596019,0.000227,0.000483,0.000367,0.000524,946.839026,1121.130196,1035.58658,1138.076495,6637779.041,2831.79896,1950.42772,1924.368107,1950.92772,1885.131893,1425526.803,1809.557368,1377.268809,1035.038907,3113.108154,787.776518,193.137999,5819,27.983007,21.673936,20.610486,22.737385,276.385859,0.989924,305.864471,3247.016393,2274.640835,3247.516393,1534.859165,2330708.381,1670.571028,1395.156711,5552.247559,1287.999166,194.829047,25.700167,20.740582,18.665594,22.815569,277.051053,0.958277,268.315329,987.728763,1678.597615,988.228763,2130.902385,1828250.932,1512.840626,1208.488786,3971.042725,1010.330462,193.423118,21.217749,27.891645,27.153529,28.629761,311.105738,0.847677,303.76479,1084.230999,1082.554396,1084.730999,2726.945604,2478819.728,1714.523557,1445.777585,5045.731445,1369.848655,194.147684,28.918646,22.722296,21.875427,23.569166,69.593862,0.990327,312.842137,10.448091,-52.483433
3,cpt1m012-fa06-20200223-0058-e91.fits,3,0,58903.26552,2458903.265519,NaN,NaN,NaN,2458903.268977,NaN,1.605398,34.158183,24,42,63,0.214664,0.538678,0.381844,0.596372,0.000224,0.000477,0.000365,0.00052,956.455096,1129.629411,1046.596027,1147.70835,6642530.776,2809.694128,1950.42772,1924.368107,1950.92772,1885.131893,1425911.085,1809.557368,1363.375918,1045.867883,3176.806152,787.98888,175.096641,5978,27.919335,21.672152,20.542458,22.801847,270.415725,0.989188,291.272963,3247.016393,2274.640835,3247.516393,1534.859165,2325491.926,1656.274408,1404.049906,5408.755371,1285.116442,175.630839,25.949811,20.938893,19.016493,22.861294,277.514422,0.964455,275.64712,987.728763,1678.597615,988.228763,2130.902385,1835525.38,1501.113587,1222.775809,3886.034912,1014.350477,175.416299,21.531664,27.907683,26.730069,29.085297,308.801876,0.845999,316.111998,1084.230999,1082.554396,1084.730999,2726.945604,2481513.47,1702.290861,1457.749393,5067.291016,1371.337275,176.507484,28.807588,22.739987,21.767982,23.711992,74.295464,0.990003,305.439571,10.448142,-52.483582
4,cpt1m012-fa06-20200223-0059-e91.fits,4,0,58903.26601,2458903.266013,NaN,NaN,NaN,2458903.269471,NaN,1.601628,34.738496,24,42,63,0.216209,0.545268,0.37378,0.600143,0.000223,0.000479,0.000357,0.00052,968.747675,1138.317963,1047.5072,1154.652967,6622119.403,2785.284179,1950.42772,1924.368107,1950.92772,1885.131893,1431759.533,1809.557368,1349.698099,1060.799844,2960.363281,791.220858,158.759896,5855,27.949426,21.922594,20.825023,23.020164,273.95631,0.989831,326.977921,3247.016393,2274.640835,3247.516393,1534.859165,2336700.98,1647.525969,1418.309043,5271.684082,1291.310804,160.314461,25.721299,21.16422,19.293013,23.035427,278.269059,0.966501,284.921416,987.728763,1678.597615,988.228763,2130.902385,1801754.075,1476.18896,1220.544337,3703.273193,995.687734,158.056939,21.994567,28.181722,27.0143,29.349145,308.875655,0.848021,329.099612,1084.230999,1082.554396,1084.730999,2726.945604,2483664.348,1692.433838,1467.510453,4723.446289,1372.525895,160.615701,29.130509,22.953183,22.151685,23.754681,67.661878,0.990378,341.297018,10.448091,-52.483901
5,cpt1m012-fa06-20200223-0060-e91.fits,5,0,58903.26651,2458903.266513,NaN,NaN,NaN,2458903.269971,NaN,1.597823,34.952022,24,42,63,0.214548,0.544828,0.371098,0.60427,0.000221,0.000477,0.000354,0.000521,970.788058,1142.173409,1049.334318,1159.839723,6597076.874,2764.854203,1950.42772,1924.368107,1950.92772,1885.131893,1415386.942,1809.557368,1331.848367,1062.723788,2928.310059,782.173014,145.695428,5916,28.207348,22.164221,21.096843,23.2316,280.365197,0.989444,315.526214,3247.016393,2274.640835,3247.516393,1534.859165,2326649.224,1635.285255,1422.778819,5013.833984,1285.755989,146.581957,26.481316,21.297556,19.162892,23.43222,277.797274,0.957542,300.648821,987.728763,1678.597615,988.228763,2130.902385,1785550.208,1461.849325,1221.432454,3626.113037,986.733131,145.731215,21.200123,28.347545,27.377976,29.317114,310.098823,0.838937,336.569137,1084.230999,1082.554396,1084.730999,2726.945604,2484877.442,1683.228283,1476.256945,4771.040527,1373.196277,147.344221,29.180802,23.03034,22.490805,23.569875,62.317828,0.993211,331.298177,10.448098,-52.483415
6,cpt1m012-fa06-20200223-0061-e91.fits,6,0,58903.26701,2458903.267009,NaN,NaN,NaN,2458903.270467,NaN,1.594073,35.002262,24,42,63,0.212229,0.531677,0.384085,0.600968,0.000217,0.000462,0.000358,0.000512,979.271026,1151.559729,1073.358638,1172.918655,6682104.909,2766.048422,1950.42772,1924.368107,1950.92772,1885.131893,1418133.693,1809.557368,1323.83376,1071.232458,2990.5896,783.690928,134.86713,5876,28.130922,21.688367,20.812568,22.564167,274.382047,0.993344,310.782091,3247.016393,2274.640835,3247.516393,1534.859165,2319498.745,1625.054973,1427.335557,5222.905273,1281.804482,136.270589,26.187246,21.106442,19.258366,22.954519,279.335509,0.966349,285.548745,987.728763,1678.597615,988.228763,2130.902385,1854291.241,1475.437193,1256.774094,3901.150635,1024.720892,135.707508,21.929391,27.425887,26.577563,28.27421,310.228167,0.861048,308.541231,1084.230999,1082.554396,1084.730999,2726.945604,2508314.923,1683.242494,1490.168488,5093.281738,1386.148329,137.227234,28.809469,22.783854,21.854555,23.713153,73.084572,0.990388,305.646093,10.448134,-52.483116
7,cpt1m012-fa06-20200223-0062-e91.fits,7,0,58903.2675,2458903.267503,NaN,NaN,NaN,2458903.270961,NaN,1.590399,34.889176,24,42,63,0.215152,0.542032,0.379589,0.595783,0.000217,0.000468,0.000354,0.000508,990.2876,1157.70783,1072.939843,1173.809653,6651271.034,2747.353814,1950.42772,1924.368107,1950.92772,1885.131893,1431032.783,1809.557368,1318.644838,1085.229883,3067.57666,790.81924,125.079187,5848,28.000423,21.693655,20.745736,22.641574,280.430162,0.991287,302.364222,3247.016393,2274.640835,3247.516393,1534.859165,2337954.813,1623.196658,1440.339839,5333.990234,1292.003699,126.027358,26.256564,20.992079,19.083743,22.900416,278.080135,0.964753,278.331495,987.728763,1678.597615,988.228763,2130.902385,1830074.526,1458.902066,1254.419038,3859.414307,1011.338219,125.679334,21.02222,28.06821,27.507572,28.628848,312.123344,0.841321,313.398417,1084.230999,1082.554396,1084.730999,2726.945604,2483241.694,1668.769113,1488.067867,5068.816406,1372.292328,127.179476,29.275233,22.840841,22.07935,23.602332,66.656731,0.990573,302.103189,10.448142,-52.483339
8,cpt1m012-fa06-20200223-0063-e91.fits,8,0,58903.26798,2458903.267983,NaN,NaN,NaN,2458903.271441,NaN,1.586773,34.738861,24,42,63,0.215795,0.537575,0.37661,0.604613,0.000216,0.000463,0.00035,0.000512,998.138568,1161.519872,1075.97293,1181.609271,6658137.295,2737.308635,1950.42772,1924.368107,1950.92772,1885.131893,1436794.113,1809.557368,1312.691894,1094.54025,3148.391602,794.003074,115.79752,5867,28.117208,21.706928,20.758939,22.654916,277.876745,0.991795,286.811392,3247.016393,2274.640835,3247.516393,1534.859165,2327853.606,1613.594392,1442.651027,5311.607422,1286.421556,116.639203,26.259167,21.166569,19.102364,23.230775,275.427784,0.961299,277.53855,987.728763,1678.597615,988.228763,2130.902385,1821518.813,1449.550619,1256.609317,3785.112305,1006.610149,116.491214,20.759796,28.25797,26.925609,29.59033,308.106398,0.844122,318.654365,1084.230999,1082.554396,1084.730999,2726.945604,2508764.876,1669.722942,1502.503686,5047.810547,1386.396983,117.842035,28.9301,22.513774,21.841276,23.186273,68.614343,0.993389,310.614373,10.448156,-52.484119
9,cpt1m012-fa06-20200223-0064-e91.fits,9,0,58903.26848,2458903.268480,NaN,NaN,NaN,2458903.271938,NaN,1.583088,34.905425,24,42,63,0.212414,0.537447,0.379861,0.600358,0.000213,0.00046,0.00035,0.000505,998.727406,1168.771507,1086.220222,1187.860564,6690669.324,2733.005766,1950.42772,1924.368107,1950.92772,1885.131893,1421193.56,1809.557368,1299.202578,1093.896813,3121.676758,785.381875,108.309158,5811,28.465122,21.839731,20.98034,22.699122,274.797082,0.993649,285.088829,3247.016393,2274.640835,3247.516393,1534.859165,2338863.523,1611.589108,1451.277817,5903.801758,1292.505871,109.389996,26.154588,20.846014,18.945922,22.746106,278.162253,0.964509,232.861435,987.728763,1678.597615,988.228763,2130.902385,1841869.766,1449.351387,1270.823475,3810.712891,1017.85652,108.674389,21.076749,27.581343,26.352769,28.809917,308.042815,0.863295,318.40737,1084.230999,1082.554396,1084.730999,2726.945604,2509936.035,1664.776748,1507.671246,5267.48291,1387.04419,110.131092,29.186381,22.903889,21.839186,23.968591,77.757842,0.989609,286.20008,10.448136,-52.483152
10,cpt1m012-fa06-20200223-0065-e91.fits,10,0,58903.26898,2458903.268976,NaN,NaN,NaN,2458903.272434,NaN,1.57942,34.772467,24,42,63,0.215328,0.532063,0.382579,0.602566,0.000214,0.000456,0.000351,0.000507,1007.207797,1167.609266,1089.378685,1189.146237,6666662.502,2721.229638,1950.42772,1924.368107,1950.92772,1885.131893,1435521.27,1809.557368,1299.225287,1104.905581,3328.447266,793.299674,102.057067,5750,28.057985,21.60177,20.666423,22.537116,280.063103,0.991525,260.499618,3247.016393,2274.640835,3247.516393,1534.859165,2315233.837,1600.099371,1446.931284,5694.666992,1279.447603,103.478731,26.713804,20.692169,18.626685,22.757653,278.739413,0.957052,245.850469,987.728763,1678.597615,988.228763,2130.902385,1844758.536,1445.548059,1276.165482,4242.204102,1019.452916,102.362773,20.221229,28.110806,27.167803,29.053809,310.155638,0.841431,264.347895,1084.230999,1082.554396,1084.730999,2726.945604,2506670.128,1659.868536,1510.161844,5685.947266,1385.239381,104.367822,29.191423,22.632414,21.817518,23.447311,68.255796,0.990174,250.445019,10.448167,-52.483565
