Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,AIRMASS
lsc1m005-fa15-20190224-0064-e91.fits,1,0,58539.53117,2458539.531,2458539.532290,1.028909,42,4.552563,11,20,30,0.175098,0.230354,0.828558,0.202661,0.236313,0.000222,0.000288,0.000795,0.000266,0.000292,787.00396,801.051231,1041.991767,763.162407,808.995058,3945128.647,1893.074024,2077.580288,2032.564699,2078.080288,2063.935301,5.267017,-31.412969,690782.8693,380.132711,812.741542,849.941628,24473.39453,1817.215012,160.398322,1379,4.328442,8.864972,9.102786,8.627158,331.294077,0.990091,3031.754295,2149.404107,3032.254295,1947.095893,5.275064,-31.39952,738629.227,834.893085,884.699179,18774.21094,1943.082522,158.581809,5.207583,9.27198,9.894798,8.649161,340.407393,0.970228,3034.266745,1850.775295,3034.766745,2245.724705,5.275107,-31.431794,1787620.172,1241.196703,1440.23922,50962.91797,4702.621269,168.82965,4.628115,9.068794,9.339764,8.797823,328.093178,0.981695,1633.851698,2859.901278,1634.351698,1236.598722,5.263222,-31.323892,664794.9542,798.644286,832.404321,23457.72461,1748.849638,157.815693,4.17855,8.797136,9.130191,8.464081,339.458517,0.989938,2410.415519,1637.779255,2410.915519,2458.720745,5.269853,-31.455365,754084.2938,841.59423,896.01885,23855.96875,1983.739551,155.841695,4.420127,8.952221,9.135778,8.768664,325.82839,0.987663,1.028909
lsc1m005-fa15-20190224-0065-e91.fits,2,0,58539.53196,2458539.532,2458539.533290,1.029969,42,5.385555,11,20,30,0.175797,0.230029,0.828973,0.202294,0.23684,0.000223,0.000288,0.000797,0.000266,0.000293,786.882798,799.262549,1040.259037,761.145462,808.182522,3935998.595,1891.921679,2077.177989,2032.725238,2077.677989,2063.774762,5.267017,-31.412968,691936.6069,380.132711,814.013494,850.030881,23504.10938,1820.250104,160.974995,1347,4.232593,8.892216,9.194895,8.589537,333.979637,0.987779,3031.342273,2149.543958,3031.842273,1946.956042,5.275065,-31.399519,736074.2613,833.991197,882.592363,18432.62695,1936.361275,160.228743,5.170542,9.249934,9.940423,8.559446,340.822112,0.964154,3033.838544,1850.931733,3034.338544,2245.568267,5.275107,-31.431791,1783971.971,1240.375897,1438.251078,50905.25781,4693.024092,168.516924,4.656326,9.092529,9.452069,8.732988,331.186155,0.978251,1633.417597,2860.079847,1633.917597,1236.420153,5.263222,-31.32389,662257.1111,797.880265,830.020668,24051.47266,1742.173435,157.367282,3.901147,8.793395,9.180137,8.406653,341.276408,0.987772,2409.992226,1637.948594,2410.492226,2458.551406,5.269853,-31.455362,753695.2511,841.831955,895.303685,23288.89844,1982.716112,156.283659,4.414604,8.996557,9.276637,8.716478,330.0506,0.984617,1.029969
lsc1m005-fa15-20190224-0066-e91.fits,3,0,58539.53275,2458539.533,2458539.534290,1.031051,42,5.837247,11,20,30,0.175052,0.229768,0.83058,0.201944,0.236739,0.000223,0.000287,0.000798,0.000265,0.000293,786.385535,799.829126,1041.298187,761.48707,808.897906,3937780.068,1890.930664,2077.157595,2032.637798,2077.657595,2063.862202,5.267017,-31.412974,689317.0264,380.132711,811.66206,849.266044,20928.46094,1813.358878,158.729452,1359,4.459272,8.985373,9.245874,8.724871,332.259685,0.989548,3031.362175,2149.488244,3031.862175,1947.011756,5.275065,-31.399522,735727.8686,833.070357,883.152141,17448.32227,1935.450034,156.814625,5.357141,9.346294,10.005151,8.687437,341.056962,0.968403,3033.836574,1850.83925,3034.336574,2245.66075,5.275107,-31.431798,1786669.85,1240.583392,1440.185208,48001.32031,4700.121293,165.951649,5.02391,9.189957,9.49618,8.883734,329.461903,0.981055,1633.374992,2859.964237,1633.874992,1236.535763,5.263222,-31.323898,661604.5728,796.834129,830.291461,21468.03125,1740.456829,155.584829,4.318745,8.897722,9.236791,8.558654,340.884113,0.990613,2409.947972,1637.826335,2410.447972,2458.673665,5.269853,-31.455372,753777.7764,841.201984,896.072276,21773.58203,1982.933208,153.917563,4.641614,9.098642,9.294013,8.903271,326.561163,0.988052,1.031051
lsc1m005-fa15-20190224-0067-e91.fits,4,0,58539.53353,2458539.534,2458539.535290,1.032157,42,6.149261,11,20,30,0.175959,0.230042,0.830621,0.20211,0.236268,0.000224,0.000288,0.0008,0.000266,0.000293,786.110715,797.459193,1038.004415,759.281507,805.51712,3914713.734,1885.904626,2077.432318,2032.68156,2077.932318,2063.81844,5.267017,-31.412973,688830.3105,380.132711,810.984842,849.375074,19503.63477,1812.078494,158.161137,1325,4.696706,9.091005,9.30426,8.877749,330.001693,0.991207,3031.633308,2149.530101,3032.133308,1946.969899,5.275065,-31.399522,732128.6539,831.40191,880.595347,15593.59668,1925.981723,156.562019,5.76551,9.444947,10.033446,8.856448,339.418683,0.972812,3034.142841,1850.914311,3034.642841,2245.585689,5.275107,-31.431795,1776251.027,1236.96594,1435.97408,44728.11719,4672.71291,165.846681,5.006351,9.275275,9.512807,9.037743,326.852673,0.983791,1633.698346,2860.054804,1634.198346,1236.445196,5.263222,-31.32389,658178.2604,794.952068,827.947101,19594.23438,1731.443365,156.036356,4.599582,8.989515,9.26827,8.710759,337.826996,0.992494,2410.254107,1637.881618,2410.754107,2458.618382,5.269853,-31.45537,748155.7935,838.673711,892.070162,19377.35742,1968.143682,153.058324,4.840908,9.198712,9.343192,9.054232,323.697939,0.988966,1.032157
lsc1m005-fa15-20190224-0068-e91.fits,5,0,58539.53432,2458539.534,2458539.535290,1.033285,42,6.113248,11,20,30,0.175313,0.230263,0.829424,0.20198,0.236728,0.000222,0.000287,0.000795,0.000265,0.000292,788.797288,801.634812,1042.902867,763.225811,810.302475,3944347.573,1891.00841,2077.370275,2032.493006,2077.870275,2064.006994,5.267016,-31.412978,691496.3031,380.132711,811.544333,852.074588,20570.96289,1819.091814,155.336209,1342,4.379456,8.913833,9.271908,8.555758,335.38871,0.984917,3031.585159,2149.30974,3032.085159,1947.19026,5.275064,-31.399528,738246.5491,833.892109,885.302237,16650.5,1942.075827,153.813557,5.75118,9.353892,10.093659,8.614126,341.505081,0.961271,3034.069671,1850.664862,3034.569671,2245.835138,5.275106,-31.431805,1788288.231,1240.547636,1441.531287,44747.92969,4704.378706,163.09525,5.131791,9.173094,9.579506,8.766681,331.844969,0.974582,1633.664511,2859.786761,1634.164511,1236.713239,5.263221,-31.323904,662805.9515,796.337703,832.317683,21255.18555,1743.617248,151.757128,4.391929,8.830813,9.235224,8.426402,340.621426,0.986262,2410.185733,1637.634261,2410.685733,2458.865739,5.269852,-31.455382,755006.841,841.085361,897.657808,20147.93359,1986.16646,150.153116,4.762622,9.041774,9.356517,8.727032,330.863957,0.982517,1.033285
lsc1m005-fa15-20190224-0069-e91.fits,6,0,58539.53511,2458539.535,2458539.536290,1.034429,42,6.17586,11,20,30,0.175401,0.22947,0.829792,0.202556,0.236754,0.000223,0.000287,0.000796,0.000265,0.000292,787.98281,800.09495,1042.225433,763.534145,809.636748,3943432.406,1891.857067,2077.303521,2032.576089,2077.803521,2063.923911,5.267017,-31.412979,691682.2037,380.132711,812.649327,851.144744,20115.49219,1819.580856,158.227648,1345,4.719556,8.979702,9.305774,8.65363,335.951757,0.988207,3031.465009,2149.363115,3031.965009,1947.136885,5.275064,-31.399532,736006.5246,833.253063,883.292912,16273.01953,1936.183083,155.543755,5.409938,9.336111,10.029812,8.64241,341.760753,0.966217,3033.948376,1850.756172,3034.448376,2245.743828,5.275107,-31.431803,1788305.807,1241.104089,1440.899135,43219.48438,4704.424942,165.393223,5.295896,9.165285,9.516043,8.814528,330.672915,0.978414,1633.565146,2859.898352,1634.065146,1236.601648,5.263222,-31.323906,664223.1056,797.515277,832.865683,20634.05469,1747.345299,153.881827,4.312873,8.832609,9.263359,8.401858,346.313116,0.987993,2410.112767,1637.7759,2410.612767,2458.7241,5.269853,-31.455374,754896.9687,841.690276,896.882131,19570.58594,1985.877423,153.118731,5.027788,9.080929,9.348282,8.813576,330.570338,0.987058,1.034429
lsc1m005-fa15-20190224-0070-e91.fits,7,0,58539.5359,2458539.536,2458539.537290,1.035604,42,6.231592,11,20,30,0.175576,0.229605,0.830323,0.202473,0.236461,0.000223,0.000287,0.000797,0.000265,0.000292,788.303966,799.882195,1041.942934,763.06251,809.057265,3941883.437,1891.706346,2077.338693,2032.582102,2077.838693,2063.917898,5.267017,-31.412978,692099.738,380.132711,812.710861,851.594056,19546.12695,1820.679246,158.321602,1342,4.796961,8.936463,9.217714,8.655211,330.767825,0.985545,3031.560429,2149.437499,3032.060429,1947.062501,5.275065,-31.399527,736071.5635,833.538102,883.068887,16176.93359,1936.354178,157.726968,5.766253,9.306396,9.973262,8.639531,338.405221,0.961756,3034.0475,1850.810099,3034.5475,2245.689901,5.275107,-31.431801,1788229.035,1241.023318,1440.931052,43564.08203,4704.22298,165.085063,5.165824,9.150639,9.486817,8.814461,328.558234,0.974084,1633.586639,2859.983212,1634.086639,1236.516788,5.263222,-31.323891,663737.1303,797.482091,832.290954,20622.11133,1746.066863,154.656979,4.321623,8.802012,9.165448,8.438576,338.451606,0.987254,2410.164602,1637.774084,2410.664602,2458.725916,5.269853,-31.455377,753845.7087,841.219693,896.134166,19605.79102,1983.111915,153.112511,4.931437,9.064922,9.305327,8.824518,327.360188,0.983936,1.035604
lsc1m005-fa15-20190224-0071-e91.fits,8,0,58539.53669,2458539.537,2458539.538290,1.036802,42,6.352535,11,20,30,0.175461,0.23007,0.830526,0.202048,0.236349,0.000223,0.000288,0.000797,0.000265,0.000292,788.122006,800.17071,1041.793921,762.062076,808.475527,3943138.562,1892.723192,2077.513306,2032.364494,2078.013306,2064.135506,5.267017,-31.412979,691866.9655,380.132711,812.626702,851.395805,19834.22656,1820.066901,159.882844,1346,4.83274,8.969558,9.096292,8.842824,323.548433,0.990764,3031.698845,2149.182532,3032.198845,1947.317468,5.275065,-31.399529,737516.2838,834.737712,883.530567,15603.13281,1940.154747,157.561991,5.664081,9.369161,9.92779,8.810533,337.566,0.97189,3034.205901,1850.59377,3034.705901,2245.90623,5.275108,-31.431799,1789037.059,1241.237687,1441.333177,42577.96484,4706.348615,165.814953,5.374244,9.174452,9.36983,8.979074,323.974542,0.980916,1633.776249,2859.673653,1634.276249,1236.826347,5.263222,-31.323904,662788.3537,797.593052,830.985616,22368.62305,1743.570954,156.971545,4.409386,8.812674,9.066375,8.558974,335.533314,0.992331,2410.319886,1637.562822,2410.819886,2458.937178,5.269853,-31.455376,753796.8664,841.895696,895.356598,19391.26758,1982.983428,156.306079,5.250635,9.087295,9.189045,8.985545,320.60953,0.986755,1.036802
lsc1m005-fa15-20190224-0072-e91.fits,9,0,58539.53747,2458539.537,2458539.538290,1.038008,42,6.472619,11,20,30,0.175432,0.229563,0.830374,0.202202,0.236768,0.000223,0.000287,0.000797,0.000265,0.000293,787.68076,800.045746,1041.862707,762.254517,808.91828,3945982.876,1893.910257,2077.275572,2032.942705,2077.775572,2063.557295,5.267016,-31.412972,692251.2524,380.132711,813.62235,850.826249,18639.42773,1821.077829,160.390744,1313,4.832075,8.916401,9.217576,8.615226,333.872331,0.987849,3031.469136,2149.739086,3031.969136,1946.760914,5.275064,-31.399526,736725.4785,834.02895,883.33322,15374.54102,1938.074407,159.515755,5.747574,9.292546,9.993723,8.591368,340.729197,0.963193,3033.960884,1851.1955,3034.460884,2245.3045,5.275107,-31.431791,1790148.673,1242.13474,1441.187188,42926.58203,4709.272897,167.878242,5.41481,9.144452,9.507135,8.78177,330.442828,0.976196,1633.558688,2860.321649,1634.058688,1236.178351,5.263222,-31.323888,663687.3763,798.444357,831.225583,20803.38672,1745.935977,156.324128,4.69771,8.813707,9.233495,8.393919,343.330945,0.987058,2410.095003,1638.162794,2410.595003,2458.337206,5.269852,-31.455368,755421.3482,843.136802,895.965336,19246.66992,1987.256887,156.8324,5.318389,9.074451,9.331154,8.817747,328.978303,0.985459,1.038008
lsc1m005-fa15-20190224-0073-e91.fits,10,0,58539.53826,2458539.538,2458539.539290,1.039246,42,6.889636,11,20,30,0.175297,0.230025,0.82752,0.202854,0.236916,0.000223,0.000287,0.000794,0.000266,0.000293,787.075836,800.39081,1041.664953,763.185493,809.000526,3943320.256,1892.835573,2077.252371,2032.467176,2077.752371,2064.032824,5.267017,-31.412975,691251.8861,380.132711,813.161734,850.079212,16931.87305,1818.448836,161.745486,1339,5.287044,9.073198,9.35659,8.789807,331.356613,0.986665,3031.487986,2149.325769,3031.987986,1947.174231,5.275065,-31.399523,737433.9927,834.345559,883.847208,13931.88379,1939.938267,159.542661,6.107334,9.44865,10.086673,8.810627,338.416965,0.966026,3033.981552,1850.711722,3034.481552,2245.788278,5.275107,-31.431794,1785576.547,1240.232499,1439.711142,41910.13281,4697.245186,167.784593,6.091048,9.282485,9.602375,8.962595,328.080296,0.975619,1633.524048,2859.854905,1634.024048,1236.645095,5.263223,-31.323895,665016.5851,798.818322,832.500416,18353.17773,1749.432674,157.016291,4.727916,8.906644,9.260245,8.553043,338.5061,0.988255,2410.094875,1637.709423,2410.594875,2458.790577,5.269853,-31.455366,755293.1307,842.856235,896.11146,17127.07227,1986.919591,157.073186,5.762219,9.191259,9.431003,8.951516,326.904329,0.983323,1.039246
