 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
1,cpt1m012-fa06-20190903-0065-e91.fits,1,0,58730.28238,2458730.282375,2458730.288463,1.873054,69.977,8.390194,13,25,38,0.231757,0.36168,1.055734,0.283419,0.000522,0.000775,0.001952,0.000669,443.904751,466.584571,540.800322,423.778096,1460878.915,1345.55732,1997.148425,2017.385788,1997.648425,2079.114212,23.549583,-29.416854,338568.3454,530.929158,696.041314,486.419899,4157.720215,637.690246,290.166232,2171,8.886584,10.710177,9.662837,11.757516,273.995121,0.961731,2700.078896,2436.05898,2700.578896,1660.44102,23.555372,-29.370796,388028.4811,723.341792,536.438631,5287.608887,730.847939,288.229081,7.978678,10.513568,9.213251,11.813884,278.719945,0.934785,1883.152833,2759.396548,1883.652833,1337.103452,23.548582,-29.336641,750242.8827,902.936557,830.892134,9083.960938,1413.075305,290.765384,8.554643,10.665776,9.810033,11.521518,286.733153,0.963471,3051.571272,1537.138706,3052.071272,2559.361294,23.55836,-29.467719,322607.5509,687.027457,469.570099,4422.822266,607.628242,287.585757,8.140872,10.489263,8.948244,12.030282,270.853597,0.917201
2,cpt1m012-fa06-20190903-0066-e91.fits,2,0,58730.2835,2458730.283495,2458730.289583,1.856399,70.081,10.757623,13,25,38,0.233942,0.362163,1.060531,0.281129,0.000525,0.000777,0.001964,0.000666,445.841507,465.957294,539.884771,422.231359,1456827.089,1343.634536,1997.415393,2017.139447,1997.915393,2079.360553,23.549583,-29.416843,340813.409,530.929158,696.8098,489.105362,4046.226562,641.918801,289.046978,2247,8.904956,10.969944,10.038445,11.901443,274.020136,0.971003,2700.240349,2435.80256,2700.740349,1660.69744,23.555372,-29.370792,387331.3681,723.025331,535.709265,4808.835449,729.534933,287.577502,8.449628,10.758612,9.581815,11.935409,279.295431,0.94798,1883.513355,2759.093469,1884.013355,1337.406531,23.548584,-29.336638,749811.7153,902.816064,830.525447,8595.069336,1412.263206,289.827925,8.770856,10.936271,10.086727,11.785815,286.943173,0.965393,3051.876374,1536.805234,3052.376374,2559.694766,23.558361,-29.467722,319684.006,683.747973,467.54655,4092.867188,602.121773,286.178014,8.51486,10.798137,9.303839,12.292436,270.417097,0.926235
3,cpt1m012-fa06-20190903-0067-e91.fits,3,0,58730.28461,2458730.284613,2458730.290701,1.839988,69.989,11.314536,13,25,38,0.233319,0.361785,1.059342,0.281923,0.000527,0.00078,0.00197,0.00067,443.06982,464.082384,537.816034,420.618003,1450466.077,1342.99153,1997.365812,2017.435545,1997.865812,2079.064455,23.549584,-29.416849,338420.9275,530.929158,696.577178,485.834073,3903.77832,637.412585,291.189258,2218,8.970611,11.022419,9.950761,12.094077,270.770548,0.962867,2700.119262,2436.121957,2700.619262,1660.378043,23.555371,-29.37079,385345.096,722.265063,533.523101,4817.765137,725.793809,289.455681,8.448346,10.844213,9.57036,12.118065,277.02747,0.942931,1883.377954,2759.374854,1883.877954,1337.125146,23.548583,-29.336642,746131.3784,901.601732,827.562051,8514.095703,1405.331326,291.996627,8.829335,11.020486,10.133247,11.907726,282.046822,0.969288,3051.719833,1537.127331,3052.219833,2559.372669,23.558361,-29.467723,318989.6022,684.889585,465.753326,4093.112061,600.81387,289.203514,8.252229,10.836446,9.243071,12.429822,88.939364,0.917027
4,cpt1m012-fa06-20190903-0068-e91.fits,4,0,58730.28573,2458730.285733,2458730.291821,1.824022,69.977,11.332273,13,25,38,0.233453,0.360883,1.059706,0.282582,0.000524,0.000775,0.001962,0.000668,445.169478,465.926434,540.117303,422.738823,1460464.496,1346.472468,1997.120389,2017.172085,1997.620389,2079.327915,23.549584,-29.416854,340949.999,530.929158,698.409658,488.180532,4275.758789,642.176067,292.099904,2187,8.843308,10.524208,9.577048,11.471368,276.128902,0.966615,2699.858098,2435.894278,2700.358098,1660.605722,23.555372,-29.37079,387290.5489,723.135058,535.571529,5227.891113,729.458051,290.510114,8.260816,10.31733,9.124514,11.510146,280.901775,0.939604,1883.079746,2759.093131,1883.579746,1337.406869,23.548583,-29.33665,751399.9563,904.294306,830.924126,9388.540039,1415.254642,293.114052,8.783978,10.492801,9.696058,11.289543,288.407557,0.964427,3051.409145,1536.926096,3051.909145,2559.573904,23.55836,-29.46772,321773.9903,687.252212,468.203644,4407.141113,606.058238,290.016824,8.126454,10.330497,8.866591,11.794403,271.012393,0.922711
5,cpt1m012-fa06-20190903-0069-e91.fits,5,0,58730.28685,2458730.286849,2458730.292937,1.808279,69.973,11.373865,13,25,38,0.234049,0.360749,1.057499,0.283559,0.000523,0.000771,0.00195,0.000666,447.772689,467.607252,542.437243,425.712495,1461422.867,1341.875361,1997.114859,2017.288715,1997.614859,2079.211285,23.549584,-29.416858,342044.5379,530.929158,696.330299,491.210189,4254.666992,644.237621,283.976195,2177,8.949358,10.612605,9.612844,11.612365,273.056899,0.964723,2699.839773,2436.059231,2700.339773,1660.440769,23.555371,-29.370788,387438.3689,720.985114,537.373603,5151.505371,729.736468,281.581115,8.344997,10.459874,9.210629,11.70912,278.025856,0.939946,1883.142818,2759.286515,1883.642818,1337.213485,23.548583,-29.336646,751132.0509,901.565161,833.142277,9149.52832,1414.750045,283.935079,8.77155,10.571859,9.691384,11.452333,284.699216,0.963948,3051.383022,1537.087634,3051.883022,2559.412366,23.55836,-29.467717,322852.447,684.098099,471.938816,4396.722656,608.089501,279.83225,8.097281,10.432488,8.859292,12.005684,89.106245,0.912955
6,cpt1m012-fa06-20190903-0070-e91.fits,6,0,58730.28798,2458730.287982,2458730.294070,1.792746,70.085,11.165549,13,25,38,0.232452,0.363323,1.054171,0.282572,0.000517,0.000769,0.001927,0.000659,449.907334,472.557031,547.095174,428.998654,1471096.595,1339.629208,1997.265431,2017.158783,1997.765431,2079.341217,23.549583,-29.41685,341959.1027,530.929158,693.347145,493.200419,4448.913086,644.076704,274.258325,2196,8.720163,10.421209,9.376237,11.466182,270.261421,0.960574,2700.106112,2435.835552,2700.606112,1660.664448,23.555371,-29.370794,392044.3843,721.128213,543.654203,5434.364258,738.411854,271.897039,8.107141,10.236648,8.93414,11.539156,276.525531,0.933917,1883.30407,2759.145304,1883.80407,1337.354696,23.548583,-29.336642,754945.4598,900.002749,838.825727,9753.59082,1421.932564,275.092466,8.417604,10.391275,9.551747,11.230803,284.640303,0.966125,3051.687111,1536.915284,3052.187111,2559.584716,23.55836,-29.467714,324106.7508,681.597804,475.510263,4564.36377,610.45197,272.121202,8.043425,10.266742,8.652302,11.881181,88.543131,0.905562
7,cpt1m012-fa06-20190903-0071-e91.fits,7,0,58730.2891,2458730.289099,2458730.295187,1.777722,69.994,11.063543,13,25,38,0.232944,0.362527,1.055754,0.28266,0.000514,0.000763,0.00192,0.000655,453.586928,475.208969,549.867983,431.506966,1476650.182,1337.856025,1997.20743,2017.185721,1997.70743,2079.314279,23.549583,-29.416858,343977.0631,530.929158,691.353516,497.541497,4551.754883,647.877514,269.058232,2184,8.703852,10.26021,9.195943,11.324476,273.266099,0.957321,2699.954952,2435.882742,2700.454952,1660.617258,23.555371,-29.370799,392891.3919,718.444433,546.863993,5716.517578,740.007185,266.611515,8.012289,10.052686,8.721558,11.383815,278.995607,0.925117,1883.218419,2759.180524,1883.718419,1337.319476,23.548583,-29.336647,758349.133,900.573221,842.07382,9967.744141,1428.34335,269.062821,8.480017,10.225161,9.361562,11.088759,286.71204,0.959617,3051.553978,1536.973566,3052.053978,2559.526434,23.55836,-29.467721,325409.6574,680.194246,478.406954,4732.144043,612.905982,266.118437,7.892463,10.120286,8.526183,11.714388,89.143197,0.905418
8,cpt1m012-fa06-20190903-0072-e91.fits,8,0,58730.29022,2458730.290219,2458730.296307,1.762899,69.977,10.820775,13,25,38,0.233573,0.361331,1.062757,0.281005,0.000512,0.000758,0.001927,0.00065,456.461877,476.404601,551.554928,432.043816,1480286.094,1336.359741,1997.24881,2017.169964,1997.74881,2079.330036,23.549582,-29.416852,345755.376,530.929158,690.165196,500.974807,4792.146973,651.226949,264.248603,2236,8.531265,9.991374,8.810356,11.172393,275.422399,0.943646,2700.140305,2435.818669,2700.640305,1660.681331,23.555371,-29.3708,392904.8514,717.037724,547.955621,6111.183105,740.032536,262.720913,7.665272,9.708667,8.242998,11.174337,278.615044,0.904474,1883.258475,2759.078825,1883.758475,1337.421175,23.548582,-29.336652,762661.1758,900.835254,846.615596,10622.00586,1436.465042,264.909862,8.239122,9.943009,8.972587,10.913431,286.833581,0.946027,3051.703408,1536.904644,3052.203408,2559.595356,23.55836,-29.467721,324720.0666,678.387872,478.664316,5080.641602,611.607145,264.251004,7.783898,9.704896,7.983868,11.425924,270.332274,0.881746
9,cpt1m012-fa06-20190903-0073-e91.fits,9,0,58730.29134,2458730.291340,2458730.297428,1.748364,69.973,10.746226,13,25,38,0.232771,0.362025,1.058887,0.281887,0.000512,0.00076,0.00192,0.000651,455.007082,476.362166,551.602934,432.782848,1481780.952,1337.976359,1997.360899,2017.157733,1997.860899,2079.342267,23.549583,-29.416867,344915.5331,530.929158,691.111471,499.073662,4888.033691,649.645113,266.334417,2241,8.363184,10.023812,8.885598,11.162026,273.384778,0.949021,2700.101681,2435.919066,2700.601681,1660.580934,23.55537,-29.370797,393856.4034,718.813121,547.926008,6013.274414,741.824775,264.601887,7.762769,9.794187,8.367145,11.22123,279.102176,0.90977,1883.371117,2759.104714,1883.871117,1337.395286,23.548582,-29.33666,762080.8887,901.232904,845.598163,10722.80566,1435.372077,268.321671,8.113076,9.973289,9.018146,10.928433,286.048397,0.949804,3051.672151,1536.966322,3052.172151,2559.533678,23.55836,-29.467724,325843.6604,679.166907,479.769637,5115.72168,613.723423,264.716742,7.9251,9.824744,8.099036,11.550452,270.399154,0.883844
10,cpt1m012-fa06-20190903-0074-e91.fits,10,0,58730.29246,2458730.292459,2458730.298547,1.73412,69.973,10.934355,13,25,38,0.232263,0.362808,1.061571,0.280157,0.00051,0.000759,0.001919,0.000647,455.204169,478.167696,553.158452,433.251683,1484007.376,1335.992621,1997.442202,2017.197512,1997.942202,2079.302488,23.549582,-29.416864,344680.2506,530.929158,690.697788,499.031931,4541.691895,649.201961,263.643998,2263,8.681729,10.151412,9.027444,11.275379,273.424508,0.951454,2700.333482,2435.949124,2700.833482,1660.550876,23.555371,-29.370799,395073.9957,718.031089,550.218509,5658.124023,744.118098,261.437596,8.105905,9.949372,8.554807,11.343938,278.662252,0.917058,1883.451098,2759.183595,1883.951098,1337.316405,23.548582,-29.336656,764164.5624,900.865935,848.255587,10096.28516,1439.296656,263.629456,8.439728,10.100039,9.187752,11.012325,285.604631,0.956106,3051.83666,1536.997477,3052.33666,2559.502523,23.558359,-29.467723,324768.8177,676.570915,480.021843,4981.332031,611.698967,260.35724,7.763833,9.920455,8.230656,11.610253,270.155737,0.890393
