Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,DATE,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
cpt1m010-fl16-20180923-0153-e91.fits,0,58385.44885,2458385.44885,2018,NaN,2458385.455140,NaN,NaN,2018,13.658571,20.413584,1.4,15,30,45,0.436016,6.555703,0.152539,0.001724,0.070848,0.001648,252.877561,92.532504,92.532504,1764576.327,3672.711576,2059.724875,2045.271422,2060.224875,2051.228578,0.749928,-15.274726,769383.8796,1309.146909,2586.994499,297.404529,9225.387695,587.698657,3926.831743,3035,13.476439,14.287235,14.556762,14.017708,15.970477,0.998025,2179.548625,1694.497077,2180.048625,2402.002923,0.750848,-15.31256,1531034.018,2699.694706,567.113761,14309.77246,1169.489847,3929.979826,13.999845,14.480743,14.505834,14.455652,39.980198,0.999605,2233.572695,2681.901234,2234.072695,1414.598766,0.751184,-15.205674,233542.3083,2490.07205,93.789378,5553.001465,178.392743,3896.693144,13.499429,14.245115,14.680797,13.809433,348.062353,0.995534
cpt1m010-fl16-20180923-0154-e91.fits,0,58385.44983,2458385.44983,2018,NaN,2458385.456120,NaN,NaN,2018,17.267697,20.082052,1.4,15,30,45,0.436278,6.672726,0.149864,0.001711,0.073225,0.001645,254.956903,91.126119,91.126119,1703784.386,3536.858686,2059.457386,2045.175863,2059.957386,2051.324137,0.749927,-15.274724,743323.1048,1266.969215,2473.670054,300.494039,9235.174805,586.693896,3755.686243,3037,12.79952,14.214244,14.360572,14.067915,27.254606,0.998743,2179.322321,1694.446153,2179.822321,2402.053847,0.750847,-15.312551,1481727.135,2592.738329,571.491199,14034.16113,1169.505239,3743.540085,13.160787,14.318748,14.290263,14.347232,49.024971,0.999193,2233.531089,2681.872132,2234.031089,1414.627868,0.751185,-15.205667,222057.2507,2405.634495,92.307144,5512.434082,175.266493,3790.300043,12.184211,14.038061,14.382134,13.693987,10.549719,0.997243
cpt1m010-fl16-20180923-0155-e91.fits,0,58385.45081,2458385.45081,2018,NaN,2458385.457100,NaN,NaN,2018,18.700492,20.267534,1.4,15,30,45,0.433146,6.621093,0.151032,0.00958,0.414707,0.00946,45.215208,15.965726,15.965726,437811.5125,5065.967685,2049.128172,2046.768161,2049.628172,2049.731839,0.749834,-15.274348,189636.3752,1290.481176,3574.264657,53.056053,9950.739258,146.950129,8526.120475,3114,13.020687,14.102256,14.358131,13.846382,30.112866,0.994663,2169.270342,1695.897358,2169.770342,2400.602642,0.748937,-15.236419,380364.1721,3607.504462,105.436924,11184.25879,294.746006,8514.792154,14.014659,14.440567,14.559054,14.322081,29.634105,0.998969,2222.307411,2683.043345,2222.807411,1413.456655,0.74854,-15.343129,57447.34043,3556.675435,16.151977,9038.147461,44.516217,8516.717099,11.798435,14.234553,14.513244,13.955861,4.459661,0.99843
cpt1m010-fl16-20180923-0156-e91.fits,0,58385.45179,2458385.45179,2018,NaN,2458385.458080,NaN,NaN,2018,19.334921,20.691246,1.4,15,30,45,0.419277,5.961937,0.167731,0.00623,0.223969,0.006301,67.303286,26.619461,26.619461,688292.9545,5219.123178,2058.873316,2046.299187,2059.373316,2050.200813,0.749923,-15.274615,288585.0635,1345.002658,3687.414357,78.262174,10507.86621,214.560962,8489.170797,3029,13.033592,14.419626,14.63908,14.200173,5.522124,0.999039,2178.805808,1695.422374,2179.305808,2401.077626,0.750843,-15.312441,589427.8044,3719.480372,158.47047,12300.53125,438.23542,8499.306744,13.567661,14.479019,14.516339,14.4417,39.251035,0.999331,2233.119458,2682.692473,2233.619458,1413.807527,0.751181,-15.205619,98865.15017,3661.244666,27.003153,9230.511719,73.505543,8461.336449,12.703018,15.0973,15.182964,15.011636,323.478665,0.998486
cpt1m010-fl16-20180923-0157-e91.fits,0,58385.45277,2458385.45277,2018,NaN,2458385.459060,NaN,NaN,2018,18.923991,19.922169,1.4,15,30,45,0.430312,6.622544,0.150999,0.004134,0.178366,0.004067,104.101594,37.128904,37.128904,904106.9025,4524.976416,2059.905212,2045.291344,2060.405212,2051.208656,0.749931,-15.274714,389048.1234,1246.875547,3189.864781,121.963829,10164.78223,312.018408,6901.659566,3006,12.409029,13.941992,14.083671,13.800313,35.703179,0.995938,2179.668603,1694.482744,2180.168603,2402.017256,0.750851,-15.312552,785497.3018,3241.911663,242.29448,13047.22754,629.972497,6905.435244,12.605377,14.336162,14.289026,14.383299,50.334907,0.998739,2233.979766,2682.127366,2234.479766,1414.372634,0.751188,-15.205633,118609.6007,3156.8054,37.572668,7907.711914,95.125453,6879.275158,12.422646,14.086959,14.317665,13.856252,13.068327,0.99867
cpt1m010-fl16-20180923-0158-e91.fits,0,58385.45375,2458385.45375,2018,NaN,2458385.460040,NaN,NaN,2018,19.232908,20.39684,1.4,15,30,45,0.427133,6.582658,0.151914,0.004726,0.203366,0.004693,90.388433,32.368493,32.368493,816013.5539,4683.910421,2060.277056,2045.339503,2060.777056,2051.160497,0.749932,-15.274689,348545.9316,1307.000214,3296.487181,105.732531,9386.047852,266.676262,6964.648247,2982,12.787056,14.280273,14.50641,14.054136,18.86698,0.998397,2180.154619,1694.502934,2180.654619,2401.997066,0.750853,-15.312532,708397.7831,3338.035807,212.219947,11942.35254,542.002806,6938.858155,13.447924,14.529474,14.539529,14.51942,42.870553,0.999653,2234.136787,2681.813607,2234.636787,1414.686393,0.751188,-15.205644,107615.7709,3285.807935,32.751692,8185.317871,82.33799,7007.001194,12.539753,14.347435,14.661576,14.033294,2.469718,0.99807
cpt1m010-fl16-20180923-0159-e91.fits,0,58385.45473,2458385.45473,2018,NaN,2458385.461020,NaN,NaN,2018,19.473134,20.351069,1.4,15,30,45,0.435133,6.147159,0.162677,0.015112,0.573533,0.015178,28.793583,10.718055,10.718055,295589.0501,5402.096745,2050.842837,2046.2178,2051.342837,2050.2822,0.749821,-15.274289,128620.652,1301.140898,3798.490307,33.860993,10667.92481,98.852209,9561.343666,2966,12.630438,14.376321,14.69192,14.060723,33.431038,0.987528,2170.463907,1695.51877,2170.963907,2400.98123,0.748928,-15.236378,254231.492,3831.678638,66.349899,11434.74707,195.391208,9559.166865,13.437006,14.569408,14.559207,14.579608,46.729444,0.999461,2224.579668,2682.553834,2225.079668,1413.946166,0.748523,-15.343076,41357.55807,3808.003159,10.860694,9990.915039,31.785611,9546.150789,13.119049,13.896971,14.358307,13.435636,343.607825,0.993777
cpt1m010-fl16-20180923-0160-e91.fits,0,58385.45572,2458385.45572,2018,NaN,2458385.462010,NaN,NaN,2018,19.971964,20.78388,1.4,15,30,45,0.434075,6.456607,0.15488,0.001478,0.058827,0.001411,293.73919,109.756715,109.756715,1954870.89,3507.557241,2060.162436,2045.510265,2060.662436,2050.989735,0.749928,-15.274711,848559.9736,1357.072796,2455.026235,345.641917,8898.577148,625.286997,3317.88696,3013,13.456641,14.574455,14.824845,14.324066,19.851806,0.998007,2179.95914,1694.6975,2180.45914,2401.8025,0.750848,-15.31255,1692704.627,2599.930231,651.057712,14135.58984,1247.320432,3338.560452,14.296194,14.670265,14.757698,14.582832,34.273905,0.998938,2234.192791,2682.10038,2234.692791,1414.39962,0.751186,-15.205664,262166.2631,2354.425746,111.350406,4992.962891,193.185114,3272.311769,12.689922,14.511108,14.954344,14.067872,3.847316,0.996207
cpt1m010-fl16-20180923-0161-e91.fits,0,58385.45669,2458385.45669,2018,NaN,2458385.462980,NaN,NaN,2018,20.036073,21.138154,1.4,15,30,45,0.437293,6.684072,0.149609,0.001052,0.043311,0.000969,415.699362,154.328848,154.328848,2307544.313,2947.266818,2059.191154,2045.323779,2059.691154,2051.176221,0.749927,-15.274719,1009073.832,1403.73135,2057.006045,490.554626,7910.206543,718.851105,1967.534089,3023,13.56557,14.900801,15.085376,14.716227,18.19619,0.999053,2179.019678,1694.552763,2179.519678,2401.947237,0.750847,-15.31255,2007242.031,2238.79426,896.572797,13541.66504,1429.933179,1969.682268,13.730981,14.994181,15.062882,14.92548,31.706108,0.999581,2233.174851,2681.985038,2233.674851,1414.514962,0.751184,-15.20567,300302.2819,1916.815577,156.66728,3819.074951,213.931449,1973.351399,12.839705,14.834705,15.147787,14.521623,356.350468,0.998191
cpt1m010-fl16-20180923-0162-e91.fits,0,58385.45767,2458385.45767,2018,NaN,2458385.463960,NaN,NaN,2018,19.630095,20.593016,1.4,15,30,45,0.435982,6.780732,0.147477,0.000895,0.036836,0.000801,487.042408,184.07831,184.07831,2425882,2647.963552,2059.31769,2045.057646,2059.81769,2051.442354,0.749926,-15.274722,1057641.336,1332.262432,1839.260531,575.036172,8552.339844,793.868618,1525.995503,2955,12.830344,14.539827,14.73039,14.349263,24.054945,0.998459,2179.146278,1694.226302,2179.646278,2402.273698,0.750846,-15.312558,2114101.294,2057.927979,1027.296055,15456.57031,1586.850491,1530.017569,13.032851,14.672256,14.701676,14.642836,41.857553,0.998658,2233.23358,2681.723399,2233.73358,1414.776601,0.751183,-15.205674,311780.7057,1666.32632,187.106632,3728.115723,234.023491,1519.476407,12.991017,14.299312,14.695825,13.902799,5.170525,0.996827
