TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
#141227133,617.01,3,NEB,2.422320,0.0002200,1518.700040,2.87,129.315412,-47.38354900,10.19,5697,9.000,,0.131,,2838,4.800,0,,6149.76,8,0.6303,29.45,0.00,3.1,0.5,311,,,-,-,FALSE,,TRUE
#47484268,226.01,5,NEB,-,,-,-,-,-,-,-,-,,0.334,,3396,-,0,,,2,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#108645766,497.01,5,NEB,-,,-,-,-,-,-,-,-,,0.302,,3333,-,0,,,7,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#438490744,529.01,5,NEB,-,,-,-,-,-,-,-,-,,0.172,,3021,-,0,,,6,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#431999925,513.01,5,NEB,-,,-,-,-,-,-,-,-,,0.269,,3266,-,0,,,7,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#1133072,566.01,5,NEB,-,,-,-,-,-,-,-,-,,0.325,,3380,-,0,,,8,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#53593457,543.01,5,NEB,-,,-,-,-,-,-,-,-,,0.193,,3085,-,0,,,6,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#82362447,639.01,5,NEB,-,,-,-,-,-,-,-,-,,1.300,,3601,-,0,,,8,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#302895996,531.01,5,NEB,-,,-,-,-,-,13.60,-,-,,0.368,,3462,-,0,,,6,-,-,0.00,-,,,,,0.0014366,0.0003212,TRUE,,TRUE
#44745077,436.01,5,NEB,-,,-,-,-,-,13.04,-,-,,0.381,,3487,-,0,,,5,-,-,0.00,-,,,,,0.0015638,0.0002681,TRUE,,TRUE
#146463781,636.01,5,NEB,-,,-,-,-,-,14.88,-,-,,0.275,,3278,-,0,,,8,-,-,0.00,-,,,,,0.0029571,0.0005588,TRUE,,TRUE
#77951245,450.01,5,SB2,10.714754,0.0001310,1443.168000,2.01,79.000494,-31.41270400,12.38,57046,12.650,1.500,0.422,0.013,3160,4.806,-0.16,0.416,53.51,6,0.2833,37.85,0.85,2.9,0.5,305,-,-,0.0007380,0.0001167,TRUE,Elisabeth Newton is interested in this system,TRUE
#5868998,749.01,3,BEB,0.635540,0.0000120,1569.933590,1.26,187.782200,-23.77350000,13.59,48322,15.179,2.100,0.442,0.069,3644,4.372,0,0.527,232.10,10,0.3146,3.42,0.93,626.3,0.5,1172,-,-,0.0016818,0.0002884,TRUE,,TRUE
#348755723,633.01,5,NPC,-,,-,-,-,-,13.87,-,-,,0.567,,3267,-,0,,,8,-,-,0.00,-,,,,,,,TRUE,,TRUE
#432008938,643.01,5,NEB,9.653456,,1522.349321,4.01,120.693500,-23.69590000,13.68,43089,7.282,,0.315,,3359,4.935,0,,,8,0.2121,41.24,0.00,3.1,,,,,-,-,FALSE,,TRUE
#,1285.01,5,NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE
#,1289.01,5,NEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE
#267561446,1284.01,1,NEB,1.284142,0.0003060,1711.809590,1.86,311.513252,56.86633900,12.53,1910,2.469,1.985,0.560,0.017,3855,5.000,0,,110.25,15,0.0404,7.32,0.00,170.9,0.3,922,,,,,FALSE,,TRUE
#119081096,716.01,5,NEB,0.837070,0.0002900,1518.109910,2.50,136.238500,-18.50250000,12.38,2746,2.988,,0.520,,3776,4.720,0,,145.30,8,0.0527,5.78,0.00,252.0,0.3,1015,,,-,-,FALSE,,TRUE
#318746829,1540.01,1,NEB,5.231210,0.0032600,1769.3971,3.83,349.718637,56.00861300,10.42,3044,,,,,3593,,,,,17,,,,,,,,,,,FALSE,,TRUE
#133654092,975.01,3,EB,1.973530,0.0006500,1493.127100,2.17,121.185133,-41.55982500,10.39,1010,,,,,2828,4.803,,,4947.72,7,,,0.00,,0.3,,,,,,FALSE,,TRUE
#133654092,975.01,1,EB,1.973530,0.0006500,1493.127100,2.17,121.185133,-41.55982500,10.39,867,,,,,2828,,0,,4947.72,,,,0.00,,0.3,,,,,,FALSE,,TRUE
#271722899,920.01,3,EB,19.299800,0.0007600,1335.234110,3.17,110.312389,-73.45326200,11.04,1865,,,,,3818,,,,3540.18,4,,,0.00,,0.3,,,,,,FALSE,,TRUE
#271722899,920.01,1,EB,9.649900,0.0003800,1335.234110,3.17,110.312389,-73.45326200,11.04,1865,,,,,3818,,0,,3540.18,4,,,0.00,,0.3,,,,,,FALSE,,TRUE
#32830028,549.01,5,EB,0.516278,,1468.344415,0.57,86.752200,-24.84220000,14.31,20289,2.440,,0.169,,3009,5.110,0,,,6,0.1325,8.87,0.00,43.2,,,,,-,-,FALSE,,TRUE
#327017634,1202.01,5,EB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE
#52280468,472.01,5,BEB,-,,-,-,-,-,-,-,-,,-,,3294,-,0,,,6,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#403693875,528.01,5,NPC,3.524465,,1469.705671,3.10,105.006200,11.04350000,13.33,21823,9.046,,0.613,,3965,4.686,0,,,6,0.1354,13.52,0.00,56.1,,,,,-,-,FALSE,,TRUE
#244161191,278.01,5,O,-,,-,-,-,-,-,-,-,,0.154,,2955,-,0,,,3,-,-,0.00,-,,,,,-,-,FALSE,,TRUE
#275248683,717.01,5,PNEB,0.530790,,1518.266170,1.24,147.970700,2.11640000,11.40,1113,2.000,,0.540,,3788,4.870,0,,,8,0.0340,4.16,0.00,492.8,,,,,-,-,FALSE,,TRUE
#318937509,516.01,2,SB2,1.048630,0.0000730,1492.649974,1.06,112.381500,2.84810000,14.15,34645,4.184,,0.202,,3109,5.066,0,,149.20,7,0.1900,12.63,0.00,24.3,0.3,566,,,-,-,FALSE,,TRUE
#70797900,224.01,5,SB2,31.579900,0.0000196,1176.364160,1.88,1.977400,-29.97900000,10.95,100000,14.000,2.000,0.487,0.074,3689,4.781,-1,0.522,64.77,2,0.2637,67.98,0.72,1.7,0.5,266,-,-,-,-,FALSE,Crossfield AC Target,TRUE
#43064903,1276.01,5,FA,6.264298,0.0025240,1712.548761,2.39,302.667462,40.66899800,12.54,9098,2.338,0.278,0.211,0.006,3145,,,,24.52,15,0.1015,40.35,0.00,2.5,0.3,320,,,,,FALSE,,TRUE
#420112587,1760.01,1,NPC,11.062666,0.0004900,1691.531496,2.08,290.173872,73.196346,12.50,4958,2.644,4.093,0.255,0.008,3212,4.893,0,,,"14,15,16,17,19",0.0953,52.06,0.00,1.6,0.3,288,,,,,FALSE,,TRUE
#387527558,1646.01,1,FA,3.623909,0.0027480,1794.1033560,2.66,312.326644,70.7963540,13.04,26980,6.935,0.469,0.414,0.012,3514,4.954,0,,,19,0.1536,17.88,0.00,19.8,0.3,537,,,,,FALSE,,TRUE
#409459226,973.01,3,NEB,1.279970,0.0004100,1491.828390,2.43,109.950318,-11.94268800,10.43,790,,,,,2889,,,,4153.03,7,,,0.00,,0.3,,,,,,FALSE,,TRUE
#101955023,667.01,5,KP,,,,,,,,,,,,,,,0,,,9,,,0.00,,,,,,-,-,FALSE,GJ 1132b,TRUE
#192826603,551.01,5,KP,2.647401,,1438.080870,1.07,82.714381,-36.63079700,13.86,21352,9.442,,0.570,,3916,4.719,0,,,5,0.1520,11.72,0.00,71.0,,,,,-,-,FALSE,NGTS-1b,TRUE
#33521996,468.01,5,KP,3.325285,,1469.311680,2.00,88.146797,-19.03165400,13.29,36142,10.983,,0.570,,3724,4.683,0,,,6,0.1768,13.65,0.00,42.8,,,,,-,-,FALSE,HATS-6,TRUE
#92226327.01,256.01,5,KP,24.736959,,1389.285282,1.96,11.247108,-15.27129400,11.24,4089,1.727,,0.232,,3182,5.028,0,,,3,0.0683,94.70,0.00,0.5,,,,,-,-,FALSE,LHS-1140b,TRUE
