 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,EXPTIME,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7
1,lsc1m005-fa15-20190407-0058-e91.fits,1,0,58581.47644,2458581.476,2019,NaN,2458581.476,NaN,NaN,42,1.263135,6.471549,15,28,42,0.11135,0.157283,0.128483,0.17063,0.598146,0.134153,0.126024,0.000167,0.000208,0.000191,0.000216,0.00051,0.000194,0.000189,664.906278,756.835862,674.050376,790.741462,1172.092394,691.52141,666.198062,7568988.135,3289.908224,2009.883083,2015.986242,2010.383083,2080.513758,5.056414,-54.177951,842805.0872,706.858347,1213.464833,694.544304,10240.8291,1192.325295,991.328563,2659,6.433693,13.94309,13.716672,14.169507,57.551649,0.994143,1767.901006,2258.099968,1768.401006,1838.400032,5.053404,-54.151998,1028679.57,1272.674119,808.281991,12189.98926,1455.283898,993.849642,6.421033,14.062634,13.846175,14.279093,61.664201,0.996862,2347.26213,2511.479885,2347.76213,1585.020115,5.060508,-54.123957,861766.1953,1216.674854,708.296216,9744.017578,1219.149776,986.128605,6.309706,14.036174,13.738959,14.333389,59.527804,0.992403,2205.277959,2740.19145,2205.777959,1356.30855,5.058731,-54.099367,1103246.359,1296.302698,851.071559,12132.6416,1560.774324,993.024363,6.491552,14.132987,13.747216,14.518759,65.411669,0.993037,2266.977065,910.998684,2267.477065,3185.501316,5.059726,-54.297248,2832881.672,1751.068519,1617.801726,32660.53516,4007.707745,1001.333374,6.37702,13.418293,13.529476,13.307109,39.615944,0.992134,2970.867392,935.279288,2971.367392,3161.220712,5.068424,-54.29375,895296.3504,1228.228384,728.933122,11055.74805,1266.585242,987.480158,6.612292,13.397538,13.487728,13.307349,41.611886,0.986981,2909.9831,1123.369506,2910.4831,2973.130494,5.067643,-54.273477,847117.988,1211.739411,699.092545,10128.88672,1198.426801,989.646415,6.655551,13.533384,13.578171,13.488597,43.332562,0.987054
2,lsc1m005-fa15-20190407-0059-e91.fits,2,0,58581.47723,2458581.477,2019,NaN,2458581.477,NaN,NaN,42,1.265769,7.23652,15,28,42,0.110992,0.157278,0.128778,0.171164,0.595144,0.135371,0.125536,0.00016,0.000199,0.000183,0.000207,0.000492,0.000186,0.000181,695.809695,789.535327,705.627777,825.144147,1210.379718,727.013126,695.338153,7590416.414,3176.549499,2009.998388,2016.207183,2010.498388,2080.292817,5.056415,-54.177946,842473.6405,706.858347,1158.311761,727.328919,10524.72461,1191.856394,820.778887,2664,6.245317,13.847346,13.667979,14.026713,56.138394,0.995331,1768.056389,2258.258238,1768.556389,1838.241762,5.053405,-54.152002,1031562.17,1222.46523,843.837636,12440.05078,1459.361941,822.541785,6.259738,13.995903,13.75341,14.238397,62.200484,0.996241,2347.517341,2511.655234,2348.017341,1584.844766,5.06051,-54.123958,865962.2226,1166.75292,742.198462,9853.188477,1225.08594,816.496721,6.650295,13.905842,13.490444,14.321239,64.481265,0.990989,2205.429796,2740.466147,2205.929796,1356.033853,5.058732,-54.099359,1109329.503,1247.972945,888.90509,12182.52344,1569.380212,819.691212,6.452746,14.012308,13.545216,14.479401,69.098521,0.992019,2266.986783,911.062189,2267.486783,3185.437811,5.059726,-54.297253,2831965.078,1715.400157,1650.906389,34484.3125,4006.41103,828.619268,6.174026,13.363646,13.454361,13.272931,40.736576,0.991617,2970.910994,935.445905,2971.410994,3161.054095,5.068424,-54.293743,905007.3164,1179.052873,767.571444,11451.82324,1280.323448,814.298024,6.278642,13.282217,13.297361,13.267072,44.43945,0.986416,2909.986785,1123.528441,2910.486785,2972.971559,5.067642,-54.273471,846590.1241,1159.540107,730.108531,10361.11133,1197.680027,817.682992,6.123326,13.383154,13.334552,13.431756,46.83101,0.987069
3,lsc1m005-fa15-20190407-0060-e91.fits,3,0,58581.47802,2458581.478,2019,NaN,2458581.478,NaN,NaN,42,1.268427,7.211127,15,28,42,0.111295,0.157726,0.128433,0.170688,0.596274,0.135093,0.125605,0.000154,0.000193,0.000176,0.000201,0.000481,0.00018,0.000175,722.796197,815.999499,730.778924,849.536789,1240.611434,752.060567,719.532515,7578636.993,3081.482567,2010.270928,2016.299345,2010.770928,2080.200655,5.056417,-54.177935,843467.9809,706.858347,1115.417961,756.190065,9996.71875,1193.263098,682.569664,2570,6.090632,13.852641,13.616718,14.088564,59.742755,0.995214,1768.276945,2258.351304,1768.776945,1838.148696,5.053407,-54.15199,1032494.696,1183.051697,872.738442,11639.00391,1460.681196,685.409998,6.279448,13.929407,13.622949,14.235864,68.257495,0.996326,2347.6588,2511.689749,2348.1588,1584.810251,5.060511,-54.123955,862567.6031,1121.299212,769.257299,9615.205078,1220.283536,678.7302,6.555099,13.90729,13.517902,14.296679,64.639189,0.992189,2205.640274,2740.532711,2206.140274,1355.967289,5.058733,-54.099353,1104976.867,1207.307623,915.240529,11649.26758,1563.222492,683.336888,6.409409,14.023696,13.607612,14.439781,68.289936,0.993337,2267.270899,911.202883,2267.770899,3185.297117,5.059728,-54.297237,2830932.701,1685.539588,1679.540914,32913.78906,4004.950515,690.808912,5.902408,13.380932,13.499969,13.261895,38.950288,0.992796,2971.090927,935.513156,2971.590927,3160.986844,5.068424,-54.293737,901971.9426,1135.176192,794.565591,10864.55273,1276.029273,676.30981,6.093263,13.360229,13.39348,13.326979,43.748574,0.987008,2910.190581,1123.664618,2910.690581,2972.835382,5.067643,-54.273458,845693.184,1118.638094,756.00249,10060.11231,1196.411116,682.34361,5.911111,13.45536,13.478096,13.432623,44.130347,0.987603
4,lsc1m005-fa15-20190407-0061-e91.fits,4,0,58581.47881,2458581.479,2019,NaN,2458581.478,NaN,NaN,42,1.271113,7.280151,15,28,42,0.111332,0.158233,0.128532,0.171015,0.595665,0.134546,0.125568,0.00015,0.000188,0.000171,0.000196,0.000471,0.000174,0.000169,744.029043,839.556184,753.094524,873.085387,1265.207001,771.523873,743.07863,7564094.829,3002.780357,2010.253978,2016.114917,2010.753978,2080.385083,5.056418,-54.177947,842129.3837,706.858347,1081.352678,778.77403,9383.481445,1191.36937,572.934686,2681,5.984152,14.228412,14.052152,14.404672,58.771053,0.99713,1768.244181,2258.172162,1768.744181,1838.327838,5.053408,-54.152001,1033373.126,1149.939269,898.632783,11340.84863,1461.923921,575.933654,6.138084,14.294226,14.021195,14.567256,67.871497,0.997157,2347.530217,2511.475585,2348.030217,1585.024415,5.06051,-54.123972,861498.6399,1085.877318,793.366456,8794.368164,1218.771262,570.336225,6.873334,14.292548,13.885829,14.699266,66.308858,0.992946,2205.494549,2740.241056,2205.994549,1356.258944,5.058733,-54.099378,1104657.959,1173.627006,941.234271,11008.01856,1562.77133,573.826323,6.519261,14.386548,13.911151,14.861944,70.129255,0.992629,2267.230523,910.979053,2267.730523,3185.520947,5.059728,-54.29725,2823691.629,1661.773909,1699.203251,30357.69727,3994.706494,582.653039,5.98931,13.719714,13.839891,13.599537,38.451792,0.994023,2970.962773,935.371612,2971.462773,3161.128388,5.068423,-54.293742,897025.3513,1100.219249,815.315086,10580.72363,1269.031278,568.361667,6.317258,13.711835,13.813385,13.610286,41.079672,0.988212,2910.109329,1123.44306,2910.609329,2973.05694,5.067643,-54.273472,843848.1231,1079.733637,781.533606,9530.035156,1193.800889,571.905452,5.928532,13.818808,13.868043,13.769573,42.91236,0.990421
5,lsc1m005-fa15-20190407-0062-e91.fits,5,0,58581.4796,2458581.48,2019,NaN,2458581.479,NaN,NaN,42,1.2738,6.885956,15,28,42,0.111599,0.158117,0.128582,0.17074,0.596034,0.134444,0.125797,0.000146,0.000184,0.000167,0.000192,0.000463,0.00017,0.000165,764.574123,857.919885,770.24846,891.144007,1286.183872,791.156158,761.737215,7567975.855,2946.264187,2009.954005,2016.324623,2010.454005,2080.175377,5.056416,-54.177935,844575.6806,706.858347,1054.566584,800.874685,10120.59473,1194.830172,493.656742,2622,5.865185,13.996624,13.877935,14.115314,54.270174,0.997156,1767.982612,2258.382996,1768.482612,1838.117004,5.053406,-54.15199,1033252.294,1124.772598,918.632171,12174.0957,1461.752978,497.991057,5.641853,14.07011,13.881967,14.258254,62.663809,0.997862,2347.429768,2511.772844,2347.929768,1584.727156,5.06051,-54.123947,862238.7921,1062.19513,811.751785,9439.670898,1219.818363,490.40996,5.907545,14.054896,13.696841,14.412952,65.395896,0.993926,2205.346247,2740.554179,2205.846247,1355.945821,5.058732,-54.099352,1103707.557,1148.634905,960.886311,11474.72168,1561.426786,493.776666,6.004777,14.162274,13.759943,14.564605,69.845471,0.994458,2266.977459,911.150299,2267.477459,3185.349701,5.059728,-54.297244,2826237.661,1645.000788,1718.076783,33820.5,3998.308392,503.815641,5.807744,13.487922,13.680251,13.295593,34.995146,0.993057,2970.947129,935.454112,2971.447129,3161.045888,5.068426,-54.293741,896888.6104,1071.920485,836.711886,10613.58887,1268.837829,488.243098,5.928128,13.431331,13.527433,13.33523,41.269092,0.987859,2910.065506,1123.560049,2910.565506,2972.939951,5.067645,-54.273467,845650.9406,1054.844777,801.682825,9971.720703,1196.351354,492.68728,5.76631,13.531726,13.561942,13.50151,43.774606,0.989093
6,lsc1m005-fa15-20190407-0063-e91.fits,6,0,58581.48039,2458581.48,2019,NaN,2458581.48,NaN,NaN,42,1.276539,7.29593,15,28,42,0.111307,0.15772,0.12877,0.170962,0.596371,0.13419,0.125863,0.000143,0.000181,0.000164,0.000189,0.000458,0.000167,0.000162,777.256273,871.021172,786.946074,905.75995,1302.447334,805.108802,777.296048,7555455.095,2897.140059,2010.126301,2016.22011,2010.626301,2080.27989,5.056419,-54.177938,840974.1608,706.858347,1032.806064,814.261448,9047.533203,1189.735064,432.014274,2698,6.310195,14.085551,13.861043,14.310058,60.674768,0.996248,1768.126702,2258.322529,1768.626702,1838.177471,5.053409,-54.151987,1029302.702,1103.61588,932.663911,11077.88672,1456.165449,434.761351,6.304144,14.148784,13.868278,14.42929,66.540201,0.996633,2347.437484,2511.604292,2347.937484,1584.895708,5.060512,-54.123954,861928.6449,1038.435102,830.026492,8632.46582,1219.379595,427.705102,6.226106,14.219014,13.853039,14.58499,63.649279,0.992793,2205.431266,2740.366073,2205.931266,1356.133927,5.058735,-54.09936,1103105.962,1129.237465,976.85916,10876.36035,1560.575703,431.67443,6.502051,14.276897,13.839326,14.714467,68.565449,0.993018,2266.985672,911.156141,2267.485672,3185.343859,5.059729,-54.29724,2822560.957,1629.653218,1732.000971,31084.05664,3993.10692,439.970238,6.226233,13.591535,13.737989,13.445081,37.615559,0.992855,2970.922596,935.481457,2971.422596,3161.018543,5.068427,-54.293735,893911.204,1049.503407,851.746834,9848.443359,1264.62566,425.822793,6.494022,13.507694,13.528038,13.48735,44.220121,0.987754,2910.053177,1123.572249,2910.553177,2972.927751,5.067647,-54.273462,844645.6249,1031.84339,818.579286,9265.40918,1194.929123,430.213964,6.122805,13.602435,13.597496,13.607375,45.195391,0.988662
7,lsc1m005-fa15-20190407-0064-e91.fits,7,0,58581.48118,2458581.481,2019,NaN,2458581.481,NaN,NaN,42,1.279304,8.156089,15,28,42,0.111355,0.157077,0.128937,0.170381,0.598567,0.134995,0.12496,0.000141,0.000179,0.000162,0.000187,0.000456,0.000165,0.00016,787.994541,878.05505,797.110302,913.004191,1311.48626,817.268445,782.934094,7514908.262,2856.924223,2010.428326,2016.330388,2010.928326,2080.169612,5.056417,-54.177917,836819.2462,706.858347,1013.189467,825.925726,7507.14502,1183.857062,382.619559,2600,7.212737,14.35837,14.254573,14.462168,53.384418,0.997489,1768.408532,2258.433432,1768.908532,1838.066568,5.053406,-54.151967,1020171.475,1085.161897,940.10993,9068.261719,1443.247405,385.968336,7.080437,14.524462,14.305963,14.742961,64.408333,0.997697,2347.803101,2511.837592,2348.303101,1584.662408,5.06051,-54.123925,858287.1879,1020.294667,841.215009,7738.070312,1214.227987,380.048178,7.214365,14.436239,14.125057,14.747422,63.713646,0.994973,2205.772349,2740.490886,2206.272349,1356.009114,5.058733,-54.099344,1094002.674,1111.166997,984.552886,9875.551758,1547.697185,383.854753,7.153414,14.525799,14.141025,14.910573,68.488776,0.994756,2267.528918,911.055878,2268.028918,3185.444122,5.059729,-54.297236,2813880.153,1617.604204,1739.535633,26795.99414,3980.826094,391.735195,6.742875,13.843833,14.036034,13.651632,35.766114,0.992319,2971.494509,935.509582,2971.994509,3160.990418,5.068427,-54.293721,893816.3143,1032.858919,865.380836,8551.364258,1264.491419,377.612585,7.127739,13.798255,13.938054,13.658457,39.595587,0.988327,2910.609158,1123.581409,2911.109158,2972.918591,5.067646,-54.273451,834750.4586,1012.573682,824.384905,7963.183105,1180.930327,382.213669,7.265124,13.978386,14.070358,13.886414,41.010102,0.991016
8,lsc1m005-fa15-20190407-0065-e91.fits,8,0,58581.48197,2458581.482,2019,NaN,2458581.482,NaN,NaN,42,1.282072,8.380106,15,28,42,0.111525,0.157488,0.128776,0.171335,0.59619,0.134433,0.125582,0.000139,0.000177,0.000159,0.000185,0.000451,0.000163,0.000158,799.52272,891.11683,807.448936,927.281473,1323.134401,825.767376,795.897321,7517001.787,2826.09851,2010.310779,2016.27756,2010.810779,2080.22244,5.056418,-54.177943,838332.5351,706.858347,1000.050065,838.290566,7655.411133,1185.997928,343.52215,2583,7.011476,14.329408,14.106807,14.55201,62.596883,0.997095,1768.316777,2258.298708,1768.816777,1838.201292,5.053408,-54.152,1022765.992,1071.292151,954.703151,9443.210938,1446.917895,345.90169,6.999761,14.384028,14.027279,14.740777,71.1909,0.996083,2347.643348,2511.689129,2348.143348,1584.810871,5.060511,-54.123958,857576.6457,1006.159571,852.326679,7525.233887,1213.222776,341.126525,7.616532,14.397828,13.981377,14.814279,67.901091,0.9935,2205.70377,2740.594591,2206.20377,1355.905409,5.058735,-54.099347,1099539.011,1098.641953,1000.816516,9474.830078,1555.5295,343.82346,7.386137,14.457481,14.044984,14.869978,70.33602,0.994567,2267.216885,911.430397,2267.716885,3185.069603,5.059728,-54.297226,2807660.797,1606.706177,1747.463748,26198.73828,3972.027506,352.359268,7.154839,13.806872,13.928489,13.685255,38.56201,0.993751,2971.089977,935.660835,2971.589977,3160.839165,5.068426,-54.293734,890779.6999,1018.861589,874.289216,8564.916992,1260.195488,338.244284,7.193713,13.786795,13.779001,13.794589,45.300622,0.988391,2910.24353,1123.786898,2910.74353,2972.713102,5.067645,-54.273456,838679.6411,1000.105502,838.591168,7767.015137,1186.488983,342.309084,7.142197,13.921725,13.871765,13.971685,46.98978,0.989305
9,lsc1m005-fa15-20190407-0066-e91.fits,9,0,58581.48276,2458581.483,2019,NaN,2458581.482,NaN,NaN,42,1.284888,8.71744,15,28,42,0.111195,0.157481,0.128377,0.170239,0.598832,0.134502,0.12562,0.000138,0.000175,0.000158,0.000183,0.000449,0.000161,0.000156,807.442403,898.841275,814.217245,932.470206,1332.525273,834.595918,805.173416,7521362.474,2805.023033,2010.101968,2016.366315,2010.601968,2080.133685,5.056418,-54.17792,836338.3946,706.858347,987.709615,846.74522,7586.805176,1183.176796,313.664339,2660,7.459695,14.359244,14.173682,14.544807,59.470921,0.997148,1768.081121,2258.426601,1768.581121,1838.073399,5.053407,-54.151978,1023315.923,1062.550261,963.075311,9017.259766,1447.695889,316.841349,7.19149,14.388578,14.157844,14.619313,69.269827,0.998169,2347.635834,2512.084486,2348.135834,1584.415514,5.060512,-54.123905,855718.6792,995.591488,859.50783,7214.872559,1210.594291,311.579185,7.729833,14.393604,14.058146,14.729063,64.995249,0.994745,2205.580375,2740.760206,2206.080375,1355.739794,5.058735,-54.099323,1094160.701,1087.716399,1005.924615,8952.378906,1547.920747,315.581451,7.861941,14.545049,14.125797,14.9643,70.752551,0.994584,2267.029871,911.062718,2267.529871,3185.437282,5.059728,-54.297236,2817078.135,1602.857451,1757.53504,26317.20313,3985.350314,321.554582,7.110881,13.815341,13.976502,13.65418,35.595256,0.994765,2970.904299,935.458804,2971.404299,3161.041196,5.068425,-54.293721,891700.766,1008.758852,883.958306,8228.779297,1261.49853,309.111588,7.791563,13.77481,13.812237,13.737382,43.410018,0.990404,2910.073612,1123.622062,2910.573612,2972.877938,5.067645,-54.273443,839388.2693,988.971866,848.74838,8097.743164,1187.491487,313.438048,7.496573,13.843821,13.871047,13.816595,43.800251,0.991174
10,lsc1m005-fa15-20190407-0067-e91.fits,10,0,58581.48355,2458581.484,2019,NaN,2458581.483,NaN,NaN,42,1.287731,8.605142,15,28,42,0.111866,0.15757,0.128844,0.170676,0.596734,0.134612,0.125599,0.000137,0.000174,0.000157,0.000182,0.000446,0.00016,0.000155,816.808656,905.292619,822.371522,938.680719,1338.654461,842.250628,811.811346,7513139.108,2784.950706,2010.321911,2016.055495,2010.821911,2080.444505,5.056419,-54.177941,840462.3603,706.858347,980.662308,857.035448,7753.276367,1189.011014,290.25709,2670,7.25332,14.305694,14.114867,14.496521,59.488629,0.996969,1768.333654,2258.251696,1768.833654,1838.248304,5.053409,-54.151982,1022698.779,1054.143705,970.170171,8959.563477,1446.822809,293.966662,6.950988,14.449036,14.220082,14.677991,68.487211,0.998122,2347.611885,2511.548082,2348.111885,1584.951918,5.060511,-54.123947,857536.2486,987.307193,868.560722,7308.524902,1213.165625,288.716721,7.645482,14.488164,14.115749,14.860579,65.473155,0.993854,2205.630894,2740.463249,2206.130894,1356.036751,5.058734,-54.099338,1095363.317,1081.591866,1012.732577,9244.292969,1549.622102,292.514656,7.525303,14.576312,14.219526,14.933099,67.287926,0.995141,2267.265252,910.972855,2267.765252,3185.527145,5.05973,-54.297242,2807823.706,1594.777879,1760.636225,25193.62305,3972.257974,299.044183,7.253524,13.868973,14.040669,13.697276,36.165377,0.993348,2971.20952,935.289046,2971.70952,3161.210954,5.068428,-54.293736,891368.0281,998.784543,892.452766,8179.304688,1261.027803,284.952988,7.457714,13.894406,13.964106,13.824706,42.117626,0.990024,2910.397708,1123.429647,2910.897708,2973.070353,5.067648,-54.273458,838349.0293,979.401846,855.98065,7665.855469,1186.021263,288.598729,7.432224,13.998085,14.033927,13.962243,43.446035,0.991079
