 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8
1,coj1m011-fa12-20190425-0058-e91.fits,1,0,58598.85309,2458598.853,2019,NaN,2458598.855,NaN,NaN,1.056576,79.976,5.09593,10,18,27,0.143011,0.082419,0.191012,0.188513,0.319324,0.211716,0.15261,0.151868,0.000249,0.00021,0.000315,0.000313,0.000429,0.000332,0.000281,0.000281,574.522356,392.349211,605.998887,602.537988,745.018867,637.74035,542.564835,540.864147,3670512.045,2203.972511,2085.063424,2099.00486,2085.563424,1997.49514,8.939283,-12.930649,524924.8865,314.159265,857.58353,612.097677,16800.51172,1670.887809,867.379717,1103,5.025517,7.825861,7.321031,8.330692,285.792699,0.977252,2074.193892,2060.072889,2074.693892,2036.427111,8.939206,-12.934873,302520.0284,749.345301,403.712451,9723.294922,962.951158,867.92363,5.043553,7.907021,7.399794,8.414248,285.962354,0.977337,2238.62587,2222.925093,2239.12587,1873.574907,8.940409,-12.917057,588667.933,891.859377,660.045685,17531,1873.788228,870.741833,5.466665,7.889481,7.422235,8.356727,286.642784,0.980063,2434.316704,2417.145072,2434.816704,1679.354928,8.941841,-12.895809,582188.2601,888.263535,655.422898,17337.0957,1853.162788,875.758595,4.966093,7.860106,7.344909,8.375302,286.647989,0.975612,1449.944882,1553.266985,1450.444882,2543.233015,8.934628,-12.990442,888397.1323,1015.795486,874.582674,28630.42578,2827.855901,864.045006,5.148018,7.833914,7.360457,8.307371,283.476708,0.981745,2718.475556,1360.7773,2718.975556,2735.7227,8.944033,-13.009729,641327.6594,911.476568,703.613984,18114.82813,2041.409343,862.244034,5.056941,7.829637,7.303113,8.35616,283.938924,0.977057,2163.082778,1208.239406,2163.582778,2888.260594,8.939934,-13.026911,485991.2981,840.020572,578.546901,15332.01563,1546.958348,862.71614,5.182376,7.880852,7.332005,8.4297,282.675434,0.976473,1739.538818,2555.048325,1740.038818,1541.451675,8.936689,-12.881732,483939.7617,839.526659,576.44359,14629.82715,1540.428105,865.822639,4.878277,7.830443,7.309442,8.351444,285.86952,0.975732
2,coj1m011-fa12-20190425-0059-e91.fits,2,0,58598.85433,2458598.854,2019,NaN,2458598.857,NaN,NaN,1.055956,79.972,6.117654,10,18,27,0.144168,0.082641,0.19047,0.189246,0.318618,0.211699,0.153115,0.151738,0.000243,0.000201,0.000305,0.000304,0.000417,0.000323,0.000273,0.000272,594.007348,410.343028,624.247407,622.308168,763.859894,655.980537,561.477095,557.579589,3656084.073,2131.986732,2084.942743,2098.650425,2085.442743,1997.849575,8.939284,-12.930653,527089.89,314.159265,832.412055,633.207901,14783.57227,1677.779229,715.846915,1066,5.333445,8.038071,7.646806,8.429336,284.791953,0.987527,2074.053118,2059.682938,2074.553118,2036.817062,8.939206,-12.934881,302141.6349,714.924381,422.62041,8661.029297,961.746694,716.569717,5.324237,8.063925,7.673248,8.454603,285.481523,0.987291,2238.538617,2222.511775,2239.038617,1873.988225,8.94041,-12.917068,584956.3049,860.247573,679.985999,15806.82715,1861.973748,719.970536,5.792202,8.006922,7.603224,8.41062,284.480326,0.986785,2434.250432,2416.810103,2434.750432,1679.689897,8.941841,-12.895811,581795.5345,858.876226,677.391593,15696.08984,1851.912704,723.797961,5.389737,8.093004,7.684567,8.501441,283.715931,0.987133,1449.888324,1552.852446,1450.388324,2543.647554,8.934629,-12.990453,883419.4831,987.469253,894.629864,23769.12109,2812.011551,714.828814,5.595192,8.087368,7.700945,8.473792,277.874139,0.990187,2718.316567,1360.336238,2718.816567,2736.163762,8.944033,-13.009741,638764.9192,882.849634,723.526289,16469.9707,2033.251887,711.477996,5.671526,8.072586,7.591683,8.553488,280.532327,0.983814,2162.972653,1207.830021,2163.472653,2888.669979,8.939935,-13.02692,485469.1733,810.190695,599.20359,12956.72363,1545.296373,713.816257,5.618847,8.071649,7.594255,8.549044,280.806517,0.983924,1739.312498,2554.774661,1739.812498,1541.725339,8.936689,-12.881729,481678.6584,810.398175,594.372832,13258.66016,1533.230789,716.174157,5.120117,8.04483,7.71966,8.37,287.070282,0.990491
3,coj1m011-fa12-20190425-0060-e91.fits,3,0,58598.85558,2458598.856,2019,NaN,2458598.858,NaN,NaN,1.055399,79.976,6.174064,10,18,27,0.143136,0.082142,0.189953,0.189091,0.318665,0.211921,0.153194,0.152052,0.000236,0.000195,0.000297,0.000297,0.000409,0.000316,0.000266,0.000265,606.373057,422.161345,638.83511,636.179381,778.606686,670.296356,575.40685,573.710832,3657704.117,2085.392457,2084.94579,2098.727662,2085.44579,1997.772338,8.939283,-12.930659,523549.5037,314.159265,810.172995,646.219397,14961.37207,1666.509829,617.431875,1139,5.426476,8.025343,7.539069,8.511618,284.775514,0.980736,2074.069288,2059.788195,2074.569288,2036.711805,8.939206,-12.934885,300450.6905,690.77397,434.947904,8734.005859,956.364251,619.080278,5.307172,8.052588,7.542962,8.562214,284.365264,0.979331,2238.518023,2222.581161,2239.018023,1873.918839,8.940409,-12.917074,583882.9638,838.951664,695.967347,15797.48633,1858.557197,620.96034,5.755828,8.019893,7.533385,8.506401,284.120646,0.981172,2434.251158,2416.844616,2434.751158,1679.655384,8.941841,-12.89582,581652.2266,840.037002,692.412626,16182.76172,1851.45654,623.055341,5.092487,8.048126,7.557506,8.538745,285.18305,0.98018,1449.812099,1552.964394,1450.312099,2543.535606,8.934628,-12.990458,883909.825,971.040211,910.271084,25353.76563,2813.572358,615.489558,5.538267,8.007462,7.588507,8.426417,282.692878,0.986658,2718.42377,1360.410398,2718.92377,2736.089602,8.944033,-13.009749,639600.6067,865.348862,739.124571,16881.05469,2035.911963,611.060272,5.415135,7.999544,7.475866,8.523221,282.936234,0.979007,2162.966839,1207.869569,2163.466839,2888.630431,8.939935,-13.026933,485902.0768,791.023712,614.269925,13567.28809,1546.674348,613.958134,5.483862,8.064362,7.554272,8.574453,281.175625,0.98144,1739.372748,2554.710999,1739.872748,1541.789001,8.936689,-12.881749,482756.4181,788.602169,612.167246,12878.54395,1536.661405,617.141458,5.255634,8.078921,7.613977,8.543866,285.453145,0.982123
4,coj1m011-fa12-20190425-0061-e91.fits,4,0,58598.85682,2458598.857,2019,NaN,2458598.859,NaN,NaN,1.054898,79.992,6.032629,10,18,27,0.144015,0.082257,0.190641,0.188963,0.319198,0.212036,0.152433,0.151777,0.000233,0.00019,0.000293,0.000292,0.000404,0.000311,0.000261,0.00026,618.727529,431.829217,649.650316,646.765634,789.379353,681.670357,584.622505,583.467259,3664499.783,2056.24655,2084.961307,2098.876234,2085.461307,1997.623766,8.939283,-12.930658,527743.5699,314.159265,799.893806,659.767042,15352.37305,1679.859957,552.354638,1129,5.27299,8.012629,7.580078,8.44518,291.029435,0.978976,2074.072352,2059.91519,2074.572352,2036.58481,8.939206,-12.934885,301430.2908,677.229028,445.093578,9190.171875,959.482415,553.319235,5.100351,7.994217,7.562446,8.425988,289.443987,0.980853,2238.545441,2222.742028,2239.045441,1873.757972,8.940409,-12.917072,586746.7423,828.868349,707.888947,15665.65234,1867.672888,557.129883,5.748468,7.990199,7.553646,8.426751,291.373502,0.97799,2434.248532,2416.99527,2434.748532,1679.50473,8.941841,-12.89582,582402.5773,827.244545,704.027099,16732.64258,1853.844981,559.16418,4.998411,8.000481,7.570246,8.430717,290.692716,0.979569,1449.843986,1553.099249,1450.343986,2543.400751,8.934628,-12.990456,886676.6673,961.860926,921.834584,25893.10742,2822.37949,551.177624,5.43847,7.977606,7.583501,8.371712,288.215457,0.984993,2718.417215,1360.542195,2718.917215,2735.957805,8.944033,-13.00975,641075.0199,852.662514,751.850832,17338.58398,2040.605166,547.340706,5.190081,7.969016,7.498789,8.439244,286.250525,0.980555,2162.975346,1208.015855,2163.475346,2888.484145,8.939934,-13.026931,484704.5657,776.634234,624.109194,14017.91895,1542.862551,550.615155,5.397417,7.998006,7.521172,8.47484,286.364697,0.980051,1739.458079,2554.890814,1739.958079,1541.609186,8.93669,-12.881744,482894.2106,775.514707,622.675762,13919.14844,1537.100012,551.67389,4.940783,7.97158,7.576257,8.366903,292.609259,0.980271
5,coj1m011-fa12-20190425-0062-e91.fits,5,0,58598.85806,2458598.858,2019,NaN,2458598.86,NaN,NaN,1.054454,80.032,5.844389,10,18,27,0.144167,0.082216,0.191392,0.188903,0.317717,0.211602,0.153037,0.152051,0.00023,0.000187,0.000291,0.00029,0.0004,0.000308,0.000258,0.000258,625.976999,438.654098,657.274345,652.212359,793.956826,686.795975,592.22754,590.097438,3656871.096,2033.749811,2084.868876,2098.875947,2085.368876,1997.624053,8.939284,-12.93066,527198.827,314.159265,789.517538,667.748088,15732.18652,1678.125986,506.356031,1119,5.159672,8.036162,7.599093,8.473231,289.055063,0.981001,2074.000919,2059.914364,2074.500919,2036.585636,8.939206,-12.934888,300653.5715,664.691788,452.320274,9206.405273,957.010041,509.149225,5.067267,8.028716,7.545434,8.511997,287.151641,0.978914,2238.476862,2222.811633,2238.976862,1873.688367,8.94041,-12.917067,587460.8071,819.726887,716.654311,16326.49414,1869.945827,508.609215,4.759848,8.008914,7.543034,8.474794,287.760162,0.979706,2434.167445,2416.993631,2434.667445,1679.506369,8.941841,-12.895823,581034.6705,818.508495,709.870056,16636.18164,1849.490798,512.76663,4.894535,8.07738,7.617937,8.536823,287.201008,0.981113,1449.747329,1553.127648,1450.247329,2543.372352,8.934628,-12.990454,881714.6451,952.551862,925.634268,26567.50391,2806.584883,503.624216,5.573097,7.989435,7.538186,8.440684,284.295493,0.983555,2718.293837,1360.59821,2718.793837,2735.90179,8.944033,-13.009747,638658.6819,843.438942,757.207961,17659.75977,2032.913723,499.98116,5.064511,8.027112,7.525399,8.528825,284.290614,0.979893,2162.908738,1208.043297,2163.408738,2888.456703,8.939935,-13.02693,485357.6121,767.183573,632.648599,14765.2627,1544.941263,502.222945,5.296512,8.028143,7.52831,8.527977,284.188368,0.980125,1739.345472,2554.932563,1739.845472,1541.567437,8.93669,-12.881741,482644.6797,766.103803,629.999065,13818.20606,1536.305731,505.919109,4.907041,8.045934,7.59948,8.492389,289.654988,0.979554
6,coj1m011-fa12-20190425-0063-e91.fits,6,0,58598.8593,2458598.859,2019,NaN,2458598.862,NaN,NaN,1.054067,80.028,5.797431,10,18,27,0.144158,0.083,0.190488,0.18926,0.318482,0.211284,0.153548,0.151755,0.000229,0.000187,0.000289,0.000288,0.000399,0.000307,0.000257,0.000256,629.87553,444.996756,659.06534,657.36346,797.739385,688.689282,596.805792,592.557698,3647289.236,2018.485344,2085.065633,2098.867724,2085.565633,1997.632276,8.939283,-12.930648,525787.211,314.159265,782.389696,672.027269,15397.28223,1673.632673,478.083937,1086,4.96742,8.153716,7.64058,8.666852,284.730728,0.979267,2074.220196,2059.918457,2074.720196,2036.581543,8.939206,-12.934875,302724.4046,659.332545,459.137664,9015.251953,963.601708,477.278693,4.875895,8.163386,7.619665,8.707108,283.480171,0.977861,2238.704292,2222.729924,2239.204292,1873.770076,8.940409,-12.917064,583596.8004,812.535178,718.241888,16600.40039,1857.646311,480.829494,5.219669,8.118429,7.589074,8.647784,284.256316,0.978161,2434.448264,2417.015773,2434.948264,1679.484227,8.941841,-12.895809,580432.4276,810.703857,715.961103,16310.55273,1847.5738,483.220293,4.890138,8.142725,7.591768,8.693681,284.699432,0.976093,1449.938937,1553.058897,1450.438937,2543.441103,8.934628,-12.990448,881009.9206,947.328752,929.993858,26570.58008,2804.341676,476.806508,5.129935,8.108608,7.618857,8.598359,279.969559,0.983607,2718.581642,1360.547722,2719.081642,2735.952278,8.944033,-13.009736,636195.2944,838.367926,758.849754,16761.39063,2025.072518,472.086118,5.622453,8.128333,7.575228,8.681438,281.955152,0.978042,2163.093815,1207.99882,2163.593815,2888.50118,8.939934,-13.026919,485489.2458,761.149379,637.837013,14269.58398,1545.360266,473.343218,5.081328,8.161137,7.580965,8.741308,280.727733,0.976897,1739.559519,2554.929727,1740.059519,1541.570273,8.936689,-12.881731,480565.5468,759.728902,632.548723,14001.19043,1529.687645,476.906062,4.748224,8.137007,7.645585,8.628429,285.923575,0.979928
7,coj1m011-fa12-20190425-0064-e91.fits,7,0,58598.86054,2458598.861,2019,NaN,2458598.863,NaN,NaN,1.053737,79.972,5.956942,10,18,27,0.143442,0.08225,0.190736,0.189145,0.319776,0.211367,0.1527,0.151414,0.000227,0.000185,0.000288,0.000287,0.000399,0.000305,0.000256,0.000255,630.581762,444.066478,662.216782,659.231696,801.402957,693.230642,597.491165,594.676122,3647266.983,2009.98341,2084.912385,2098.997471,2085.412385,1997.502529,8.939283,-12.930651,523170.8296,314.159265,777.956259,672.493889,14707.5918,1665.304472,462.736431,1121,5.333494,8.202356,7.739081,8.66563,287.130399,0.981438,2074.042355,2060.053909,2074.542355,2036.446091,8.939206,-12.934877,299988.7678,655.00801,457.992518,8695.785156,954.893905,464.793074,5.14544,8.181641,7.68415,8.679133,286.536689,0.979093,2238.481352,2222.873751,2238.981352,1873.626249,8.940409,-12.917065,584231.8702,809.444292,721.76909,15290.74316,1859.667801,466.154105,5.01254,8.175993,7.660181,8.691804,285.754935,0.978269,2434.209224,2417.123652,2434.709224,1679.376348,8.941841,-12.895813,580133.4736,808.245486,717.7689,16083.14941,1846.6222,468.469659,5.127267,8.212106,7.702697,8.721515,286.582057,0.978204,1449.895056,1553.224218,1450.395056,2543.275782,8.934629,-12.990448,883717.8643,945.676682,934.482028,24673.24023,2812.961328,460.347978,5.515723,8.180689,7.719325,8.642053,284.009903,0.983778,2718.318619,1360.70091,2718.818619,2735.79909,8.944032,-13.009738,636399.5254,832.609388,764.343442,16449.22656,2025.722605,456.422065,5.380815,8.187944,7.63091,8.744978,283.935766,0.976527,2162.926218,1208.205651,2163.426218,2888.294349,8.939934,-13.026916,483160.1002,757.014713,638.244002,13477.03711,1537.946365,457.442559,5.373034,8.248997,7.742726,8.755268,285.556526,0.979599,1739.408343,2555.038485,1739.908343,1541.461515,8.936689,-12.881736,479624.1494,755.617908,634.744286,13020.02832,1526.691084,464.086555,4.969791,8.236624,7.752547,8.720701,288.577951,0.978398
8,coj1m011-fa12-20190425-0065-e91.fits,8,0,58598.86179,2458598.862,2019,NaN,2458598.864,NaN,NaN,1.053464,80.08,5.753132,10,18,27,0.143726,0.082131,0.190937,0.188692,0.318976,0.21182,0.152736,0.151816,0.000228,0.000185,0.000288,0.000286,0.000398,0.000305,0.000255,0.000254,631.347576,444.397138,663.534228,658.641375,801.992787,693.37101,599.085936,596.571954,3651241.993,2009.956983,2084.980611,2098.892453,2085.480611,1997.607547,8.939283,-12.930646,524778.9774,314.159265,779.389112,673.320899,15808.53516,1670.423366,459.191415,1110,4.988869,8.145777,7.687083,8.604471,286.392958,0.982168,2074.114592,2059.909341,2074.614592,2036.590659,8.939205,-12.934876,299880.4324,654.299193,458.323097,9184.579102,954.549063,461.094641,4.855163,8.135569,7.638485,8.632652,285.002803,0.980235,2238.601957,2222.746168,2239.101957,1873.753832,8.940409,-12.917062,585385.5484,809.265775,723.353893,16190.69434,1863.340073,462.376779,5.452599,8.155146,7.645264,8.665027,285.564367,0.978827,2434.336099,2416.967511,2434.836099,1679.532489,8.941841,-12.895814,579595.1984,808.587616,716.799499,16376.74219,1844.908817,462.206629,4.794548,8.180237,7.666174,8.694299,285.450009,0.978714,1449.86793,1553.094985,1450.36793,2543.405015,8.934628,-12.990445,883002.1318,944.419276,934.968349,26245.17969,2810.683081,457.214718,5.190321,8.178684,7.698677,8.658691,282.710812,0.983225,2718.43581,1360.534931,2718.93581,2735.965069,8.944032,-13.009738,638217.4407,835.022159,764.311981,17100.78516,2031.509209,452.957918,4.987991,8.118286,7.57707,8.659501,282.505881,0.978544,2163.014614,1208.061358,2163.514614,2888.438642,8.939934,-13.026913,483785.7742,755.778272,640.116013,14588.79004,1539.937947,453.584897,5.036435,8.193289,7.656549,8.730029,280.538854,0.980452,1739.514439,2554.898754,1740.014439,1541.601246,8.936689,-12.881735,481255.8994,755.520663,636.985754,13289.64063,1531.885106,458.31418,4.762187,8.190278,7.691805,8.688751,287.719406,0.977843
9,coj1m011-fa12-20190425-0066-e91.fits,9,0,58598.86304,2458598.863,2019,NaN,2458598.865,NaN,NaN,1.053245,79.976,5.914918,10,18,27,0.143254,0.082642,0.191089,0.188913,0.318045,0.211224,0.153695,0.15176,0.000227,0.000185,0.000288,0.000287,0.000397,0.000305,0.000256,0.000255,629.837319,446.573508,663.503521,659.001797,801.120525,693.11736,600.468096,595.661784,3646839.284,2008.039845,2084.901655,2098.767356,2085.401655,1997.732644,8.939283,-12.930639,522424.0506,314.159265,777.980533,671.513011,15191.61914,1662.927401,457.387223,1060,5.049684,8.209041,7.608169,8.809913,280.153367,0.975894,2074.014796,2059.828904,2074.514796,2036.671096,8.939206,-12.934864,301380.6185,654.152586,460.719142,9028.291992,959.324304,458.148835,5.125365,8.210401,7.615515,8.805286,280.405008,0.976218,2238.45621,2222.614648,2238.95621,1873.885352,8.940409,-12.917056,585070.6715,808.829274,723.354965,15577.80176,1862.337789,460.746741,4.850587,8.203364,7.588171,8.818556,281.322277,0.973884,2434.197179,2416.833921,2434.697179,1679.666079,8.941841,-12.895809,579465.8562,807.818192,717.322117,16273.49805,1844.497107,462.181793,4.936963,8.234341,7.63775,8.830932,281.359232,0.975579,1449.773182,1552.964154,1450.273182,2543.535846,8.934628,-12.990436,879984.0815,942.648936,933.522595,25149.54883,2801.076328,455.033195,5.55127,8.195146,7.622334,8.767958,275.866076,0.979813,2718.321491,1360.413286,2718.821491,2736.086714,8.944032,-13.009728,635967.7352,832.410461,764.00738,16657.0957,2024.348174,450.596118,5.67002,8.163666,7.496833,8.830499,278.194709,0.971386,2162.882725,1207.911035,2163.382725,2888.588965,8.939934,-13.026906,485830.4256,756.904292,641.865069,13786.81738,1546.446275,452.893287,5.531708,8.240911,7.614909,8.866913,277.744951,0.97543,1739.357437,2554.761787,1739.857437,1541.738213,8.936689,-12.881731,480520.5143,755.678961,635.879175,13555.40918,1529.544302,454.928392,4.850617,8.207512,7.638275,8.776748,282.159592,0.977051
10,coj1m011-fa12-20190425-0067-e91.fits,10,0,58598.86428,2458598.864,2019,NaN,2458598.867,NaN,NaN,1.053084,79.976,6.119673,10,18,27,0.143465,0.082092,0.190492,0.189598,0.318568,0.211896,0.152826,0.151535,0.000227,0.000184,0.000287,0.000286,0.000397,0.000305,0.000255,0.000254,632.52312,446.754847,664.130026,661.826818,802.545668,695.752708,600.254643,596.998117,3653935.014,2007.455637,2084.836826,2098.748023,2085.336826,1997.751977,8.939283,-12.930652,524211.6712,314.159265,777.112692,674.56326,14398.0791,1668.617574,453.692704,1084,5.244789,8.175062,7.667134,8.682991,286.277161,0.978432,2073.938409,2059.793565,2074.438409,2036.706435,8.939206,-12.934879,299957.9302,650.876794,460.852089,8367.495117,954.795746,454.381028,5.263094,8.201538,7.695285,8.707792,284.685984,0.980083,2238.379928,2222.594067,2238.879928,1873.905933,8.940409,-12.917069,584670.1405,807.755006,723.821129,15243.49512,1861.062859,456.902259,5.159479,8.183,7.658158,8.707842,284.348198,0.978789,2434.150108,2416.930015,2434.650108,1679.569985,8.941841,-12.895809,582364.115,808.016245,720.733177,15556.5752,1853.722552,459.087057,5.194461,8.214288,7.706202,8.722374,286.191473,0.978704,1449.708033,1553.082662,1450.208033,2543.417338,8.934628,-12.990437,882796.737,944.186747,934.981072,24066.91602,2810.029289,450.683479,5.954406,8.180673,7.709855,8.651491,282.578213,0.983935,2718.229187,1360.585738,2718.729187,2735.914262,8.944033,-13.009725,638879.1161,832.697726,767.240135,16579.04883,2033.615387,446.941692,5.266672,8.156844,7.587709,8.72598,281.912952,0.976954,2162.839655,1208.029803,2163.339655,2888.470197,8.939935,-13.026909,484389.4737,755.252992,641.360549,13352.12109,1541.859583,448.387395,5.843542,8.216144,7.697305,8.734984,282.773226,0.98056,1739.265066,2554.756037,1739.765066,1541.743963,8.936689,-12.88174,480835.4316,754.478983,637.30792,12982.4375,1530.546715,451.475203,5.116028,8.229318,7.738564,8.720071,287.055882,0.979395
