 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD-OBS,EXPTIME,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
1,cpt1m013-fa14-20190616-0074-e91.fits,1,0,58651.22968,2458651.23,2458651.23,60.068,1.108846,5.675489,10,21,32,0.090065,0.182799,0.590575,0.088672,0.646649,0.000246,0.000347,0.000758,0.000261,0.000823,366.123197,527.463777,778.881275,339.224039,785.927259,2965758.411,1882.119472,2030.581295,2060.390649,2031.081295,2036.109351,11.046012,-16.406471,267110.1279,314.159265,709.597374,376.42491,7330.745117,850.237944,847.26593,1560,5.675141,8.267872,8.43659,8.099155,327.83846,0.991135,1515.26201,1555.296103,1515.76201,2541.203897,11.042107,-16.352275,458351.4964,811.637644,564.724295,12067.81836,1458.978127,849.026758,5.529343,8.2236,8.45165,7.995551,333.064857,0.991165,1025.677028,1315.386064,1026.177028,2781.113936,11.038412,-16.326736,1101175.751,1082.639528,1017.121325,27229.0625,3505.15128,849.967908,5.654008,8.295173,8.579456,8.01089,344.390582,0.993591,2035.583907,1360.852136,2036.083907,2735.647864,11.046006,-16.330774,241559.7729,694.999766,347.568136,6829.0625,768.908638,846.75662,5.615185,8.294926,8.378259,8.211593,321.436435,0.991868,1556.320939,3068.632353,1556.820939,1027.867647,11.042507,-16.515988,1164671.391,1108.370434,1050.796155,27849.58008,3707.264178,866.499881,5.90377,8.316465,8.653719,7.979212,338.652474,0.987863
2,cpt1m013-fa14-20190616-0075-e91.fits,2,0,58651.23069,2458651.231,2458651.231,60.072,1.111247,6.877075,10,21,32,0.09038,0.181762,0.592235,0.088539,0.647189,0.00024,0.000337,0.000744,0.000254,0.000806,377.159639,539.308489,795.967652,348.005271,803.178192,3040308.652,1887.118734,2030.515314,2060.28071,2031.015314,2036.21929,11.046012,-16.406469,274783.6605,314.159265,708.315254,387.939775,7505.587891,874.663557,814.211835,1599,5.604586,8.267039,8.491021,8.043057,330.182813,0.988527,1515.226103,1555.126438,1515.726103,2541.373562,11.042107,-16.352266,467616.6181,809.826405,577.428218,12007.37305,1488.469925,815.128818,5.694963,8.309171,8.583069,8.035273,336.356544,0.990575,1025.665595,1315.253377,1026.165595,2781.246623,11.038412,-16.32673,1130848.763,1088.585192,1038.824312,27314.06445,3599.603411,822.162847,5.709138,8.371975,8.697927,8.046023,345.748467,0.992172,2035.565929,1360.665075,2036.065929,2735.834925,11.046006,-16.330763,247290.1165,693.393625,356.637424,6740.536133,787.148888,818.395849,5.738005,8.368196,8.544078,8.192314,327.931125,0.990722,1556.247499,3068.567967,1556.747499,1027.932033,11.042507,-16.515992,1194553.154,1113.366907,1072.91958,27402.92578,3802.380785,827.952581,5.963193,8.41218,8.804504,8.019856,340.129796,0.98535
3,cpt1m013-fa14-20190616-0076-e91.fits,3,0,58651.23169,2458651.232,2458651.232,60.072,1.113694,6.952684,10,21,32,0.089923,0.181841,0.590453,0.088684,0.648613,0.000226,0.000322,0.000715,0.000241,0.000777,397.174652,564.899507,826.273872,368.178596,834.386808,3171826.876,1892.15285,2030.459673,2060.362957,2030.959673,2036.137043,11.046012,-16.406472,285221.3682,314.159265,697.677631,408.815412,8016.771484,907.887813,740.264819,1574,5.517224,8.22099,8.432299,8.00968,330.936987,0.990535,1515.184539,1555.233326,1515.684539,2541.266674,11.042107,-16.352271,488026.0287,805.879074,605.582208,12994.13965,1553.435097,743.912922,5.421569,8.249939,8.497203,8.002676,336.004655,0.991992,1025.621025,1315.33228,1026.121025,2781.16772,11.038412,-16.326731,1177535.607,1096.228378,1074.169973,29887.66406,3748.212249,747.557543,5.547191,8.27977,8.581679,7.977861,346.409689,0.993297,2035.500796,1360.780478,2036.000796,2735.719522,11.046006,-16.330768,258375.389,684.104557,377.684063,7175.228516,822.434407,743.033044,5.620945,8.295879,8.43464,8.157117,324.89279,0.990239,1556.24907,3068.581405,1556.74907,1027.918595,11.042507,-16.515989,1247889.852,1122.980687,1111.23002,30297.11133,3972.156768,755.279755,5.779415,8.327868,8.698141,7.957595,340.47349,0.986939
4,cpt1m013-fa14-20190616-0077-e91.fits,4,0,58651.23269,2458651.233,2458651.233,60.072,1.116178,6.711635,10,21,32,0.089937,0.181821,0.591459,0.088599,0.647768,0.000238,0.000336,0.000741,0.000254,0.000804,377.240178,540.947368,798.296581,349.048704,805.757678,3071424.748,1900.630824,2030.54139,2060.195904,2031.04139,2036.304096,11.046012,-16.406468,276235.2333,314.159265,712.021633,387.959046,8508.322266,879.284057,833.765679,1568,5.124414,7.916786,8.106736,7.726836,330.893078,0.99171,1515.276851,1555.086693,1515.776851,2541.413307,11.042107,-16.352271,472532.8288,815.86466,579.180411,14073.10645,1504.11871,835.409616,5.245666,7.923646,8.167835,7.679456,339.607155,0.993386,1025.692529,1315.197331,1026.192529,2781.302669,11.038412,-16.326734,1141481.435,1095.930248,1041.563947,32959.56641,3633.448255,836.506453,5.218989,7.988415,8.269625,7.707205,346.727578,0.993822,2035.580826,1360.623584,2036.080826,2735.876416,11.046006,-16.330766,249976.322,698.834035,357.704847,7899.160645,795.699346,835.683173,5.345867,8.033256,8.136073,7.93044,323.191128,0.991766,1556.316394,3068.471504,1556.816394,1028.028496,11.042507,-16.515991,1207434.162,1121.307393,1076.809241,32386.15625,3843.382308,849.557321,5.670557,8.030896,8.325129,7.736664,341.359854,0.991542
5,cpt1m013-fa14-20190616-0078-e91.fits,5,0,58651.23369,2458651.234,2458651.234,60.064,1.118718,6.849572,10,21,32,0.089871,0.1821,0.592295,0.088458,0.646654,0.000248,0.000348,0.000762,0.000265,0.000824,361.985604,523.854367,777.733897,334.235881,784.975661,3005907.408,1912.47526,2030.564571,2060.343322,2031.064571,2036.156678,11.046012,-16.40648,270143.5287,314.159265,726.220559,371.985515,8071.309082,859.893559,917.797632,1630,5.475386,8.070935,8.258114,7.883755,331.971016,0.993106,1515.309285,1555.220852,1515.809285,2541.279148,11.042106,-16.352284,463052.6161,826.251597,560.425684,12828.12109,1473.942255,915.594002,5.344079,8.096412,8.333707,7.859117,335.67821,0.992143,1025.756984,1315.34747,1026.256984,2781.15253,11.038412,-16.32675,1118124.54,1098.778809,1017.606575,29772.93359,3559.100952,917.007316,5.427966,8.12203,8.389991,7.854068,346.668363,0.99456,2035.569899,1360.7884,2036.069899,2735.7116,11.046005,-16.330782,244287.2215,713.832603,342.219199,7337.29541,777.590377,917.367967,5.530465,8.128978,8.226787,8.03117,322.838046,0.99207,1556.381733,3068.521456,1556.881733,1027.978544,11.042507,-16.515991,1180443.03,1121.605127,1052.45866,29510.73047,3757.466864,929.989234,5.758328,8.190915,8.47662,7.905211,340.257333,0.99185
6,cpt1m013-fa14-20190616-0079-e91.fits,6,0,58651.2347,2458651.235,2458651.235,60.12,1.121307,6.490427,10,21,32,0.089748,0.182308,0.589874,0.088575,0.648577,0.000265,0.000368,0.000797,0.000283,0.000868,338.315203,494.875976,740.50709,313.177138,747.453261,2841953,1902.520464,2030.4978,2060.289219,2030.9978,2036.210781,11.046012,-16.406472,255060.5556,314.159265,734.323749,347.340742,8679.083984,811.882964,994.146233,1500,4.960858,7.735396,7.912393,7.558399,331.665818,0.993071,1515.247378,1555.116141,1515.747378,2541.383859,11.042107,-16.352266,438220.2012,828.648062,528.837538,13798.35254,1394.898224,993.241793,5.073113,7.801643,8.065351,7.537934,339.896316,0.992182,1025.669576,1315.247186,1026.169576,2781.252814,11.038412,-16.326731,1054419.696,1085.345154,971.506337,31790.02734,3356.322133,998.799849,5.083902,7.832969,8.110559,7.555379,348.150633,0.994024,2035.505896,1360.700997,2036.005896,2735.799003,11.046006,-16.330766,231242.8044,721.727037,320.402025,8019.331543,736.068708,997.338536,5.052666,7.81024,7.975565,7.644915,328.161721,0.990893,1556.286024,3068.511047,1556.786024,1027.988953,11.042508,-16.515992,1118070.299,1110.88365,1006.469308,31241.1582,3558.928296,1000.947325,5.432025,7.918819,8.211458,7.626179,342.935924,0.99205
7,cpt1m013-fa14-20190616-0080-e91.fits,7,0,58651.2357,2458651.236,2458651.236,60.072,1.123955,6.623033,10,21,32,0.090013,0.182634,0.590536,0.08813,0.648254,0.000233,0.000329,0.000726,0.000246,0.00079,386.97674,554.516582,812.939013,357.872902,820.759707,3130645.224,1900.064664,2030.488144,2060.403546,2030.988144,2036.096454,11.046012,-16.406476,281797.6012,314.159265,707.833548,398.112808,8847.259766,896.989624,796.525376,1556,5.373253,7.856287,8.070571,7.642003,334.491108,0.992492,1515.244704,1555.260623,1515.744704,2541.239377,11.042107,-16.352276,483464.1652,813.514008,594.291138,14379.54004,1538.914234,796.040642,5.130491,7.871179,8.124598,7.61776,339.961457,0.992933,1025.671952,1315.372458,1026.171952,2781.127542,11.038412,-16.32674,1162348.978,1098.124959,1058.485164,33384.32813,3699.87171,797.091775,5.238322,7.86649,8.159405,7.573575,350.15393,0.993761,2035.523811,1360.82847,2036.023811,2735.67153,11.046006,-16.330773,253557.5492,691.129526,366.874138,7984.633789,807.098746,796.459502,5.259653,7.871877,7.974945,7.768808,323.543998,0.992061,1556.262071,3068.596493,1556.762071,1027.903507,11.042508,-16.515992,1231274.532,1124.678727,1094.778893,32144.48242,3919.26856,810.244,5.62302,8.008417,8.296747,7.720086,344.465224,0.992951
8,cpt1m013-fa14-20190616-0081-e91.fits,8,0,58651.2367,2458651.237,2458651.237,60.068,1.126634,6.539462,10,21,32,0.089474,0.18281,0.590474,0.088722,0.646622,0.000219,0.000315,0.000699,0.000233,0.000758,408.190194,581.204828,845.045039,380.528998,852.887529,3268808.865,1905.152303,2030.26716,2060.3168,2030.76716,2036.1832,11.046013,-16.406477,292473.417,314.159265,695.940475,420.256369,9067.853516,930.971801,717.861279,1495,5.166402,7.920216,8.121276,7.719156,333.712735,0.99303,1514.933397,1555.185486,1515.433397,2541.314514,11.042107,-16.352279,505211.8666,810.077741,623.658497,14992.81543,1608.139318,716.672544,5.044496,7.924087,8.13273,7.715444,334.816197,0.993194,1025.389959,1315.297453,1025.889959,2781.202547,11.038412,-16.326743,1213566.568,1106.094043,1097.164003,34752.28516,3862.90236,717.793013,5.09058,7.913556,8.180072,7.647039,344.262369,0.993777,2035.322624,1360.702775,2035.822624,2735.797225,11.046006,-16.330771,266382.1201,682.007266,390.585458,8270.837891,847.920623,717.581271,5.214192,7.938889,8.070563,7.807215,325.600386,0.991591,1555.974504,3068.526887,1556.474504,1027.973113,11.042508,-16.515991,1283648.311,1133.490806,1132.473509,33102.38672,4085.979477,731.602466,5.558609,8.072537,8.338274,7.806799,341.234426,0.993122
9,cpt1m013-fa14-20190616-0082-e91.fits,9,0,58651.2377,2458651.238,2458651.238,60.072,1.129383,6.394891,10,21,32,0.089637,0.181569,0.591877,0.089011,0.646865,0.000216,0.000309,0.000692,0.00023,0.00075,414.487882,587.374593,854.832788,387.506608,862.77888,3306927.585,1904.602687,2030.605776,2060.503995,2031.105776,2035.996005,11.046012,-16.406468,296422.8357,314.159265,694.477915,426.828312,9753.397461,943.543191,696.775884,1586,4.987188,7.72913,7.939846,7.518413,335.042512,0.992841,1515.354323,1555.357179,1515.854323,2541.142821,11.042107,-16.352265,508167.4042,806.434227,630.141166,16188.96777,1617.547086,694.546387,4.9392,7.693724,7.932553,7.454896,337.521022,0.992317,1025.813618,1315.463327,1026.313618,2781.036673,11.038412,-16.326728,1229550.752,1108.336095,1109.366335,37588.83594,3913.7816,696.919921,4.98327,7.724989,8.033828,7.416151,348.556208,0.992491,2035.663614,1360.962194,2036.163614,2735.537806,11.046006,-16.330765,270295.1166,679.304629,397.899713,8975.613281,860.376078,695.226368,5.028105,7.825114,7.983705,7.666522,327.977606,0.99143,1556.388298,3068.743646,1556.888298,1027.756354,11.042508,-16.515994,1298914.312,1134.59753,1144.823849,35032.42578,4134.572667,707.912404,5.497227,7.893775,8.162118,7.625431,342.492781,0.993125
10,cpt1m013-fa14-20190616-0083-e91.fits,10,0,58651.2387,2458651.239,2458651.239,60.068,1.132162,6.957944,10,21,32,0.089794,0.182681,0.589632,0.088189,0.648999,0.000219,0.000314,0.000697,0.000231,0.00076,410.335018,582.258607,845.673266,381.147151,854.444547,3251262.598,1891.936996,2030.360107,2060.295461,2030.860107,2036.204539,11.046012,-16.406481,291943.2758,314.159265,690.89551,422.557784,7968.047852,929.284309,690.297058,1585,5.56184,8.313558,8.570277,8.056839,337.695495,0.992489,1515.054895,1555.202085,1515.554895,2541.297915,11.042107,-16.352289,502200.8637,803.753788,624.819281,12751.59473,1598.554998,689.291443,5.640802,8.339713,8.588009,8.091417,338.74004,0.993485,1025.490658,1315.352457,1025.990658,2781.147543,11.038412,-16.326759,1205969.742,1099.88977,1096.446003,28820.01172,3838.720914,695.403004,5.646036,8.335959,8.612136,8.059783,345.652395,0.994306,2035.366598,1360.799061,2035.866598,2735.700939,11.046006,-16.330791,263487.7511,673.489386,391.227771,6899.113281,838.707561,692.764281,5.751186,8.357283,8.500063,8.214503,326.53431,0.9924,1556.036834,3068.43711,1556.536834,1028.06289,11.042507,-16.515987,1279604.241,1126.969381,1135.438338,29225.47266,4073.106804,701.837855,5.794964,8.441878,8.761553,8.122202,344.562407,0.992236
