                       TFOP NEB Search Table for:

           Measurements.txt

                 Created by AIJ macro Revision 1.20
                          on 2019-05-01
          ------------------------------------------------
                    Pixel Scale (arc-seconds/pixel): 0.39
                    Predicted ingress time: 0.9
                    Predicted egress time:  0.95
                    Target predicted depth: 41.6
                    Target Star: T1
                    Search Radius: 2.5
                    Duration of Observation (min.): 231.5
                    Number of Images: 69
                    Average Exposure Plus Delay Time (sec.): 201.3
                    Cadence Requested When Calculating RMS (sec.): 180.0
                    Binning Used When Calculating RMS: 1
                    Average Aperture Radius: 8.0 (pixels); 3.1 (arc-seconds)
                    Dmag correction factor to account for difference with TESS band:-0.5

      Separation             Uncorr.
Star  from target  PA (deg.)  dmag   RMS(ppt)  NEBdepth(ppt)  NEBdepth/RMS    Disposition
 T2      0'46"       NA      0.614     21.34           46.2       2.2      ***Not Cleared***
 T3      0'22"       NA     -0.541     42.55           15.9       0.4      ***Not Cleared***
 T4      0'44"       NA      0.375     13.41           37.1       2.8      ***Not Cleared***
 T5      0'31"       NA      2.992    256.56          413.1       1.6      ***Not Cleared***
 T6      0'06"       NA      1.880    123.54          148.3       1.2      ***Not Cleared***
 T7      0'15"       NA      1.765    350.45          133.3       0.4      ***Not Cleared***
 T8      0'26"       NA      1.278    202.18           85.2       0.4      ***Not Cleared***
 T9      0'31"       NA      0.706     82.37           50.3       0.6      ***Not Cleared***
T10      0'32"       NA      1.613    197.59          116.0       0.6      ***Not Cleared***
T11      0'26"       NA      1.191    202.34           78.6       0.4      ***Not Cleared***
T12      0'33"       NA      1.687    235.50          124.2       0.5      ***Not Cleared***
T13      0'40"       NA      0.506     33.17           41.8       1.3      ***Not Cleared***
T14      0'53"       NA      1.182    123.83           78.0       0.6      ***Not Cleared***
T15      1'03"       NA      2.093    260.22          180.5       0.7      ***Not Cleared***
T16      1'05"       NA      2.134    226.97          187.3       0.8      ***Not Cleared***
T17      0'46"       NA      0.727      7.61           51.3       6.7      Cleared
T18      0'54"       NA     -0.327     21.78           19.4       0.9      ***Not Cleared***
T19      1'08"       NA      0.599     88.75           45.6       0.5      ***Not Cleared***
T20      0'52"       NA      1.227     56.55           81.3       1.4      ***Not Cleared***
T21      0'41"       NA      2.417    263.29          243.3       0.9      ***Not Cleared***
T22      1'08"       NA      1.335    232.02           89.7       0.4      ***Not Cleared***
T23      1'22"       NA      1.537    246.17          108.2       0.4      ***Not Cleared***
T24      1'18"       NA      1.432     52.17           98.2       1.9      ***Not Cleared***
T25      1'02"       NA      0.146     54.32           30.0       0.6      ***Not Cleared***
T26      0'39"       NA      2.348    260.00          228.2       0.9      ***Not Cleared***
T27      1'01"       NA     -0.883     14.22           11.6       0.8      ***Not Cleared***
T28      1'23"       NA      0.033      5.14           27.1       5.3      Cleared
T29      0'57"       NA      1.496     44.95          104.1       2.3      ***Not Cleared***
T30      1'18"       NA      0.276    212.98           33.9       0.2      ***Not Cleared***
T31      0'42"       NA      1.465    214.56          101.1       0.5      ***Not Cleared***
T32      0'29"       NA      2.505    308.67          263.7       0.9      ***Not Cleared***
T33      0'52"       NA     -0.760     19.71           13.0       0.7      ***Not Cleared***
T34      1'16"       NA     -1.391      4.72            7.3       1.5      ***Not Cleared***
T35      1'22"       NA     -0.252     17.31           20.8       1.2      ***Not Cleared***
T36      1'15"       NA      2.577     46.63          281.7       6.0      Cleared
T37      1'49"       NA      1.762     25.75          133.0       5.2      Cleared
T38      1'55"       NA     -0.165      7.01           22.5       3.2      Likely cleared
T39      2'00"       NA      1.104     14.00           72.5       5.2      Cleared
T40      1'44"       NA      2.181     48.42          195.7       4.0      Likely cleared
T41      1'41"       NA     -0.038     32.20           25.3       0.8      ***Not Cleared***
T42      1'34"       NA     -0.023     21.29           25.7       1.2      ***Not Cleared***
T43      1'36"       NA      1.488     83.74          103.3       1.2      ***Not Cleared***
T44      1'38"       NA     -1.267     17.98            8.2       0.5      ***Not Cleared***
T45      1'49"       NA      2.677    298.35          308.8       1.0      ***Not Cleared***
T46      2'01"       NA      1.151     31.40           75.8       2.4      ***Not Cleared***
T47      1'56"       NA      1.637    255.84          118.5       0.5      ***Not Cleared***
