 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
1,coj1m003-fa11-20190628-0050-e91.fits,1,0,58662.84622,2458662.846,2458662.847469,1.09822,70.072,5.48108,2,18,27,0.166383,0.296716,0.329218,0.266935,0.455196,0.000825,0.001299,0.001401,0.001209,0.001792,201.683885,228.373557,234.9753,220.709226,254.055216,263614.2848,483.749163,2042.006711,2089.999336,2042.506711,2006.500664,11.071633,-47.821449,43860.99643,12.566371,202.031316,217.099989,4848.500488,3490.347195,446.234295,947,5.347922,2.558304,2.589287,2.52732,20.580289,0.998965,2195.018563,1999.033722,2195.518563,2097.466278,11.073284,-47.831159,60320.45858,232.182165,259.797985,6420.092285,4800.149576,438.694478,5.566134,2.566563,2.597678,2.535447,16.887192,0.999149,1805.089528,2229.410038,1805.589528,1867.089962,11.06908,-47.80656,65291.48156,241.139037,270.762803,7376.064941,5195.731016,464.67841,5.226604,2.7854,2.815262,2.755539,25.536139,0.998836,1807.752216,2298.099918,1808.252216,1798.400082,11.069103,-47.799131,55541.79969,224.128014,247.812841,6274.262695,4419.875985,453.26364,5.685559,2.675883,2.685613,2.666154,316.717519,0.985271,2785.372996,2150.736173,2785.872996,1945.763827,11.079608,-47.814221,82460.54493,267.812048,307.904538,9347.56543,6562.001667,447.847392,5.579178,2.582908,2.518713,2.647103,290.91158,0.995556
2,coj1m003-fa11-20190628-0051-e91.fits,2,0,58662.84734,2458662.847,2458662.848588,1.10018,70.079,5.964295,2,18,27,0.166879,0.295298,0.327578,0.266586,0.459424,0.000788,0.001237,0.001334,0.001154,0.001726,211.753888,238.682089,245.538849,231.033796,266.185036,285366.0157,500.442591,2041.99002,2090.014745,2042.49002,2006.485255,11.071631,-47.82147,47621.677,12.566371,208.810297,228.061918,5586.745117,3789.612646,424.273265,957,4.857864,2.53343,2.57122,2.495641,15.302701,0.998799,2194.99041,1999.007501,2195.49041,2097.492499,11.073282,-47.831183,65056.89864,239.718557,271.388662,7314.073242,5177.063501,415.642069,4.931966,2.538579,2.566641,2.510517,17.54001,0.99927,1805.111854,2229.530289,1805.611854,1866.969711,11.069078,-47.806571,70413.62461,249.035813,282.744974,8252.026367,5603.338208,442.341852,4.539172,2.556218,2.931101,2.181335,3.114057,0.916572,1807.719433,2298.226118,1808.219433,1798.273882,11.0691,-47.799141,60062.74848,231.510097,259.439002,7191.809082,4779.641658,428.671305,4.913022,2.658274,2.669456,2.647093,316.835348,0.982735,2785.164084,2150.785548,2785.664084,1945.714452,11.079604,-47.81423,89832.74397,278.140323,322.976341,10386.1709,7148.662627,422.493568,5.098372,2.630213,2.670813,2.589614,322.856822,0.987013
3,coj1m003-fa11-20190628-0052-e91.fits,3,0,58662.84846,2458662.848,2458662.849709,1.102178,70.088,6.240662,2,18,27,0.167905,0.300958,0.328226,0.267935,0.449763,0.000789,0.001252,0.001335,0.001156,0.001695,212.787606,240.301563,245.944647,231.711071,265.313462,285063.9773,499.376291,2041.986997,2089.893619,2042.486997,2006.606381,11.071632,-47.821469,47863.69239,12.566371,208.724597,229.315055,5566.588379,3808.871619,401.652094,942,5.112286,2.548891,2.600176,2.497606,14.448179,0.997889,2194.982556,1998.94208,2195.482556,2097.55792,11.073282,-47.831176,65945.47945,240.778566,273.884343,7462.811523,5247.774514,396.357305,5.035881,2.545264,2.585646,2.504882,14.575747,0.998681,1805.052445,2229.272548,1805.552445,1867.227452,11.069077,-47.806584,70443.88191,248.662152,283.291532,8029.494141,5605.746008,421.625037,5.000264,2.746385,2.805735,2.687036,13.81133,0.997623,1807.660797,2298.076334,1808.160797,1798.423666,11.0691,-47.799143,60238.57904,231.356666,260.371054,6955.45752,4793.633809,407.59985,4.995443,2.744865,2.733072,2.756658,82.790859,0.999921,2785.135403,2150.683094,2785.635403,1945.816906,11.079604,-47.814226,88436.03689,275.760021,320.699268,9947.910156,7037.51621,402.642584,5.095142,2.645314,2.691158,2.59947,323.594763,0.986253
4,coj1m003-fa11-20190628-0053-e91.fits,4,0,58662.84957,2458662.85,2458662.850824,1.104207,70.067,6.39806,2,18,27,0.165049,0.294906,0.329685,0.267679,0.455939,0.000787,0.001243,0.001348,0.001163,0.001726,209.596764,237.245151,244.569528,230.068493,264.201222,281073.1999,495.764561,2041.974134,2089.986596,2042.474134,2006.513404,11.071632,-47.821458,46390.81411,12.566371,205.653072,225.578027,5169.956543,3691.66369,392.400288,890,5.243406,2.560656,2.589702,2.53161,21.288396,0.999051,2194.905656,1998.974805,2195.405656,2097.525195,11.073282,-47.831172,64012.42772,237.325286,269.724431,7091.118652,5093.947146,385.47152,5.304056,2.558463,2.593845,2.52308,12.452354,0.99907,1805.031,2229.305295,1805.531,1867.194705,11.069078,-47.80658,69689.87373,247.235155,281.876878,7658.109375,5545.743944,411.035512,5.062217,2.755424,2.789219,2.721629,21.701848,0.99886,1807.571106,2298.09082,1808.071106,1798.40918,11.0691,-47.799141,59350.53982,229.595847,258.500058,6732.834473,4722.965894,397.64626,4.874408,2.686745,2.53993,2.83356,74.282412,0.983691,2785.064326,2150.653326,2785.564326,1945.846674,11.079604,-47.81423,88020.35866,274.990424,320.085178,9553.208008,7004.437587,393.28815,5.265552,2.748785,2.821402,2.676168,9.664079,0.996869
5,coj1m003-fa11-20190628-0054-e91.fits,5,0,58662.85071,2458662.851,2458662.851955,1.106302,70.06,6.856759,2,18,27,0.16734,0.298089,0.328626,0.267764,0.453089,0.000804,0.00127,0.001363,0.00118,0.00174,208.164451,234.800238,241.070911,227.000937,260.362203,273921.733,489.710251,2042.07281,2089.997735,2042.57281,2006.502265,11.071631,-47.821468,45837.94832,12.566371,204.38412,224.273531,4911.323242,3647.668028,384.508223,920,5.556282,2.569871,2.602208,2.537535,11.650021,0.999249,2195.063898,1998.996499,2195.563898,2097.503501,11.073281,-47.83118,62902.50156,235.331572,267.293084,6602.517578,5005.622028,380.312408,5.50389,2.563974,2.577905,2.550043,21.365788,0.999781,1805.255097,2229.385845,1805.755097,1867.114155,11.069078,-47.806584,67752.52479,243.960259,277.719515,7385.793457,5391.574613,405.574202,5.41801,2.612752,2.742705,2.482799,22.005101,0.980964,1807.85329,2298.14976,1808.35329,1798.35024,11.069101,-47.799146,57854.92583,226.829524,255.059063,6339.698242,4603.948714,391.387096,5.767695,2.676813,2.68912,2.664505,317.088955,0.98407,2785.407067,2150.740278,2785.907067,1945.759722,11.079606,-47.814231,85411.78084,271.047856,315.116977,9337.450195,6796.85356,387.050649,5.639858,2.595261,2.525408,2.665115,292.479589,0.994221
6,coj1m003-fa11-20190628-0055-e91.fits,6,0,58662.85182,2458662.852,2458662.853073,1.108424,70.071,6.484956,2,18,27,0.163914,0.297683,0.328256,0.264614,0.458207,0.000773,0.001233,0.001324,0.001137,0.001707,212.144494,241.45439,247.941127,232.679329,268.353284,288300.9414,501.04718,2042.016432,2090.022306,2042.516432,2006.477694,11.071633,-47.821465,47256.44899,12.566371,207.063111,228.222443,5222.220703,3760.548725,381.651238,939,5.182401,2.554902,2.588918,2.520886,13.571209,0.999105,2194.979841,1999.045951,2195.479841,2097.454049,11.073283,-47.831175,66134.94498,240.639521,274.82994,7070.738281,5262.851702,374.725409,5.153548,2.55446,2.575602,2.533319,11.519032,0.999677,1805.095035,2229.506573,1805.595035,1866.993427,11.069079,-47.806569,71248.70467,249.46169,285.609805,7937.694336,5669.791768,397.69676,4.778405,2.57347,2.95221,2.194731,0.434537,0.916978,1807.717057,2298.231037,1808.217057,1798.268963,11.069102,-47.799136,60325.5422,231.034897,261.110088,7046.766602,4800.554118,386.026505,5.090098,2.674766,2.685954,2.663578,316.67948,0.979615,2785.129823,2150.878309,2785.629823,1945.621691,11.079605,-47.814215,90591.74957,278.446835,325.346667,9895.347656,7209.062374,379.503903,5.363569,2.649433,2.690862,2.608003,322.622921,0.985862
7,coj1m003-fa11-20190628-0056-e91.fits,7,0,58662.85294,2458662.853,2458662.854190,1.110576,70.084,6.573473,2,18,27,0.165065,0.298682,0.329825,0.268148,0.450415,0.000778,0.00124,0.001333,0.001151,0.00169,212.278419,240.954385,247.491968,232.951532,266.59091,286231.8177,499.013763,2041.950157,2089.896533,2042.450157,2006.603467,11.071633,-47.821467,47246.72779,12.566371,206.76679,228.502497,5376.688477,3759.775136,370.269548,988,5.422198,2.561814,2.590604,2.533023,18.692932,0.9992,2194.93366,1998.975756,2195.43366,2097.524244,11.073283,-47.831171,65829.97103,239.919463,274.383621,7123.807617,5238.582646,364.220404,5.408199,2.563413,2.588796,2.538031,18.483231,0.999386,1805.019918,2229.341124,1805.519918,1867.158876,11.069079,-47.806576,70991.55853,248.85181,285.27644,7841.217773,5649.328729,387.594097,5.139613,2.766553,2.802046,2.73106,21.054841,0.998804,1807.582085,2298.072848,1808.082085,1798.427152,11.069101,-47.799141,60523.28463,231.168809,261.814234,6739.154297,4816.28996,376.582296,5.00401,2.685126,2.524163,2.846089,74.924623,0.980913,2785.074854,2150.607139,2785.574854,1945.892861,11.079606,-47.814233,88887.00353,275.838985,322.242353,9595.198242,7073.402994,371.803818,5.408388,2.759989,2.816749,2.703228,11.776991,0.997988
8,coj1m003-fa11-20190628-0057-e91.fits,8,0,58662.85406,2458662.854,2458662.855308,1.112769,70.079,6.807304,2,18,27,0.166088,0.296341,0.326315,0.266464,0.459791,0.000783,0.001237,0.001327,0.00115,0.001724,212.074368,239.491233,245.815367,231.646244,266.661995,284065.3187,497.102179,2041.993831,2089.949041,2042.493831,2006.550959,11.071632,-47.821456,47179.90666,12.566371,206.580972,228.384571,5146.986816,3754.45768,367.943702,997,5.426295,2.561854,2.589299,2.534408,13.903236,0.999413,2194.967463,1998.961412,2195.467463,2097.538588,11.073282,-47.831167,64936.74574,238.342915,272.450917,7024.206055,5167.502036,360.731339,5.534198,2.565249,2.589964,2.540534,13.738431,0.999528,1805.066037,2229.286084,1805.566037,1867.213916,11.069078,-47.806577,69888.98066,247.021739,282.926438,7493.724609,5561.58837,385.262969,5.426887,2.768949,2.807982,2.729916,19.227821,0.998704,1807.718577,2298.069917,1808.218577,1798.430083,11.069101,-47.799137,59767.39511,229.719852,260.175142,6441.303223,4756.138184,370.493328,5.68882,2.766627,2.748668,2.784586,85.382341,0.999827,2785.301902,2150.649839,2785.801902,1945.850161,11.079606,-47.814223,89472.19719,276.608535,323.461448,9839.888672,7119.971226,367.633746,5.386845,2.590689,2.73068,2.450698,344.424531,0.984146
9,coj1m003-fa11-20190628-0058-e91.fits,9,0,58662.85518,2458662.855,2458662.856426,1.115008,70.08,6.470291,2,18,27,0.165517,0.298211,0.331891,0.261752,0.456986,0.000771,0.001227,0.001327,0.001122,0.001694,214.549897,243.02487,250.12868,233.310292,269.721149,290557.1914,502.033166,2041.926975,2089.97047,2042.426975,2006.52953,11.071633,-47.821455,48092.02329,12.566371,208.182287,231.009199,5314.036133,3827.041615,361.444664,988,5.266392,2.563338,2.624297,2.502378,6.144097,0.997633,2194.947809,1998.989763,2195.447809,2097.510237,11.073283,-47.831165,66743.72065,241.218897,276.693581,7283.660645,5311.296531,353.839517,5.223128,2.559412,2.604778,2.514047,8.671947,0.998622,1805.006289,2229.295714,1805.506289,1867.204286,11.069078,-47.806577,72403.2744,250.923512,288.547191,8132.058594,5761.669508,378.546052,5.094232,2.757336,2.821891,2.692782,4.716125,0.99775,1807.546507,2298.102446,1808.046507,1798.397554,11.0691,-47.799135,60276.52244,230.472706,261.53432,6768.724121,4796.65325,364.348959,5.091975,2.691239,2.560816,2.821663,73.506901,0.98671,2785.04989,2150.596607,2785.54989,1945.903393,11.079605,-47.814228,91133.67391,278.873568,326.792082,10072.74805,7252.187342,360.605301,4.868422,2.745395,2.82702,2.66377,6.544302,0.99628
10,coj1m003-fa11-20190628-0059-e91.fits,10,0,58662.8563,2458662.856,2458662.857546,1.117281,70.075,6.38042,2,18,27,0.165419,0.300516,0.327054,0.266704,0.45333,0.000764,0.001224,0.001302,0.001127,0.00167,216.380073,245.588361,251.171962,236.665448,271.46714,294452.2355,504.632394,2041.947448,2090.00418,2042.447448,2006.49582,11.071634,-47.821462,48708.13539,12.566371,209.054547,232.992471,5579.566895,3876.070258,348.778565,927,5.134314,2.550209,2.591714,2.508704,16.538111,0.998492,2194.951846,1998.991267,2195.451846,2097.508733,11.073284,-47.831176,68040.38491,243.09712,279.88972,7585.493652,5414.481794,341.593863,5.119635,2.554335,2.591587,2.517084,16.61788,0.998784,1805.010096,2229.448022,1805.510096,1867.051978,11.069079,-47.806571,72568.06021,250.938709,289.186393,8138.579102,5774.782747,366.327048,4.807186,2.576195,2.960538,2.191852,3.328256,0.913643,1807.550699,2298.146018,1808.050699,1798.353982,11.069101,-47.79914,61996.77945,233.188602,265.865394,7050.18457,4933.546953,352.727045,4.904923,2.69237,2.554639,2.830101,71.713485,0.983855,2785.062403,2150.766249,2785.562403,1945.733751,11.079606,-47.814222,91847.01093,279.661373,328.422227,10049.48242,7308.952899,347.388753,5.465749,2.645859,2.700375,2.591343,326.622499,0.989107
