 	Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD-OBS	AIRMASS	EXPTIME	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	RA_T1	DEC_T1
1	lsc1m005-fa15-20190407-0058-e91.fits	1.000000	0.000000	58581.476441	2458581.476441	NaN	1.263135	42.000000	2.560276	22.000000	39.000000	59.000000	402.534783	403.797911	403.034783	415.702089	39053.744821	1520.530844	1328.531430	29.396177	8507.376953	25.684283	986.800449	5176.000000	2.560276	9.580864	9.989303	9.172426	29.850921	0.971542	5.036712	-54.353762
2	lsc1m005-fa15-20190407-0059-e91.fits	2.000000	0.000000	58581.477233	2458581.477233	NaN	1.265769	42.000000	5.103488	22.000000	39.000000	59.000000	402.539898	403.902807	403.039898	415.597193	37760.910063	1520.530844	1220.380331	30.941920	7992.110352	24.834031	814.911918	5241.000000	2.543212	6.653865	9.311141	3.996590	350.967332	0.474995	5.036712	-54.353765
3	lsc1m005-fa15-20190407-0060-e91.fits	3.000000	0.000000	58581.478022	2458581.478022	NaN	1.268427	42.000000	7.632842	22.000000	39.000000	59.000000	402.556297	403.847054	403.056297	415.652946	37956.067274	1520.530844	1130.081069	33.587030	8331.367188	24.962379	677.156380	5171.000000	2.529354	6.705249	5.971649	7.438850	296.146841	0.875015	5.036711	-54.353763
4	lsc1m005-fa15-20190407-0061-e91.fits	4.000000	0.000000	58581.478814	2458581.478814	NaN	1.271113	42.000000	10.567573	22.000000	39.000000	59.000000	402.560547	403.824022	403.060547	415.675978	41382.026569	1520.530844	1050.371248	39.397524	7975.979980	27.215513	567.887238	5269.000000	2.934731	10.767635	12.266302	9.268968	7.201118	0.920512	5.036712	-54.353750
5	lsc1m005-fa15-20190407-0062-e91.fits	5.000000	0.000000	58581.479599	2458581.479599	NaN	1.273800	42.000000	13.087098	22.000000	39.000000	59.000000	402.488053	403.891141	402.988053	415.608859	37660.852564	1520.530844	989.859365	38.046670	7852.058594	24.768227	488.595076	5176.000000	2.519524	8.170956	10.094328	6.247584	346.741508	0.751489	5.036714	-54.353767
6	lsc1m005-fa15-20190407-0063-e91.fits	6.000000	0.000000	58581.480392	2458581.480392	NaN	1.276539	42.000000	15.633951	22.000000	39.000000	59.000000	402.508519	403.808615	403.008519	415.691385	40929.866538	1520.530844	938.758018	43.600018	7542.018555	26.918143	426.133428	5254.000000	2.546853	9.834658	10.591189	9.078126	351.667089	0.974511	5.036714	-54.353778
7	lsc1m005-fa15-20190407-0064-e91.fits	7.000000	0.000000	58581.481180	2458581.481180	NaN	1.279304	42.000000	18.588548	22.000000	39.000000	59.000000	402.587553	403.799421	403.087553	415.700579	37332.368475	1520.530844	895.554893	41.686298	6824.706055	24.552194	377.316130	5248.000000	2.954597	5.578823	5.069213	6.088434	277.691076	0.964688	5.036709	-54.353750
8	lsc1m005-fa15-20190407-0065-e91.fits	8.000000	0.000000	58581.481968	2458581.481968	NaN	1.282072	42.000000	21.231628	22.000000	39.000000	59.000000	402.532889	403.864863	403.032889	415.635137	39231.339192	1520.530844	860.877669	45.571329	6883.457031	25.801081	337.775980	5261.000000	2.643080	8.414895	10.926366	5.903424	4.712236	0.691321	5.036710	-54.353778
9	lsc1m005-fa15-20190407-0066-e91.fits	9.000000	0.000000	58581.482755	2458581.482755	NaN	1.284888	42.000000	23.856884	22.000000	39.000000	59.000000	402.504875	403.819982	403.004875	415.680018	37653.437876	1520.530844	833.916556	45.152525	6606.437012	24.763350	309.204123	5248.000000	2.625256	6.989921	7.592815	6.387028	27.655315	0.909481	5.036716	-54.353760
10	lsc1m005-fa15-20190407-0067-e91.fits	10.000000	0.000000	58581.483546	2458581.483546	NaN	1.287731	42.000000	26.488026	22.000000	39.000000	59.000000	402.529696	403.787999	403.029696	415.712001	38181.953188	1520.530844	811.903555	47.027696	7056.357910	25.110936	285.532297	5230.000000	2.631142	7.662635	8.806248	6.519022	356.891532	0.913732	5.036713	-54.353762
11	lsc1m005-fa15-20190407-0068-e91.fits	11.000000	0.000000	58581.484336	2458581.484336	NaN	1.290604	42.000000	29.124190	22.000000	39.000000	59.000000	402.542038	403.824763	403.042038	415.675237	40525.460017	1520.530844	800.209967	50.643533	6912.796387	26.652179	268.788292	5024.000000	2.636165	9.648371	10.820159	8.476583	345.500715	0.925100	5.036710	-54.353767
12	lsc1m005-fa15-20190407-0069-e91.fits	12.000000	0.000000	58581.485125	2458581.485125	NaN	1.293504	42.000000	32.009105	22.000000	39.000000	59.000000	402.551827	403.791857	403.051827	415.708143	38309.109195	1520.530844	785.034168	48.799289	7333.710449	25.194562	257.410735	5185.000000	2.884915	7.474155	10.504327	4.443983	9.047737	0.463276	5.036712	-54.353779
13	lsc1m005-fa15-20190407-0070-e91.fits	13.000000	0.000000	58581.485932	2458581.485932	NaN	1.296483	42.000000	34.536488	22.000000	39.000000	59.000000	402.522713	403.778124	403.022713	415.721876	38926.982366	1520.530844	774.920019	50.233549	7855.345215	25.600916	247.805948	5232.000000	2.527383	6.182286	9.814512	2.550059	6.863508	0.191433	5.036713	-54.353767
14	lsc1m005-fa15-20190407-0071-e91.fits	14.000000	0.000000	58581.486719	2458581.486719	NaN	1.299426	42.000000	37.090075	22.000000	39.000000	59.000000	402.508878	403.809549	403.008878	415.690451	40273.103917	1520.530844	768.463691	52.407296	7463.992188	26.486213	239.596412	5156.000000	2.553587	10.481667	10.699838	10.263496	21.809759	0.996696	5.036713	-54.353777
