Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
cpt1m012-fl06-20181018-0083-e91.fits,0,58410.29636,2458410.296,2018,NaN,2458410.298,NaN,1.117056,42,5.653188,14,27,41,0.087829,0.198398,0.293101,0.654835,0.269151,0.000413,0.000575,0.000697,0.001265,0.000667,212.445565,345.219201,420.819063,517.509229,403.388605,1772459.745,1733.48736,1990.744499,2040.35173,1991.244499,2056.14827,22.196531,-58.946328,155673.1458,615.75216,716.77588,217.185246,9318.085938,252.817864,521.557345,2517,3.853081,7.36459,7.453977,7.275202,18.278889,0.999087,2634.674492,1794.818836,2635.174492,2301.681164,22.20557,-58.972264,293436.0057,793.079007,369.995931,16052.64453,476.548886,528.386843,3.880226,7.214652,7.216696,7.212608,44.539478,0.998757,1388.826792,1770.18507,1389.326792,2326.31493,22.188137,-58.976025,401754.6316,845.394639,475.227323,21600.80273,652.461587,530.372286,3.91145,7.28364,7.323188,7.244093,22.922871,0.999757,1236.127199,1991.601269,1236.627199,2104.898731,22.185982,-58.952164,701380.4402,979.736557,715.886771,39292.62891,1139.062898,536.472685,3.790158,7.174537,7.305616,7.043458,9.31027,0.998514,3304.575003,1959.387743,3305.075003,2137.112257,22.214917,-58.95365,375888.6672,837.513163,448.815235,20596.86133,610.454484,538.724583,4.002217,7.291623,7.383789,7.199456,29.291773,0.997649
cpt1m012-fl06-20181018-0084-e91.fits,0,58410.29734,2458410.297,2018,NaN,2458410.299,NaN,1.117151,42,4.97581,14,27,41,0.087119,0.201177,0.291288,0.65068,0.270242,0.000495,0.000679,0.000811,0.001457,0.000782,175.918721,296.332555,359.377224,446.708038,345.425226,1535787.788,1747.878536,1990.630762,2040.287326,1991.130762,2056.212674,22.196531,-58.946329,133795.7458,615.75216,745.154941,179.554262,8317.166016,217.288309,619.066398,2478,3.832339,7.160065,7.061809,7.258321,72.219033,0.998862,2634.571211,1794.785372,2635.071211,2301.714628,22.205571,-58.972264,257218.7776,810.157216,317.492423,14427.0332,417.731019,624.254953,3.887578,7.378904,7.435202,7.322605,23.842588,0.999486,1388.720924,1770.093052,1389.220924,2326.406948,22.188137,-58.976027,346442.2937,855.697501,404.86538,19222.7168,562.632689,630.386841,3.858228,7.262747,7.409346,7.116148,3.345466,0.998349,1236.006605,1991.482325,1236.506605,2105.017675,22.185982,-58.952169,605390.6769,970.562267,623.752538,33217.94531,983.17264,637.169327,3.615484,7.193264,7.287278,7.099251,10.999832,0.999205,3304.530885,1959.428312,3305.030885,2137.071688,22.214919,-58.953644,326736.0397,851.184665,383.860346,18123.9043,530.629141,638.186096,4.032233,7.281378,7.26111,7.301647,54.000913,0.999675
cpt1m012-fl06-20181018-0085-e91.fits,0,58410.29833,2458410.298,2018,NaN,2458410.3,NaN,1.117267,42,4.839584,14,27,41,0.086861,0.199748,0.292124,0.654301,0.268895,0.000606,0.000813,0.000967,0.001732,0.00093,143.399677,245.605363,301.96587,377.67087,289.269653,1279177.475,1730.043584,1990.61657,2040.427265,1991.11657,2056.072735,22.196531,-58.946323,111111.0035,615.75216,760.122448,146.175138,6925.483887,180.447607,680.979264,2562,3.898766,7.063224,7.08112,7.045328,38.744647,0.999453,2634.555589,1794.888011,2635.055589,2301.611989,22.20557,-58.97226,212972.2374,811.653984,262.392893,11794.25,345.873309,685.106879,3.781013,7.285286,7.31123,7.259342,19.831811,0.999914,1388.716782,1770.208307,1389.216782,2326.291693,22.188137,-58.976026,289197.1385,850.614911,339.985974,16229.375,469.664838,688.789455,3.790451,7.220289,7.34035,7.100227,10.199542,0.998742,1235.985091,1991.598396,1236.485091,2104.901604,22.185981,-58.952168,505933.9883,947.314499,534.07183,27183.92383,821.651991,693.337506,3.706945,7.250434,7.310648,7.190221,25.601369,0.999297,3304.50782,1959.475348,3305.00782,2137.024652,22.214917,-58.953644,271074.1112,844.581627,320.956675,15341.38477,440.232497,697.686717,4.044933,7.324288,7.320907,7.327669,312.713336,0.999866
cpt1m012-fl06-20181018-0086-e91.fits,0,58410.29931,2458410.299,2018,NaN,2458410.301,NaN,1.117404,42,4.963505,14,27,41,0.086941,0.199976,0.289794,0.654089,0.27102,0.000854,0.001123,0.001316,0.002341,0.001275,101.814562,178.128335,220.283677,279.447217,212.495614,951524.4475,1750.403149,1990.732607,2040.643382,1991.232607,2055.856618,22.196531,-58.946321,82726.31636,615.75216,798.140788,103.648777,5325.494629,134.350022,815.482356,2558,3.956025,6.770739,7.138818,6.402661,5.192102,0.987854,2634.690644,1795.117303,2635.190644,2301.382697,22.205571,-58.972256,158571.4797,835.375884,189.820514,8891.71875,257.524845,820.594626,4.018552,7.28339,7.003057,7.563722,89.943421,0.994092,1388.810309,1770.425238,1389.310309,2326.074762,22.188137,-58.976023,213790.7938,864.508251,247.297575,12061.49805,347.20267,823.397604,3.957271,7.0575,6.9755,7.1395,60.755603,0.998024,1236.072024,1991.815351,1236.572024,2104.684649,22.185981,-58.952165,376268.4347,936.820438,401.644135,19089.86523,611.071238,828.236865,3.930767,7.226241,7.220468,7.232014,46.782467,0.99934,3304.589831,1959.751965,3305.089831,2136.748035,22.214917,-58.953635,202893.7393,860.843347,235.691825,10777.88965,329.505526,832.061454,4.115329,7.374133,7.358592,7.389674,46.224011,0.990262
cpt1m012-fl06-20181018-0087-e91.fits,0,58410.30029,2458410.3,2018,NaN,2458410.302,NaN,1.117562,42,4.935981,14,27,41,0.08863,0.199312,0.291723,0.650743,0.271874,0.00067,0.000893,0.001058,0.001882,0.001024,132.306463,223.229046,275.637177,345.711042,265.427572,1193115.432,1765.42718,1990.70644,2040.457905,1991.20644,2056.042095,22.196531,-58.946323,105745.5432,615.75216,783.781277,134.917159,6493.679688,171.733938,753.810067,2590,3.95926,7.517608,7.731257,7.30396,2.758585,0.996744,2634.652448,1794.942065,2635.152448,2301.557935,22.20557,-58.972257,198282.1499,832.27624,238.240791,10574.57129,322.016166,759.224465,3.976724,7.40663,7.364966,7.448295,49.899826,0.995631,1388.805519,1770.270678,1389.305519,2326.229322,22.188137,-58.976023,269453.7984,868.685655,310.18562,14879.09473,437.601061,767.264018,3.878808,7.302683,7.426036,7.179329,19.984002,0.998058,1236.096641,1991.673008,1236.596641,2104.826992,22.185982,-58.952164,470340.6286,959.820229,490.029918,25350.47266,763.847306,778.111264,3.839076,7.210418,7.318169,7.102666,13.092454,0.998891,3304.566461,1959.604455,3305.066461,2136.895545,22.214917,-58.953633,255038.8551,864.973842,294.851524,13750.90723,414.19076,777.609138,4.062533,7.270249,7.375157,7.16534,21.299175,0.998464
cpt1m012-fl06-20181018-0088-e91.fits,0,58410.30127,2458410.301,2018,NaN,2458410.303,NaN,1.117741,42,5.00719,14,27,41,0.087541,0.197895,0.292488,0.656155,0.269531,0.000428,0.000595,0.00072,0.001311,0.000693,204.332162,332.853634,405.963214,500.633188,389.189246,1687925.778,1708.448466,1990.910589,2040.666298,1991.410589,2055.833702,22.196532,-58.946318,147762.3436,615.75216,707.513109,208.847499,7680.432129,239.970484,513.510684,2464,3.972187,7.492259,7.668785,7.315733,20.201169,0.996175,2634.822938,1795.158118,2635.322938,2301.341882,22.205571,-58.972251,278848.9019,781.964591,356.60042,14320.97168,452.858991,515.075589,4.108242,7.302197,7.293705,7.310689,312.631234,0.999207,1388.963533,1770.382652,1389.463533,2326.117348,22.188137,-58.976027,381974.9841,833.711305,458.162174,19428.73633,620.338846,523.578902,3.97303,7.3673,7.477486,7.257113,8.451897,0.999023,1236.214243,1991.811745,1236.714243,2104.688255,22.185982,-58.952165,668742.1712,962.622477,694.70866,32451.93945,1086.057369,529.466125,3.968291,7.346367,7.40819,7.284544,18.461762,0.999557,3304.718032,1959.721596,3305.218032,2136.778404,22.214918,-58.953639,358359.7206,828.016284,432.793083,17316.80859,581.986948,533.058977,4.078221,7.519162,7.476823,7.561501,71.799206,0.999804
cpt1m012-fl06-20181018-0089-e91.fits,0,58410.30226,2458410.302,2018,NaN,2458410.304,NaN,1.11794,42,4.932349,14,27,41,0.08786,0.198335,0.289313,0.659391,0.27021,0.000491,0.000669,0.0008,0.001462,0.000775,178.980568,296.4392,361.753422,450.912385,348.812307,1531934.167,1727.996389,1990.896033,2039.688491,1991.396033,2056.811509,22.196531,-58.946324,134595.5506,615.75216,736.527252,182.743476,7348.460449,218.587216,598.205386,2637,3.896972,7.382848,7.493577,7.272119,341.652405,0.998601,2634.883382,1794.196572,2635.383382,2302.303428,22.205571,-58.972256,253548.535,799.530645,317.121722,13531.73242,411.770435,600.427123,4.036119,7.195903,7.182472,7.209335,305.896715,0.999857,1388.999279,1769.499065,1389.499279,2327.000935,22.188137,-58.976023,343755.4002,844.21154,407.19107,17745.76563,558.269093,601.769586,3.765488,7.24915,7.380077,7.118223,9.578384,0.998539,1236.25679,1990.859564,1236.75679,2105.640436,22.185981,-58.952168,608743.6434,963.118391,632.054843,31684.67188,988.617958,608.208727,3.898868,7.249231,7.351459,7.147003,7.238468,0.999152,3304.74911,1958.744778,3305.24911,2137.755222,22.214917,-58.953645,325886.588,840.495157,387.731666,16098.97363,529.249606,618.690882,4.057109,7.489179,7.510518,7.46784,16.543278,0.999954
cpt1m012-fl06-20181018-0090-e91.fits,0,58410.30325,2458410.303,2018,NaN,2458410.305,NaN,1.118161,42,4.877885,14,27,41,0.086339,0.197627,0.291022,0.658891,0.269643,0.000428,0.000594,0.000715,0.00131,0.000691,201.630599,332.741058,407.001282,502.984233,390.243162,1704879.213,1719.315876,1990.726224,2040.498157,1991.226224,2056.001843,22.196531,-58.946329,147196.8233,615.75216,714.780779,205.932823,8873.513672,239.052062,527.482666,2532,3.80631,6.822804,6.955316,6.690292,11.181472,0.998237,2634.716471,1795.064044,2635.216471,2301.435956,22.205571,-58.972257,281331.3351,789.793542,356.208706,15529.17773,456.890537,532.710723,4.016223,7.214348,7.274094,7.154603,20.912385,0.999506,1388.843815,1770.297044,1389.343815,2326.202956,22.188137,-58.976027,384313.5735,837.017128,459.146606,21389.30469,624.136785,526.176257,3.814936,7.159653,7.296627,7.02268,18.705751,0.997681,1236.095621,1991.710579,1236.595621,2104.789421,22.185982,-58.952166,677156.6438,967.003269,700.263035,35965.30078,1099.722726,529.158056,3.840634,7.174876,7.23858,7.111173,25.66204,0.999193,3304.610236,1959.656725,3305.110236,2136.843275,22.214918,-58.953645,362077.6606,834.613832,433.826575,19059.40039,588.024995,549.611902,3.978973,7.349598,7.402056,7.29714,29.216153,0.999257
cpt1m012-fl06-20181018-0091-e91.fits,0,58410.30423,2458410.304,2018,NaN,2458410.306,NaN,1.118405,42,4.885669,14,27,41,0.087252,0.199015,0.292585,0.652223,0.270497,0.00042,0.000585,0.000705,0.001278,0.00068,207.818585,340.329925,414.75998,510.393203,397.9324,1730010.26,1716.316542,1990.731953,2040.568599,1991.231953,2055.931401,22.196531,-58.946325,150946.1128,615.75216,710.730947,212.381511,8848.740234,245.14102,516.870771,2670,3.857733,6.967335,7.137674,6.796995,14.504719,0.996878,2634.701661,1795.069863,2635.201661,2301.430137,22.20557,-58.972258,287150.9642,787.259476,364.747549,15765.00977,466.341789,524.880855,4.00231,7.188734,7.231366,7.146102,21.599036,0.999735,1388.83412,1770.354891,1389.33412,2326.145109,22.188137,-58.976025,391598.7566,836.127078,468.348373,22206.09766,635.968141,516.143015,3.806254,7.240821,7.296122,7.185521,354.349392,0.999757,1236.100166,1991.774169,1236.600166,2104.725831,22.185982,-58.952164,682930.0372,966.962455,706.26324,35375.96875,1109.09889,519.964837,3.815411,7.114299,7.25645,6.972148,12.189805,0.998077,3304.576464,1959.663514,3305.076464,2136.836486,22.214917,-58.953644,368330.5023,831.769263,442.827739,19069.25586,598.179797,540.327479,4.068753,7.290677,7.259133,7.322221,54.370484,0.999275
cpt1m012-fl06-20181018-0092-e91.fits,0,58410.30522,2458410.305,2018,NaN,2458410.307,NaN,1.118667,42,4.928848,14,27,41,0.08708,0.198373,0.290351,0.656742,0.270715,0.000369,0.000523,0.000632,0.001163,0.000613,235.711835,378.99372,459.159656,564.880168,441.910458,1932372.483,1729.007613,1990.680114,2040.309426,1991.180114,2056.190574,22.196531,-58.946321,168271.3201,615.75216,697.827963,241.135823,9583.740234,273.277677,464.432207,2505,3.885476,7.226944,7.325344,7.128544,16.367713,0.998952,2634.602774,1794.779556,2635.102774,2301.720444,22.20557,-58.972258,319876.0728,786.816783,406.544547,16911.75,519.488349,475.720419,4.004845,7.1532,7.155846,7.150554,43.189369,0.999863,1388.72317,1770.015234,1389.22317,2326.484766,22.188137,-58.97603,434816.7419,839.11538,518.184689,22567.87109,706.155447,468.316558,4.000941,7.251294,7.334768,7.167819,25.563577,0.998655,1236.030102,1991.472676,1236.530102,2105.027324,22.185982,-58.952165,766003.6513,982.959564,779.282973,40625.07813,1244.012934,466.803368,3.684677,7.164607,7.28993,7.039284,13.022646,0.998485,3304.519529,1959.450053,3305.019529,2137.049947,22.214917,-58.953635,411676.0165,836.697406,492.024971,21229.64258,668.574214,489.2321,4.182633,7.364738,7.338121,7.391355,67.083867,0.999892
