Label,slice,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,EXPTIME,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
lsc1m009-fa04-20181102-0071-e91.fits,11,58856.11719,58425.52781,2458425.528,2018,NaN,2458425.529,NaN,NaN,42,1.145512,4.93567,12,21,32,0.087422,0.26465,0.199252,0.658372,0.294644,0.000145,0.000283,0.000236,0.000577,0.000304,603.896454,935.222186,844.247761,1141.205467,967.760087,4823773.383,2082.234024,2021.928143,2062.026981,2022.428143,2034.473019,22.196525,-58.946348,421705.9104,452.389342,674.164774,625.523502,13353.15137,932.174725,136.001867,1541,5.017355,7.826214,7.784483,7.867944,72.215553,0.999828,3336.296424,1995.402784,3336.796424,2101.097216,22.214924,-58.953725,1009457.449,962.423924,1048.869863,34013.70703,2231.390873,139.526677,4.777574,7.794097,7.711431,7.876762,59.508839,0.998088,2668.346417,1823.581158,2668.846417,2272.918842,22.205569,-58.972327,801455.3482,871.322691,919.814618,27406.60547,1771.605282,136.186081,4.80286,7.760187,7.714611,7.805763,55.280584,0.998882,1268.043418,2005.071112,1268.543418,2091.428888,22.185968,-58.952159,1915033.594,1285.77599,1489.399094,58856.11719,4233.153649,143.050794,5.111276,7.893762,7.886571,7.900952,312.531253,0.999552,1423.140525,1785.425377,1423.640525,2311.074623,22.188123,-58.976038,1097826.992,998.506681,1099.468849,35683.62891,2426.73045,138.806175,4.969286,7.822561,7.846249,7.798873,337.215893,0.999925
lsc1m009-fa04-20181102-0072-e91.fits,12,63001.19141,58425.52862,2458425.529,2018,NaN,2458425.53,NaN,NaN,42,1.145941,5.738772,12,21,32,0.087612,0.265188,0.199414,0.658219,0.293985,0.000144,0.000282,0.000235,0.000575,0.000303,606.992337,938.753059,846.982237,1144.496631,969.883892,4848503.676,2086.789164,2021.994569,2061.803047,2022.494569,2034.696953,22.196524,-58.946333,424787.7655,452.389342,675.520127,628.830658,14435.13477,938.98712,136.120222,1547,4.800051,7.751539,7.746033,7.757046,46.990401,0.999581,3336.279991,1995.130538,3336.779991,2101.369462,22.214923,-58.953714,1016263.771,964.985524,1053.138877,36811.32422,2246.436149,139.441809,4.612178,7.68883,7.613231,7.764429,55.463277,0.996969,2668.357329,1823.375903,2668.857329,2273.124097,22.205568,-58.972309,806109.9401,873.492156,922.858819,29808.80664,1781.894189,137.037092,4.642623,7.64973,7.62065,7.67881,49.860233,0.997972,1268.09469,2004.782781,1268.59469,2091.717219,22.185967,-58.952153,1924580.702,1288.605303,1493.537779,63001.19141,4254.25739,143.63818,4.868037,7.790639,7.849179,7.732099,338.329966,0.999573,1423.211633,1785.131606,1423.711633,2311.368394,22.188123,-58.976032,1101549.263,999.99989,1101.549384,37145.19141,2434.958475,139.043264,4.835304,7.746889,7.808146,7.685632,16.823373,0.999639
lsc1m009-fa04-20181102-0073-e91.fits,13,61564.83203,58425.52942,2458425.529,2018,NaN,2458425.53,NaN,NaN,42,1.146385,5.870906,12,21,32,0.0878,0.265046,0.199672,0.65876,0.293505,0.000145,0.000283,0.000236,0.000576,0.000303,605.156456,936.874522,846.368773,1142.70595,967.696134,4835192.776,2084.485254,2022.162456,2061.755965,2022.662456,2034.744035,22.196525,-58.946338,424529.0976,452.389342,677.225459,626.865237,14554.80957,938.415338,138.560662,1569,4.742953,7.70968,7.710375,7.708984,44.765317,0.999515,3336.577485,1995.11406,3337.077485,2101.38594,22.214924,-58.953716,1013044.717,963.979091,1050.899056,36235.26172,2239.320475,141.053597,4.583803,7.682799,7.670749,7.694849,46.693769,0.997182,2668.627606,1823.341155,2669.127606,2273.158845,22.20557,-58.972312,804762.6412,872.476671,922.388721,30147.38672,1778.916005,138.492056,4.620491,7.606734,7.621695,7.591774,42.545744,0.997887,1268.284575,2004.754292,1268.784575,2091.745708,22.185968,-58.952155,1920248.092,1287.482673,1491.474901,61564.83203,4244.68022,145.652103,4.884391,7.780531,7.843558,7.717503,1.202594,0.999737,1423.357814,1785.043958,1423.857814,2311.456042,22.188123,-58.97604,1097137.326,998.496826,1098.788998,37646.00781,2425.205955,140.978787,4.784119,7.744065,7.810878,7.677252,15.203692,0.9996
lsc1m009-fa04-20181102-0074-e91.fits,14,61885.26953,58425.53023,2458425.53,2018,NaN,2458425.531,NaN,NaN,42,1.146842,5.914717,12,21,32,0.087517,0.265171,0.199485,0.658676,0.293642,0.000145,0.000284,0.000236,0.000577,0.000304,604.177055,935.131498,844.347516,1140.701073,966.163342,4819090.65,2081.312156,2021.959882,2061.799989,2022.459882,2034.700011,22.196525,-58.946347,421750.7533,452.389342,673.874486,625.859507,14039.72461,932.273849,135.302678,1531,4.761655,7.748967,7.849485,7.648448,6.840659,0.999287,3336.34108,1995.294934,3336.84108,2101.205066,22.214924,-58.953712,1010048.979,962.9376,1048.924643,37509.5,2232.698441,139.364644,4.652654,7.684976,7.736183,7.63377,35.887639,0.998184,2668.387217,1823.428638,2668.887217,2273.071362,22.205569,-58.972318,801457.0094,871.090573,920.061626,29969.80078,1771.608954,137.035823,4.655091,7.65201,7.762071,7.541949,24.209021,0.998122,1268.120745,2004.855387,1268.620745,2091.644613,22.185968,-58.952157,1913705.962,1285.211219,1489.020586,61885.26953,4230.218938,143.485938,4.800352,7.801662,7.944221,7.659103,343.259908,0.998081,1423.198658,1785.19878,1423.698658,2311.30122,22.188124,-58.976036,1093878.7,997.017957,1097.150449,37675.07031,2418.002809,138.831376,4.832928,7.763343,7.91836,7.608326,352.875753,0.998304
lsc1m009-fa04-20181102-0075-e91.fits,15,66697.72656,58425.53103,2458425.531,2018,NaN,2458425.532,NaN,NaN,42,1.147319,5.719641,12,21,32,0.08782,0.264922,0.19963,0.658223,0.29401,0.000145,0.000283,0.000236,0.000576,0.000303,607.093669,937.475539,846.433495,1143.040843,968.891404,4836850.089,2084.229159,2022.045843,2061.846544,2022.545843,2034.653456,22.196524,-58.946339,424771.383,452.389342,675.314651,628.997731,15361.97949,938.950907,134.924748,1594,4.590036,7.484587,7.508974,7.460199,35.216571,0.999621,3336.359198,1995.206396,3336.859198,2101.293604,22.214923,-58.953715,1013017.464,963.274673,1051.639259,41707.36719,2239.260234,138.833588,4.402029,7.419448,7.401974,7.436923,47.099302,0.995861,2668.466963,1823.446322,2668.966963,2273.053678,22.205569,-58.972312,804898.0557,872.636807,922.374635,35071.46484,1779.215337,136.254102,4.403812,7.346229,7.358992,7.333467,43.093541,0.99727,1268.244157,2004.857509,1268.744157,2091.642491,22.185968,-58.952155,1919962.327,1287.392273,1491.35766,66697.72656,4244.04854,143.195788,4.697796,7.531213,7.624699,7.437727,348.63647,0.999276,1423.318181,1785.213789,1423.818181,2311.286211,22.188123,-58.976034,1098972.242,998.61866,1100.492397,41131.40234,2429.262009,139.244236,4.589816,7.469992,7.581789,7.358194,11.614616,0.998939
lsc1m009-fa04-20181102-0076-e91.fits,16,68541.3125,58425.53184,2458425.532,2018,NaN,2458425.533,NaN,NaN,42,1.147807,5.6573,12,21,32,0.087462,0.265412,0.199893,0.657627,0.293554,0.000145,0.000283,0.000236,0.000576,0.000304,603.926665,936.866472,846.022046,1141.840747,967.195917,4832174.506,2084.425693,2021.705143,2061.958673,2022.205143,2034.541327,22.196523,-58.94635,422630.543,452.389342,675.640558,625.525715,15920.57813,934.218611,138.866319,1569,4.670665,7.50434,7.544645,7.464035,26.012921,0.999695,3336.118455,1995.312588,3336.618455,2101.187412,22.214923,-58.953727,1013517.195,964.238681,1051.106137,39675.14844,2240.364882,140.459598,4.429673,7.485397,7.518402,7.452392,38.984615,0.99821,2668.108929,1823.50534,2668.608929,2272.99466,22.205568,-58.972328,805003.7161,873.059195,922.049411,32884.67969,1779.448898,137.573837,4.197894,7.445348,7.503909,7.386788,34.541319,0.998059,1267.887175,2005.088629,1268.387175,2091.411371,22.185967,-58.952153,1917059.136,1286.804596,1489.782631,68541.3125,4237.63108,145.898205,4.71819,7.536217,7.639697,7.432736,343.133427,0.99891,1422.960626,1785.377173,1423.460626,2311.122827,22.188123,-58.976038,1096594.459,998.486759,1098.256385,41844.14453,2424.005954,141.867112,4.550436,7.498707,7.637601,7.359812,0.468029,0.998628
lsc1m009-fa04-20181102-0077-e91.fits,17,74004.05469,58425.53264,2458425.533,2018,NaN,2458425.534,NaN,NaN,42,1.14831,5.545053,12,21,32,0.087523,0.264817,0.199741,0.659008,0.293513,0.000145,0.000283,0.000236,0.000577,0.000303,603.944599,935.914675,845.876297,1142.569201,967.216781,4840242.533,2087.413229,2021.907334,2061.852411,2022.407334,2034.647589,22.196524,-58.946345,423630.3625,452.389342,677.228985,625.534895,16656.98828,936.428698,142.087477,1531,4.450946,7.406393,7.438799,7.373986,36.270191,0.999149,3336.325423,1995.237035,3336.825423,2101.262965,22.214924,-58.953716,1013409.658,965.540657,1049.577406,43846.74219,2240.127174,143.712887,4.336624,7.398296,7.396074,7.400519,45.286809,0.996397,2668.37006,1823.44417,2668.87006,2273.05583,22.205569,-58.972316,805836.1746,874.195839,921.802802,36870.05859,1781.289035,141.213028,4.265193,7.34377,7.360993,7.326547,42.721735,0.996514,1268.049628,2004.901688,1268.549628,2091.598312,22.185968,-58.952158,1922689.617,1288.635619,1492.035133,74004.05469,4250.077175,148.279488,4.536935,7.47418,7.54479,7.403571,357.438817,0.99964,1423.107391,1785.218339,1423.607391,2311.281661,22.188123,-58.97604,1098307.083,1000.112546,1098.183487,44540.80859,2427.791685,144.457021,4.478269,7.425007,7.507801,7.342214,16.899503,0.99928
lsc1m009-fa04-20181102-0078-e91.fits,18,76335.85938,58425.53344,2458425.533,2018,NaN,2458425.534,NaN,NaN,42,1.148828,5.398015,12,21,32,0.087398,0.264802,0.19967,0.659047,0.293587,0.000144,0.000283,0.000236,0.000576,0.000303,604.996578,936.915853,847.113368,1143.915184,968.559991,4849648.469,2088.900908,2021.830528,2061.819874,2022.330528,2034.680126,22.196525,-58.946347,423851.9899,452.389342,676.379905,626.647816,18233.1875,936.918602,139.74228,1521,4.355143,7.28861,7.268547,7.308673,51.344922,0.999372,3336.104097,1995.207398,3336.604097,2101.292602,22.214922,-58.953721,1015333.553,966.394281,1050.641103,45429.42188,2244.379915,144.454855,4.192747,7.277533,7.270159,7.284908,46.165653,0.997518,2668.21713,1823.421339,2668.71713,2273.078661,22.205569,-58.972319,807163.2485,874.307956,923.202452,38783.94141,1784.222512,140.441761,4.109689,7.262858,7.283326,7.242391,41.790695,0.997458,1267.957229,2004.856772,1268.457229,2091.643228,22.185968,-58.95216,1926495.642,1289.798829,1493.640402,76335.85938,4258.490336,147.134237,4.465155,7.338173,7.368073,7.308273,348.341967,0.999921,1423.033336,1785.204544,1423.533336,2311.295456,22.188123,-58.976039,1100656.026,1000.796521,1099.780028,46032.30859,2432.983988,142.981361,4.322287,7.28299,7.314169,7.251811,25.806077,0.99981
lsc1m009-fa04-20181102-0079-e91.fits,19,72887.9375,58425.53425,2458425.534,2018,NaN,2458425.535,NaN,NaN,42,1.149364,5.468461,12,21,32,0.087299,0.2656,0.199894,0.657959,0.293155,0.000144,0.000283,0.000236,0.000575,0.000303,604.573564,938.101228,847.049474,1143.643086,968.247561,4848638.103,2088.550668,2021.917689,2062.035409,2022.417689,2034.464591,22.196525,-58.946347,423279.7423,452.389342,675.971753,626.17963,16897.62305,935.653657,139.68176,1550,4.431271,7.37307,7.324808,7.421332,56.821331,0.998934,3336.216481,1995.35515,3336.716481,2101.14485,22.214923,-58.953727,1017538.245,966.827783,1052.450356,44918.94531,2249.253354,142.520137,4.286769,7.383158,7.324909,7.441407,52.009325,0.995758,2668.300632,1823.616511,2668.800632,2272.883489,22.205569,-58.972322,807749.5254,875.018265,923.123046,36631.1875,1785.518469,139.549356,4.221373,7.312907,7.302759,7.323056,46.416134,0.996845,1268.04008,2005.1185,1268.54008,2091.3815,22.185968,-58.952156,1924175.844,1289.131008,1492.614662,72887.9375,4253.362458,147.000238,4.550509,7.412175,7.416966,7.407385,34.374767,0.999987,1423.140999,1785.405734,1423.640999,2311.094266,22.188123,-58.976042,1099174.488,999.886099,1099.299699,43891.88281,2429.70907,142.731203,4.454369,7.364591,7.386385,7.342797,36.211124,0.999616
lsc1m009-fa04-20181102-0080-e91.fits,20,67354.875,58425.53505,2458425.535,2018,NaN,2458425.536,NaN,NaN,42,1.149912,5.559927,12,21,32,0.087549,0.264864,0.199911,0.658174,0.293773,0.000145,0.000283,0.000236,0.000576,0.000304,604.335219,936.200681,846.052019,1142.264631,967.543096,4837144.193,2086.182649,2021.986955,2061.874418,2022.486955,2034.625582,22.196524,-58.946337,423487.1118,452.389342,676.528039,625.971265,16270.86914,936.112044,139.823052,1595,4.461448,7.56974,7.619429,7.52005,30.384918,0.999277,3336.220233,1995.200337,3336.720233,2101.299663,22.214922,-58.953716,1012904.048,964.643202,1050.029737,40507.75391,2239.009529,144.125899,4.362796,7.531129,7.632066,7.430191,28.130778,0.997672,2668.335808,1823.426829,2668.835808,2273.073171,22.205568,-58.972314,805891.7073,874.022548,922.049104,34079.87891,1781.411789,141.449232,4.35092,7.468985,7.559655,7.378314,28.163322,0.998083,1268.141542,2004.860939,1268.641542,2091.639061,22.185968,-58.952157,1919992.647,1287.782502,1490.929287,67354.875,4244.115563,149.354921,4.657348,7.58479,7.668407,7.501172,359.703552,0.999514,1423.218453,1785.22058,1423.718453,2311.27942,22.188123,-58.976035,1098355.79,999.661117,1098.72813,41895.30469,2427.899351,144.825097,4.498662,7.528037,7.617055,7.439018,13.556985,0.999294
