 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
1,cpt1m013-fa14-20190709-0125-e91.fits,1,0,58674.37865,2458674.378654,2458674.383338,1.617619,50.072,6.676533,13,23,35,0.153717,0.650692,0.398378,0.187122,0.195163,0.000274,0.000808,0.000539,0.000333,0.000341,560.090961,805.141729,739.352681,561.598333,573.090606,2742111.478,1688.882857,2082.790692,2082.122507,2083.290692,2014.377493,22.196573,-58.946332,421508.4099,530.929158,706.375619,596.71993,7571.525391,793.907065,182.569727,1932,6.418191,10.166881,10.605619,9.728144,22.757433,0.984886,1480.75166,1812.986301,1481.25166,2283.513699,22.188178,-58.975995,1080922.355,1015.571659,1064.34868,18483.57617,2035.906933,188.277728,6.507999,10.221075,10.746158,9.695992,18.475654,0.983557,2725.566379,1836.45622,2726.066379,2260.04378,22.205603,-58.972219,781189.2295,888.197674,879.521815,13331.83398,1471.362454,185.01979,6.560277,10.27145,10.631598,9.911303,26.223022,0.986795,1890.450796,1251.273046,1890.950796,2845.226954,22.193981,-59.036447,432229.8585,714.384832,605.037844,7202.694336,814.100811,183.649152,6.775352,10.284241,10.784055,9.784428,20.895412,0.983084,3215.947661,1148.660382,3216.447661,2947.839618,22.21259,-59.046032,447770.0348,722.287141,619.933555,7121.871094,843.370585,186.423761,7.120844,10.361509,10.675396,10.047623,22.827619,0.9925
2,cpt1m013-fa14-20190709-0126-e91.fits,2,0,58674.37954,2458674.379541,2458674.384225,1.61171,50.068,7.988538,13,23,35,0.153608,0.649653,0.400477,0.187599,0.193696,0.000275,0.000806,0.000541,0.000333,0.000339,558.934338,805.962577,740.75782,563.628518,571.871378,2741788.831,1686.692151,2082.53697,2082.306053,2083.03697,2014.193947,22.196573,-58.946333,421161.1975,530.929158,707.563442,595.22747,7476.064941,793.253094,181.924962,1988,6.391617,10.211661,10.605593,9.817729,24.576823,0.986125,1480.537063,1813.185436,1481.037063,2283.314564,22.188178,-58.975993,1079749.014,1013.87412,1064.973445,18507.38867,2033.696957,187.30122,6.443783,10.23968,10.750451,9.72891,18.813215,0.984212,2725.240875,1836.68035,2725.740875,2259.81965,22.205601,-58.972216,784035.599,889.279446,881.652671,13415.91211,1476.723564,184.406252,6.574089,10.245046,10.586347,9.903746,26.843477,0.98737,1890.305599,1251.47474,1890.805599,2845.02526,22.193982,-59.036445,433105.9063,712.909736,607.518575,7177.394043,815.750839,180.868152,6.774298,10.298565,10.791124,9.806007,19.760859,0.984693,3215.584402,1148.881934,3216.084402,2947.618066,22.212588,-59.04603,444898.3111,719.67455,618.193753,6999.852539,837.96172,185.537472,7.082371,10.362112,10.650902,10.073323,25.81302,0.991951
3,cpt1m013-fa14-20190709-0127-e91.fits,3,0,58674.38043,2458674.380430,2458674.385114,1.60584,50.076,8.024418,13,23,35,0.153558,0.64924,0.399906,0.187344,0.194586,0.000274,0.000804,0.000539,0.000332,0.00034,561.210021,807.282865,741.991688,564.036041,573.003664,2750916.488,1689.710775,2082.770232,2082.185661,2083.270232,2014.314339,22.196573,-58.946334,422424.3852,530.929158,706.567691,597.854092,8125.032715,795.632296,182.356157,1854,6.175751,9.942506,10.439136,9.445876,21.096995,0.981908,1480.749639,1813.066454,1481.249639,2283.433546,22.188178,-58.975995,1082925.899,1015.028949,1066.89164,19719.9375,2039.68059,185.654959,6.255915,10.057148,10.657851,9.456445,17.322564,0.979065,2725.593728,1836.531946,2726.093728,2259.968054,22.205603,-58.972222,785844.0166,889.77682,883.192278,14638.27246,1480.129701,185.884178,6.370582,10.024336,10.429637,9.619034,23.186006,0.986309,1890.491324,1251.348419,1890.991324,2845.151581,22.193982,-59.036449,434049.9826,714.061743,607.860577,8002.82666,817.528997,181.780166,6.352373,10.048846,10.595263,9.502429,17.927605,0.982102,3215.787332,1148.758521,3216.287332,2947.741479,22.212587,-59.046035,448096.5893,723.36144,619.464301,7282.412598,843.985647,186.074153,6.978931,10.192658,10.552196,9.833121,20.538325,0.991263
4,cpt1m013-fa14-20190709-0128-e91.fits,4,0,58674.38132,2458674.381320,2458674.386004,1.600046,50.076,8.142506,13,23,35,0.153423,0.648197,0.400979,0.187006,0.194695,0.000274,0.000803,0.00054,0.000332,0.00034,560.259825,806.923298,741.95975,563.703841,573.112311,2754024.175,1692.142632,2082.599133,2082.052688,2083.099133,2014.447312,22.196572,-58.946328,422529.7127,530.929158,708.074567,596.730532,7861.492188,795.830679,184.802048,1837,6.293909,9.997927,10.37687,9.618985,25.930243,0.984977,1480.551483,1812.938497,1481.051483,2283.561503,22.188177,-58.975986,1083092.988,1016.024823,1066.010361,19316.50391,2039.9953,187.973258,6.356808,10.02729,10.533299,9.52128,21.057677,0.981582,2725.453529,1836.397297,2725.953529,2260.102703,22.205603,-58.972216,788238.518,892.349558,883.329309,14251.41406,1484.639722,186.39383,6.576219,10.050304,10.324513,9.776096,30.896962,0.986691,1890.362156,1251.216386,1890.862156,2845.283614,22.193982,-59.036439,433879.9494,714.237932,607.472566,7780.216309,817.208742,184.810871,6.488826,10.031447,10.470723,9.592172,22.895724,0.984284,3215.670943,1148.651201,3216.170943,2947.848799,22.212587,-59.046024,448812.7197,724.304279,619.646649,7395.311523,845.334472,186.900724,6.97235,10.165337,10.441025,9.889648,27.353378,0.991199
5,cpt1m013-fa14-20190709-0129-e91.fits,5,0,58674.38221,2458674.382207,2458674.386891,1.594287,50.068,8.121968,13,23,35,0.154429,0.64973,0.399581,0.187178,0.194733,0.000275,0.000806,0.000539,0.000332,0.00034,561.710143,806.5716,741.444418,563.139767,573.076055,2749335.509,1690.086121,2082.777925,2082.288918,2083.277925,2014.211082,22.196572,-58.946334,424576.9205,530.929158,709.374044,598.523338,8017.979004,799.686575,181.810149,1845,6.203893,10.068936,10.533891,9.603982,22.142969,0.983427,1480.733357,1813.132853,1481.233357,2283.367147,22.188177,-58.975998,1082799.128,1015.927861,1065.82285,19390.95508,2039.441817,187.750712,6.320267,10.094344,10.685867,9.502821,17.547707,0.979622,2725.616848,1836.676948,2726.116848,2259.823052,22.205603,-58.972218,784936.0944,889.372923,882.572511,13983.16797,1478.419638,185.02277,6.501021,10.116004,10.474797,9.75721,25.85518,0.986927,1890.494247,1251.462362,1890.994247,2845.037638,22.193981,-59.036447,433477.7313,714.367907,606.798999,7900.736816,816.451167,183.525629,6.501538,10.067467,10.63296,9.501973,18.7166,0.98011,3215.783388,1148.896053,3216.283388,2947.603947,22.212586,-59.046033,448122.5552,723.170778,619.663528,7340.458496,844.034554,185.205444,6.940617,10.234513,10.590814,9.878212,24.038859,0.989166
6,cpt1m013-fa14-20190709-0130-e91.fits,6,0,58674.38309,2458674.383094,2458674.387778,1.588632,50.072,8.121598,13,23,35,0.153651,0.648876,0.401107,0.186548,0.194709,0.000273,0.000802,0.000539,0.000331,0.000339,562.47709,808.921272,744.002225,564.172388,575.183682,2755920.266,1689.022378,2082.749826,2082.346476,2083.249826,2014.153524,22.196572,-58.946329,423450.9375,530.929158,706.686329,599.206353,8015.445801,797.565797,180.211242,1905,6.287046,9.93765,10.292437,9.582863,24.606721,0.988083,1480.753227,1813.199537,1481.253227,2283.300463,22.188178,-58.975992,1084527.137,1014.912063,1068.592223,20028.06641,2042.696507,185.101056,6.28972,9.966725,10.460952,9.472497,19.041226,0.984202,2725.632928,1836.694299,2726.132928,2259.805701,22.205603,-58.972217,788961.3751,890.582247,885.893895,14215.79199,1486.001216,181.67821,6.47876,9.985702,10.25644,9.714964,28.378404,0.99023,1890.520037,1251.482317,1891.020037,2845.017683,22.193982,-59.036446,433283.3721,712.902441,607.773725,7843.900391,816.085094,180.623885,6.539819,9.9802,10.408161,9.55224,21.089839,0.986655,3215.826094,1148.944121,3216.326094,2947.555879,22.212587,-59.046027,449148.3811,722.068881,622.029827,7522.975098,845.966687,182.893403,6.890676,10.116725,10.335024,9.898425,27.737492,0.994207
7,cpt1m013-fa14-20190709-0131-e91.fits,7,0,58674.38398,2458674.383981,2458674.388665,1.582982,50.08,8.064417,13,23,35,0.153696,0.651047,0.40052,0.186875,0.193667,0.000273,0.000805,0.000539,0.000331,0.000337,562.862492,809.185478,743.591416,564.803591,574.031007,2759713.446,1691.27248,2082.847042,2082.166061,2083.347042,2014.333939,22.196572,-58.946332,424156.6054,530.929158,707.318136,599.668782,8267.355469,798.894916,180.234446,1881,6.241715,9.893967,10.29059,9.497345,25.167664,0.984273,1480.785147,1813.037394,1481.285147,2283.462606,22.188176,-58.975992,1088220.231,1017.23024,1069.787534,20275.92578,2049.652413,184.951812,6.24792,9.927266,10.464385,9.390147,19.872975,0.980309,2725.669348,1836.536406,2726.169348,2259.963594,22.205602,-58.972219,789221.7405,891.741716,885.034003,14909.1709,1486.491612,182.348441,6.395098,9.927383,10.26534,9.589426,27.578745,0.985831,1890.541195,1251.342558,1891.041195,2845.157442,22.19398,-59.036444,434521.3852,713.990238,608.581689,7999.334473,818.41688,180.470074,6.354074,9.957784,10.445266,9.470302,21.73708,0.981883,3215.943244,1148.784591,3216.443244,2947.715409,22.212587,-59.046031,447750.0893,721.567664,620.524051,7513.742676,843.333018,182.790606,6.961678,10.056194,10.345483,9.766905,27.695829,0.989755
8,cpt1m013-fa14-20190709-0132-e91.fits,8,0,58674.38487,2458674.384865,2458674.389549,1.577432,50.068,8.132183,13,23,35,0.153756,0.648977,0.400234,0.187166,0.194665,0.000274,0.000804,0.000539,0.000331,0.000339,561.175763,807.424171,742.222475,564.65079,574.429874,2746905.692,1686.298914,2082.680721,2082.037677,2083.180721,2014.462323,22.196571,-58.946331,422353.7493,530.929158,706.552006,597.767391,8133.953613,795.499254,180.374018,1914,6.151285,10.090827,10.480613,9.701041,27.840674,0.981279,1480.658935,1812.903843,1481.158935,2283.596157,22.188177,-58.975989,1081081.219,1013.940487,1066.217625,19774.67578,2036.206152,184.623051,6.389337,10.163623,10.668532,9.658715,22.728913,0.980035,2725.608585,1836.425324,2726.108585,2260.074676,22.205603,-58.972217,785158.1485,888.872997,883.318709,14083.13574,1478.837875,182.23638,6.356805,10.1649,10.46305,9.866751,31.462775,0.983417,1890.446332,1251.226213,1890.946332,2845.273787,22.19398,-59.036439,433071.4786,711.597058,608.590879,7614.257812,815.685995,179.567322,6.529855,10.216411,10.685498,9.747325,24.205618,0.980941,3215.839776,1148.661273,3216.339776,2947.838727,22.212587,-59.04603,447594.8468,720.460365,621.262277,7086.310547,843.04062,181.213908,7.169215,10.301455,10.590482,10.012427,28.032259,0.989912
9,cpt1m013-fa14-20190709-0133-e91.fits,9,0,58674.38575,2458674.385753,2458674.390437,1.571913,50.12,8.069843,13,23,35,0.153945,0.650121,0.400187,0.187487,0.193775,0.000273,0.000803,0.000538,0.000331,0.000338,563.435596,809.292549,744.093556,566.058027,574.095255,2755939.881,1688.26307,2082.661628,2082.330667,2083.161628,2014.169333,22.196572,-58.946328,424262.3806,530.929158,706.7171,600.328449,8112.674805,799.094142,179.058722,1889,6.219911,9.959113,10.40494,9.513285,24.84803,0.980918,1480.63111,1813.179927,1481.13111,2283.320073,22.188177,-58.975987,1085795.337,1015.501456,1069.220856,19995.25391,2045.085149,183.162218,6.24126,10.022748,10.598058,9.447437,19.659219,0.978124,2725.535665,1836.694963,2726.035665,2259.805037,22.205603,-58.972217,787674.9921,889.237204,885.787266,14609.15332,1483.578326,180.768965,6.381565,10.043718,10.388391,9.699044,28.338547,0.984428,1890.382432,1251.489255,1890.882432,2845.010745,22.19398,-59.036439,435122.8897,713.141685,610.149286,7999.233887,819.549808,180.160662,6.412957,10.044768,10.576386,9.513151,21.330115,0.979398,3215.782161,1148.984218,3216.282161,2947.515782,22.212587,-59.046024,447346.6625,720.884955,620.552086,7401.182129,842.573167,181.84905,6.961341,10.191361,10.502169,9.880553,26.20096,0.990024
10,cpt1m013-fa14-20190709-0134-e91.fits,10,0,58674.38664,2458674.386639,2458674.391324,1.566444,50.068,7.79128,13,23,35,0.153317,0.650714,0.399882,0.186554,0.19463,0.000271,0.000801,0.000535,0.000329,0.000337,565.242164,812.720366,746.890978,567.584169,578.309762,2769496.515,1689.259651,2082.858902,2082.216458,2083.358902,2014.283542,22.196572,-58.946342,424611.9629,530.929158,705.145076,602.162558,9040.833008,799.752577,174.296316,1934,6.008927,9.703546,10.221901,9.18519,19.691985,0.981001,1480.837859,1813.079973,1481.337859,2283.420027,22.188177,-58.976003,1091740.253,1016.880618,1073.616936,22143.11133,2056.282342,180.431336,5.987041,9.74564,10.397991,9.093289,14.372578,0.976893,2725.736355,1836.616299,2726.236355,2259.883701,22.205604,-58.972226,791118.0892,890.127744,888.769162,15786.96484,1490.063366,177.13097,6.208558,9.741477,10.224585,9.258369,21.111087,0.982149,1890.599255,1251.380805,1891.099255,2845.119195,22.193981,-59.036456,435429.5555,711.946029,611.604725,8697.491211,820.12741,176.473573,6.031671,9.75465,10.360195,9.149104,15.76551,0.978945,3215.874487,1148.920156,3216.374487,2947.579844,22.212587,-59.046032,451208.6167,721.358046,625.498834,8159.738281,849.847121,178.932186,6.650358,9.880217,10.286687,9.473748,21.279846,0.987564
