 	Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD-OBS	AIRMASS	EXPTIME	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	RA_T1	DEC_T1
1	cpt1m012-fa06-20190714-0186-e91.fits	1.000000	0.000000	58679.410166	2458679.410166	NaN	1.377942	49.981000	4.970869	9.000000	18.000000	27.000000	0.134143	0.412343	0.179484	0.649987	0.193228	0.000373	0.000743	0.000458	0.001074	0.000482	359.962907	555.071451	391.855808	605.169633	401.108120	2022919.168075	1684.199950	1942.444907	1846.066975	1942.944907	1840.433025	271359.828515	254.469005	719.205165	377.305172	10547.689453	1066.376742	1082.787437	1053.000000	4.713075	6.794924	6.580112	7.009737	293.499056	0.991423	2520.594916	1624.371929	2521.094916	2062.128071	590604.396798	884.855060	667.458913	22813.939453	2320.928621	1114.409090	5.061937	6.497178	5.968412	7.025945	279.790119	0.970546	1768.353328	1098.796187	1768.853328	2587.703813	307831.604621	737.054057	417.651326	11031.428711	1209.701766	1075.011709	4.996836	6.830533	6.525590	7.135476	81.906410	0.991390	1400.256284	1604.851861	1400.756284	2081.648139	796897.752445	963.045707	827.476564	25532.068359	3131.610282	1039.173332	5.398303	6.770362	6.709030	6.831694	298.923199	0.998841	2960.767939	1004.545670	2961.267939	2681.954330	327585.414210	763.449590	429.085847	13530.698242	1287.329332	1153.584465	4.684196	6.533146	5.823352	7.242941	87.239678	0.953449	22.193577	-58.968776
2	cpt1m012-fa06-20190714-0187-e91.fits	2.000000	0.000000	58679.411056	2458679.411056	NaN	1.374271	50.009000	6.061874	9.000000	18.000000	27.000000	0.133249	0.418641	0.176477	0.642513	0.195770	0.000370	0.000748	0.000454	0.001059	0.000482	360.083119	559.381932	388.926037	606.440602	406.497965	2030224.728550	1684.486186	1942.646884	1845.784143	1943.146884	1840.715857	270525.148932	254.469005	716.972201	377.316092	11310.269531	1063.096659	1074.252008	1105.000000	4.949492	6.880700	6.545396	7.216005	286.220327	0.986727	2520.744814	1624.045604	2521.244814	2062.454396	599119.025567	887.643828	674.954308	23112.023438	2354.388998	1110.751937	4.979341	6.533199	5.954913	7.111486	278.298624	0.966405	1768.506365	1098.502215	1769.006365	2587.997785	304543.237636	735.964438	413.801567	11259.040039	1196.779300	1071.721970	5.320984	6.843098	6.466892	7.219305	76.938864	0.985094	1400.364056	1604.488579	1400.864056	2082.011421	794176.609195	962.170947	825.400738	27354.792969	3120.916865	1031.136400	5.221575	6.757350	6.653766	6.860934	284.826123	0.998756	2960.896534	1004.280412	2961.396534	2682.219588	332385.856151	762.997747	435.631504	13283.727539	1306.193877	1147.225807	4.867108	6.537523	5.729494	7.345552	87.824657	0.940375	22.193577	-58.968771
3	cpt1m012-fa06-20190714-0188-e91.fits	3.000000	0.000000	58679.411944	2458679.411944	NaN	1.370664	50.009000	6.071699	9.000000	18.000000	27.000000	0.134455	0.414011	0.177498	0.644228	0.197110	0.000374	0.000745	0.000456	0.001066	0.000487	359.793584	556.014814	388.935185	604.586461	405.074392	2019996.832760	1682.216205	1942.528282	1845.757773	1943.028282	1840.742227	271598.974634	254.469005	720.192208	377.120124	11091.438477	1067.316527	1075.101373	1033.000000	4.638703	6.968558	6.683076	7.254039	285.186053	0.991011	2520.636611	1623.994652	2521.136611	2062.505348	591438.375158	883.260851	669.607822	21860.933594	2324.205949	1111.707915	5.025855	6.650000	6.082429	7.217570	276.382320	0.969808	1768.383833	1098.480732	1768.883833	2588.019268	304496.960996	735.400470	414.055978	11056.933594	1196.597444	1070.395721	4.773085	6.918299	6.568201	7.268396	74.480496	0.986118	1400.238645	1604.485272	1400.738645	2082.014728	791458.675152	960.122997	824.330505	26094.566406	3110.236059	1033.314083	5.051473	6.879166	6.851851	6.906480	279.802871	0.999929	2960.811168	1004.271701	2961.311168	2682.228299	332602.821455	766.192931	434.098004	13523.875000	1307.046497	1149.536950	4.807502	6.657250	5.870832	7.443669	86.832412	0.945038	22.193577	-58.968772
4	cpt1m012-fa06-20190714-0189-e91.fits	4.000000	0.000000	58679.412829	2458679.412829	NaN	1.367090	49.993000	6.361234	9.000000	18.000000	27.000000	0.137036	0.414836	0.179218	0.644934	0.194375	0.000379	0.000752	0.000463	0.001075	0.000487	361.744875	551.820114	387.009394	599.752221	398.783512	1994838.571322	1675.211909	1942.635102	1845.878077	1943.135102	1840.621923	273364.420288	254.469005	719.970126	379.688560	10277.236328	1074.254290	1073.701059	1074.000000	4.988821	7.194031	6.984674	7.403387	293.311965	0.992830	2520.730409	1624.190416	2521.230409	2062.309584	584895.361144	879.585308	664.967179	20179.939453	2298.493529	1109.969408	5.156863	6.917017	6.417007	7.417027	279.695805	0.976752	1768.426094	1098.643599	1768.926094	2587.856401	303176.645285	735.476807	412.217819	10132.159180	1191.408932	1070.938541	5.173243	7.183333	6.867343	7.499324	76.098973	0.990146	1400.402850	1604.520276	1400.902850	2081.979724	782122.000674	955.598995	818.462561	24498.232422	3073.545247	1033.843043	5.407536	7.135975	7.115348	7.156602	305.547700	0.999682	2960.862287	1004.452821	2961.362287	2682.047179	324644.564219	760.637268	426.806019	11831.350586	1275.772522	1150.752914	5.008009	6.953020	6.235672	7.670368	87.992897	0.958110	22.193577	-58.968769
5	cpt1m012-fa06-20190714-0190-e91.fits	5.000000	0.000000	58679.413717	2458679.413717	NaN	1.363581	49.977000	6.446570	9.000000	18.000000	27.000000	0.135934	0.415347	0.179920	0.638773	0.196556	0.000377	0.000752	0.000462	0.001065	0.000489	360.497290	552.382586	389.296751	599.829991	402.232812	1996142.876121	1674.015038	1942.625877	1845.779503	1943.125877	1840.720497	271343.605668	254.469005	717.470901	378.194579	10534.202148	1066.312991	1072.084171	1092.000000	5.038226	7.214556	7.000249	7.428863	288.903480	0.994356	2520.739734	1624.048649	2521.239734	2062.451351	585787.298805	880.247498	665.480220	19986.662109	2301.998622	1106.474697	5.257458	6.923695	6.394048	7.453342	277.929519	0.974997	1768.421781	1098.518058	1768.921781	2587.981942	304381.889525	733.506950	414.967969	10433.719727	1196.145242	1066.694854	5.161212	7.210199	6.862914	7.557485	74.186089	0.987260	1400.332951	1604.452166	1400.832951	2082.047834	778071.049421	954.362266	815.278513	24265.328125	3057.626015	1030.230642	5.407429	7.124390	7.104369	7.144410	299.389033	0.999882	2960.895502	1004.340865	2961.395502	2682.159135	327902.638371	760.691072	431.058876	12311.771484	1288.575944	1144.707331	5.007293	6.922961	6.194170	7.651752	86.562999	0.956008	22.193577	-58.968767
6	cpt1m012-fa06-20190714-0191-e91.fits	6.000000	0.000000	58679.414593	2458679.414593	NaN	1.360122	49.977000	6.447807	9.000000	18.000000	27.000000	0.137357	0.409654	0.180362	0.648393	0.195090	0.000380	0.000746	0.000464	0.001081	0.000488	361.159544	548.942392	388.481664	599.724947	400.138163	1990702.827215	1672.530487	1942.443397	1845.995805	1942.943397	1840.504195	273436.991022	254.469005	721.412360	379.030089	9349.425781	1074.539475	1071.477018	1109.000000	4.841453	7.395420	7.189728	7.601111	292.194877	0.993950	2520.650106	1624.230388	2521.150106	2062.269612	578510.309293	877.773129	659.065868	19402.980469	2273.401861	1107.673153	5.354612	7.049818	6.505458	7.594179	279.397352	0.973703	1768.298309	1098.659676	1768.798309	2587.840324	304184.453774	734.614210	414.073741	10208.943359	1195.369369	1066.985549	5.014677	7.362355	7.027131	7.697580	79.421869	0.990505	1400.222168	1604.622029	1400.722168	2081.877971	783040.105162	955.106131	819.846172	22882.039062	3077.153170	1028.283965	5.457531	7.301308	7.296871	7.305745	313.208134	0.999622	2960.772995	1004.489275	2961.272995	2682.010725	324967.958985	758.278845	428.559970	11561.974609	1277.043383	1143.109424	5.124194	7.115222	6.417785	7.812659	86.655957	0.961778	22.193577	-58.968755
7	cpt1m012-fa06-20190714-0192-e91.fits	7.000000	0.000000	58679.415467	2458679.415467	NaN	1.356678	49.973000	6.412776	9.000000	18.000000	27.000000	0.138018	0.409220	0.181215	0.648193	0.194634	0.000380	0.000744	0.000466	0.001081	0.000488	363.042525	549.713009	389.205367	599.819992	399.246661	1990203.366665	1671.619487	1942.440027	1846.017068	1942.940027	1840.482932	274683.704441	254.469005	720.582236	381.196886	9588.304688	1079.438749	1068.459762	1102.000000	4.793078	7.394141	7.192320	7.595962	296.340740	0.991904	2520.656002	1624.248513	2521.156002	2062.251487	577930.324956	874.962933	660.519781	19509.326172	2271.122666	1103.707774	5.271947	7.044020	6.491464	7.596576	280.189816	0.972331	1768.294668	1098.714689	1768.794668	2587.785311	305325.621411	735.821912	414.944997	9952.289062	1199.853874	1064.446976	5.035443	7.340312	6.964992	7.715632	81.687132	0.988669	1400.173565	1604.710289	1400.673565	2081.789711	782696.744711	954.867462	819.691502	22568.505859	3075.803848	1027.559260	5.456611	7.305486	7.268987	7.341984	304.753465	0.999185	2960.854040	1004.479762	2961.354040	2682.020238	324250.675586	758.647360	427.406319	11475.871094	1274.224638	1146.140208	5.058996	7.071300	6.262245	7.880355	270.183051	0.948980	22.193577	-58.968763
8	cpt1m012-fa06-20190714-0193-e91.fits	8.000000	0.000000	58679.416352	2458679.416352	NaN	1.353254	49.972000	6.554076	9.000000	18.000000	27.000000	0.138942	0.412212	0.179605	0.644231	0.196226	0.000381	0.000752	0.000466	0.001080	0.000492	364.442067	547.851956	385.590020	596.709761	398.982268	1978681.460497	1670.084802	1942.639267	1845.966940	1943.139267	1840.533060	274922.030994	254.469005	717.788548	383.012563	9803.505859	1080.375314	1067.808945	1068.000000	5.068314	7.476568	7.317082	7.636055	298.302517	0.993997	2520.772533	1624.272028	2521.272533	2062.227972	577559.755480	876.325023	659.070254	19050.242188	2269.666420	1102.941059	5.223560	7.128954	6.655368	7.602540	280.292999	0.980034	1768.528827	1098.641481	1769.028827	2587.858519	301270.941291	733.378907	410.798481	9643.378906	1183.919988	1064.541300	5.455990	7.390201	7.082530	7.697872	75.800524	0.991071	1400.396623	1604.597517	1400.896623	2081.902483	775272.694502	952.250294	814.148023	23124.330078	3046.629175	1026.321002	5.474023	7.395282	7.430506	7.360059	331.014729	0.999677	2960.978074	1004.474049	2961.478074	2682.025951	324578.069224	759.350023	427.441969	10869.341797	1275.511213	1141.842649	5.135717	7.204993	6.518708	7.891277	88.316586	0.964235	22.193576	-58.968763
9	cpt1m012-fa06-20190714-0194-e91.fits	9.000000	0.000000	58679.417227	2458679.417227	NaN	1.349881	50.060000	6.747122	9.000000	18.000000	27.000000	0.138721	0.409937	0.180257	0.647342	0.195548	0.000383	0.000752	0.000469	0.001088	0.000492	361.859392	545.103186	384.653302	594.942446	397.104833	1967764.930559	1666.601454	1942.486339	1845.810491	1942.986339	1840.689509	272969.419898	254.469005	718.051204	380.153140	8840.687500	1072.702037	1066.517744	1099.000000	5.187214	7.616296	7.455337	7.777256	296.401920	0.995116	2520.675867	1624.027932	2521.175867	2062.472068	572124.767800	873.537602	654.951506	17561.234375	2248.308268	1100.190507	5.635066	7.307546	6.802906	7.812186	277.591028	0.979714	1768.375336	1098.484804	1768.875336	2588.015196	300529.990772	733.246963	409.861896	8971.962891	1181.008237	1064.653339	5.280608	7.613679	7.276147	7.951211	74.134143	0.989175	1400.293669	1604.424483	1400.793669	2082.075517	773256.165933	950.917577	813.168443	21069.044922	3038.704718	1022.635605	5.663614	7.556827	7.582185	7.531469	327.130255	0.999733	2960.877032	1004.282459	2961.377032	2682.217541	321854.006055	756.701473	425.338152	10459.086914	1264.806321	1141.373772	5.415033	7.305763	6.544666	8.066860	87.979050	0.957303	22.193576	-58.968754
10	cpt1m012-fa06-20190714-0195-e91.fits	10.000000	0.000000	58679.418114	2458679.418114	NaN	1.346498	50.020000	7.017505	9.000000	18.000000	27.000000	0.140976	0.411239	0.180656	0.641036	0.197540	0.000387	0.000757	0.000471	0.001084	0.000496	363.990703	543.334828	383.839875	591.296750	398.121132	1952960.465656	1661.593089	1942.505532	1845.912025	1943.005532	1840.587975	275320.966483	254.469005	719.210358	382.810069	8341.935547	1081.943031	1062.511797	1138.000000	5.348612	7.801848	7.714204	7.889492	305.003529	0.995683	2520.807494	1624.021621	2521.307494	2062.478379	569098.126050	870.879594	653.475095	16046.930664	2236.414318	1094.287507	5.863349	7.439578	6.990364	7.888791	281.961941	0.982673	1768.484948	1098.436940	1768.984948	2588.063060	298829.070172	730.345095	409.161467	8540.337891	1174.324041	1060.315848	5.454915	7.788652	7.448789	8.128515	80.658696	0.991545	1400.259502	1604.469816	1400.759502	2082.030184	762882.508459	948.583461	804.233406	19042.501953	2997.938820	1023.987609	5.956165	7.739743	7.827842	7.651644	335.415988	0.998788	2960.989266	1004.284545	2961.489266	2682.215455	322150.760975	754.483787	426.981688	9619.233398	1265.972495	1135.120927	5.717364	7.492581	6.735255	8.249907	88.572390	0.959857	22.193577	-58.968751
