 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,RA_T1,DEC_T1
1,cpt1m012-fa06-20190714-0186-e91.fits,1,0,58679.41017,2458679.410166,2458679.414971,1.377942,49.981,4.970869,9,18,27,0.134143,0.412343,0.179484,0.649987,0.193228,0.000373,0.000743,0.000458,0.001074,0.000482,359.962907,555.071451,391.855808,605.169633,401.10812,2022919.168,1684.19995,1942.444907,1846.066975,1942.944907,1840.433025,271359.8285,254.469005,719.205165,377.305172,10547.68945,1066.376742,1082.787437,1053,4.713075,6.794924,6.580112,7.009737,293.499056,0.991423,2520.594916,1624.371929,2521.094916,2062.128071,590604.3968,884.85506,667.458913,22813.93945,2320.928621,1114.40909,5.061937,6.497178,5.968412,7.025945,279.790119,0.970546,1768.353328,1098.796187,1768.853328,2587.703813,307831.6046,737.054057,417.651326,11031.42871,1209.701766,1075.011709,4.996836,6.830533,6.52559,7.135476,81.90641,0.99139,1400.256284,1604.851861,1400.756284,2081.648139,796897.7524,963.045707,827.476564,25532.06836,3131.610282,1039.173332,5.398303,6.770362,6.70903,6.831694,298.923199,0.998841,2960.767939,1004.54567,2961.267939,2681.95433,327585.4142,763.44959,429.085847,13530.69824,1287.329332,1153.584465,4.684196,6.533146,5.823352,7.242941,87.239678,0.953449,22.193577,-58.968776
2,cpt1m012-fa06-20190714-0187-e91.fits,2,0,58679.41106,2458679.411056,2458679.415861,1.374271,50.009,6.061874,9,18,27,0.133249,0.418641,0.176477,0.642513,0.19577,0.00037,0.000748,0.000454,0.001059,0.000482,360.083119,559.381932,388.926037,606.440602,406.497965,2030224.729,1684.486186,1942.646884,1845.784143,1943.146884,1840.715857,270525.1489,254.469005,716.972201,377.316092,11310.26953,1063.096659,1074.252008,1105,4.949492,6.8807,6.545396,7.216005,286.220327,0.986727,2520.744814,1624.045604,2521.244814,2062.454396,599119.0256,887.643828,674.954308,23112.02344,2354.388998,1110.751937,4.979341,6.533199,5.954913,7.111486,278.298624,0.966405,1768.506365,1098.502215,1769.006365,2587.997785,304543.2376,735.964438,413.801567,11259.04004,1196.7793,1071.72197,5.320984,6.843098,6.466892,7.219305,76.938864,0.985094,1400.364056,1604.488579,1400.864056,2082.011421,794176.6092,962.170947,825.400738,27354.79297,3120.916865,1031.1364,5.221575,6.75735,6.653766,6.860934,284.826123,0.998756,2960.896534,1004.280412,2961.396534,2682.219588,332385.8562,762.997747,435.631504,13283.72754,1306.193877,1147.225807,4.867108,6.537523,5.729494,7.345552,87.824657,0.940375,22.193577,-58.968771
3,cpt1m012-fa06-20190714-0188-e91.fits,3,0,58679.41194,2458679.411944,2458679.416749,1.370664,50.009,6.071699,9,18,27,0.134455,0.414011,0.177498,0.644228,0.19711,0.000374,0.000745,0.000456,0.001066,0.000487,359.793584,556.014814,388.935185,604.586461,405.074392,2019996.833,1682.216205,1942.528282,1845.757773,1943.028282,1840.742227,271598.9746,254.469005,720.192208,377.120124,11091.43848,1067.316527,1075.101373,1033,4.638703,6.968558,6.683076,7.254039,285.186053,0.991011,2520.636611,1623.994652,2521.136611,2062.505348,591438.3752,883.260851,669.607822,21860.93359,2324.205949,1111.707915,5.025855,6.65,6.082429,7.21757,276.38232,0.969808,1768.383833,1098.480732,1768.883833,2588.019268,304496.961,735.40047,414.055978,11056.93359,1196.597444,1070.395721,4.773085,6.918299,6.568201,7.268396,74.480496,0.986118,1400.238645,1604.485272,1400.738645,2082.014728,791458.6752,960.122997,824.330505,26094.56641,3110.236059,1033.314083,5.051473,6.879166,6.851851,6.90648,279.802871,0.999929,2960.811168,1004.271701,2961.311168,2682.228299,332602.8215,766.192931,434.098004,13523.875,1307.046497,1149.53695,4.807502,6.65725,5.870832,7.443669,86.832412,0.945038,22.193577,-58.968772
4,cpt1m012-fa06-20190714-0189-e91.fits,4,0,58679.41283,2458679.412829,2458679.417634,1.36709,49.993,6.361234,9,18,27,0.137036,0.414836,0.179218,0.644934,0.194375,0.000379,0.000752,0.000463,0.001075,0.000487,361.744875,551.820114,387.009394,599.752221,398.783512,1994838.571,1675.211909,1942.635102,1845.878077,1943.135102,1840.621923,273364.4203,254.469005,719.970126,379.68856,10277.23633,1074.25429,1073.701059,1074,4.988821,7.194031,6.984674,7.403387,293.311965,0.99283,2520.730409,1624.190416,2521.230409,2062.309584,584895.3611,879.585308,664.967179,20179.93945,2298.493529,1109.969408,5.156863,6.917017,6.417007,7.417027,279.695805,0.976752,1768.426094,1098.643599,1768.926094,2587.856401,303176.6453,735.476807,412.217819,10132.15918,1191.408932,1070.938541,5.173243,7.183333,6.867343,7.499324,76.098973,0.990146,1400.40285,1604.520276,1400.90285,2081.979724,782122.0007,955.598995,818.462561,24498.23242,3073.545247,1033.843043,5.407536,7.135975,7.115348,7.156602,305.5477,0.999682,2960.862287,1004.452821,2961.362287,2682.047179,324644.5642,760.637268,426.806019,11831.35059,1275.772522,1150.752914,5.008009,6.95302,6.235672,7.670368,87.992897,0.95811,22.193577,-58.968769
5,cpt1m012-fa06-20190714-0190-e91.fits,5,0,58679.41372,2458679.413717,2458679.418522,1.363581,49.977,6.44657,9,18,27,0.135934,0.415347,0.17992,0.638773,0.196556,0.000377,0.000752,0.000462,0.001065,0.000489,360.49729,552.382586,389.296751,599.829991,402.232812,1996142.876,1674.015038,1942.625877,1845.779503,1943.125877,1840.720497,271343.6057,254.469005,717.470901,378.194579,10534.20215,1066.312991,1072.084171,1092,5.038226,7.214556,7.000249,7.428863,288.90348,0.994356,2520.739734,1624.048649,2521.239734,2062.451351,585787.2988,880.247498,665.48022,19986.66211,2301.998622,1106.474697,5.257458,6.923695,6.394048,7.453342,277.929519,0.974997,1768.421781,1098.518058,1768.921781,2587.981942,304381.8895,733.50695,414.967969,10433.71973,1196.145242,1066.694854,5.161212,7.210199,6.862914,7.557485,74.186089,0.98726,1400.332951,1604.452166,1400.832951,2082.047834,778071.0494,954.362266,815.278513,24265.32813,3057.626015,1030.230642,5.407429,7.12439,7.104369,7.14441,299.389033,0.999882,2960.895502,1004.340865,2961.395502,2682.159135,327902.6384,760.691072,431.058876,12311.77148,1288.575944,1144.707331,5.007293,6.922961,6.19417,7.651752,86.562999,0.956008,22.193577,-58.968767
6,cpt1m012-fa06-20190714-0191-e91.fits,6,0,58679.41459,2458679.414593,2458679.419398,1.360122,49.977,6.447807,9,18,27,0.137357,0.409654,0.180362,0.648393,0.19509,0.00038,0.000746,0.000464,0.001081,0.000488,361.159544,548.942392,388.481664,599.724947,400.138163,1990702.827,1672.530487,1942.443397,1845.995805,1942.943397,1840.504195,273436.991,254.469005,721.41236,379.030089,9349.425781,1074.539475,1071.477018,1109,4.841453,7.39542,7.189728,7.601111,292.194877,0.99395,2520.650106,1624.230388,2521.150106,2062.269612,578510.3093,877.773129,659.065868,19402.98047,2273.401861,1107.673153,5.354612,7.049818,6.505458,7.594179,279.397352,0.973703,1768.298309,1098.659676,1768.798309,2587.840324,304184.4538,734.61421,414.073741,10208.94336,1195.369369,1066.985549,5.014677,7.362355,7.027131,7.69758,79.421869,0.990505,1400.222168,1604.622029,1400.722168,2081.877971,783040.1052,955.106131,819.846172,22882.03906,3077.15317,1028.283965,5.457531,7.301308,7.296871,7.305745,313.208134,0.999622,2960.772995,1004.489275,2961.272995,2682.010725,324967.959,758.278845,428.55997,11561.97461,1277.043383,1143.109424,5.124194,7.115222,6.417785,7.812659,86.655957,0.961778,22.193577,-58.968755
7,cpt1m012-fa06-20190714-0192-e91.fits,7,0,58679.41547,2458679.415467,2458679.420272,1.356678,49.973,6.412776,9,18,27,0.138018,0.40922,0.181215,0.648193,0.194634,0.00038,0.000744,0.000466,0.001081,0.000488,363.042525,549.713009,389.205367,599.819992,399.246661,1990203.367,1671.619487,1942.440027,1846.017068,1942.940027,1840.482932,274683.7044,254.469005,720.582236,381.196886,9588.304688,1079.438749,1068.459762,1102,4.793078,7.394141,7.19232,7.595962,296.34074,0.991904,2520.656002,1624.248513,2521.156002,2062.251487,577930.325,874.962933,660.519781,19509.32617,2271.122666,1103.707774,5.271947,7.04402,6.491464,7.596576,280.189816,0.972331,1768.294668,1098.714689,1768.794668,2587.785311,305325.6214,735.821912,414.944997,9952.289062,1199.853874,1064.446976,5.035443,7.340312,6.964992,7.715632,81.687132,0.988669,1400.173565,1604.710289,1400.673565,2081.789711,782696.7447,954.867462,819.691502,22568.50586,3075.803848,1027.55926,5.456611,7.305486,7.268987,7.341984,304.753465,0.999185,2960.85404,1004.479762,2961.35404,2682.020238,324250.6756,758.64736,427.406319,11475.87109,1274.224638,1146.140208,5.058996,7.0713,6.262245,7.880355,270.183051,0.94898,22.193577,-58.968763
8,cpt1m012-fa06-20190714-0193-e91.fits,8,0,58679.41635,2458679.416352,2458679.421157,1.353254,49.972,6.554076,9,18,27,0.138942,0.412212,0.179605,0.644231,0.196226,0.000381,0.000752,0.000466,0.00108,0.000492,364.442067,547.851956,385.59002,596.709761,398.982268,1978681.46,1670.084802,1942.639267,1845.96694,1943.139267,1840.53306,274922.031,254.469005,717.788548,383.012563,9803.505859,1080.375314,1067.808945,1068,5.068314,7.476568,7.317082,7.636055,298.302517,0.993997,2520.772533,1624.272028,2521.272533,2062.227972,577559.7555,876.325023,659.070254,19050.24219,2269.66642,1102.941059,5.22356,7.128954,6.655368,7.60254,280.292999,0.980034,1768.528827,1098.641481,1769.028827,2587.858519,301270.9413,733.378907,410.798481,9643.378906,1183.919988,1064.5413,5.45599,7.390201,7.08253,7.697872,75.800524,0.991071,1400.396623,1604.597517,1400.896623,2081.902483,775272.6945,952.250294,814.148023,23124.33008,3046.629175,1026.321002,5.474023,7.395282,7.430506,7.360059,331.014729,0.999677,2960.978074,1004.474049,2961.478074,2682.025951,324578.0692,759.350023,427.441969,10869.3418,1275.511213,1141.842649,5.135717,7.204993,6.518708,7.891277,88.316586,0.964235,22.193576,-58.968763
9,cpt1m012-fa06-20190714-0194-e91.fits,9,0,58679.41723,2458679.417227,2458679.422032,1.349881,50.06,6.747122,9,18,27,0.138721,0.409937,0.180257,0.647342,0.195548,0.000383,0.000752,0.000469,0.001088,0.000492,361.859392,545.103186,384.653302,594.942446,397.104833,1967764.931,1666.601454,1942.486339,1845.810491,1942.986339,1840.689509,272969.4199,254.469005,718.051204,380.15314,8840.6875,1072.702037,1066.517744,1099,5.187214,7.616296,7.455337,7.777256,296.40192,0.995116,2520.675867,1624.027932,2521.175867,2062.472068,572124.7678,873.537602,654.951506,17561.23438,2248.308268,1100.190507,5.635066,7.307546,6.802906,7.812186,277.591028,0.979714,1768.375336,1098.484804,1768.875336,2588.015196,300529.9908,733.246963,409.861896,8971.962891,1181.008237,1064.653339,5.280608,7.613679,7.276147,7.951211,74.134143,0.989175,1400.293669,1604.424483,1400.793669,2082.075517,773256.1659,950.917577,813.168443,21069.04492,3038.704718,1022.635605,5.663614,7.556827,7.582185,7.531469,327.130255,0.999733,2960.877032,1004.282459,2961.377032,2682.217541,321854.0061,756.701473,425.338152,10459.08691,1264.806321,1141.373772,5.415033,7.305763,6.544666,8.06686,87.97905,0.957303,22.193576,-58.968754
10,cpt1m012-fa06-20190714-0195-e91.fits,10,0,58679.41811,2458679.418114,2458679.422919,1.346498,50.02,7.017505,9,18,27,0.140976,0.411239,0.180656,0.641036,0.19754,0.000387,0.000757,0.000471,0.001084,0.000496,363.990703,543.334828,383.839875,591.29675,398.121132,1952960.466,1661.593089,1942.505532,1845.912025,1943.005532,1840.587975,275320.9665,254.469005,719.210358,382.810069,8341.935547,1081.943031,1062.511797,1138,5.348612,7.801848,7.714204,7.889492,305.003529,0.995683,2520.807494,1624.021621,2521.307494,2062.478379,569098.1261,870.879594,653.475095,16046.93066,2236.414318,1094.287507,5.863349,7.439578,6.990364,7.888791,281.961941,0.982673,1768.484948,1098.43694,1768.984948,2588.06306,298829.0702,730.345095,409.161467,8540.337891,1174.324041,1060.315848,5.454915,7.788652,7.448789,8.128515,80.658696,0.991545,1400.259502,1604.469816,1400.759502,2082.030184,762882.5085,948.583461,804.233406,19042.50195,2997.93882,1023.987609,5.956165,7.739743,7.827842,7.651644,335.415988,0.998788,2960.989266,1004.284545,2961.489266,2682.215455,322150.761,754.483787,426.981688,9619.233398,1265.972495,1135.120927,5.717364,7.492581,6.735255,8.249907,88.57239,0.959857,22.193577,-58.968751
