Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6
lsc1m005-fa15-20181120-0186-e91.fits,0,58443.74245,2458443.742,2018,NaN,2458443.742,NaN,1.45749,42,9.049753,12.995535,1.4,10,25,38,0.095316,0.138789,0.106024,0.138856,0.687517,0.338555,0.000242,0.000298,0.000268,0.000298,0.000879,0.000492,394.386005,465.529201,395.408456,466.018353,782.370487,688.792959,2927193.908,1889.988546,2017.04367,2068.541979,2017.54367,2027.958021,7.666904,-72.205329,279007.0579,530.56453,684.126042,407.829903,5153.154785,525.868282,349.454347,2095,8.980648,8.99718,9.396778,8.597583,7.039122,0.991646,2108.94494,1890.042155,2109.44494,2206.457845,7.669131,-72.224516,356749.0757,727.075357,490.663137,5767.270996,672.395261,348.784125,9.384873,9.107719,9.307039,8.908399,344.644817,0.997411,2255.266909,2661.539561,2255.766909,1434.960439,7.672326,-72.140792,280603.3581,684.634391,409.858695,5119.730957,528.876965,346.719928,8.824005,8.863045,9.346745,8.379345,4.676406,0.987836,2513.796922,1698.657812,2514.296922,2397.842188,7.678772,-72.244578,356901.1528,726.52163,491.246424,5950.794922,672.681894,348.717325,9.675881,9.124587,9.450109,8.799065,345.938155,0.993471,927.388428,2134.064589,927.888428,1962.435411,7.641164,-72.199405,1192578.295,1097.442132,1086.689003,24245.70898,2247.753531,358.892825,8.555755,8.841212,9.043849,8.638574,29.579013,0.992014,1241.171421,1924.990718,1241.671421,2171.509282,7.648613,-72.221776,740362.0267,917.867619,806.6109,13621.98828,1395.423149,355.476558,8.877354,8.948274,9.150632,8.745917,24.874091,0.995105
lsc1m005-fa15-20181120-0187-e91.fits,0,58443.74344,2458443.743,2018,NaN,2458443.743,NaN,1.45534,42,10.469237,13.05677,1.4,10,25,38,0.095219,0.139804,0.105806,0.139129,0.686631,0.337656,0.000242,0.0003,0.000268,0.0003,0.000879,0.000491,393.958174,466.728161,394.489472,464.456356,781.156853,687.813388,2924203.45,1890.989307,2016.649842,2068.614545,2017.149842,2027.885455,7.666904,-72.205324,278439.5487,535.576366,683.453846,407.400661,5138.237793,519.887669,346.896179,2206,8.919533,8.998116,9.390942,8.605291,6.760107,0.991966,2108.504231,1890.123187,2109.004231,2206.376813,7.66913,-72.22451,358671.0926,728.73195,492.185216,6027.382324,669.691785,344.989616,9.384341,9.123949,9.257587,8.990311,336.647592,0.998176,2254.786835,2661.568794,2255.286835,1434.931206,7.672323,-72.14079,279793.8951,684.291302,408.881268,5524.406738,522.416433,344.928449,8.655442,8.821254,9.40977,8.232738,2.05142,0.982263,2513.340864,1698.728821,2513.840864,2397.771179,7.678771,-72.244571,357150.9379,729.655133,489.4791,5927.990723,666.853432,345.882425,9.676496,9.230819,9.543562,8.918076,341.694682,0.99289,927.133609,2134.186693,927.633609,1962.313307,7.641167,-72.1994,1190448.843,1097.451307,1084.739556,23283.87695,2222.743418,355.550514,8.370071,8.942237,9.173294,8.711181,26.708116,0.992492,1240.881416,1925.102813,1241.381416,2171.397187,7.648615,-72.221771,738138.681,916.373141,805.500127,13840.41699,1378.213692,353.193303,8.759788,8.967207,9.182433,8.751981,21.931296,0.995572
lsc1m005-fa15-20181120-0188-e91.fits,0,58443.74443,2458443.744,2018,NaN,2458443.744,NaN,1.453213,42,10.927998,13.202488,1.4,10,25,38,0.095479,0.138965,0.105508,0.139267,0.686532,0.339121,0.000244,0.000302,0.00027,0.000301,0.000884,0.000495,391.620033,460.008469,390.622045,462.217928,776.452971,684.68927,2921499.551,1901.567797,2017.136351,2068.424101,2017.636351,2028.075899,7.666904,-72.205313,278940.6945,547.597497,688.745456,404.998236,4510.143066,509.39001,347.147646,2164,9.204339,9.12389,9.548823,8.698958,346.601505,0.989157,2109.021062,1889.905102,2109.521062,2206.594898,7.669131,-72.224501,356451.0622,735.566473,484.593949,5287.087402,650.936252,348.051888,9.541829,9.225185,9.454616,8.995754,329.46197,0.989436,2255.303985,2661.456338,2255.803985,1435.043662,7.672324,-72.140771,278823.08,688.861095,404.759511,4819.012207,509.175227,346.047779,8.709661,8.961066,9.494079,8.428053,347.546826,0.982918,2513.824249,1698.530422,2514.324249,2397.969578,7.678772,-72.24456,357132.5158,732.990577,487.226612,5201.378906,652.180694,347.036232,9.725252,9.233384,9.614656,8.852112,334.725628,0.983165,927.452,2133.983848,927.952,1962.516152,7.641164,-72.19939,1189247.235,1101.659128,1079.505634,21603.34961,2171.754329,357.834486,8.755657,8.901089,9.137124,8.665054,9.281549,0.996874,1241.208327,1924.892515,1241.708327,2171.607485,7.648612,-72.221762,739845.658,921.653092,802.737673,12335.23242,1351.075675,354.359065,9.162011,9.053667,9.332794,8.774539,355.6068,0.996115
lsc1m005-fa15-20181120-0189-e91.fits,0,58443.74543,2458443.745,2018,NaN,2458443.745,NaN,1.451094,42,11.488787,13.384049,1.4,10,25,38,0.095938,0.139448,0.105844,0.13924,0.686875,0.337783,0.000247,0.000304,0.000273,0.000304,0.000889,0.000497,388.949007,458.510003,388.084222,458.577866,773.024017,679.777893,2925188.913,1914.163941,2017.327061,2068.512516,2017.827061,2027.987484,7.666904,-72.205319,280635.7051,562.762189,697.762027,402.194006,4770.777344,498.675481,348.721816,2122,9.442817,9.187596,9.593694,8.781497,352.422865,0.991645,2109.184706,1890.029163,2109.684706,2206.470837,7.669131,-72.224502,357990.1966,740.96308,483.141746,5704.773926,636.130507,348.106571,9.952063,9.32357,9.602428,9.044712,334.752915,0.991174,2255.563351,2661.475588,2256.063351,1435.024412,7.672326,-72.140788,279979.6106,696.318978,402.085279,5200.000977,497.509634,346.609183,9.634709,9.040505,9.667578,8.413433,352.495695,0.979569,2514.081713,1698.611287,2514.581713,2397.888713,7.678773,-72.244565,357522.8217,739.867732,483.22532,5331.70459,635.300005,348.148734,10.124535,9.336937,9.76471,8.909165,339.023813,0.984883,927.664839,2134.114189,928.164839,1962.385811,7.641166,-72.199391,1191101.101,1105.464999,1077.466136,20822.62109,2116.526527,359.495383,9.279143,9.0858,9.349683,8.821917,12.224539,0.995935,1241.456201,1925.047985,1241.956201,2171.452015,7.648615,-72.221759,738595.1833,927.728441,796.132953,12644.96777,1312.446354,358.810356,9.571458,9.150574,9.382116,8.919031,6.737166,0.997295
lsc1m005-fa15-20181120-0190-e91.fits,0,58443.74642,2458443.746,2018,NaN,2458443.746,NaN,1.449016,42,11.543227,13.549585,1.4,10,25,38,0.096469,0.138867,0.106253,0.138466,0.687038,0.338953,0.000249,0.000306,0.000275,0.000305,0.000894,0.000501,387.846953,454.434867,386.491623,453.401515,768.802768,677.045675,2926952.937,1926.450383,2017.326792,2068.079938,2017.826792,2028.420062,7.666902,-72.205315,282360.3516,576.768904,703.900286,401.136862,5295.058594,489.555435,349.173027,2107,9.58382,9.415105,9.777651,9.052558,346.796269,0.992628,2109.217217,1889.494729,2109.717217,2207.005271,7.669129,-72.22451,356895.7132,745.6184,478.657331,5543.745117,618.784596,349.582185,9.645265,9.466623,9.697114,9.236132,329.918736,0.990432,2255.566483,2661.06773,2256.066483,1435.43227,7.672324,-72.140779,281126.1892,701.958721,400.488206,5295.85791,487.415648,347.813579,9.566028,9.218611,9.714341,8.722882,349.03904,0.986637,2514.043198,1698.127397,2514.543198,2398.372603,7.67877,-72.244568,355991.232,745.638035,477.431697,5484.167969,617.216409,349.722971,10.049249,9.544636,9.851341,9.237931,331.391398,0.985941,927.669466,2133.657007,928.169466,1962.842993,7.641163,-72.199388,1191987.326,1111.355983,1072.552219,20690.13086,2066.663644,362.01383,9.391547,9.22078,9.452392,8.989168,13.126727,0.996866,1241.480001,1924.602442,1241.980001,2171.897558,7.648612,-72.221756,740952.4767,933.504169,793.73237,12009.4082,1284.66093,359.29253,9.534667,9.301493,9.576809,9.026177,359.901239,0.996502
lsc1m005-fa15-20181120-0191-e91.fits,0,58443.74741,2458443.747,2018,NaN,2458443.747,NaN,1.446965,42,11.356216,13.196588,1.4,10,25,38,0.094897,0.138877,0.105948,0.13854,0.689196,0.337927,0.000245,0.000303,0.000272,0.000302,0.00089,0.000496,386.938252,458.626591,389.43665,458.643954,774.340106,681.042595,2917589.907,1905.605723,2017.714822,2068.518975,2018.214822,2027.981025,7.666901,-72.205317,276871.0921,547.108185,692.315241,399.92055,5572.925293,506.062786,356.765393,2114,9.465431,9.086186,9.531809,8.640563,350.88845,0.989387,2109.599808,1890.1084,2110.099808,2206.3916,7.669128,-72.224494,355776.6593,736.341427,483.168061,6446.050293,650.285756,356.051828,9.501476,9.215254,9.435545,8.994962,330.211456,0.991096,2255.866798,2661.478132,2256.366798,1435.021868,7.672321,-72.14078,279500.1811,692.619722,403.540604,5882.241211,510.868214,353.048348,9.074143,8.984847,9.545766,8.423928,349.88847,0.982432,2514.387708,1698.770951,2514.887708,2397.729049,7.678768,-72.244551,355018.2648,734.733931,483.192963,6590.381348,648.899568,355.870517,9.944597,9.246666,9.593547,8.899784,336.250943,0.987702,928.137639,2134.232616,928.637639,1962.267384,7.641162,-72.199375,1190383.703,1102.71715,1079.500489,23790.33594,2175.773891,366.896874,9.305832,8.971931,9.218205,8.725657,9.766797,0.996612,1241.956951,1925.158001,1242.456951,2171.341999,7.648612,-72.221747,736911.0984,923.901149,797.608163,13475.77832,1346.92026,364.423481,9.302592,9.013897,9.231935,8.795859,0.170999,0.997662
lsc1m005-fa15-20181120-0192-e91.fits,0,58443.7484,2458443.748,2018,NaN,2458443.748,NaN,1.444924,42,10.541186,12.937289,1.4,10,25,38,0.095384,0.13963,0.106301,0.138202,0.686666,0.338428,0.000242,0.0003,0.000269,0.000299,0.00088,0.000492,393.515956,465.477326,394.965784,462.412006,780.381408,687.338026,2918078.544,1889.228917,2017.620204,2068.36298,2018.120204,2028.13702,7.666903,-72.205334,278337.1248,525.81921,683.968187,406.944548,6178.422363,529.33997,355.655246,2159,8.64844,9.032702,9.288757,8.776646,2.933002,0.996757,2109.470755,1889.936407,2109.970755,2206.563593,7.669129,-72.224512,357528.6576,728.507825,490.768452,7113.515625,679.945979,354.146173,9.135806,9.102435,9.194991,9.009878,325.869396,0.996986,2255.794247,2661.346529,2256.294247,1435.153471,7.672323,-72.140799,280389.6575,684.79028,409.453326,6615.013672,533.243465,352.145995,8.261715,8.858671,9.245002,8.47234,355.920494,0.992266,2514.268259,1698.425486,2514.768259,2398.074514,7.678769,-72.244586,354317.6309,727.361315,487.127406,7460.051758,673.839267,355.745289,8.740401,9.165978,9.36907,8.962887,331.886958,0.993652,927.908591,2133.972656,928.408591,1962.527344,7.641162,-72.199404,1187991.536,1095.76352,1084.16781,28381.77344,2259.315585,364.631043,8.495501,8.957429,9.132476,8.782383,23.904761,0.996616,1241.736333,1924.874916,1242.236333,2171.625084,7.648612,-72.221776,737851.0626,916.390936,805.170625,16119.16992,1403.240978,362.087072,8.609038,9.011024,9.21523,8.806818,13.900019,0.997377
lsc1m005-fa15-20181120-0193-e91.fits,0,58443.7494,2458443.749,2018,NaN,2458443.749,NaN,1.442914,42,11.419548,13.599653,1.4,10,25,38,0.09581,0.139684,0.105473,0.13809,0.68831,0.338688,0.000249,0.000307,0.000275,0.000306,0.000896,0.000501,384.076424,454.566293,382.861388,451.197981,767.871507,676.013242,2928136.597,1930.773092,2017.635764,2068.250214,2018.135764,2028.249786,7.666899,-72.205327,280545.6936,581.039358,706.62968,397.019403,6427.85498,482.834235,350.975749,2119,9.671081,9.328201,9.77824,8.878161,356.131126,0.990562,2109.551905,1889.71192,2110.051905,2206.78808,7.669127,-72.224516,358884.0543,749.36198,478.919486,6805.128906,617.658769,351.162706,10.04829,9.411567,9.707808,9.115326,338.098976,0.992407,2255.846437,2661.275645,2256.346437,1435.224355,7.67232,-72.140793,279372.6732,704.634446,396.478876,6755.216797,480.815403,350.860245,9.485363,9.155821,9.788719,8.522923,351.659977,0.979368,2514.383014,1698.345602,2514.883014,2398.154398,7.678766,-72.244575,355284.5294,748.079605,474.928774,7501.75293,611.463793,353.332462,10.18394,9.47656,9.87822,9.074901,339.74071,0.98761,927.845728,2133.844314,928.345728,1962.655686,7.641158,-72.199396,1193776.564,1112.077587,1073.465177,27519.20117,2054.553702,362.603873,9.13262,9.181095,9.502085,8.860105,9.730226,0.994514,1241.71362,1924.74614,1242.21362,2171.75386,7.648609,-72.221768,740818.7763,934.607938,792.65192,16652.02539,1274.988977,359.297811,9.454805,9.273408,9.629156,8.91766,2.708692,0.994078
lsc1m005-fa15-20181120-0194-e91.fits,0,58443.75038,2458443.75,2018,NaN,2458443.75,NaN,1.440926,42,11.225654,13.325418,1.4,10,25,38,0.09543,0.139744,0.106076,0.138285,0.687349,0.338055,0.000246,0.000304,0.000273,0.000303,0.000889,0.000497,388.314016,459.813814,388.543362,456.190789,773.046265,680.475218,2917845.959,1909.07326,2017.801761,2068.533707,2018.301761,2027.966293,7.666904,-72.205325,278449.1564,557.842412,693.543111,401.487884,5649.783203,499.153794,348.842815,2143,9.122495,9.125594,9.571923,8.679266,359.323154,0.990472,2109.670315,1890.064514,2110.170315,2206.435486,7.66913,-72.224507,357757.886,738.124551,484.684984,6124.341309,641.324285,348.195763,9.514863,9.253652,9.503175,9.004129,339.512801,0.994905,2255.988278,2661.528735,2256.488278,1434.971265,7.672324,-72.14079,279831.1182,695.070512,402.593857,6088.439941,501.631127,347.237636,9.014708,8.986599,9.615099,8.358099,357.758603,0.980506,2514.50425,1698.659199,2515.00425,2397.840801,7.678771,-72.24457,354475.6376,737.902289,480.382895,6515.85791,635.440457,349.890602,9.871462,9.27381,9.665243,8.882377,343.984529,0.99012,928.050585,2134.16888,928.550585,1962.33112,7.641163,-72.199392,1188596.915,1103.31647,1077.294636,23396.42383,2130.70374,358.017004,9.122596,9.004799,9.333865,8.675734,15.959493,0.992605,1241.914109,1925.099744,1242.414109,2171.400256,7.648613,-72.221761,737184.4028,924.555473,797.339288,14183.66211,1321.492211,356.400695,9.288255,9.091455,9.419628,8.763282,10.665347,0.994009
lsc1m005-fa15-20181120-0195-e91.fits,0,58443.75138,2458443.751,2018,NaN,2458443.751,NaN,1.438962,42,10.925308,13.011274,1.4,10,25,38,0.095388,0.138991,0.106147,0.138383,0.688002,0.338446,0.000241,0.000298,0.000267,0.000298,0.000879,0.000491,395.350714,466.162172,397.153144,464.834308,782.639481,689.198195,2922104.936,1885.663127,2017.651934,2068.48222,2018.151934,2028.01778,7.666905,-72.205324,278732.856,531.850461,681.696367,408.88124,5890.353027,524.081253,342.981591,2166,8.987237,9.044442,9.397193,8.691692,357.297926,0.99388,2109.539235,1889.97774,2110.039235,2206.52226,7.669132,-72.224511,356583.3515,725.676602,491.380527,6545.661621,670.457916,343.407866,9.322341,9.104197,9.292991,8.915403,332.899538,0.994977,2255.844995,2661.518308,2256.344995,1434.981692,7.672326,-72.140783,280407.7457,680.925776,411.803688,5979.067871,527.230427,342.002274,8.756033,8.840752,9.389537,8.291966,355.507895,0.984323,2514.37633,1698.559169,2514.87633,2397.940831,7.678772,-72.244576,355213.7699,725.217448,489.803122,6595.782715,667.88279,344.262784,9.481848,9.114913,9.423512,8.806315,336.801776,0.990382,927.913314,2134.121482,928.413314,1962.378518,7.641163,-72.199389,1191002.413,1096.075981,1086.605704,24556.8125,2239.355798,352.205648,8.823286,8.877452,9.09929,8.655614,18.213969,0.996147,1241.743534,1924.952388,1242.243534,2171.547612,7.648613,-72.22177,738897.6563,915.497723,807.099393,14719.85352,1389.295884,351.254837,8.955446,8.958163,9.160081,8.756245,13.463038,0.997446
