 	Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	EXPTIME	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5
1	lsc1m004-fa03-20190801-0099-e91.fits	1.000000	0.000000	58697.626173	2458697.626173	0.000000	1.909346	74.973000	7.417403	14.000000	21.000000	33.000000	0.165805	0.238220	0.564685	0.412696	0.182849	0.000290	0.000386	0.000708	0.000551	0.000338	571.667176	616.446453	797.731815	748.863819	541.455694	3184170.164186	1962.240761	2019.182985	2241.534077	2019.682985	1854.965923	23.549573	-29.416853	527951.101025	615.752160	864.322481	610.826529	8625.536133	857.408443	367.732485	1802.000000	6.676295	11.818040	12.874967	10.761113	14.492510	0.958850	2721.187669	2661.606381	2721.687669	1434.893619	23.555361	-29.370803	612600.371462	902.952893	678.441119	9925.086914	994.881401	373.769844	7.614725	11.942796	12.880370	11.005221	19.615728	0.959415	1903.830424	2983.286113	1904.330424	1113.213887	23.548574	-29.336645	1149146.687599	1115.343958	1030.307000	17087.630859	1866.248731	369.183725	7.926495	12.008599	13.002029	11.015169	14.479081	0.964728	1963.043150	2996.265578	1963.543150	1100.234422	23.549063	-29.335195	930202.760663	1034.053867	899.568959	14072.694336	1510.677219	370.849734	7.848899	12.007541	12.980748	11.034334	15.634444	0.964502	3074.479747	1763.451553	3074.979747	2333.048447	23.558349	-29.467719	492220.344462	849.591272	579.361348	8269.673828	799.380622	378.823029	7.020600	11.861041	12.999907	10.722175	19.272646	0.940810
2	lsc1m004-fa03-20190801-0100-e91.fits	2.000000	0.000000	58697.627339	2458697.627339	0.000000	1.890867	74.976000	9.230307	14.000000	21.000000	33.000000	0.165605	0.236182	0.567424	0.412148	0.183535	0.000289	0.000384	0.000709	0.000549	0.000338	572.468069	615.557453	800.667488	750.465649	543.370859	3192709.792867	1962.430956	2018.922016	2241.727204	2019.422016	1854.772796	23.549574	-29.416847	528727.693359	615.752160	864.527391	611.580037	9620.978516	858.669653	366.885307	1750.000000	7.736708	11.704203	12.794753	10.613653	13.314380	0.957288	2720.780699	2661.655466	2721.280699	1434.844534	23.555361	-29.370806	609990.601800	901.384468	676.726329	10650.996094	990.643056	372.578505	8.014264	11.814342	12.831378	10.797307	19.034149	0.952876	1903.416945	2983.252648	1903.916945	1113.247352	23.548573	-29.336665	1155794.216683	1115.601627	1036.027726	18818.685547	1877.044518	366.434194	7.408369	11.871680	12.883843	10.859517	14.050928	0.963170	1962.658899	2996.191735	1963.158899	1100.308265	23.549062	-29.335218	931820.733707	1033.995354	901.184642	15248.834961	1513.304856	369.513645	8.195667	11.863763	12.872379	10.855147	15.033513	0.961952	3073.974192	1763.585526	3074.474192	2332.914474	23.558348	-29.467709	495104.240678	851.426988	581.499350	9003.844727	804.064156	376.319619	7.379123	11.737918	12.977191	10.498644	18.180065	0.932755
3	lsc1m004-fa03-20190801-0101-e91.fits	3.000000	0.000000	58697.628507	2458697.628507	0.000000	1.872743	74.977000	9.233532	14.000000	21.000000	33.000000	0.165828	0.236910	0.567315	0.412474	0.182701	0.000290	0.000385	0.000710	0.000550	0.000338	572.546587	615.030839	798.904107	749.730386	540.737900	3192942.877396	1966.410563	2018.410803	2241.237493	2018.910803	1855.262507	23.549572	-29.416859	529479.992248	615.752160	865.382522	611.845027	9857.416016	859.891409	369.091237	1732.000000	6.694930	11.634742	12.719321	10.550163	13.237107	0.957364	2720.499827	2661.342260	2720.999827	1435.157740	23.555361	-29.370804	611555.655488	904.208100	676.343925	10695.562500	993.184750	376.666651	7.466743	11.799832	12.857920	10.741744	18.350409	0.950762	1902.906240	2982.877967	1903.406240	1113.622033	23.548572	-29.336667	1155736.938991	1118.434518	1033.352352	20811.791016	1876.951497	370.218639	7.625713	11.849498	12.908664	10.790332	12.807302	0.961316	1962.202242	2995.846765	1962.702242	1100.653235	23.549062	-29.335217	932410.537141	1034.911925	900.956414	16430.507812	1514.262714	373.151763	7.371482	11.807945	12.824754	10.791136	13.019082	0.963798	3073.721800	1763.089221	3074.221800	2333.410779	23.558349	-29.467726	493239.745776	852.783532	578.387982	9126.247070	801.036160	380.683463	7.778485	11.699286	13.002225	10.396347	16.904329	0.929889
4	lsc1m004-fa03-20190801-0102-e91.fits	4.000000	0.000000	58697.629676	2458697.629676	0.000000	1.855028	74.977000	9.623882	14.000000	21.000000	33.000000	0.164872	0.236227	0.565435	0.412870	0.184122	0.000289	0.000386	0.000710	0.000552	0.000340	569.648003	611.952103	796.440409	747.449551	541.658992	3191954.234603	1971.592344	2018.712088	2241.509480	2019.212088	1854.990520	23.549571	-29.416846	526264.458676	615.752160	864.765065	608.563505	8988.662109	854.669285	376.553434	1745.000000	7.666418	11.882471	13.059781	10.705160	13.589756	0.951340	2720.780933	2661.540609	2721.280933	1434.959391	23.555360	-29.370801	609940.505649	906.870084	672.577601	10690.284180	990.561699	384.379231	7.901531	11.935307	12.943045	10.927569	19.062791	0.954570	1903.278351	2983.152336	1903.778351	1113.347664	23.548571	-29.336654	1152933.699236	1119.623756	1029.751015	18065.187500	1872.398952	376.862459	7.760354	12.000837	12.994084	11.007589	14.823788	0.964215	1962.594909	2996.129176	1963.094909	1100.370824	23.549062	-29.335204	932755.517895	1038.524126	898.154886	14884.091797	1514.822973	379.902237	8.449012	11.989881	12.973438	11.006324	14.888924	0.964746	3074.246576	1763.359917	3074.746576	2333.140083	23.558349	-29.467713	496324.511823	855.963378	579.843162	8798.903320	806.045913	386.108983	7.108562	11.836888	13.030583	10.643193	19.079756	0.935522
5	lsc1m004-fa03-20190801-0103-e91.fits	5.000000	0.000000	58697.630848	2458697.630848	0.000000	1.837656	74.977000	9.539723	14.000000	21.000000	33.000000	0.165083	0.236336	0.565353	0.413486	0.183636	0.000289	0.000386	0.000708	0.000552	0.000338	570.696014	612.765916	798.062915	749.650062	542.579552	3195036.684848	1969.202795	2018.553838	2241.357502	2019.053838	1855.142498	23.549572	-29.416869	527446.999768	615.752160	865.158164	609.653843	8551.709961	856.589768	371.759555	1782.000000	7.798154	11.791840	12.968749	10.614931	13.070986	0.951526	2720.513747	2661.546318	2721.013747	1434.953682	23.555359	-29.370803	610759.113242	907.098506	673.310681	9890.151367	991.891142	378.849126	7.955889	11.882812	12.936341	10.829282	16.814707	0.955352	1903.179063	2983.020894	1903.679063	1113.479106	23.548572	-29.336681	1153939.796008	1118.564389	1031.625722	17917.359375	1874.032883	373.251926	7.344942	11.943500	12.994098	10.892901	11.855953	0.963643	1962.555467	2996.000278	1963.055467	1100.499722	23.549063	-29.335229	934642.449659	1036.966759	901.323443	14364.927734	1517.887407	374.063213	7.635880	11.895511	12.872755	10.918268	12.959837	0.967074	3074.002638	1763.286619	3074.502638	2333.213381	23.558349	-29.467715	495695.325939	853.490242	580.786166	8494.284180	805.024096	383.232164	7.339871	11.785388	13.011951	10.558825	16.935097	0.938493
6	lsc1m004-fa03-20190801-0104-e91.fits	6.000000	0.000000	58697.632018	2458697.632018	0.000000	1.820609	74.977000	9.774134	14.000000	21.000000	33.000000	0.164704	0.236646	0.564904	0.414651	0.182793	0.000290	0.000386	0.000710	0.000554	0.000339	568.373234	612.829598	796.082378	747.830519	539.652332	3188536.910922	1969.872497	2018.570997	2241.764328	2019.070997	1854.735672	23.549571	-29.416857	525164.230863	615.752160	865.141610	607.026902	7640.078125	852.882482	376.217328	1771.000000	8.319801	12.040317	13.059738	11.020896	15.365552	0.961742	2720.593879	2661.802731	2721.093879	1434.697269	23.555359	-29.370813	610161.490150	905.494954	673.843059	8718.735352	990.920584	382.215179	8.411763	12.193659	13.133808	11.253510	18.044259	0.964017	1903.029653	2983.420426	1903.529653	1113.079574	23.548570	-29.336668	1151008.466818	1118.724630	1028.857715	15781.142578	1869.272317	378.047853	7.835199	12.195360	13.160918	11.229803	13.470246	0.968841	1962.293098	2996.382339	1962.793098	1100.117661	23.549060	-29.335219	934598.361969	1039.449780	899.127962	13035.035156	1517.815807	380.042906	7.661471	12.136030	13.033452	11.238607	14.692053	0.971504	3074.311563	1763.513075	3074.811563	2332.986925	23.558350	-29.467733	492768.591985	853.507996	577.345021	7724.331055	800.270992	386.007261	7.102712	11.981815	13.074355	10.889274	19.109075	0.947006
7	lsc1m004-fa03-20190801-0105-e91.fits	7.000000	0.000000	58697.633189	2458697.633189	0.000000	1.803915	75.029000	9.728782	14.000000	21.000000	33.000000	0.166130	0.236144	0.565785	0.414266	0.183019	0.000292	0.000388	0.000713	0.000555	0.000340	569.566743	608.973814	793.948761	745.780429	537.980001	3189898.131095	1977.181627	2019.021330	2241.593973	2019.521330	1854.906027	23.549572	-29.416863	529937.569907	615.752160	870.513436	608.764378	8429.147461	860.634528	385.007261	1770.000000	7.496363	11.834158	12.959126	10.709189	11.793864	0.957730	2721.357352	2661.840147	2721.857352	1434.659853	23.555362	-29.370795	609374.881289	910.814692	669.043755	9622.383789	989.643108	392.133691	7.337590	11.918497	12.878950	10.958044	17.371974	0.962024	1903.798844	2983.380329	1904.298844	1113.119671	23.548573	-29.336660	1152646.073464	1122.257770	1027.077829	17459.769531	1871.931839	385.859578	8.050839	11.975473	13.015359	10.935587	9.573677	0.966707	1962.914396	2996.356941	1963.414396	1100.143059	23.549062	-29.335209	934383.385415	1041.665010	897.009477	14237.116211	1517.466679	388.034575	7.815008	12.000499	13.030639	10.970359	10.903344	0.966305	3074.543347	1763.522987	3075.043347	2332.977013	23.558349	-29.467718	493493.790928	857.400308	575.569878	8091.536133	801.448737	395.085615	8.169976	11.760554	12.918028	10.603080	17.715387	0.942755
8	lsc1m004-fa03-20190801-0106-e91.fits	8.000000	0.000000	58697.634358	2458697.634358	0.000000	1.787722	74.976000	9.642653	14.000000	21.000000	33.000000	0.165209	0.236391	0.565176	0.415385	0.182358	0.000290	0.000387	0.000710	0.000555	0.000339	569.249774	611.534875	795.959435	748.728367	538.098074	3201863.863467	1978.797070	2018.737055	2241.339327	2019.237055	1855.160673	23.549571	-29.416852	528976.981687	615.752160	869.849014	608.125058	8975.842773	859.074504	384.940518	1737.000000	7.464322	11.611841	12.757284	10.466397	12.475698	0.953559	2721.141649	2661.380647	2721.641649	1435.119353	23.555362	-29.370802	612179.148474	910.857325	672.091152	10415.965820	994.197322	391.416576	7.633202	11.709888	12.796636	10.623141	16.718169	0.951369	1903.389134	2982.991768	1903.889134	1113.508232	23.548571	-29.336664	1156174.480121	1123.570418	1029.018263	17662.492188	1877.662077	386.828578	7.997504	11.793190	12.835586	10.750794	12.708667	0.962284	1962.643754	2995.929471	1963.143754	1100.570529	23.549061	-29.335217	939678.770992	1042.616213	901.270054	14694.038086	1526.066544	389.616963	8.292466	11.780877	12.811537	10.750217	13.394655	0.962162	3074.387887	1763.154921	3074.887887	2333.345079	23.558350	-29.467713	493831.463881	858.206110	575.422918	9179.119141	801.997128	394.255783	7.096988	11.545993	12.777361	10.314625	16.434505	0.936951
9	lsc1m004-fa03-20190801-0107-e91.fits	9.000000	0.000000	58697.635523	2458697.635523	0.000000	1.771784	74.981000	9.193820	14.000000	21.000000	33.000000	0.164999	0.236722	0.562482	0.415568	0.183469	0.000289	0.000385	0.000705	0.000554	0.000339	570.070664	614.297914	797.840082	750.423125	541.677360	3216433.654653	1981.901134	2019.205210	2241.689164	2019.705210	1854.810836	23.549574	-29.416857	530707.609817	615.752160	871.626411	608.870501	9931.340820	861.885096	387.811056	1757.000000	6.846607	11.273085	12.504554	10.041616	10.439847	0.946603	2721.214243	2661.817530	2721.714243	1434.682470	23.555362	-29.370795	615661.271792	911.533473	675.412686	11221.071289	999.852395	392.410152	7.298364	11.437167	12.599186	10.275147	14.885054	0.946313	1903.822078	2983.329851	1904.322078	1113.170149	23.548574	-29.336668	1157892.309298	1123.883092	1030.260458	20245.398438	1880.451884	389.682533	7.303793	11.393816	12.550283	10.237349	10.537114	0.953632	1963.149467	2996.263748	1963.649467	1100.236252	23.549064	-29.335221	944248.377389	1045.873332	902.832445	16704.863281	1533.487722	390.897966	7.311807	11.356812	12.474018	10.239607	12.588636	0.953639	3074.618309	1763.591295	3075.118309	2332.908705	23.558351	-29.467707	498631.696175	860.275885	579.618358	9360.550781	809.792849	395.358618	7.565874	11.213900	12.489481	9.938320	16.652798	0.927783
10	lsc1m004-fa03-20190801-0108-e91.fits	10.000000	0.000000	58697.636692	2458697.636692	0.000000	1.756229	74.977000	9.225826	14.000000	21.000000	33.000000	0.165218	0.236508	0.565078	0.414853	0.182679	0.000287	0.000383	0.000703	0.000549	0.000336	575.574034	617.947280	803.251517	755.195389	544.161118	3221429.068960	1972.280129	2018.963094	2241.820730	2019.463094	1854.679270	23.549574	-29.416840	532238.084593	615.752160	865.391922	615.025483	10664.063477	864.370633	369.356089	1698.000000	7.274025	11.218519	12.384923	10.052115	12.737122	0.948074	2720.952916	2661.907120	2721.452916	1434.592880	23.555362	-29.370795	616164.986915	907.012907	679.334309	11754.816406	1000.670443	376.851001	7.322150	11.390414	12.487119	10.293708	17.921834	0.944599	1903.679416	2983.482216	1904.179416	1113.017784	23.548576	-29.336648	1163110.841983	1120.502642	1038.025970	19814.757812	1888.926937	371.541236	7.864574	11.408666	12.556066	10.261265	11.284268	0.953497	1962.959989	2996.451189	1963.459989	1100.048811	23.549066	-29.335198	944564.860511	1039.694299	908.502491	16700.791016	1534.001700	374.153890	7.575177	11.389049	12.466496	10.311602	12.474161	0.957222	3074.265177	1763.677210	3074.765177	2332.822790	23.558349	-29.467714	497588.379550	854.825179	582.093733	9619.971680	808.098472	378.091945	6.899384	11.232845	12.550474	9.915217	17.040923	0.921930
