TIC_ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,Notes,M_p,dM_p,LCO_rms,rms_err,Data
#141227133,617.01,3,NEB,2.4223200,0.000220,1518.700040,2.9,129.315412,-47.3835490,10.2,5697,9.00,,0.131,,2838,4.8,0,0.131,6149.76,8,0.6303,29.45,0.00,3.1,0.5,311,,,,-,-,FALSE
#47484268,226.01,5,NEB,-,,-,-,-,-,-,-,-,,0.334,,3396,4.8,0,0.334,,2,,,0.00,-,,,,,,-,-,FALSE
#108645766,497.01,5,NEB,-,,-,-,-,-,-,-,-,,0.302,,3333,4.8,0,0.302,,7,,,0.00,-,,,,,,-,-,FALSE
#438490744,529.01,5,NEB,-,,-,-,-,-,-,-,-,,0.172,,3021,4.8,0,0.172,,6,,,0.00,-,,,,,,-,-,FALSE
#431999925,513.01,5,NEB,-,,-,-,-,-,-,-,-,,0.269,,3266,4.8,0,0.269,,7,,,0.00,-,,,,,,-,-,FALSE
#431148743,1495.01,1,NEB,2.6286400,0.000240,1738.939540,2.9,334.981359,53.6625080,8.7,635,,,,,3294,4.8,0,,,,,,,,,,,,,,,FALSE
#1133072,566.01,5,NEB,-,,-,-,-,-,-,-,-,,0.325,,3380,4.8,0,0.325,,,,,,,,,,,,-,-,FALSE
#53593457,543.01,5,NEB,-,,-,-,-,-,-,-,-,,0.193,,3085,5.0,0,0.193,,,,,,,,,,,,-,-,FALSE
#82362447,639.01,5,NEB,-,,-,-,,-,-,-,-,,1.300,,3601,5.0,0,1.300,,,,,,,,,,,,-,-,FALSE
#432008938,643.01,5,NEB,9.6534560,,1522.349321,4.0,120.693500,-23.6959000,13.7,43089,7.28,,0.315,,3359,5.0,0,0.315,,,,,,,,,,,,-,-,FALSE
#,1285.01,5,NEB,,,,,,,,,,,,,,5.0,0,,,,,,,,,,,,,,,FALSE
#,1289.01,5,NEB,,,,,,,,,,,,,,5.0,0,,,,,,,,,,,,,,,FALSE
#267561446,1284.01,1,NEB,1.2841420,0.000306,1711.809590,1.9,311.513252,56.8663390,12.5,1910,2.47,1.99,0.560,0.017,3855,5.0,0,0.560,110.25,,,,,,,,,,,,,FALSE
#119081096,716.01,5,NEB,0.8370700,0.000290,1518.109910,2.5,136.238500,-18.5025000,12.4,2746,2.99,,0.520,,3776,5.0,0,0.520,145.30,,,,,,,,,,,-,-,FALSE
#318746829,1540.01,1,NEB,5.2312100,0.003260,1769.397100,3.8,349.718637,56.0086130,10.4,3044,,,,,3593,5.0,0,,,,,,,,,,,,,,,FALSE
#11996814,2022.01,1,NEB,0.4488670,0.000030,1955.980306,1.8,31.170818,65.2892240,11.6,2583,3.17,0.83,0.627,0.018,3975,5.0,0,0.627,,24,,3.37,,,,,,,,,,FALSE
#441738827,2084.02,1,NEB,8.1488260,0.000215,1745.404528,1.6,259.253846,72.7468650,13.3,3313,2.71,1.40,0.467,0.014,3630,5.0,0,0.467,,"16,19,20,21,22,23",,28.34,0.00,9.0,0.3,441,,,,,,FALSE
#409459226,973.01,3,NEB,1.2799700,0.000410,1491.828390,2.4,109.950318,-11.9426880,10.4,790,,,,,2889,5.0,0,,4153.03,7,,,0.00,,0.3,,,,,,,FALSE
#51024887,1632.01,1,NEB,8.2491870,0.003200,1797.344998,5.0,42.154146,62.1897090,15.0,117724,8.05,35.75,0.165,0.005,2990,5.0,0,0.165,41.53,18,0.4473,57.14,0.00,1.0,0.3,256,,,,,,FALSE
#237751146,538.01,1,NEB,1.6692200,0.000425,1469.915423,2.7,104.331700,4.0290000,14.1,26095,5.98,1.00,0.434,0.014,3352,4.8,0,0.429,133.21,6,0.1266,10.35,0.74,48.9,0.3,674,,-,-,-,-,FALSE
#302895996,531.01,5,NEB,-,,-,-,-,-,13.6,-,-,,0.368,,3462,4.8,0,,,6,-,-,0.00,-,,,,,,0.0014366,0.0003212,TRUE
#44745077,436.01,5,NEB,-,,-,-,-,-,13.0,-,-,,0.381,,3487,4.8,0,,,5,-,-,0.00,-,,,,,,0.0015638,0.0002681,TRUE
#146463781,636.01,5,NEB,-,,-,-,-,-,14.9,-,-,,0.275,,3278,4.8,0,,,8,-,-,0.00,-,,,,,,0.0029571,0.0005588,TRUE
#398733009,464.01,1,EB,0.8186050,0.000010,1411.561846,0.9,32.169760,-9.0460480,15.7,54404,4.47,1.00,0.180,0.050,8964,5.6,0,0.180,2600.00,4,0.2278,11.56,0.00,2003.7,0.3,1705,,,,-,-,FALSE
#133654092,975.01,3,EB,1.9735300,0.000650,1493.127100,2.2,121.185133,-41.5598250,10.4,1010,,,,,2828,5.0,0,,4947.72,7,#DIV/0!,#DIV/0!,0.00,,0.3,,,,,,,FALSE
#133654092,975.01,1,EB,1.9735300,0.000650,1493.127100,2.2,121.185133,-41.5598250,10.4,867,,,,,2828,5.0,0,,4947.72,,#DIV/0!,#DIV/0!,0.00,,0.3,,,,,,,FALSE
#271722899,920.01,3,EB,19.2998000,0.000760,1335.234110,3.2,110.312389,-73.4532620,11.0,1865,,,,,3818,5.0,0,,3540.18,4,#DIV/0!,#DIV/0!,0.00,,0.3,,,,,,,FALSE
#271722899,920.01,1,EB,9.6499000,0.000380,1335.234110,3.2,110.312389,-73.4532620,11.0,1865,,,,,3818,5.0,0,,3540.18,4,#DIV/0!,#DIV/0!,0.00,,0.3,,,,,,,FALSE
#32830028,549.01,5,EB,0.5162780,0.000380,1468.344415,0.6,86.752200,-24.8422000,14.3,20289,2.44,,0.169,,3009,5.0,0,0.169,,6,0.1325,8.87,0.00,43.2,,,,,,-,-,FALSE
#327017634,1202.01,5,EB,,,,,,,,,,,,,,5.0,0,,,,#DIV/0!,#DIV/0!,,,,,,,,,,FALSE
#420112587,1760.01,1,NPC,11.0626660,0.000490,1691.531496,2.1,290.173872,73.1963460,12.5,4958,2.64,4.09,0.255,0.008,3212,4.9,0,0.255,,"14,15,16,17,19",0.0953,52.06,0.00,1.6,0.3,288,,,,,,FALSE
#403693875,528.01,5,NPC,3.5244650,,1469.705671,3.1,105.006200,11.0435000,13.3,21823,9.05,,0.613,,3965,4.7,0,0.613,,6,0.1354,13.52,0.00,56.1,,,,,,-,-,FALSE
#427654774,1474.01,1,NPC,5.2239240,0.001436,1765.042474,4.0,349.287339,70.1900210,14.1,22109,4.13,0.31,0.276,0.008,3453,5.0,0,0.276,,17,0.1373,29.91,,6.6,,,,,,,,FALSE
#348755723,633.01,5,NPC,-,,-,-,-,-,13.9,-,-,,0.567,,3267,4.8,0,,,8,-,-,0.00,-,,,,,,,,TRUE
#365639282,482.01,1,NPC,10.8717000,0.005940,1472.412790,2.9,81.398600,8.4409000,13.1,14603,9.10,1.00,0.488,0.050,3692,5.0,0,0.488,173.80,6,0.1711,33.34,0.00,6.9,0.3,414,,,,-,-,FALSE
#43064903,1276.01,5,FA,6.2642980,0.002524,1712.548761,2.4,302.667462,40.6689980,12.5,9098,2.34,0.28,0.211,0.006,3145,5.0,0,0.211,24.52,15,0.1015,40.35,0.00,2.5,0.3,320,,,,,,FALSE
