Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8
elp1m006-fa07-20201224-0149-e91.fits,0,59208.75921,2459208.759,2459208.762938,1.736222,89.975,16.805636,20,32,48,0.175694,0.112973,0.156836,0.147113,0.99349,0.035882,4.449618,0.224738,0.000503,0.00047,0.000489,0.000484,0.001081,0.000433,0.012226,0.000617,349.119732,240.400707,320.569258,303.872938,918.69501,82.94369,363.960408,363.960408,3029566.478,2492.012677,2169.820458,2105.261373,2170.320458,1991.238627,10.107901,74.827108,532275.1859,1256.637061,1460.401622,364.471785,4025.543701,423.571135,923.075866,3511,16.688386,15.345008,16.040558,14.649459,18.877485,0.986907,2031.536652,1990.354067,2032.036652,2106.145933,10.111679,74.839746,342258.9424,1395.58876,245.243407,2858.518555,272.361013,933.663012,17.028072,15.806525,16.546149,15.066901,22.193107,0.982926,2061.840611,1819.709084,2062.340611,2276.790916,10.110784,74.858196,475145.4198,1429.734677,332.331185,3549.970947,378.108711,913.917109,17.048978,15.575149,16.131574,15.018725,25.954932,0.98662,1870.326093,2332.616106,1870.826093,1763.883894,10.116235,74.802859,445688.4355,1420.136837,313.834853,3501.79541,354.667588,918.186884,16.891743,15.466815,16.370701,14.56293,17.447105,0.979831,2100.596022,2443.84482,2101.096022,1652.65518,10.109928,74.790516,3009842.91,2145.706993,1402.727828,18665.62891,2395.156885,929.836446,16.560868,15.41044,16.254189,14.566691,13.35623,0.985062,1984.296963,2330.835091,1984.796963,1765.664909,10.113094,74.802913,108705.7795,1307.54346,83.137412,1501.966309,86.505311,927.591899,16.633494,18.146355,17.115823,19.176886,66.797549,0.973043,1623.723882,1519.148714,1624.223882,2577.351286,10.122824,74.891273,2473643.754,2020.726166,1224.136053,14197.78027,1968.463154,936.963321,17.4137,16.127157,16.739102,15.515212,29.221258,0.979033,2936.493559,1642.744051,2936.993559,2453.755949,10.086508,74.87592,555922.7245,1458.352819,381.199061,4380.944336,442.389248,920.489165,16.179849,15.01983,15.276706,14.762954,27.848716,0.996318
elp1m006-fa07-20201224-0150-e91.fits,0,59208.76056,2459208.761,2459208.764294,1.730844,89.976,18.139301,20,32,48,0.175056,0.11243,0.156422,0.147595,0.991196,0.037288,4.465135,0.223957,0.0005,0.000467,0.000489,0.000485,0.001079,0.000432,0.012324,0.000618,350.00761,240.710549,319.69707,304.454594,918.643801,86.407184,362.317946,362.317946,3040308.753,2500.488916,2169.799236,2105.723655,2170.299236,1990.776345,10.1079,74.827089,532224.6006,1256.637061,1456.24406,365.477611,4653.639648,423.53088,929.301086,3356,16.034616,14.73172,15.535494,13.927946,18.260268,0.981672,2031.619271,1990.818567,2032.119271,2105.681433,10.111676,74.839727,341822.8353,1391.951505,245.570937,3183.623291,272.013969,939.271895,16.258603,15.223307,15.921621,14.524992,21.016549,0.984808,2062.033358,1820.138028,2062.533358,2276.361972,10.110778,74.858181,475571.9914,1435.228972,331.356181,4147.19873,378.448166,921.536648,16.182715,14.907086,15.64382,14.170351,21.327396,0.982025,1870.325718,2333.067766,1870.825718,1763.432234,10.116234,74.802843,448734.909,1426.943906,314.472704,3922.86084,357.091895,923.135457,16.243161,14.928755,15.837484,14.020026,19.262077,0.975963,2100.608064,2444.247108,2101.108064,1652.252892,10.109926,74.790505,3013541.327,2149.03433,1402.27696,21990.76758,2398.099992,935.652034,15.847036,14.846373,15.788566,13.90418,14.792426,0.978868,1984.120744,2331.289927,1984.620744,1765.210073,10.113097,74.802896,113367.3424,1308.695731,86.626203,1641.190674,90.214865,932.378515,15.800477,18.111964,16.949345,19.274583,72.497688,0.975636,1623.632034,1519.507338,1624.132034,2576.992662,10.122825,74.891266,2483998.851,2024.995483,1226.668835,16834.20508,1976.703479,943.771543,16.590407,15.525283,16.290002,14.760564,26.721719,0.972776,2936.363107,1643.195723,2936.863107,2453.304277,10.086511,74.875901,556309.9025,1466.914487,379.238127,4923.711914,442.697354,923.693789,15.351758,14.374417,14.680547,14.068287,26.167906,0.995145
elp1m006-fa07-20201224-0151-e91.fits,0,59208.76191,2459208.762,2459208.765645,1.725521,89.975,18.028145,20,32,48,0.175126,0.11213,0.15679,0.147449,0.995679,0.035715,4.476236,0.223402,0.000501,0.000469,0.000489,0.000484,0.001083,0.000431,0.012383,0.000618,349.717632,238.93292,320.938025,304.526006,919.686245,82.802716,361.473556,361.473556,3034947.023,2495.972529,2169.510097,2105.928624,2170.010097,1990.571376,10.107885,74.827081,531499.2865,1256.637061,1455.579843,365.146089,4686.858398,422.953693,928.099977,3373,15.733249,14.663454,15.480693,13.846215,19.978492,0.978985,2031.315966,1991.045275,2031.815966,2105.454725,10.111661,74.839715,340307.687,1396.512976,243.68387,3334.064209,270.808253,936.667563,15.66961,15.125186,16.104692,14.14568,18.12533,0.97442,2061.546165,1820.317085,2062.046165,2276.182915,10.110768,74.858173,475848.4312,1430.101807,332.737452,4113.600586,378.66815,918.971474,16.100737,14.75817,15.584303,13.932036,22.733934,0.974674,1870.013696,2333.271233,1870.513696,1763.228767,10.116218,74.802834,447501.2502,1422.669,314.550503,3962.529541,356.11018,921.966924,15.881496,14.769801,15.813711,13.725891,16.470848,0.97191,2100.307568,2444.513925,2100.807568,1651.986075,10.109911,74.790492,3021832.894,2149.374304,1405.912823,21558.46094,2404.698212,931.090152,15.787638,14.754153,15.726561,13.781745,16.16026,0.97588,1983.936045,2331.492124,1984.436045,1765.007876,10.113079,74.802889,108393.8821,1306.023121,82.995378,1616.764771,86.257111,931.781222,15.353588,17.392016,16.419156,18.364876,64.72687,0.969198,1623.414093,1519.722238,1623.914093,2576.777762,10.122808,74.891249,2480743.896,2020.649136,1227.696512,17123.5625,1974.113268,943.758533,16.517626,15.368977,16.193877,14.544076,27.139397,0.966389,2936.046246,1643.41274,2936.546246,2453.08726,10.086499,74.875893,554203.1267,1465.21532,378.240057,5075.112305,441.020835,923.29686,15.04191,14.104388,14.539966,13.66881,25.925963,0.990021
elp1m006-fa07-20201224-0152-e91.fits,0,59208.76326,2459208.763,2459208.766990,1.720288,89.976,17.870912,20,32,48,0.174523,0.113221,0.157105,0.14755,0.992731,0.035129,4.445156,0.224964,0.000499,0.000468,0.00049,0.000484,0.001078,0.00043,0.012174,0.000616,349.967897,242.093592,320.806712,304.885054,920.605937,81.715146,365.149957,365.149957,3036468.358,2491.128712,2169.549156,2105.671909,2170.049156,1990.828091,10.107882,74.82708,529932.8622,1256.637061,1450.477787,365.350553,4785.821777,421.707173,921.32345,3458,15.610325,14.357766,15.186165,13.529367,19.005209,0.978692,2031.382234,1990.808184,2031.882234,2105.691816,10.111658,74.839711,343791.4768,1391.785558,247.014689,3282.355469,273.580565,929.647354,15.754218,15.147042,15.847026,14.447058,23.793131,0.981302,2061.670859,1820.11905,2062.170859,2276.38095,10.110764,74.858165,477044.2328,1434.587986,332.530481,4273.175293,379.619739,911.069005,15.832014,14.767843,15.395808,14.139878,27.343651,0.978432,1870.040988,2333.046465,1870.540988,1763.453535,10.116216,74.802829,448030.4774,1422.794412,314.894741,4037.311768,356.531326,914.484327,15.664918,14.66307,15.599952,13.726187,19.365724,0.973383,2100.292068,2444.232161,2100.792068,1652.267839,10.109909,74.790493,3014396.106,2146.068206,1404.613375,22889.75781,2398.780203,924.38133,15.535372,14.649315,15.5527,13.74593,16.689792,0.97835,1983.787198,2331.369962,1984.287198,1765.130038,10.113081,74.802873,106667.5029,1302.421172,81.899393,1596.296509,84.883302,924.63324,15.407835,17.590654,16.332153,18.849155,69.48392,0.964385,1623.320988,1519.482528,1623.820988,2577.017472,10.12281,74.891244,2478822.584,2019.890638,1227.206334,16903.79492,1972.584337,935.598824,16.232696,15.312476,16.066187,14.558764,27.681896,0.970144,2936.083566,1643.121058,2936.583566,2453.378942,10.086497,74.875897,557645.7737,1458.000024,382.47309,5253.970215,443.760407,915.179005,14.901776,14.141158,14.407355,13.874961,32.327766,0.99227
elp1m006-fa07-20201224-0153-e91.fits,0,59208.76461,2459208.765,2459208.768339,1.715085,89.971,18.692459,20,32,48,0.17501,0.113527,0.156283,0.148584,0.995269,0.036605,4.450468,0.224695,0.000497,0.000467,0.000486,0.000482,0.001079,0.000429,0.012143,0.000613,351.825802,243.081714,321.740812,308.275265,922.228978,85.386869,366.515686,366.515686,3023763.473,2477.656427,2169.278049,2105.767689,2169.778049,1990.732311,10.107885,74.827087,529188.5028,1256.637061,1440.263145,367.424873,4671.478027,421.11483,902.685665,3508,16.45157,14.861837,15.242753,14.480922,31.468523,0.987322,2031.134539,1990.948833,2031.634539,2105.551167,10.11166,74.839713,343277.6699,1383.894281,248.051946,3189.923096,273.17169,911.622907,16.697471,15.440233,15.731861,15.148604,36.198731,0.984408,2061.427561,1820.29088,2061.927561,2276.20912,10.110766,74.858163,472561.8887,1416.805405,333.540433,4087.604004,376.052803,895.025992,16.64754,15.058737,15.26107,14.856405,38.693761,0.98486,1869.688912,2333.228051,1870.188912,1763.271949,10.116221,74.802826,449284.1422,1410.149821,318.607382,3975.627197,357.52896,896.091591,16.6192,15.178643,15.560162,14.797124,32.742532,0.98534,2100.032883,2444.393741,2100.532883,1652.106259,10.109912,74.790493,3009457.382,2137.270416,1408.084517,22029.35156,2394.850092,906.860144,16.445174,15.040721,15.455158,14.626285,29.189466,0.988969,1983.603427,2331.514394,1984.103427,1764.985606,10.113081,74.802874,110683.9204,1293.087339,85.596631,1579.913818,88.079465,906.188809,16.079351,17.828223,16.374565,19.28188,74.244567,0.963894,1623.173363,1519.658677,1623.673363,2576.841323,10.122809,74.891242,2468992.082,2013.027244,1226.507038,16890.61523,1964.761471,920.214168,17.067569,15.783779,16.066646,15.500913,38.405684,0.975337,2935.836942,1643.372167,2936.336942,2453.127833,10.086499,74.875888,554771.391,1444.473151,384.064869,4977.586426,441.473046,897.3504,15.660887,14.581355,14.4198,14.742909,53.228873,0.993884
elp1m006-fa07-20201224-0154-e91.fits,0,59208.76595,2459208.766,2459208.769685,1.709933,89.972,18.330837,20,32,48,0.175619,0.112768,0.156959,0.149063,0.99525,0.036454,4.452453,0.224595,0.000496,0.000465,0.000485,0.000481,0.001075,0.000428,0.01211,0.000611,353.863892,242.547284,323.913401,309.969419,925.453984,85.266098,367.654663,367.654663,3033664.711,2476.71815,2169.276018,2105.943799,2169.776018,1990.556201,10.107903,74.827095,532769.678,1256.637061,1441.379726,369.62479,4375.668945,423.964639,901.9887,3550,16.070113,14.569734,15.154622,13.984845,23.688654,0.985988,2031.054309,1991.025601,2031.554309,2105.474399,10.11168,74.839733,342099.6893,1382.516154,247.447155,3097.382324,272.234283,913.135718,16.094003,15.038673,15.65433,14.423016,26.043474,0.982304,2061.317682,1820.321402,2061.817682,2276.178598,10.110786,74.858191,476161.7563,1417.695466,335.870268,3894.594727,378.917486,894.5364,16.370931,14.597237,15.074125,14.12035,31.080417,0.980465,1869.694057,2333.250406,1870.194057,1763.249594,10.116239,74.80285,452205.8545,1411.386065,320.398412,3640.175293,359.853985,894.087522,16.084937,14.683113,15.544285,13.821941,21.691443,0.974129,2100.033381,2444.48846,2100.533381,1652.01154,10.10993,74.790506,3019254.94,2137.202853,1412.713321,20400.64063,2402.646741,905.184401,15.937514,14.659361,15.523192,13.79553,17.424008,0.97952,1983.570043,2331.536818,1984.070043,1764.963182,10.113101,74.802897,110587.8868,1293.827416,85.473445,1543.28479,88.003044,904.798921,15.587249,17.773761,16.698663,18.84886,66.769693,0.969382,1623.084582,1519.749697,1623.584582,2576.750303,10.12283,74.891267,2477279.441,2012.000448,1231.251933,16039.70996,1971.356342,917.839672,16.586375,15.277222,15.896394,14.65805,30.692976,0.971446,2935.934911,1643.421365,2936.434911,2453.078635,10.086511,74.875912,556385.2701,1444.294634,385.229756,4712.272949,442.75733,898.907847,15.223116,14.179873,14.460122,13.899624,31.737558,0.992172
elp1m006-fa07-20201224-0155-e91.fits,0,59208.76729,2459208.767,2459208.771027,1.704842,89.976,16.675947,20,32,48,0.175527,0.111553,0.156929,0.148809,0.992694,0.036676,4.42876,0.225797,0.000492,0.000462,0.00048,0.000478,0.001069,0.000422,0.011952,0.000609,356.44039,241.476355,326.74625,311.26694,928.47543,86.903976,370.55973,370.55973,3047502.016,2477.133815,2169.180398,2105.633713,2169.680398,1990.866287,10.107904,74.827111,534919.5337,1256.637061,1436.358286,372.413721,5319.382812,425.67544,894.4072,3431,14.445427,13.651082,14.253747,13.048418,27.654274,0.976027,2030.968015,1990.772338,2031.468015,2105.727662,10.111681,74.839744,339959.0811,1380.450002,246.266855,3560.428467,270.530841,905.750529,14.509951,14.065588,14.51017,13.621006,31.919095,0.979484,2061.290233,1820.100424,2061.790233,2276.399576,10.110786,74.858199,478240.8821,1411.079765,338.91839,4839.505371,380.572002,885.652469,14.424006,13.818104,14.295438,13.34077,33.367689,0.969477,1869.697914,2332.978033,1870.197914,1763.521967,10.116239,74.802861,453494.5446,1409.527911,321.735058,4682.02832,360.879492,888.942254,14.583838,13.959206,14.64064,13.277771,26.830517,0.972982,2099.949464,2444.186403,2100.449464,1652.313597,10.109931,74.79052,3025238.222,2137.653689,1415.214372,25939.32227,2407.408085,898.630044,14.176713,13.731078,14.470437,12.991719,24.101027,0.974044,1983.389084,2331.07538,1983.889084,1765.42462,10.113105,74.802929,111769.7165,1282.916082,87.121612,1705.152954,88.943514,896.768816,14.339277,17.263181,16.093466,18.432896,75.230519,0.97596,1623.142085,1519.509082,1623.642085,2576.990918,10.122828,74.891279,2486139.609,2011.870449,1235.735438,20097.99414,1978.40704,908.900421,15.034642,14.356001,14.92517,13.786831,33.381817,0.959732,2935.723454,1643.161201,2936.223454,2453.338799,10.086515,74.875925,561362.407,1445.188305,388.435476,6123.88623,446.71801,889.434461,13.562884,13.207309,13.348052,13.066567,39.550284,0.987298
elp1m006-fa07-20201224-0156-e91.fits,0,59208.76864,2459208.769,2459208.772373,1.699802,89.972,16.859554,20,32,48,0.175391,0.111621,0.156578,0.148699,0.99389,0.036299,4.449874,0.224725,0.00049,0.000457,0.000478,0.000474,0.001067,0.00042,0.011969,0.000604,357.924807,244.206085,327.486263,313.479118,931.387146,86.466507,371.789268,371.789268,3040701.932,2463.976364,2169.152275,2105.969133,2169.652275,1990.530867,10.107905,74.827099,533310.2554,1256.637061,1425.9588,374.001167,5201.598145,424.394817,878.390498,3491,14.606365,13.692674,14.175283,13.210065,27.546508,0.984863,2030.884526,1991.090596,2031.384526,2105.409404,10.111683,74.839734,339405.6898,1362.348644,249.132769,3566.459229,270.090466,886.461255,14.928834,14.126603,14.510219,13.742987,33.743451,0.97991,2061.148696,1820.40857,2061.648696,2276.09143,10.11079,74.858188,476106.4924,1401.695935,339.664602,4663.34082,378.873509,870.921545,14.827849,13.835541,14.270032,13.401051,31.746967,0.980233,1869.51676,2333.322301,1870.01676,1763.177699,10.116243,74.80285,452149.706,1395.048243,324.110444,4473.899902,359.809304,869.075861,15.044669,14.08883,14.632312,13.545348,28.369833,0.98027,2099.899459,2444.582038,2100.399459,1651.917962,10.109932,74.790504,3022124.416,2128.666996,1419.726252,24949.08594,2404.930197,880.527308,14.549809,13.814194,14.436654,13.191735,22.988617,0.983252,1983.320412,2331.53863,1983.820412,1764.96137,10.113106,74.802905,110374.1083,1273.358299,86.679537,1596.937988,87.832925,880.377466,14.76447,17.320013,15.856671,18.783355,69.934116,0.951844,1622.836608,1519.789267,1623.336608,2576.710733,10.122835,74.89127,2482762.082,2005.553099,1237.943829,19099.91016,1975.71929,893.614514,15.52099,14.466376,14.896325,14.036426,34.816527,0.970881,2935.781087,1643.484125,2936.281087,2453.015875,10.086514,74.875911,557939.8501,1431.410595,389.783233,5811.335449,443.994425,872.363533,13.957502,13.348791,13.427649,13.269933,41.229985,0.991893
elp1m006-fa07-20201224-0157-e91.fits,0,59208.76999,2459208.77,2459208.773727,1.694774,89.976,16.511738,20,32,48,0.174401,0.112772,0.157054,0.148277,0.992513,0.035323,4.430745,0.225696,0.00049,0.000459,0.000478,0.000473,0.001066,0.00042,0.011885,0.000605,355.905807,245.610332,328.51126,313.44424,931.400361,84.146307,372.793103,372.793103,3049319.116,2467.885698,2169.153146,2105.986281,2169.653146,1990.513719,10.107904,74.827106,531805.2223,1256.637061,1430.901025,371.657587,5604.358398,423.197149,883.335924,3468,14.231083,13.404404,14.023868,12.784939,26.89965,0.975614,2030.949605,1991.14393,2031.449605,2105.35607,10.111681,74.839737,343878.0591,1372.156448,250.611408,3837.824219,273.649465,892.009101,14.443978,14.052311,14.669066,13.435556,29.454519,0.971216,2061.271279,1820.464119,2061.771279,2276.035881,10.110786,74.858192,478908.1455,1405.344403,340.776357,5138.195312,381.102993,874.141634,14.538745,13.649739,14.156407,13.143071,31.430901,0.973584,1869.619709,2333.309644,1870.119709,1763.190356,10.11624,74.80286,452142.616,1395.311896,324.04412,4862.011719,359.803662,876.538436,14.565639,13.817097,14.668991,12.965203,23.813109,0.966778,2099.923579,2444.534435,2100.423579,1651.965565,10.109931,74.790517,3026490.006,2135.176088,1417.442816,27625.36523,2408.404224,887.194208,14.031428,13.576621,14.340065,12.813178,22.311081,0.97519,1983.376542,2331.561238,1983.876542,1764.938762,10.113104,74.802911,107710.8499,1277.070751,84.342116,1782.714966,85.713571,886.683582,14.728603,16.985991,15.372052,18.59993,74.722929,0.952171,1622.94546,1519.780096,1623.44546,2576.719904,10.122832,74.891281,2487827.268,2006.745103,1239.732572,21363.14258,1979.750036,896.699011,15.065428,14.263596,14.871826,13.655365,32.547792,0.959132,2935.783882,1643.52243,2936.283882,2452.97757,10.086513,74.875917,561491.8478,1436.465771,390.884252,6557.838867,446.821015,877.228242,13.629443,13.129425,13.329617,12.929234,37.382697,0.986538
elp1m006-fa07-20201224-0158-e91.fits,0,59208.77138,2459208.771,2459208.775111,1.689684,89.975,16.099988,20,32,48,0.174166,0.111964,0.15632,0.146428,0.984174,0.036122,4.524814,0.221004,0.000521,0.000487,0.000508,0.000502,0.001104,0.00045,0.013115,0.000641,334.238876,229.77365,307.735299,291.412281,891.302461,80.27218,345.013626,345.013626,2949292.936,2499.899423,2169.174436,2106.048563,2169.674436,1990.451437,10.107902,74.827109,513665.8059,1256.637061,1473.856438,348.518209,5521.696289,408.762261,954.179729,3338,13.776098,13.366686,13.873018,12.860354,30.812124,0.974661,2030.935776,1991.131222,2031.435776,2105.368778,10.111679,74.839748,330215.6343,1409.614036,234.25961,3820.47876,262.777252,958.698781,14.073963,13.935232,14.335681,13.534784,35.016183,0.971722,2061.29046,1820.43935,2061.79046,2276.06065,10.110784,74.858204,461032.4843,1446.281608,318.770896,4829.489258,366.877994,940.495251,14.297566,13.462559,13.881591,13.043527,33.75904,0.973549,1869.549402,2333.368102,1870.049402,1763.131898,10.11624,74.802861,431859.0094,1436.031084,300.730962,4672.371582,343.66248,946.502844,14.269799,13.40104,14.125674,12.676406,26.217006,0.968718,2099.838471,2444.587506,2100.338471,1651.912494,10.109931,74.79052,2902616.927,2133.589012,1360.438637,26056.71875,2309.829159,959.432584,13.856019,13.412995,14.016583,12.809408,26.484114,0.977758,1983.47702,2331.586065,1983.97702,1764.913935,10.113099,74.802916,106534.3158,1324.087946,80.45864,1806.33606,84.777315,957.890492,13.799579,16.819563,15.191979,18.447147,69.052696,0.93365,1623.056794,1519.85984,1623.556794,2576.64016,10.122828,74.891282,2415466.264,2013.319877,1199.742918,20359.43359,1922.166979,955.740148,14.771706,14.068312,14.533765,13.602859,35.138666,0.961637,2935.699135,1643.597307,2936.199135,2452.902693,10.086513,74.875922,533826.6726,1481.904247,360.230206,5944.23291,424.805769,960.891433,13.443435,12.881626,12.904901,12.85835,44.091255,0.987017
