Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,Variance_C8
elp1m008-fa05-20201118-0373-e91.fits,1,0,59172.85776,2459172.857759,2459172.860264,1.73503,33.568537,37.817504,1.35,30,53,80,0.090441,0.057288,0.082274,0.056119,0.071027,0.690372,1.004792,0.099373,0.000367,0.000355,0.000365,0.000358,0.00036,0.000996,0.001453,0.000401,246.244446,161.296709,225.252327,156.959149,197.038107,692.817169,691.666899,247.97841,5627053.579,4065.607788,2002.996428,2038.976587,2003.496428,2057.523413,10.108052,74.827837,508915.8696,4492.991432,2033.737718,250.236727,1436.097168,113.268827,553.012614,9709,33.408145,27.741296,28.185374,27.297218,357.752704,0.998969,27972.27329,1863.502845,1925.241557,1864.002845,2171.258443,10.111832,74.84046,322360.4869,1984.938039,162.4033,1107.11438,71.747407,551.78642,33.646811,27.551208,28.665074,26.437343,359.045432,0.993476,11766.57756,1892.145881,1753.913331,1892.645881,2342.586669,10.110944,74.858933,462961.6336,2027.900614,228.296017,1326.655884,103.040845,553.724271,33.726316,28.038158,28.313102,27.763213,22.590005,0.999226,22064.47637,1684.978883,1709.07637,1685.478883,2387.42363,10.116641,74.864234,315782.8651,1998.900438,157.978286,1108.405029,70.283434,555.803484,33.472116,26.58616,27.593682,25.578637,7.366839,0.993876,12924.78013,1704.920831,2269.096658,1705.420831,1827.403342,10.116391,74.803599,399669.964,2007.729285,199.065664,1245.992798,88.95409,554.141352,33.361151,26.913739,27.589832,26.237645,358.605833,0.997473,19496.26373,1450.786896,1456.507106,1451.286896,2639.992894,10.122987,74.892033,2298168.8,2443.651688,940.464965,4214.643066,511.50082,557.103183,33.882833,27.779971,28.061897,27.498045,19.13455,0.999332,554490.9748,1936.467937,2378.489694,1936.967937,1718.010306,10.110082,74.791257,2820252.28,2544.317197,1108.451526,5133.719238,627.700347,554.422716,33.361683,27.422853,27.979056,26.866649,357.330531,0.998341,870178.3681,2765.899364,1569.197234,2766.399364,2527.302766,10.086681,74.876661,508632.4989,2020.936198,251.681621,1424.921387,113.205758,543.958687,33.689243,27.459476,27.715708,27.203243,333.765852,0.999062,29467.38796
elp1m008-fa05-20201118-0374-e91.fits,2,0,59172.85911,2459172.859105,2459172.861610,1.729703,37.728074,38.752835,1.35,30,53,80,0.090733,0.055822,0.083341,0.056153,0.072202,0.692071,1.004037,0.098882,0.000377,0.000366,0.000376,0.000367,0.000372,0.001019,0.001482,0.000412,240.422802,152.587612,221.915264,153.098805,194.268317,679.1904,677.651606,240.260235,5633256.748,4154.573306,2002.383681,2038.604096,2002.883681,2057.895904,10.107593,74.826836,511124.1589,4717.988034,2092.251934,244.293792,1355.805786,108.335196,552.34536,9659,33.482077,27.908646,28.806898,27.010395,1.058805,0.995859,25675.17831,1862.966477,1924.90266,1863.466477,2171.59734,10.11137,74.839461,314458.3666,2047.747267,153.563075,1070.733765,66.650946,552.293352,33.740952,27.454778,29.032236,25.87732,2.613875,0.986772,10858.2921,1891.754157,1753.672129,1892.254157,2342.827871,10.110475,74.857921,469478.9929,2087.051472,224.94845,1253.295898,99.508305,553.172517,33.653465,28.34826,29.180008,27.516512,12.664286,0.995792,20458.08264,1684.509053,1708.765848,1685.009053,2387.734152,10.116174,74.86324,316322.2458,2052.918546,154.084168,1084.019775,67.046004,556.174332,33.594864,26.870216,28.370579,25.369852,7.744648,0.986654,11914.27776,1704.556789,2268.862231,1705.056789,1827.637769,10.115927,74.802597,406733.2366,2072.066981,196.293479,1248.40625,86.209044,553.439719,33.04172,27.291122,28.266434,26.31581,4.033662,0.994802,18247.22349,1450.388275,1456.168846,1450.888275,2640.331154,10.122514,74.891052,2304048.281,2494.006017,923.834291,4026.94458,488.35399,556.66074,33.887297,28.036693,28.76879,27.304595,13.91262,0.996518,508103.8938,1936.028051,2378.13639,1936.528051,1718.36361,10.109623,74.790257,2822302.321,2591.437585,1089.087515,4791.432617,598.200398,554.179579,33.15808,27.624318,28.751306,26.497331,2.421115,0.993317,791649.3939,2765.52801,1568.865917,2766.02801,2527.634083,10.086212,74.875617,506906.1461,2079.630876,243.748134,1401.851196,107.441168,543.590543,33.697601,27.672514,28.470179,26.87485,351.65514,0.996384,26315.46535
elp1m008-fa05-20201118-0375-e91.fits,3,0,59172.86045,2459172.860447,2459172.862952,1.724432,33.973035,37.511876,1.35,30,53,80,0.090662,0.056856,0.082484,0.056371,0.071839,0.691903,1.004653,0.098768,0.000363,0.000352,0.000362,0.000354,0.000357,0.000992,0.001442,0.000396,249.734626,161.37274,228.040668,159.303355,201.310747,697.784653,696.570712,249.232244,5617690.861,4030.354433,2002.618001,2038.853722,2003.118001,2057.646278,10.108067,74.827747,509310.8256,4420.66335,2006.406858,253.842247,1460.924683,115.211403,549.894504,9749,33.03218,27.292652,27.988728,26.596576,0.751485,0.9974,29682.26411,1863.203361,1925.152763,1863.703361,2171.347237,10.111846,74.840363,319401.5998,1965.968752,162.465247,1149.287598,72.251962,548.637318,1.837863,27.268823,28.48965,26.047996,3.16206,0.991917,12277.74839,1891.784316,1753.913862,1892.284316,2342.586138,10.11096,74.858828,463368.9117,2004.578462,231.155288,1385.703125,104.818864,550.950067,33.294011,27.635931,28.129366,27.142497,12.894222,0.998428,23563.50241,1684.877377,1709.151011,1685.377377,2387.348989,10.116651,74.864115,316672.7449,1974.834144,160.354097,1167.255737,71.634667,553.437887,33.236399,26.240733,27.312135,25.169331,8.703662,0.992701,13619.34612,1704.589349,2269.04552,1705.089349,1827.45448,10.116403,74.803493,403568.4501,1983.685163,203.443801,1340.12207,91.291378,550.921062,32.917213,26.552673,27.314141,25.791205,5.387975,0.996597,20892.53034,1450.581102,1456.485391,1451.081102,2640.014609,10.123001,74.891919,2297352.463,2424.134893,947.699928,4505.620117,519.685007,553.319112,33.474649,27.430989,27.92658,26.935397,17.298701,0.998074,582154.697,1936.139924,2378.419046,1936.639924,1718.080954,10.110094,74.791158,2815365.548,2526.216647,1114.459265,5674.446289,636.864951,552.106859,32.890016,27.00599,27.760609,26.251371,358.780128,0.996876,923851.4411,2765.566701,1569.157235,2766.066701,2527.342765,10.086697,74.876582,504972.849,1996.385817,252.943517,1471.519287,114.230107,541.624355,33.373872,26.953505,27.37139,26.53562,339.529344,0.998316,31038.25002
elp1m008-fa05-20201118-0376-e91.fits,4,0,59172.8618,2459172.861798,2459172.864303,1.719156,33.78393,37.878431,1.35,30,53,80,0.09094,0.056099,0.082505,0.05549,0.072373,0.695285,1.001205,0.098382,0.000371,0.000359,0.000368,0.00036,0.000365,0.00101,0.001457,0.000404,245.079252,156.245837,223.967699,154.104277,198.179819,688.698119,687.039393,243.244515,5612265.179,4083.842874,2002.379968,2038.728691,2002.879968,2057.771309,10.107554,74.826868,510381.9787,4507.480174,2049.134857,249.071932,1478.159302,113.23,557.386871,9632,33.303245,27.614176,28.172563,27.055789,353.601229,0.998281,28636.95478,1862.66278,1925.026132,1863.16278,2171.473868,10.11134,74.839482,314840.4175,2001.966408,157.265585,1119.407715,69.848431,556.387637,33.465902,27.238989,28.670315,25.807662,1.542555,0.988984,11786.87144,1891.652265,1753.728191,1892.152265,2342.771809,10.110443,74.857947,463038.9346,2039.795631,227.002611,1345.371948,102.726782,558.936928,33.64989,27.871081,28.21223,27.529932,8.689603,0.999342,22643.87625,1684.607837,1708.969822,1685.107837,2387.530178,10.116135,74.863234,311424.8829,2008.125192,155.082404,1140.808228,69.090683,561.206759,1.86176,26.632253,27.798454,25.466052,6.324904,0.991975,13000.10468,1704.253496,2268.885437,1704.753496,1827.614563,10.11589,74.802627,406177.883,2028.118967,200.273204,1282.779907,90.111962,557.885021,33.257028,26.958495,27.723268,26.193722,359.928196,0.996786,20211.14526,1450.466982,1456.441789,1450.966982,2640.058211,10.122479,74.891016,2301750.935,2452.761026,938.432611,4386.704102,510.651372,560.733343,34.015296,27.759862,28.170551,27.349172,14.588783,0.998852,560977.7191,1935.908079,2378.24757,1936.408079,1718.25243,10.109581,74.790295,2807822.532,2551.885043,1100.293502,5221.929199,622.925099,559.763167,33.15485,27.302113,28.049318,26.554908,357.159844,0.996979,878237.6641,2765.598088,1569.045799,2766.098088,2527.454201,10.086183,74.875682,502691.7122,2037.061288,246.772994,1471.479858,111.523888,551.074679,33.590437,27.31112,27.668075,26.954165,333.335635,0.998085,29380.68456
elp1m008-fa05-20201118-0377-e91.fits,5,0,59172.86315,2459172.863150,2459172.865655,1.713959,29.706414,37.718026,1.35,30,53,80,0.091472,0.056652,0.083209,0.056406,0.072365,0.690364,1.009099,0.098086,0.000369,0.000356,0.000366,0.000357,0.000361,0.000998,0.001462,0.0004,248.173217,159.251822,227.237144,157.941483,200.369188,691.856631,690.395414,245.114961,5611070.146,4059.577879,2002.520481,2039.041584,2003.020481,2057.458416,10.108072,74.827737,513258.0096,4469.385212,2034.533789,252.273033,1461.837158,114.838615,553.849265,9791,33.500513,27.481469,28.154751,26.808187,7.02881,0.997452,29499.71083,1863.016415,1925.237289,1863.516415,2171.262711,10.111852,74.840363,317878.682,1982.782279,160.319509,1125.250854,71.123581,553.636234,1.818515,27.138292,28.257189,26.019395,7.274698,0.992767,12466.41948,1891.834033,1753.929807,1892.334033,2342.570193,10.110961,74.858832,466894.3226,2026.698906,230.371823,1364.599121,104.464999,555.390676,1.46926,27.877088,28.414217,27.339958,13.596224,0.998124,23334.01495,1684.789232,1709.206603,1685.289232,2387.293397,10.116654,74.864114,316498.2101,1990.769382,158.98286,1145.614014,70.814708,558.147735,33.339787,26.541917,27.662806,25.421027,10.40626,0.991865,13810.49814,1704.756166,2269.187993,1705.256166,1827.312007,10.116399,74.803491,406043.058,2005.068159,202.508357,1326.251953,90.849868,555.067575,33.302613,26.762696,27.606777,25.918615,7.479,0.995746,20894.15132,1450.507713,1456.579477,1451.007713,2639.920523,10.123004,74.891908,2291624.758,2440.246698,939.095526,4369.857422,512.738251,558.759352,33.790805,27.551472,28.012837,27.090108,19.2889,0.998166,581528.8113,1936.127975,2378.534199,1936.627975,1717.965801,10.110095,74.791162,2818240.528,2542.388975,1108.500924,5511.411133,630.565591,556.265508,33.238068,27.176798,27.912729,26.440867,2.62341,0.997046,916597.2138,2765.71008,1569.307955,2766.21008,2527.192045,10.086699,74.876572,501204.8596,2015.347838,248.693972,1474.717529,112.14179,546.868822,33.407818,27.011282,27.492922,26.529643,345.334361,0.998328,30677.3446
elp1m008-fa05-20201118-0378-e91.fits,6,0,59172.8645,2459172.864498,2459172.867003,1.708812,37.559268,38.32378,1.35,30,53,80,0.090942,0.056958,0.083349,0.05548,0.072315,0.688144,1.007018,0.099648,0.000376,0.000364,0.000373,0.000365,0.00037,0.001009,0.00148,0.00041,242.13679,156.500981,223.162029,151.983979,195.418476,681.846592,680.496419,243.135418,5613839.658,4121.558928,2002.172333,2038.833059,2002.672333,2057.666941,10.108089,74.82776,510531.4242,4614.095232,2074.858468,246.056024,1419.511841,110.646053,557.717978,9670,33.812981,27.721828,28.54252,26.901135,357.247589,0.996468,27901.69569,1862.896683,1925.032825,1863.396683,2171.467175,10.111862,74.840378,319751.3293,2029.595269,157.544381,1122.544922,69.298814,557.395824,33.815029,27.696167,29.163675,26.228658,2.024473,0.988777,11598.076,1891.650192,1753.855024,1892.150192,2342.644976,10.110973,74.858825,467906.5986,2068.379147,226.218969,1347.367554,101.408093,560.241204,34.002509,28.096025,28.655015,27.537036,11.6122,0.998127,22162.82982,1684.51962,1709.06382,1685.01962,2387.43618,10.116667,74.864111,311454.1602,2036.459086,152.939071,1134.505005,67.500592,563.064755,33.823502,26.722275,27.903559,25.540991,359.982005,0.992214,12745.28933,1704.412319,2268.986043,1704.912319,1827.513957,10.116412,74.80352,405965.2105,2055.922529,197.461337,1333.429443,87.983709,559.324172,33.623159,27.205192,28.118656,26.291728,0.368446,0.9955,19494.67323,1450.29305,1456.387093,1450.79305,2640.112907,10.123012,74.891897,2288388.138,2472.993462,925.351471,4227.472168,495.955983,563.059964,34.16013,27.885487,28.442386,27.328587,11.399343,0.998124,543383.7537,1935.871681,2378.364985,1936.371681,1718.135015,10.110109,74.791194,2816734.689,2572.978398,1094.737014,5447.964355,610.463059,559.775181,33.49396,27.518378,28.309364,26.727393,357.824858,0.996682,858942.325,2765.366298,1569.162077,2765.866298,2527.337923,10.086726,74.876575,508716.8312,2061.876209,246.725205,1474.966675,110.252781,549.030497,34.036461,27.597727,27.968708,27.226747,338.284467,0.99863,28651.32663
elp1m008-fa05-20201118-0379-e91.fits,7,0,59172.86585,2459172.865845,2459172.868350,1.703717,38.474573,38.317462,1.35,30,53,80,0.090504,0.057004,0.08381,0.055791,0.071958,0.691099,1.008498,0.097955,0.000374,0.000363,0.000373,0.000365,0.000367,0.001012,0.00148,0.000408,241.844587,157.214739,224.808707,153.038392,195.835699,683.156924,681.300492,240.05595,5618541.233,4119.459551,2002.388717,2038.758228,2002.888717,2057.741772,10.108073,74.82776,508501.6775,4612.57394,2069.278291,245.738662,1508.884277,110.242499,554.619988,9646,33.753417,27.723714,28.547083,26.900344,357.540738,0.996452,28659.23024,1862.68962,1925.001866,1863.18962,2171.498134,10.111861,74.840383,320281.5952,2023.644385,158.269703,1122.799561,69.436631,553.557293,33.862757,27.46279,28.928763,25.996817,5.093259,0.988301,11951.44686,1891.655613,1753.720369,1892.155613,2342.779631,10.110965,74.858854,470890.7283,2065.97903,227.92619,1374.018066,102.088494,555.678791,34.030829,28.260418,28.91396,27.606876,14.058922,0.997253,22725.2369,1684.525739,1708.931553,1685.025739,2387.568447,10.116662,74.864144,313462.91,2035.328319,154.01098,1186.519409,67.958349,558.753936,33.691086,26.632329,27.908901,25.355757,3.698725,0.990698,13320.79542,1704.385007,2268.960171,1704.885007,1827.539829,10.116409,74.803499,404299.6447,2043.091729,197.886193,1378.748413,87.651634,555.459433,33.554976,26.971286,27.994023,25.948549,359.946436,0.994265,20234.0409,1450.23976,1456.314348,1450.73976,2640.185652,10.123014,74.891945,2296121.602,2471.733097,928.95208,4588.539062,497.796161,558.958081,34.027211,27.758174,28.437658,27.078689,11.064894,0.99721,570934.0469,1935.889472,2378.232481,1936.389472,1718.267519,10.1101,74.791175,2821156.754,2573.412179,1096.270849,5848.779297,611.623096,556.816464,33.47193,27.448577,28.456193,26.440961,358.847725,0.994616,893133.9079,2765.481698,1569.072315,2765.981698,2527.427685,10.086697,74.876606,501262.877,2058.648159,243.491281,1445.727661,108.673136,547.971446,33.84511,27.144999,27.879859,26.410139,346.231779,0.996277,29973.77868
elp1m008-fa05-20201118-0380-e91.fits,8,0,59172.86719,2459172.867190,2459172.869695,1.698698,34.241811,37.864223,1.35,30,53,80,0.0915,0.056369,0.082671,0.056234,0.072985,0.688528,1.01034,0.098491,0.000368,0.000355,0.000365,0.000356,0.000361,0.000994,0.001462,0.000401,248.976035,158.697037,226.369619,157.798836,202.167946,692.634708,691.179589,245.641584,5636966.579,4073.073185,2002.601879,2038.822432,2003.101879,2057.677568,10.108059,74.827899,515779.6956,4504.099498,2037.804871,253.105537,1546.442505,114.513388,551.834116,9645,33.328084,27.616733,28.162565,27.070901,358.559716,0.998435,30390.37093,1863.156459,1925.117948,1863.656459,2171.382052,10.111838,74.840513,317749.0072,1989.029336,159.75079,1171.256226,70.546623,552.1697,1.9799,27.23537,28.637071,25.83367,4.599523,0.989184,12510.49797,1891.971554,1753.805016,1892.471554,2342.694984,10.110947,74.858984,466012.5673,2030.910514,229.459922,1402.980347,103.464093,554.205153,33.397283,27.822856,28.456296,27.189416,7.432888,0.997783,23777.35104,1684.860004,1709.034943,1685.360004,2387.465057,10.116643,74.864269,316987.5706,1995.707542,158.834681,1203.014771,70.377568,556.649427,33.418154,26.418759,27.673921,25.163597,3.486759,0.990877,13909.33255,1704.464167,2269.096639,1704.964167,1827.403361,10.116396,74.803634,411414.2957,2013.182644,204.360144,1440.074463,91.342186,553.538213,33.164708,26.933841,27.840616,26.027066,7.259909,0.995173,21444.55656,1450.48031,1456.386979,1450.98031,2640.113021,10.122996,74.892066,2298574.93,2446.659396,939.474834,4740.992188,510.329519,557.213517,33.65257,27.556737,28.059982,27.053493,16.510965,0.998104,595871.8012,1936.132576,2378.391894,1936.632576,1718.108106,10.110084,74.791311,2832979.822,2547.831173,1111.918188,5809.164062,628.978073,554.386765,32.973483,27.186372,28.002481,26.370264,359.338274,0.9964,946822.5364,2765.834215,1569.143956,2766.334215,2527.356044,10.086684,74.876738,505411.8272,2027.890354,249.230352,1523.801758,112.211515,545.80362,33.545735,27.09954,27.54765,26.651429,344.566648,0.998516,31490.25081
elp1m008-fa05-20201118-0381-e91.fits,9,0,59172.86853,2459172.868532,2459172.871037,1.693704,38.094645,38.434096,1.35,30,53,80,0.090472,0.056484,0.083038,0.056435,0.071302,0.691053,1.002717,0.09971,0.000373,0.000362,0.000371,0.000362,0.000367,0.001008,0.001466,0.000408,242.434995,156.203857,223.909966,155.682524,194.326584,685.553827,684.127484,244.56674,5641573.652,4121.947877,2002.602199,2038.817821,2003.102199,2057.682179,10.108111,74.82785,510405.3056,4640.697072,2072.03708,246.330199,1478.255981,109.98462,550.386749,9668,33.813362,27.755117,28.797505,26.712728,2.931504,0.994315,28777.73974,1863.141527,1925.102368,1863.641527,2171.397632,10.111889,74.840461,318659.5682,2026.694167,157.231206,1155.011475,68.666315,550.220717,33.843788,27.354096,28.800379,25.907812,3.97779,0.988663,12221.85608,1892.055506,1753.723474,1892.555506,2342.776526,10.110995,74.85893,468465.9101,2064.018795,226.967851,1343.997192,100.947315,552.034441,33.906432,28.102193,28.974605,27.229781,12.175021,0.995364,23031.52989,1684.691747,1708.921879,1685.191747,2387.578121,10.116695,74.86422,318379.754,2031.784686,156.699554,1160.718506,68.60602,554.217269,33.87906,26.733259,27.957964,25.508553,3.800063,0.991491,13486.84853,1704.603214,2268.924512,1705.103214,1827.575488,10.116442,74.803618,402255.0337,2049.024147,196.315419,1323.138428,86.679873,551.933035,33.582497,26.917674,28.054766,25.780583,7.752514,0.99234,20696.07516,1450.584385,1456.28623,1451.084385,2640.21377,10.123037,74.892005,2305443.673,2473.0153,932.239956,4548.417969,496.788228,554.787788,33.986215,27.751862,28.504753,26.998971,15.223766,0.996045,579636.2858,1936.218536,2378.355836,1936.718536,1718.144164,10.110134,74.791283,2824613.458,2574.27209,1097.247439,5902.932617,608.661461,553.050673,33.541239,27.433611,28.488952,26.378271,3.18269,0.994025,903711.1469,2765.923965,1569.117375,2766.423965,2527.382625,10.086742,74.87666,511516.5207,2061.012575,248.186997,2052.142822,110.22407,543.905324,33.962758,27.539391,28.178684,26.900098,355.798346,0.9978,30539.63945
elp1m008-fa05-20201118-0382-e91.fits,10,0,59172.86988,2459172.869877,2459172.872382,1.688788,38.191642,38.073943,1.35,30,53,80,0.090955,0.05734,0.083717,0.056306,0.072569,0.69175,1.00777,0.097898,0.000367,0.000355,0.000365,0.000356,0.000361,0.000999,0.001459,0.0004,247.557009,161.3972,229.420464,157.983815,201.092765,692.643911,690.956977,244.457779,5633100.562,4072.804946,2002.223302,2038.915519,2002.723302,2057.584481,10.108071,74.827806,512358.7021,4554.131716,2036.237444,251.620313,1474.644897,112.504147,543.539708,9707,33.41996,27.505157,28.486794,26.523521,2.029347,0.994893,30749.74808,1862.716581,1925.051095,1863.216581,2171.448905,10.111852,74.840442,323003,1987.619875,162.507431,1161.927612,70.925265,542.441062,33.541189,27.240977,28.857174,25.624781,2.715727,0.985892,12906.62526,1891.583537,1753.716283,1892.083537,2342.783717,10.110957,74.858915,471586.6752,2027.080572,232.643281,1367.802368,103.551391,543.948218,33.560671,27.878398,28.691635,27.065161,13.913094,0.995655,24292.64159,1684.477319,1709.049446,1684.977319,2387.450554,10.116653,74.864196,317176.6382,1994.51261,159.024634,1228.734009,69.645908,547.057773,33.399251,26.364132,27.699112,25.029152,11.473019,0.987967,14279.35387,1704.220821,2268.991531,1704.720821,1827.508469,10.116407,74.803571,408788.8715,2011.236417,203.252521,1364.465454,89.762198,544.091326,33.10064,26.806085,27.803085,25.809085,5.954573,0.994237,21670.39115,1450.076276,1456.419614,1450.576276,2640.080386,10.123005,74.892,2303353.344,2446.433082,941.51496,4770.481934,505.772228,546.080212,33.709088,27.484961,28.163484,26.806438,16.110006,0.996598,608371.396,1935.739684,2378.364954,1936.239684,1718.135046,10.110099,74.791233,2827450.551,2549.591892,1108.981622,5893.754883,620.853925,545.845706,33.086383,27.159758,28.160718,26.158799,1.837435,0.994559,950219.9944,2765.315876,1569.253605,2765.815876,2527.246395,10.086696,74.876622,502296.6671,2025.410204,247.9975,1474.64978,110.294717,537.971545,33.621307,26.993537,27.761365,26.22571,351.125969,0.996438,31931.02494
