Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_MOBS,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
coj1m003-fa19-20200803-0180-e91.fits,1,0,59065.165020,2459065.165020,2459065.166588,1.721579,34.040809,31,55,83,0.787586,4.127243,0.169157,0.053024,0.001181,0.019132,0.000769,0.00065,666.95108,215.724551,219.990203,81.522469,4200948.359,4874.029715,2040.691035,2043.367401,2041.191035,2053.132599,3.310747,-42.641845,3308608.284,3019.07054,3142.25133,1052.941963,7451.319824,1095.902941,1682.187471,10533,29.104309,24.192899,24.003107,24.382691,52.00306,0.995798,354.694089,3516.604521,2708.184293,3517.104521,1388.315707,3.296271,-42.713509,3381609.773,3148.444662,1074.057236,7939.744141,1120.083061,1670.546316,47.760836,35.866998,46.19786,25.536135,345.381473,0.628397,351.579198,3584.184128,2099.967827,3584.684128,1996.532173,3.295624,-42.647742,607805.3269,2675.546656,227.170521,2857.094971,201.322003,1679.859033,32.421232,33.186017,42.762002,23.610032,11.383151,0.666189,331.776604,2807.018644,2606.814882,2807.518644,1489.685118,3.303232,-42.7027,211533.2595,2585.51967,81.814601,2157.863525,70.06569,1666.412132,26.87686,25.417436,22.956446,27.878427,64.833384,0.90967,233.16816
coj1m003-fa19-20200803-0181-e91.fits,2,0,59065.165673,2459065.165673,2459065.167241,1.71449,43.702448,31,55,83,0.851449,4.035027,0.172489,0.054291,0.00041,0.004852,0.000211,0.000161,2076.383425,831.628836,816.628592,337.849558,14858782.51,5280.127689,2040.691035,2043.367401,2041.191035,2053.132599,3.310779,-42.64178,12651494.26,3019.07054,4112.581736,3076.290046,22754.65234,4190.52622,1090.610621,10359,28.919091,23.960807,23.987568,23.934046,43.838564,0.996963,367.932395,3516.604521,2708.184293,3517.104521,1388.315707,3.325227,-42.569861,11907699.75,4035.82499,2950.499533,22171.35156,3944.160824,1122.751293,47.900624,35.638955,46.420023,24.857887,347.320534,0.623743,389.007663,3584.184128,2099.967827,3584.684128,1996.532173,3.325899,-42.635594,2185928.008,2555.365768,855.426662,5229.188477,724.040058,1114.873882,37.49159,33.511769,42.761353,24.262186,13.561096,0.667859,340.04945,2807.018644,2606.814882,2807.518644,1489.685118,3.318284,-42.580897,765154.7478,2249.882407,340.086551,2436.381592,253.4405,1101.957747,26.457679,26.02638,23.846302,28.206458,65.212767,0.934183,370.012497
coj1m003-fa19-20200803-0182-e91.fits,3,0,59065.166328,2459065.166328,2459065.167896,1.707472,46.599846,31,55,83,0.812211,4.026414,0.174135,0.053341,0.000298,0.003276,0.000147,0.000104,2721.62731,1229.139194,1186.962781,515.276697,21780853.82,5659.974635,2040.691035,2043.367401,2041.191035,2053.132599,3.310747,-42.641993,17690654.56,3019.07054,4595.332934,3849.700298,32828.28125,5859.636047,877.471915,10411,28.989032,23.800794,23.756079,23.84551,46.935778,0.996903,338.285044,3516.604521,2708.184293,3517.104521,1388.315707,3.32522,-42.569755,17447575.28,4571.141986,3816.896375,34791.58984,5779.121436,882.076974,47.928418,35.982086,46.963321,25.000851,346.747778,0.610695,327.720442,3584.184128,2099.967827,3584.684128,1996.532173,3.325899,-42.635624,3230292.805,2576.095963,1253.948941,7139.070801,1069.96268,873.324423,39.173768,33.704041,43.568878,23.839204,11.992362,0.651728,326.996806,2807.018644,2606.814882,2807.518644,1489.685118,3.318263,-42.580892,1102985.744,2122.193065,519.738643,2914.648438,365.339507,873.11194,26.605718,25.84978,24.036217,27.663342,61.102282,0.931359,336.512158
coj1m003-fa19-20200803-0183-e91.fits,4,0,59065.166979,2459065.166979,2459065.168547,1.700516,46.814856,31,55,83,0.809985,4.049888,0.172869,0.053335,0.000283,0.003071,0.000137,0.000095,2866.170393,1318.894907,1265.819473,561.682869,23448763.21,5751.876071,2040.691035,2043.367401,2041.191035,2053.132599,3.310748,-42.64194,18993147.54,3019.07054,4712.431496,4030.434726,34167.55469,6291.057891,825.631538,10442,29.102489,23.822652,23.879918,23.765385,42.664596,0.996514,358.09528,3516.604521,2708.184293,3517.104521,1388.315707,3.325223,-42.569777,18805341.05,4693.836311,4006.390466,36472.54297,6228.851163,830.80077,47.646447,35.812018,46.668666,24.955371,346.912447,0.617171,343.517429,3584.184128,2099.967827,3584.684128,1996.532173,3.325899,-42.635643,3456102.17,2581.705022,1338.689796,7367.554688,1144.757012,824.354285,37.811001,33.55811,43.188144,23.928076,12.677686,0.655676,343.231051,2807.018644,2606.814882,2807.518644,1489.685118,3.318266,-42.58088,1187319.999,2094.463704,566.884972,2957.412598,393.273354,821.983584,26.099639,25.827175,23.854684,27.799667,62.222848,0.927918,358.118012
coj1m003-fa19-20200803-0184-e91.fits,5,0,59065.167629,2459065.167629,2459065.169197,1.693671,47.393481,31,55,83,0.813949,4.03091,0.173656,0.053529,0.000283,0.003041,0.000137,0.000095,2872.090258,1325.626866,1271.200338,565.686367,23430418.78,5741.391252,2040.691035,2043.367401,2041.191035,2053.132599,3.310763,-42.64185,19071167.3,3019.07054,4717.314715,4042.801562,34874.9375,6316.9002,814.572454,10424,29.112456,23.775172,23.754746,23.795598,45.891145,0.996948,343.097521,3516.604521,2708.184293,3517.104521,1388.315707,3.325222,-42.569809,18773126.44,4687.513991,4004.921687,36028.50391,6218.180792,819.483456,48.136016,35.996801,47.089142,24.90446,347.405301,0.613117,350.006194,3584.184128,2099.967827,3584.684128,1996.532173,3.325896,-42.635597,3466803.68,2577.566887,1344.990773,7632.236328,1148.301649,813.995282,39.109542,33.751264,43.384344,24.118184,13.171427,0.653086,315.877085,2807.018644,2606.814882,2807.518644,1489.685118,3.318273,-42.580882,1190488.654,2084.930464,570.996815,2958.608643,394.322901,810.618175,26.401054,26.090367,24.100895,28.079838,62.201383,0.927984,350.348346
coj1m003-fa19-20200803-0185-e91.fits,6,0,59065.168288,2459065.168288,2459065.169856,1.686817,46.371858,31,55,83,0.814851,4.029727,0.173732,0.05352,0.000283,0.00303,0.000136,0.000094,2876.876891,1329.799941,1275.16423,567.583585,23445338.99,5735.667851,2040.691035,2043.367401,2041.191035,2053.132599,3.310795,-42.641838,19104465.3,3019.07054,4717.543806,4049.663572,33519.57422,6327.929423,807.594169,10404,29.359926,24.095031,23.922844,24.267219,52.264159,0.996754,368.491352,3516.604521,2708.184293,3517.104521,1388.315707,3.325224,-42.56997,18783984.75,4686.496391,4008.108229,35743.59766,6221.777365,812.398255,47.68608,36.040367,46.801975,25.27876,346.100279,0.615787,353.716372,3584.184128,2099.967827,3584.684128,1996.532173,3.325896,-42.63562,3470306.082,2571.571607,1349.488411,7379.096191,1149.461742,807.601533,34.269619,33.643747,43.499657,23.787837,11.327461,0.658119,339.217348,2807.018644,2606.814882,2807.518644,1489.685118,3.31829,-42.58101,1191048.157,2078.859482,572.93346,2970.32666,394.508224,803.635013,26.778325,25.885721,24.244726,27.526716,60.860912,0.942319,341.14702
coj1m003-fa19-20200803-0186-e91.fits,7,0,59065.168940,2459065.168940,2459065.170508,1.680042,47.215947,31,55,83,0.81519,4.029989,0.173628,0.053592,0.000284,0.003039,0.000137,0.000095,2871.594847,1325.949605,1271.596018,566.091244,23348161.85,5724.036982,2040.691035,2043.367401,2041.191035,2053.132599,3.310773,-42.641995,19033177.79,3019.07054,4707.263958,4043.363185,33853.47266,6304.317019,803.717372,10164,29.359713,23.900312,23.923859,23.876765,43.194062,0.999022,358.656378,3516.604521,2708.184293,3517.104521,1388.315707,3.325258,-42.569983,18706370.4,4674.95289,4001.402975,35893.40234,6196.069337,807.59019,47.959526,36.119668,47.373572,24.865764,347.455512,0.606646,349.109917,3584.184128,2099.967827,3584.684128,1996.532173,3.325929,-42.635872,3454163.29,2567.048792,1345.577576,7401.070801,1144.114801,803.351179,38.785555,34.007115,43.915603,24.098628,12.723397,0.646166,334.396346,2807.018644,2606.814882,2807.518644,1489.685118,3.318299,-42.581008,1187628.157,2078.38287,571.419335,2956.145508,393.375425,799.756476,26.387136,26.365617,24.574992,28.156242,60.859954,0.933868,341.689273
coj1m003-fa19-20200803-0187-e91.fits,8,0,59065.169595,2459065.169595,2459065.171163,1.67332,47.267767,31,55,83,0.819553,4.019939,0.174066,0.053682,0.000284,0.003014,0.000136,0.000094,2881.430904,1333.646934,1278.374884,570.109709,23379992.43,5717.919928,2040.691035,2043.367401,2041.191035,2053.132599,3.310755,-42.642041,19161137.91,3019.07054,4718.143197,4061.160738,32710.96875,6346.700965,794.68996,10262,29.661296,24.307386,24.092578,24.522194,55.462853,0.997552,380.264292,3516.604521,2708.184293,3517.104521,1388.315707,3.325225,-42.569836,18722566.59,4674.5037,4005.252277,34294.39453,6201.433965,800.952673,48.244378,36.358535,47.181315,25.535755,346.121769,0.618091,376.083201,3584.184128,2099.967827,3584.684128,1996.532173,3.325904,-42.635692,3466293.644,2561.309726,1353.328576,7113.367188,1148.132711,794.890771,36.869729,33.981268,43.778193,24.184344,11.495492,0.665576,356.83332,2807.018644,2606.814882,2807.518644,1489.685118,3.318269,-42.580963,1191132.194,2069.617343,575.532573,2779.051514,394.536059,791.307212,27.079719,26.190074,24.545543,27.834604,60.470237,0.940806,395.004629
coj1m003-fa19-20200803-0188-e91.fits,9,0,59065.170251,2459065.170251,2459065.171819,1.666708,47.763272,31,55,83,0.822913,4.019144,0.173687,0.054022,0.000285,0.003012,0.000136,0.000094,2882.794085,1334.170969,1276.422818,573.877588,23320230.07,5705.957245,2040.691035,2043.367401,2041.191035,2053.132599,3.310766,-42.64202,19190530.01,3019.07054,4718.769288,4066.850663,32510.41211,6356.436443,790.038478,10456,28.746677,24.00129,24.079027,23.923553,39.125491,0.998988,385.32165,3516.604521,2708.184293,3517.104521,1388.315707,3.325212,-42.569852,18673973.66,4666.724709,4001.516015,33619.53906,6185.338638,795.401331,48.864273,36.245102,47.532905,24.957298,348.215634,0.616262,388.147112,3584.184128,2099.967827,3584.684128,1996.532173,3.325892,-42.635605,3451025.817,2554.304688,1351.062711,6803.435547,1143.075583,790.299547,40.21695,34.256324,44.100497,24.412151,13.23229,0.648305,392.114638,2807.018644,2606.814882,2807.518644,1489.685118,3.318267,-42.580996,1195230.585,2062.802978,579.420622,2852.423096,395.89356,786.368306,25.95742,26.611016,24.838734,28.383298,59.712869,0.927143,367.949487
coj1m003-fa19-20200803-0189-e91.fits,10,0,59065.170906,2459065.170906,2459065.172474,1.66011,47.274735,31,55,83,0.820768,4.008282,0.17413,0.054145,0.000284,0.002985,0.000136,0.000094,2890.414421,1343.014911,1284.080252,578.608345,23431134.9,5710.952875,2040.691035,2043.367401,2041.191035,2053.132599,3.310762,-42.641817,19231532.91,3019.07054,4722.115223,4072.652191,31335.08594,6370.017743,786.237719,10485,29.053118,24.580747,24.580191,24.581304,45.02263,0.996712,402.236393,3516.604521,2708.184293,3517.104521,1388.315707,3.325221,-42.569841,18752657.13,4673.22966,4012.783126,33071.96484,6211.400786,790.581639,48.002196,36.131167,46.671992,25.590342,347.090087,0.64318,388.959521,3584.184128,2099.967827,3584.684128,1996.532173,3.325894,-42.635625,3474960.224,2555.894508,1359.586718,7004.042969,1151.003323,785.290594,37.084725,34.03433,43.492046,24.576614,12.587059,0.675008,356.401808,2807.018644,2606.814882,2807.518644,1489.685118,3.318273,-42.580885,1203517.555,2059.929745,584.251749,2725.273193,398.638435,781.678354,27.195628,26.664415,24.789665,28.539164,62.024458,0.937544,403.226241
