Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7
coj1m003-fl11-20181024-0112-e91.fits,0,58416.04149,2458416.041,2458416.045249,1.038265,23.902416,32,53,80,1.406901,0.074261,0.029442,0.026924,0.009331,1.72712,0.578999,0.002424,0.000942,0.000949,0.000928,0.00092,0.005607,0.00188,580.29771,78.872607,31.034926,29.006677,10.144451,308.01518,308.01518,2022926.532,2991.833323,2024.660172,2035.83765,2025.160172,2060.66235,1.36255,-46.714898,2846057.945,3216.990877,2517.226779,1130.632317,5696.416992,884.695684,808.868993,9549,25.293293,25.857456,26.702398,25.012513,10.631808,0.995093,1150768.071,2452.132643,1904.583945,2452.632643,2191.916055,1.367054,-46.728746,150225.5545,1891.657809,79.414762,1109.189575,46.697538,803.842712,25.816123,26.236088,27.489347,24.982829,16.1753,0.987269,3784.713572,2071.688581,2088.677029,2072.188581,2007.822971,1.36304,-46.709151,59558.47441,1917.05639,31.06767,966.156372,18.513722,807.042899,24.460855,28.117244,28.694209,27.540278,35.428568,0.984351,1106.875621,2308.210625,1916.670801,2308.710625,2179.829199,1.36554,-46.727559,54465.82718,1875.971,29.033406,953.080444,16.930675,804.000092,26.300673,28.16982,28.989107,27.350533,23.856237,0.992539,974.167198,2358.574159,1740.234697,2359.074159,2356.265303,1.366083,-46.74659,18875.50331,1860.46325,10.145593,917.801758,5.867441,804.009107,15.663557,26.07668,28.804402,23.348958,22.319278,0.915416,684.61162,1220.618405,1928.325999,1221.118405,2168.174001,1.354105,-46.727054,1281145.185,2177.283413,588.414525,3091.627441,398.243338,804.944217,24.616894,25.704577,26.740753,24.6684,356.152532,0.993403,241488.7995,3208.761762,2223.63169,3209.261762,1872.86831,1.374977,-46.693558,741781.3472,2051.951162,361.500488,2125.697266,230.58236,806.451179,25.165516,25.737811,26.34473,25.130892,22.536441,0.995545,80488.62824
coj1m003-fl11-20181024-0113-e91.fits,0,58416.0422,2458416.042,2458416.045964,1.038082,28.029689,32,53,80,1.410302,0.075103,0.02975,0.025318,0.008422,1.73873,0.575132,0.001769,0.000626,0.000618,0.000605,0.000598,0.003993,0.001321,797.166578,119.966931,48.168826,41.8602,14.071878,435.420206,435.420206,2510233.1,2643.904116,2025.049278,2035.257778,2025.549278,2061.242222,1.362547,-46.714894,3540187.757,3216.990877,2412.244154,1467.590978,7352.602539,1100.465588,526.295784,9609,25.254973,23.860581,24.923487,22.797675,12.976956,0.990221,2195758.551,2452.714022,1903.780043,2453.214022,2192.719957,1.367052,-46.72876,188526.4766,1558.891653,120.936228,960.650879,58.603361,521.909594,23.365641,23.715798,24.920814,22.510781,8.305436,0.988812,6838.079078,2072.550055,2088.429264,2073.050055,2008.070736,1.363042,-46.70911,74680.53966,1548.394959,48.230937,697.970459,23.214408,524.635597,26.266051,26.293288,26.172154,26.414422,47.123762,0.984524,1265.228406,2308.713823,1915.660352,2309.213823,2180.839648,1.365537,-46.727596,63554.08865,1516.769836,41.900944,706.524475,19.755757,520.938242,24.089184,24.417562,25.42858,23.406544,12.602943,0.991652,1103.643392,2359.04087,1741.794451,2359.54087,2354.705549,1.366081,-46.746347,21140.3721,1502.148481,14.073424,643.927856,6.571474,521.923574,26.273013,23.561267,23.442904,23.67963,46.98657,0.978974,522.598817,1221.208811,1927.732775,1221.708811,2168.767225,1.354105,-46.727055,1593664.942,1955.509781,814.961376,4061.202148,495.389948,522.534676,23.546289,23.677632,24.801676,22.553588,0.228329,0.991025,461967.5793,3209.432641,2223.203714,3209.932641,1873.296286,1.374975,-46.69353,916568.158,1779.384858,515.103944,2465.999756,284.914752,523.819509,23.510255,23.307709,24.151738,22.46368,22.040991,0.989862,158540.7556
coj1m003-fl11-20181024-0114-e91.fits,0,58416.04294,2458416.043,2458416.046698,1.037913,28.936537,32,53,80,1.412788,0.076258,0.029372,0.025147,0.009184,1.742656,0.573837,0.001651,0.000566,0.000556,0.000543,0.000536,0.003697,0.001217,855.53964,134.818196,52.81073,46.332194,17.134158,471.40261,471.40261,2626257.545,2560.572167,2024.652764,2035.784691,2025.152764,2060.715309,1.362551,-46.714891,3710345.972,3216.990877,2391.989627,1551.154708,6535.512207,1153.359184,461.066874,9689,25.652689,26.264947,27.686383,24.843512,3.851604,0.98814,1879276.315,2451.947866,1904.340045,2452.447866,2192.159955,1.367053,-46.728758,200274.2841,1472.624393,135.998212,831.448242,62.255161,456.922524,24.603545,26.883972,28.125925,25.642018,11.5116,0.989965,5626.107488,2072.460352,2088.819718,2072.960352,2007.680282,1.363049,-46.709122,77138.38911,1458.719979,52.880875,636.127319,23.97843,459.954255,20.754462,27.211973,29.001974,25.421972,28.989894,0.938964,1126.811827,2308.026429,1916.332824,2308.526429,2180.167176,1.365538,-46.727581,66041.32017,1423.932194,46.37954,622.140808,20.528911,456.999554,24.905557,26.02268,27.280827,24.764532,340.612965,0.984688,993.783492,2358.926406,1741.541596,2359.426406,2354.958404,1.366088,-46.746434,24119.55273,1407.4918,17.136549,549.967651,7.497551,456.875227,NaN,26.39996,24.796031,28.003889,75.544624,0.980873,462.84086,1220.455565,1928.001142,1220.955565,2168.498858,1.354104,-46.727079,1668697.678,1903.56074,876.619087,3325.095947,518.713836,456.005527,24.379536,26.17154,27.499346,24.843735,352.120593,0.988941,388782.8662,3208.591465,2223.336321,3209.091465,1873.163679,1.374976,-46.693573,957559.8661,1712.596371,559.127581,2064.361328,297.657004,460.914053,25.293743,26.385315,27.70407,25.066561,19.729626,0.983321,125245.2843
coj1m003-fl11-20181024-0115-e91.fits,0,58416.04365,2458416.044,2458416.047414,1.037756,26.201882,32,53,80,1.41048,0.073696,0.030345,0.025048,0.009452,1.73143,0.577557,0.001693,0.000587,0.000581,0.000565,0.00056,0.003779,0.00126,832.898551,125.598795,52.258683,44.294787,16.885091,458.230057,458.230057,2595586.406,2607.561061,2025.840188,2037.1074,2026.340188,2059.3926,1.362549,-46.71491,3661023,3216.990877,2406.981511,1521.001712,7076.918457,1138.027162,492.742076,9636,24.399893,25.055251,26.089817,24.020684,2.046413,0.993168,2102555.801,2453.526124,1905.598185,2454.026124,2190.901815,1.367055,-46.728782,191283.8944,1510.803301,126.61072,875.51178,59.460503,487.614549,24.824126,25.291122,26.50618,24.076063,6.393664,0.990337,6033.633304,2073.557317,2090.456311,2074.057317,2006.043689,1.363046,-46.709107,78763.27076,1505.102057,52.33085,699.680847,24.483523,490.803612,9.326785,27.276214,28.70128,25.851149,25.248156,0.973165,1210.05549,2309.638441,1917.559758,2310.138441,2178.940242,1.365541,-46.727609,65015.38007,1466.334558,44.338708,676.150208,20.209998,487.285623,25.340073,25.972852,27.212281,24.733422,354.846107,0.990633,1003.742115,2360.712653,1743.228773,2361.212653,2353.271227,1.366092,-46.746412,24532.78984,1452.717041,16.887521,606.475342,7.626005,486.646522,21.31667,26.296429,29.639652,22.953205,6.405579,0.934148,503.108065,1221.655431,1929.541872,1222.155431,2166.958128,1.354102,-46.727077,1645319.892,1936.38483,849.686419,3640.373779,511.446863,489.386297,23.742976,24.931035,26.074067,23.788002,353.907666,0.991237,434695.7439,3209.906764,2224.885524,3210.406764,1871.614476,1.374975,-46.693564,950266.5144,1746.364359,544.139892,2161.757324,295.389869,489.202924,25.526114,25.341502,26.283735,24.399268,15.212666,0.992583,137156.5821
coj1m003-fl11-20181024-0116-e91.fits,0,58416.04437,2458416.044,2458416.048135,1.037614,28.519069,32,53,80,1.407001,0.073799,0.02967,0.025433,0.009601,1.748142,0.572036,0.001797,0.00064,0.000636,0.000618,0.000613,0.004099,0.001341,783.026376,115.349666,46.679231,41.127137,15.655853,426.513363,426.513363,2469382.099,2650.321879,2027.852206,2036.556664,2028.352206,2059.943336,1.36255,-46.714886,3474422.28,3216.990877,2404.789935,1444.792424,6553.02832,1080.022423,535.374915,9636,24.65116,26.290688,27.462361,25.119016,5.735795,0.991761,1654033.485,2455.410497,1905.141689,2455.910497,2191.358311,1.367055,-46.728747,182237.629,1567.717335,116.243933,902.622437,56.648476,530.034763,24.716093,26.486309,28.09578,24.876838,1.489785,0.985299,4910.448605,2075.305728,2089.55374,2075.805728,2006.94626,1.363045,-46.709121,73266.48929,1567.602591,46.737923,694.13147,22.774851,533.159876,25.273456,28.048169,29.369113,26.727224,32.138113,0.953113,1057.655835,2311.212309,1917.098877,2311.712309,2179.401123,1.365538,-46.727574,62803.56752,1525.570675,41.167262,684.214355,19.522457,529.643914,24.206163,28.192157,28.443075,27.941239,344.063117,0.999561,884.738376,2362.993206,1742.365185,2363.493206,2354.134815,1.366096,-46.746418,23709.58452,1514.209273,15.658063,629.988159,7.370112,529.452201,23.65962,29.60562,31.936012,27.275229,11.302729,0.971276,507.361956,1223.349156,1929.030174,1223.849156,2167.469826,1.354101,-46.727046,1570818.029,1960.458031,801.250526,3288.69458,488.287996,531.894639,24.614831,26.128815,27.305325,24.952305,356.278618,0.991785,344861.6878,3211.823285,2224.279622,3212.323285,1872.220378,1.374975,-46.693549,898564.0697,1783.482652,503.825517,2006.430786,279.31819,531.786209,26.310274,26.581601,27.754693,25.40851,20.115076,0.986686,107079.5751
coj1m003-fl11-20181024-0117-e91.fits,0,58416.04509,2458416.045,2458416.048853,1.037484,30.624176,32,53,80,1.411005,0.07529,1.411005,0.025396,0.008661,1.740469,0.574558,0.0017,0.000589,0.0017,0.000568,0.000564,0.003818,0.00126,830.167576,127.892055,830.167576,44.694451,15.370043,455.872762,455.872762,2573685.243,2592.450222,2029.676229,2037.712443,2030.176229,2058.787557,1.362549,-46.71493,3631482.389,3216.990877,2398.890784,1513.817308,5847.717285,1128.844478,488.366773,9650,25.906138,28.009343,29.091611,26.927075,2.804458,0.993988,1471778.236,2457.226522,1906.363189,2457.726522,2190.136811,1.367053,-46.728788,193771.877,1502.495639,128.966682,803.556396,60.233891,482.943495,26.333732,28.285575,29.187015,27.384136,7.18596,0.995679,4456.574101,2029.676229,2037.712443,2030.176229,2058.787557,1.362549,-46.71493,3631482.389,2398.890784,1513.817308,5847.717285,1128.844478,488.366773,25.906138,28.009343,29.091611,26.927075,2.804458,0.993988,1471772.398,2313.222416,1918.471602,2313.722416,2178.028398,1.365538,-46.727598,65362.24519,1460.941374,44.739814,631.632141,20.317821,482.934124,26.844274,28.774011,30.577838,26.970184,6.354171,0.98361,853.916013,2362.781446,1743.911802,2363.281446,2352.588198,1.366073,-46.746425,22291.56535,1450.151688,15.371885,581.927246,6.929322,483.073287,28.394139,28.534509,28.30941,28.759608,74.043693,0.999655,448.789493,1225.511263,1930.288381,1226.011263,2166.211619,1.354103,-46.727072,1634544.802,1922.857358,850.060352,2901.486084,508.097432,482.906329,26.133811,27.949003,29.005987,26.89202,356.186544,0.994193,299960.8643,3213.937326,2225.851774,3214.437326,1870.648226,1.374976,-46.693559,939140.4408,1738.797784,540.109062,1904.86499,291.931335,485.826648,26.331932,28.043485,28.926947,27.160023,12.057117,0.995244,98350.34813
coj1m003-fl11-20181024-0118-e91.fits,0,58416.04582,2458416.046,2458416.049584,1.037366,30.475288,32,53,80,1.408745,0.074633,1.408745,0.025712,0.008561,1.7237,0.580147,0.001898,0.000688,0.001898,0.00067,0.000663,0.004271,0.001438,742.285076,108.421773,742.285076,38.400166,12.910162,403.579557,403.579557,2388487.026,2717.370661,2030.201126,2037.522774,2030.701126,2058.977226,1.362551,-46.714886,3364768.051,3216.990877,2427.706682,1385.986238,5821.885254,1045.93646,586.352851,9705,26.46554,26.963855,28.021025,25.906686,11.016901,0.992866,1415039.594,2457.874195,1905.947863,2458.374195,2190.552137,1.367057,-46.72877,178260.1621,1631.580111,109.25615,927.964844,55.412082,580.528864,26.320017,27.430306,28.507701,26.352911,15.900203,0.991483,4320.378374,2030.201126,2037.522774,2030.701126,2058.977226,1.362551,-46.714886,3364768.051,2427.706682,1385.986238,5821.885254,1045.93646,586.352851,26.46554,26.963855,28.021025,25.906686,11.016901,0.992866,1415039.594,2314.144604,1917.827673,2314.644604,2178.672327,1.365545,-46.727604,61413.22423,1597.768856,38.436864,723.884888,19.09027,580.238807,25.753805,27.782946,29.103696,26.462196,15.030595,0.987987,891.416808,2363.01723,1744.971649,2363.51723,2351.528351,1.366072,-46.746251,20448.27565,1583.719103,12.911555,680.324219,6.356336,581.016546,26.306579,26.519078,26.362478,26.675677,46.794188,0.964395,541.076393,1226.035488,1929.996754,1226.535488,2166.503246,1.354103,-46.727042,1511559.654,2003.391413,754.500416,3054.357666,469.86756,582.730139,25.912374,26.743675,27.742942,25.744408,357.059443,0.994372,296324.256,3214.455531,2225.19838,3214.955531,1871.30162,1.37498,-46.69356,876927.3723,1835.899276,477.655492,2029.133789,272.592434,582.077143,25.478986,26.705539,27.328497,26.08258,24.423801,0.994979,101323.5199
coj1m003-fl11-20181024-0119-e91.fits,0,58416.04654,2458416.047,2458416.050298,1.037262,30.753462,32,53,80,1.41106,0.074515,1.41106,0.025269,0.009085,1.738206,0.575306,0.001977,0.000727,0.001977,0.000706,0.0007,0.004509,0.001493,713.646915,102.540523,713.646915,35.790385,12.983948,385.462058,385.462058,2311345.747,2743.362279,2031.101777,2037.860431,2031.601777,2058.639569,1.362548,-46.714907,3261448.083,3216.990877,2429.181425,1342.61198,5256.065918,1013.8195,611.889843,9717,26.626704,27.971619,28.683088,27.260149,359.748075,0.997415,1179365.197,2458.774033,1906.668865,2459.274033,2189.831135,1.367054,-46.728749,172230.0754,1667.143237,103.308505,928.139771,53.537633,606.374035,26.795514,28.138969,28.39923,27.878707,31.710752,0.998291,3741.171823,2031.101777,2037.860431,2031.601777,2058.639569,1.362548,-46.714907,3261448.083,2429.181425,1342.61198,5256.065918,1013.8195,611.889843,26.626704,27.971619,28.683088,27.260149,359.748075,0.997415,1179365.197,2314.873281,1917.546074,2315.373281,2178.953926,1.365541,-46.727692,58404.75011,1630.382827,35.822722,758.360779,18.155087,606.092081,25.260821,28.632515,28.237796,29.027233,297.501112,0.99769,836.397788,2363.63444,1745.58169,2364.13444,2350.91831,1.366067,-46.746241,20999.63398,1617.161397,12.985491,711.567017,6.527726,606.031367,25.847356,28.783682,31.884455,25.68291,23.945609,0.899113,537.159305,1226.942711,1930.357417,1227.442711,2166.142583,1.354102,-46.72706,1467236.091,2020.239958,726.268226,2774.649902,456.089603,609.289485,27.017139,27.811046,28.612124,27.009967,349.435699,0.996192,245367.5843,3215.33928,2225.602098,3215.83928,1870.897902,1.374977,-46.693575,844109.6553,1855.98144,454.805009,1850.072266,262.391063,607.23465,26.624703,27.913963,28.262365,27.56556,25.698899,0.9984,80705.92978
coj1m003-fl11-20181024-0120-e91.fits,0,58416.04726,2458416.047,2458416.051017,1.037172,28.161588,32,53,80,1.409533,0.074649,1.409533,0.025508,0.007851,1.744968,0.573077,0.002216,0.000844,0.002216,0.000824,0.000819,0.005143,0.001689,636.197076,88.467719,636.197076,30.960698,9.585098,339.288555,339.288555,2144454.691,2876.761273,2031.72729,2036.036838,2032.22729,2060.463162,1.362549,-46.714892,3022679.049,3216.990877,2476.180398,1220.702276,6378.076172,939.598266,717.9366,9678,23.821265,24.807082,25.842794,23.77137,12.79686,0.991458,1472893.668,2459.187812,1904.387568,2459.687812,2192.112432,1.367052,-46.728776,160081.9472,1796.707415,89.097393,1044.286499,49.761393,713.162424,24.393101,24.914566,25.348648,24.480485,34.491351,0.990566,4694.230864,2031.72729,2036.036838,2032.22729,2060.463162,1.362549,-46.714892,3022679.049,2476.180398,1220.702276,6378.076172,939.598266,717.9366,23.821265,24.807082,25.842794,23.77137,12.79686,0.991458,1472893.668,2314.935606,1916.770382,2315.435606,2179.729618,1.365535,-46.727558,54701.48857,1765.27956,30.987437,873.471741,17.00393,713.539228,25.148278,25.226563,26.602309,23.850818,2.658817,0.988071,1033.567551,2366.482176,1741.458442,2366.982176,2355.041558,1.366091,-46.746463,16835.69984,1756.300028,9.585891,809.362488,5.233369,712.539944,20.195824,24.944963,24.456711,25.433215,310.112815,0.946871,581.779561,1227.432304,1928.407088,1227.932304,2168.092912,1.354103,-46.727066,1363223.384,2104.357368,647.809828,3369.771973,423.757305,715.298087,23.938575,24.663742,25.74367,23.583814,1.913528,0.992326,305591.8494,3215.991823,2224.167366,3216.491823,1872.332634,1.374976,-46.693508,781231.3073,1961.488081,398.285014,2144.609131,242.84536,715.261933,25.059346,24.867034,25.652964,24.081103,24.710037,0.990577,97955.64193
coj1m003-fl11-20181024-0121-e91.fits,0,58416.04797,2458416.048,2458416.051735,1.037094,29.281403,32,53,80,1.408724,0.074251,1.408724,0.025047,0.008921,1.736109,0.576001,0.001954,0.000715,0.001954,0.000694,0.000689,0.00445,0.001476,720.953019,103.880224,720.953019,36.083067,12.949544,390.134431,390.134431,2326514.435,2729.53855,2032.721038,2036.077029,2033.221038,2060.422971,1.362548,-46.7149,3277415.565,3216.990877,2424.944634,1351.542431,6049.469727,1018.782984,601.3025,9587,25.811643,25.890565,26.928749,24.852382,9.389366,0.992848,1515981.742,2460.151084,1904.700249,2460.651084,2191.799751,1.367052,-46.728763,172745.7691,1650.535705,104.660425,923.908508,53.697936,595.202,25.464744,25.894196,26.89374,24.894652,2.330882,0.994018,4710.089011,2032.721038,2036.077029,2033.221038,2060.422971,1.362548,-46.7149,3277415.565,2424.944634,1351.542431,6049.469727,1018.782984,601.3025,25.811643,25.890565,26.928749,24.852382,9.389366,0.992848,1515984.1,2316.218986,1916.846166,2316.718986,2179.653834,1.365537,-46.727569,58272.22029,1613.49866,36.115444,731.977478,18.11389,594.755295,27.129328,26.744631,27.199821,26.289441,342.896168,0.998307,926.974903,2365.858293,1743.310042,2366.358293,2353.189958,1.366073,-46.746289,20755.77898,1602.634259,12.951039,690.751709,6.451923,594.840462,21.874268,27.675653,27.397351,27.953954,313.40663,0.86914,565.010109,1228.81613,1928.441471,1229.31613,2168.058529,1.354103,-46.727071,1476213.992,2010.165659,734.374296,3219.168457,458.880379,597.917532,24.762736,25.935745,27.136661,24.734829,358.590384,0.99144,309134.0364,3216.945129,2224.005817,3217.445129,1872.494183,1.374978,-46.693542,850300.4428,1846.514207,460.489521,2023.403931,264.315466,595.59393,25.953871,25.853123,26.466843,25.239403,25.56728,0.994282,103987.7228
