Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7
coj1m003-fl11-20181024-0112-e91.fits,0,58416.04149,2458416.041,2458416.045249,1.038265,23.234683,37.368954,1.35,32,53,80,1.404494,0.074693,1.404494,0.027541,0.010029,1.725246,0.579628,0.002793,0.001135,0.002793,0.001121,0.001112,0.006552,0.002201,502.921504,65.789021,502.921504,24.578502,9.020428,263.312022,263.312022,2039255.936,3514.574712,2024.623078,2035.821879,2025.123078,2060.678121,1.36255,-46.7149,2864123.294,4387.041596,2840.179844,1008.430259,5696.416992,652.859845,808.885412,9548,25.280952,25.857456,26.702398,25.012513,10.631808,0.995093,971013.8253,2452.059544,1904.675502,2452.559544,2191.824498,1.367053,-46.728736,152317.5917,2300.31271,66.216037,1109.189575,34.719888,804.059635,25.540323,26.236088,27.489347,24.982829,16.1753,0.987269,3283.760883,2024.623078,2035.821879,2025.123078,2060.678121,1.36255,-46.7149,2864123.294,2840.179844,1008.430259,5696.416992,652.859845,808.885412,25.280952,28.117244,28.694209,27.540278,35.428568,0.984351,971011.4765,2308.204285,1916.809156,2308.704285,2179.690844,1.36554,-46.727544,56162.31459,2282.96683,24.600583,953.080444,12.801865,804.039874,26.169031,28.16982,28.989107,27.350533,23.856237,0.992539,947.527726,2358.042624,1737.878516,2358.542624,2358.621484,1.366078,-46.746845,20450.90285,2266.9025,9.021519,917.801758,4.661661,804.030081,10.583158,26.07668,28.804402,23.348958,22.319278,0.915416,681.263952,1220.579543,1928.33055,1221.079543,2168.16945,1.354104,-46.727053,1290972.663,2537.7078,508.71604,3091.627441,294.269529,804.944928,24.604082,25.704577,26.740753,24.6684,356.152532,0.993403,203027.2218,3208.766946,2223.646099,3209.266946,1872.853901,1.374977,-46.693556,748283.2737,2431.516919,307.743396,2125.697266,170.566715,806.441577,25.184286,25.737811,26.34473,25.130892,22.536441,0.995545,67769.59414
coj1m003-fl11-20181024-0113-e91.fits,0,58416.0422,2458416.042,2458416.045964,1.038082,27.792962,33.285732,1.35,32,53,80,1.410098,0.074892,1.410125,0.025242,0.008216,1.737752,0.575456,0.001819,0.000654,0.001819,0.000634,0.000628,0.004124,0.001366,775.31564,114.550242,775.329925,39.838471,13.083218,421.402053,421.402053,2513267.971,2731.175282,2025.034185,2035.250641,2025.534185,2061.249359,1.362547,-46.714894,3543954.119,3480.696077,2462.102248,1439.401683,7352.602539,1018.173963,526.30232,9609,25.240972,23.860581,24.923487,22.797675,12.976956,0.990221,2121253.814,2452.690809,1903.796138,2453.190809,2192.703862,1.367052,-46.728758,188223.1389,1630.368561,115.448214,960.650879,54.076292,521.924457,23.303186,23.715798,24.920814,22.510781,8.305436,0.988812,6634.156623,2025.032687,2035.251307,2025.532687,2061.248693,1.362547,-46.714894,3544020.896,2461.992283,1439.493097,7352.602539,1018.193148,526.283002,25.241078,23.860581,24.923487,22.797675,12.976956,0.990221,2121305.172,2308.723477,1915.694255,2309.223477,2180.805745,1.365538,-46.727593,63439.24729,1590.91873,39.875857,706.524475,18.226023,520.99705,24.088546,24.417562,25.42858,23.406544,12.602943,0.991652,1092.051316,2359.083458,1741.762225,2359.583458,2354.737775,1.366081,-46.74635,20650.16785,1578.21113,13.084541,643.927856,5.93277,521.828722,26.343167,23.561267,23.442904,23.67963,46.98657,0.978974,530.116371,1221.199981,1927.737601,1221.699981,2168.762399,1.354105,-46.727055,1595263.868,2014.251378,791.988471,4061.202148,458.317484,522.534147,23.565817,23.677632,24.801676,22.553588,0.228329,0.991025,445982.7991,3209.42453,2223.202848,3209.92453,1873.297152,1.374975,-46.69353,918004.1021,1844.480904,497.703229,2465.999756,263.741528,523.821546,23.533284,23.307709,24.151738,22.46368,22.040991,0.989862,152941.6198
coj1m003-fl11-20181024-0114-e91.fits,0,58416.04294,2458416.043,2458416.046698,1.037913,26.191181,36.793086,1.35,32,53,80,1.411807,0.076385,1.411807,0.025374,0.009403,1.740637,0.574502,0.001815,0.000661,0.001815,0.00064,0.000635,0.004133,0.001364,778.048135,115.546308,778.048137,39.638866,14.812461,421.174255,421.174255,2648179.361,2874.333021,2024.602454,2035.789648,2025.102454,2060.710352,1.36255,-46.714891,3738719.026,4252.87195,2573.532109,1452.75787,6535.512207,879.104537,461.078496,9700,25.673852,26.264947,27.686383,24.843512,3.851604,0.98814,1617697.116,2451.899491,1904.382008,2452.399491,2192.117992,1.367052,-46.728753,202280.03,1736.81819,116.465863,831.448242,47.56316,456.942576,24.676129,26.883972,28.125925,25.642018,11.5116,0.989965,4908.548039,2024.602447,2035.789914,2025.102447,2060.710086,1.36255,-46.71489,3738719.077,2573.532119,1452.757885,6535.512207,879.104549,461.078496,25.673859,26.264947,27.686383,24.843512,3.851604,0.98814,1617732.713,2308.143257,1916.519795,2308.643257,2179.980205,1.36554,-46.727561,67194.631,1693.60072,39.675604,622.140808,15.799825,457.061073,25.260493,26.02268,27.280827,24.764532,340.612965,0.984688,912.751907,2358.550771,1741.160592,2359.050771,2355.339408,1.366084,-46.746475,24901.83213,1680.923474,14.814376,549.967651,5.855298,456.822084,4.616633,26.39996,24.796031,28.003889,75.544624,0.980873,455.695137,1220.436118,1928.0456,1220.936118,2168.4544,1.354104,-46.727074,1681915.138,2115.545048,795.026861,3325.095947,395.477493,456.043619,24.388068,26.17154,27.499346,24.843735,352.120593,0.988941,333944.5866,3208.543427,2223.348855,3209.043427,1873.151145,1.374975,-46.693572,966264.2232,1945.831305,496.581703,2064.361328,227.202755,460.888105,25.25627,26.385315,27.70407,25.066561,19.729626,0.983321,107785.9787
coj1m003-fl11-20181024-0115-e91.fits,0,58416.04365,2458416.044,2458416.047414,1.037756,27.045639,36.236999,1.35,32,53,80,1.410094,0.073869,1.410092,0.025178,0.009959,1.733434,0.57689,0.001848,0.000676,0.001848,0.000656,0.000652,0.004198,0.001397,762.909249,109.33693,762.910618,38.382287,15.274457,412.887866,412.887866,2610630.98,2895.391044,2025.806546,2037.119812,2026.306546,2059.380188,1.362548,-46.714909,3681234.305,4125.288486,2571.786617,1431.391812,7076.918457,892.35803,492.728877,9632,24.415886,25.055251,26.089817,24.020684,2.046413,0.993168,1819447.731,2453.528992,1905.616521,2454.028992,2190.883479,1.367055,-46.72878,192845.7207,1750.758846,110.149791,875.51178,46.747208,487.628293,24.859874,25.291122,26.50618,24.076063,6.393664,0.990337,5282.085718,2025.807304,2037.119832,2026.307304,2059.380168,1.362548,-46.714909,3681231.008,2571.768073,1431.400851,7076.918457,892.35723,492.729626,24.415853,25.055251,26.089817,24.020684,2.046413,0.993168,1819465.314,2309.534232,1917.527073,2310.034232,2178.972927,1.36554,-46.727613,65730.99009,1710.98214,38.417111,676.150208,15.933671,487.269878,25.158004,25.972852,27.212281,24.733422,354.846107,0.990633,924.263257,2360.461224,1742.836225,2360.961224,2353.663775,1.36609,-46.746454,26000.46625,1701.974392,15.27665,606.475342,6.302703,486.598059,15.020343,26.296429,29.639652,22.953205,6.405579,0.934148,488.547061,1221.624387,1929.567723,1222.124387,2166.932277,1.354102,-46.727074,1655557.326,2131.965887,776.540251,3640.373779,401.319164,489.389438,23.725245,24.931035,26.074067,23.788002,353.907666,0.991237,375714.8598,3209.895275,2224.886176,3210.395275,1871.613824,1.374975,-46.693564,955073.6536,1959.084162,487.510273,2161.757324,231.516816,489.204374,25.533087,25.341502,26.283735,24.399268,15.212666,0.992583,119160.4506
coj1m003-fl11-20181024-0116-e91.fits,0,58416.04437,2458416.044,2458416.048135,1.037614,27.30648,38.274353,1.35,32,53,80,1.406648,0.073841,1.406648,0.025435,0.010082,1.748254,0.571999,0.002059,0.000786,0.002059,0.000767,0.000762,0.004803,0.001572,683.197804,93.95757,683.197804,33.175053,13.226249,363.97054,363.97054,2494836.96,3115.838037,2027.780412,2036.534531,2028.280412,2059.965469,1.36255,-46.714888,3509357.802,4602.201015,2678.733836,1310.080813,6553.02832,762.539009,535.422044,9636,24.621495,26.290688,27.462361,25.119016,5.735795,0.991761,1348199.002,2455.400738,1905.10048,2455.900738,2191.39952,1.367054,-46.728751,184221.0043,1947.13699,94.611219,902.622437,40.028891,530.036515,24.728739,26.486309,28.09578,24.876838,1.489785,0.985299,4097.319631,2027.780412,2036.534531,2028.280412,2059.965469,1.36255,-46.714888,3509357.802,2678.733836,1310.080813,6553.02832,762.539009,535.422044,24.621495,26.290688,27.462361,25.119016,5.735795,0.991761,1348199.002,2311.298723,1917.069184,2311.798723,2179.430816,1.365539,-46.727577,63455.11055,1911.093311,33.203565,684.214355,13.787992,529.650935,24.036827,28.192157,28.443075,27.941239,344.063117,0.999561,817.902937,2361.75158,1743.250827,2362.25158,2353.249173,1.366083,-46.746323,25154.1403,1901.575353,13.228053,629.988159,5.465676,529.4238,15.07,29.60562,31.936012,27.275229,11.302729,0.971276,496.486152,1223.339908,1929.022106,1223.839908,2167.477894,1.354101,-46.727047,1587047.226,2276.801004,697.051355,3288.69458,344.845264,531.885638,24.725323,26.128815,27.305325,24.952305,356.278618,0.991785,280425.0495,3211.831253,2224.291827,3212.331253,1872.208173,1.374975,-46.693548,907789.7344,2127.116324,426.770141,2006.430786,197.251213,531.78548,26.295845,26.581601,27.754693,25.40851,20.115076,0.986686,87745.72377
coj1m003-fl11-20181024-0117-e91.fits,0,58416.04509,2458416.045,2458416.048853,1.037484,30.41637,39.379581,1.35,32,53,80,1.40902,0.076182,1.40902,0.02593,0.008652,1.742627,0.573846,0.001969,0.000742,0.001969,0.000725,0.000722,0.004552,0.001499,715.778313,102.713753,715.778313,35.759395,11.97554,382.857781,382.857781,2620202.173,3115.128833,2029.626302,2037.692594,2030.126302,2058.807406,1.362548,-46.714932,3691916.323,4871.829167,2708.915292,1362.876253,5847.717285,757.809068,488.392661,9637,25.937062,28.009343,29.091611,26.927075,2.804458,0.993988,1191499.853,2457.153177,1906.442112,2457.653177,2190.057888,1.367052,-46.728779,199612.3077,1928.84,103.488266,803.556396,40.972764,482.943767,26.544888,28.285575,29.187015,27.384136,7.18596,0.995679,3680.476336,2029.626302,2037.692594,2030.126302,2058.807406,1.362548,-46.714932,3691916.323,2708.915292,1362.876253,5847.717285,757.809068,488.392661,25.937062,28.009343,29.091611,26.927075,2.804458,0.993988,1191499.853,2313.035257,1918.435863,2313.535257,2178.064137,1.365536,-46.727602,67942.88528,1898.283116,35.791756,631.632141,13.946073,482.948526,26.507276,28.774011,30.577838,26.970184,6.354171,0.98361,773.263912,2362.146178,1744.102734,2362.646178,2352.397266,1.366066,-46.746405,22668.70803,1892.725586,11.976754,581.927246,4.653018,483.147327,28.140157,28.534509,28.30941,28.759608,74.043693,0.999655,448.648962,1225.461843,1930.273313,1225.961843,2166.226687,1.354102,-46.727073,1664839.85,2276.960895,731.16752,2901.486084,341.727879,482.906911,26.183563,27.949003,29.005987,26.89202,356.186544,0.994193,242623.8611,3213.897917,2225.860739,3214.397917,1870.639261,1.374976,-46.693558,955362.3225,2125.906096,449.39065,1904.86499,196.099307,485.841293,26.358099,28.043485,28.926947,27.160023,12.057117,0.995244,79639.69004
coj1m003-fl11-20181024-0118-e91.fits,0,58416.04582,2458416.046,2458416.049584,1.037366,30.215874,37.623992,1.35,32,53,80,1.409401,0.075488,1.408997,0.026096,0.00865,1.724657,0.579826,0.002157,0.000829,0.002156,0.000813,0.000807,0.004948,0.001663,653.393797,91.107555,653.645596,32.117191,10.719841,348.591122,348.591122,2413286.093,3160.097889,2030.16015,2037.523305,2030.66015,2058.976695,1.36255,-46.714886,3401286.683,4447.12784,2694.666706,1262.229082,5821.885254,764.827728,586.134418,9649,26.514456,26.963855,28.021025,25.906686,11.016901,0.992866,1185391.982,2457.868744,1906.022694,2458.368744,2190.477306,1.367057,-46.728762,182173.629,1985.264096,91.762919,927.964844,40.964334,580.536556,26.356517,27.430306,28.507701,26.352911,15.900203,0.991483,3689.815445,2030.161476,2037.522221,2030.661476,2058.977779,1.36255,-46.714886,3400313.945,2690.021265,1264.047236,5821.885254,764.608994,586.352862,26.513824,26.963855,28.021025,25.906686,11.016901,0.992866,1185381.698,2314.244445,1917.902538,2314.744445,2178.597462,1.365546,-46.727596,62976.69691,1959.105899,32.145632,723.884888,14.161207,580.25026,25.781502,27.782946,29.103696,26.462196,15.030595,0.987987,831.58325,2363.528735,1744.404043,2364.028735,2352.095957,1.366078,-46.746312,20874.84813,1947.117619,10.720897,680.324219,4.694007,581.041404,24.559668,26.519078,26.362478,26.675677,46.794188,0.964395,529.869814,1225.99251,1929.980591,1226.49251,2166.519409,1.354103,-46.727044,1527564.938,2306.127731,662.393898,3054.357666,343.494721,582.716018,25.925917,26.743675,27.742942,25.744408,357.059443,0.994372,246989.4858,3214.429683,2225.231404,3214.929683,1871.268596,1.37498,-46.693556,885721.1552,2160.553993,409.950947,2029.133789,199.16701,582.094314,25.442861,26.705539,27.328497,26.08258,24.423801,0.994979,84461.35069
coj1m003-fl11-20181024-0119-e91.fits,0,58416.04654,2458416.047,2458416.050298,1.037262,29.449355,39.104128,1.35,32,53,80,1.409702,0.075148,1.409702,0.02608,0.009518,1.735865,0.576082,0.002324,0.000914,0.002324,0.000896,0.000892,0.005414,0.001797,606.531558,82.220178,606.531562,29.091323,10.674323,320.615679,320.615679,2348748.11,3331.597454,2031.083129,2037.891444,2031.583129,2058.608556,1.362548,-46.714904,3311035.599,4803.912537,2782.559357,1189.924517,5256.065918,689.237278,611.902682,9720,26.650296,27.971619,28.683088,27.260149,359.748075,0.997415,953332.0516,2458.793268,1906.746656,2459.293268,2189.753344,1.367055,-46.72874,176502.6465,2132.057911,82.785109,928.139771,36.741436,606.423049,26.857738,28.138969,28.39923,27.878707,31.710752,0.998291,3110.44163,2031.083131,2037.891704,2031.583131,2058.608296,1.362548,-46.714904,3311035.694,2782.559374,1189.924544,5256.065918,689.237297,611.902682,26.650293,27.971619,28.683088,27.260149,359.748075,0.997415,953368.763,2314.913702,1917.605821,2315.413702,2178.894179,1.365541,-46.727685,61256.01357,2103.852027,29.116123,758.360779,12.751276,606.087423,18.83605,28.632515,28.237796,29.027233,297.501112,0.99769,777.785676,2363.090532,1745.449728,2363.590532,2351.050272,1.366061,-46.746255,22354.64887,2094.005102,10.675547,711.567017,4.653425,605.958629,23.324096,28.783682,31.884455,25.68291,23.945609,0.899113,529.715741,1226.863611,1930.387636,1227.363611,2166.112364,1.354101,-46.727057,1490245.248,2425.186717,614.48681,2774.649902,310.2149,609.32419,27.014053,27.811046,28.612124,27.009967,349.435699,0.996192,197523.9406,3215.359914,2225.660617,3215.859914,1870.839383,1.374977,-46.693569,858502.8619,2284.296606,375.828104,1850.072266,178.709095,607.246906,26.597082,27.913963,28.262365,27.56556,25.698899,0.9984,65086.71132
coj1m003-fl11-20181024-0120-e91.fits,0,58416.04726,2458416.047,2458416.051017,1.037172,28.260126,34.615907,1.35,32,53,80,1.408687,0.074742,1.408687,0.025532,0.007559,1.744659,0.573178,0.002366,0.000924,0.002366,0.000905,0.0009,0.005542,0.001821,595.374115,80.871835,595.374127,28.21679,8.395868,314.830133,314.830133,2152611.472,3103.725011,2031.709747,2036.030989,2032.209747,2060.469011,1.362549,-46.714893,3032356.446,3764.448036,2612.411611,1160.749873,6378.076172,805.524852,717.909981,9633,23.820724,24.807082,25.842794,23.77137,12.79686,0.991458,1345106.393,2459.228188,1904.456382,2459.728188,2192.043618,1.367053,-46.728768,160890.7955,1975.882835,81.427296,1044.286499,42.739545,713.15922,24.382627,24.914566,25.348648,24.480485,34.491351,0.990566,4327.762253,2031.709293,2036.030987,2032.209293,2060.469013,1.362549,-46.714893,3032356.746,2612.411669,1160.749962,6378.076172,805.524931,717.909981,23.820709,24.807082,25.842794,23.77137,12.79686,0.991458,1345122.393,2315.07888,1916.907158,2315.57888,2179.592842,1.365536,-46.727543,54960.27936,1946.173746,28.240171,873.471741,14.599824,713.541642,25.845118,25.226563,26.602309,23.850818,2.658817,0.988071,998.650312,2366.922743,1741.441987,2367.422743,2355.058013,1.366095,-46.746465,16272.37573,1937.99905,8.396483,809.362488,4.322646,712.505108,21.432822,24.944963,24.456711,25.433215,310.112815,0.946871,589.562993,1227.416117,1928.415133,1227.916117,2168.084867,1.354103,-46.727065,1368320.362,2259.230111,605.65781,3369.771973,363.484991,715.343464,23.943143,24.663742,25.74367,23.583814,1.913528,0.992326,278860.9143,3215.964015,2224.167313,3216.464015,1872.332687,1.374975,-46.693508,784291.1106,2128.141971,368.533266,2144.609131,208.341596,715.161547,25.126385,24.867034,25.652964,24.081103,24.710037,0.990577,89445.54302
coj1m003-fl11-20181024-0121-e91.fits,0,58416.04797,2458416.048,2458416.051735,1.037094,29.26553,36.440726,1.35,32,53,80,1.408013,0.073463,1.408014,0.025593,0.008984,1.737647,0.575491,0.002165,0.000829,0.002165,0.000811,0.000806,0.005013,0.00166,650.499334,88.575964,650.499376,31.571349,11.146536,346.617129,346.617129,2343556.127,3079.515132,2032.678776,2036.084283,2033.178776,2060.415717,1.362547,-46.714899,3299758.176,4171.804211,2632.667826,1253.389487,6049.469727,790.966692,601.306684,9575,25.766571,25.890565,26.928749,24.852382,9.389366,0.992848,1326711.119,2460.133438,1904.704289,2460.633438,2191.795711,1.367051,-46.728762,172164.9746,1930.487959,89.182102,923.908508,41.268709,595.189802,25.470077,25.894196,26.89374,24.894652,2.330882,0.994018,4214.201574,2032.676914,2036.084282,2033.176914,2060.415718,1.362547,-46.714899,3299759.225,2632.668025,1253.389791,6049.469727,790.966943,601.306684,25.766556,25.890565,26.928749,24.852382,9.389366,0.992848,1326714.732,2316.217141,1917.04214,2316.717141,2179.45786,1.365537,-46.727548,59977.8238,1898.119338,31.598553,731.977478,14.376951,594.749257,26.620055,26.744631,27.199821,26.289441,342.896168,0.998307,885.09363,2366.300196,1743.859473,2366.800196,2352.640527,1.366078,-46.746229,21055.39227,1888.760265,11.147731,690.751709,5.047071,594.894013,22.32671,27.675653,27.397351,27.953954,313.40663,0.86914,567.469644,1228.745468,1928.451107,1229.245468,2168.048893,1.354102,-46.72707,1487508.575,2249.348735,661.306338,3219.168457,356.562413,597.924239,24.709327,25.935745,27.136661,24.734829,358.590384,0.99144,270598.2916,3216.914615,2224.024979,3217.414615,1872.475021,1.374977,-46.69354,856047.5523,2103.29354,407.003367,2023.403931,205.198401,595.596661,25.939286,25.853123,26.466843,25.239403,25.56728,0.994282,90899.44899
