Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_err_C9,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,rel_flux_SNR_C9,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,X(IJ)_C9,Y(IJ)_C9,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Source_SNR_C9,Peak_C9,Mean_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,X-Width_C9,Y-Width_C9,Angle_C9,Roundness_C9
coj1m011-fa12-20190330-0058-e91.fits,0,58572.87293,2458572.872927,2458572.876067,1.416626,55,9.261387,15,30,45,0.239833,0.007826,0.026155,0.028147,0.060673,0.007231,0.273241,0.64967,0.643599,0.000458,0.000309,0.000319,0.000321,0.00034,0.000309,0.000569,0.001032,0.001023,523.781984,25.334278,82.025714,87.699289,178.509695,23.378207,480.61075,629.311208,628.853189,2971914.389,2335.414097,2065.849685,2034.709405,2066.349685,2061.790595,8.222956,12.222184,712762.4412,706.858347,1240.18318,574.723519,7329.174805,1008.352585,946.908966,3060,9.295385,12.970971,12.766516,13.175425,281.564625,0.998825,2256.849313,1894.814069,2257.349313,2201.685931,8.224377,12.207279,23259.42789,917.919106,25.3393,1198.241089,32.905359,939.641546,9.101504,13.66947,13.564307,13.774632,48.155415,0.980409,2332.453838,1844.858986,2332.953838,2251.641014,8.224939,12.201965,77730.19036,945.661303,82.196649,1636.633423,109.965725,940.598336,9.200301,13.095192,12.991247,13.199137,80.115481,0.999715,1896.18842,1827.150999,1896.68842,2269.349001,8.221721,12.199527,83650.49199,951.565376,87.908297,1755.808838,118.341238,940.978006,9.095879,12.81904,12.868514,12.769566,3.393325,0.99994,1872.253342,1755.799438,1872.753342,2340.700562,8.22155,12.191779,180315.0071,1000.12541,180.292397,2650.772461,255.093553,940.880152,9.176346,12.879701,12.703167,13.056235,79.848187,0.999146,1960.824605,2223.203066,1961.324605,1873.296934,8.222165,12.242449,21488.82203,919.026655,23.382153,1131.403198,30.400464,943.828701,9.92345,15.143346,13.904119,16.382574,70.485985,0.956201,2607.939801,2237.344884,2608.439801,1859.155116,8.22694,12.244749,637781.2027,1209.547826,527.28895,6665.506836,902.275831,944.929633,9.245535,12.950134,12.736411,13.163857,278.12518,0.998819,1536.419844,2713.968955,1536.919844,1382.531045,8.218993,12.295024,1170393.475,1414.800581,827.249785,11360.37109,1655.768062,949.283432,9.164048,12.996966,12.890898,13.103033,295.87884,0.999305,1127.994238,1892.72755,1128.494238,2203.77245,8.216047,12.20568,1163739.71,1410.493665,825.058445,11849.0752,1646.35491,948.90232,9.150031,12.840959,12.707748,12.97417,78.838506,0.999497
coj1m011-fa12-20190330-0059-e91.fits,0,58572.87388,2458572.873878,2458572.877018,1.41443,55,10.671202,15,30,45,0.240241,0.007582,0.025107,0.028493,0.060435,0.006588,0.274756,0.652162,0.638622,0.000443,0.000285,0.000296,0.000299,0.000319,0.000285,0.000551,0.001008,0.00099,541.945402,26.561136,84.734065,95.290466,189.22655,23.106972,498.998383,646.747017,644.766227,2896826.389,2214.422924,2065.333167,2034.911148,2065.833167,2061.588852,8.222957,12.222215,695937.6809,706.858347,1168.766112,595.446492,6637.085938,984.550418,767.260351,3013,9.333403,13.475973,13.197437,13.754509,88.247201,0.998286,2256.437023,1895.093533,2256.937023,2201.406467,8.224378,12.207316,21962.57743,826.698459,26.566612,992.920776,31.070691,756.774943,9.581766,13.553843,13.348339,13.759347,58.276151,0.9954,2331.886897,1845.020029,2332.386897,2251.479971,8.224939,12.201988,72730.31253,856.533666,84.91238,1422.607666,102.892344,758.721561,9.241539,13.316914,13.07488,13.558949,78.58247,0.998445,1895.525615,1827.402393,1896.025615,2269.097607,8.221721,12.199563,82540.58593,863.898713,95.544286,1447.008057,116.771042,759.615152,9.582176,13.71889,13.374609,14.063171,83.106541,0.997333,1871.88681,1755.875114,1872.38681,2340.624886,8.221552,12.191797,175068.3264,915.448165,191.237836,2253.839844,247.671018,758.307595,9.827219,13.382305,13.125393,13.639218,82.289638,0.998415,1960.240692,2223.349171,1960.740692,1873.150829,8.222166,12.242476,19083.70659,825.756363,23.110578,931.468262,26.997922,762.178121,10.838818,14.029791,12.662356,15.397225,83.526392,0.960742,2607.494195,2237.487423,2607.994195,1859.012577,8.226942,12.24477,624370.8597,1137.125197,549.078379,5928.115234,883.304077,766.148904,9.417911,13.471054,13.138934,13.803173,87.950885,0.997559,1536.068645,2714.04305,1536.568645,1382.45695,8.218995,12.29505,1143471.602,1345.468394,849.868795,10134.36816,1617.681402,768.699739,9.493797,13.550386,13.310594,13.790178,87.689345,0.99874,1127.544814,1892.971478,1128.044814,2203.528522,8.216048,12.205724,1128983.927,1341.763755,841.417815,10076.92285,1597.185535,769.200611,9.462802,13.464115,13.243772,13.684459,78.171515,0.998724
coj1m011-fa12-20190330-0060-e91.fits,0,58572.87483,2458572.874829,2458572.877969,1.4123,55,10.466235,15,30,45,0.240513,0.007283,0.025376,0.028313,0.060779,0.007203,0.27429,0.652214,0.639342,0.000415,0.000252,0.000264,0.000267,0.000289,0.000252,0.000515,0.000954,0.000938,579.45678,28.89394,96.11178,106.131162,210.590252,28.599137,533.041712,683.688779,681.864659,2976496.63,2148.880286,2066.113474,2034.78812,2066.613474,2061.71188,8.222956,12.222198,715885.68,706.858347,1122.141756,637.963676,7124.209473,1012.771064,627.352311,3028,9.181457,12.895431,12.754176,13.036686,70.686576,0.999214,2257.248862,1894.879649,2257.748862,2201.620351,8.224377,12.207292,21678.12862,750.102329,28.900228,865.123474,30.668278,619.771948,9.722945,11.493,11.658544,11.327456,28.831514,0.997101,2332.674397,1844.961502,2333.174397,2251.538498,8.224938,12.201982,75531.55044,783.977795,96.343992,1322.671631,106.855285,619.648154,9.382603,13.021515,12.723133,13.319897,81.677012,0.997714,1896.436193,1827.113029,1896.936193,2269.386971,8.221721,12.199528,84274.90739,791.7294,106.44408,1461.792358,119.224605,621.509738,8.667398,12.916851,12.702211,13.13149,82.340045,0.998813,1872.540404,1755.734585,1873.040404,2340.765415,8.22155,12.191778,180909.2227,849.071392,213.067151,2320.641113,255.934196,620.633698,9.337399,12.724301,12.593003,12.855598,64.651144,0.998939,1961.163657,2223.294327,1961.663657,1873.205673,8.222166,12.242463,21439.21242,749.48562,28.605235,805.736755,30.330281,621.632547,9.649354,13.438823,11.86075,15.016897,77.778606,0.935248,2608.316411,2237.376563,2608.816411,1859.123437,8.22694,12.244757,640688.3849,1089.282625,588.174612,6542.980469,906.388653,625.670414,9.172212,12.859006,12.703832,13.014181,76.517234,0.999267,1536.948843,2713.756069,1537.448843,1382.743931,8.218994,12.295003,1174977.012,1312.087835,895.501796,11351.19141,1662.25244,628.317497,9.247836,12.847626,12.706244,12.989008,69.887116,0.999169,1128.256491,1892.691228,1128.756491,2203.808772,8.216047,12.205681,1160831.233,1307.507309,887.820072,11201.98145,1642.240256,629.3056,9.16371,12.797359,12.663435,12.931284,64.028615,0.998847
coj1m011-fa12-20190330-0061-e91.fits,0,58572.87579,2458572.875788,2458572.878928,1.410218,55,9.499791,15,30,45,0.240359,0.008256,0.025157,0.028394,0.061143,0.00681,0.273943,0.653937,0.638223,0.000395,0.000226,0.00024,0.000242,0.000266,0.000227,0.000489,0.000917,0.000898,608.704487,36.45419,104.974441,117.195318,230.006594,30.035306,560.642591,713.264237,710.879574,3034403.1,2098.108087,2066.185094,2034.994534,2066.685094,2061.505466,8.222958,12.222201,729346.9528,706.858347,1086.901153,671.033378,8525.34375,1031.814869,520.982949,3004,8.421018,11.955984,11.81633,12.095637,89.135277,0.999454,2257.11154,1895.029349,2257.61154,2201.470651,8.224378,12.207286,25052.1942,687.005647,36.465776,812.715759,35.441605,512.426149,7.918554,11.999057,12.105434,11.892681,320.055135,0.9898,2332.69487,1845.21138,2333.19487,2251.28862,8.22494,12.201986,76336.88206,725.276841,105.252061,1370.405762,107.994597,514.784278,8.495198,11.78854,11.578479,11.998601,286.40606,0.998203,1896.414213,1827.45178,1896.914213,2269.04822,8.221722,12.199543,86157.57961,732.744625,117.582001,1487.667725,121.888042,515.611563,8.268343,12.07535,12.045449,12.105251,65.26347,0.999942,1872.643909,1755.954055,1873.143909,2340.545945,8.221553,12.191779,185532.9365,796.375537,232.971667,2566.188721,262.475413,514.69759,8.589258,11.917862,11.856598,11.979127,270.84781,0.999894,1961.142761,2223.587794,1961.642761,1872.912206,8.222167,12.242479,20663.99697,687.841855,30.041785,732.993225,29.233576,517.628801,7.920032,13.552979,12.998083,14.107875,64.794306,0.983545,2608.302677,2237.576877,2608.802677,1858.923123,8.226943,12.244763,652504.7544,1052.281104,620.085975,7843.937012,923.105396,519.11709,8.396484,11.917687,11.805153,12.030221,282.278863,0.999569,1536.8269,2714.066977,1537.3269,1382.433023,8.218995,12.29503,1199748.364,1286.175477,932.803016,13763.07617,1697.296734,521.793604,8.561238,11.942436,11.894549,11.990322,89.927251,0.999936,1128.297683,1893.044593,1128.797683,2203.455407,8.216048,12.205699,1182149.981,1280.825775,922.959238,13337.92871,1672.400116,524.850005,8.461756,11.891644,11.797748,11.98554,74.815238,0.999665
coj1m011-fa12-20190330-0062-e91.fits,0,58572.87674,2458572.876737,2458572.879877,1.408232,55,9.53314,15,30,45,0.241652,0.007538,0.025235,0.028216,0.061527,0.007647,0.273036,0.654313,0.639356,0.000387,0.000211,0.000225,0.000228,0.000254,0.000212,0.000475,0.0009,0.000883,624.662042,35.775265,111.913376,123.611259,242.43929,36.102834,574.424034,726.615651,724.029584,3016539.544,2045.956928,2066.367754,2034.907311,2066.867754,2061.592689,8.222958,12.222189,728954.2241,706.858347,1057.047141,689.613732,8450.455078,1031.259272,445.723513,2934,8.258359,12.005389,11.864425,12.146352,277.212497,0.999412,2257.586194,1895.163185,2258.086194,2201.336815,8.22438,12.207298,22739.27149,635.427192,35.785802,733.012207,32.169489,439.185976,8.060957,12.108573,12.921008,11.296139,6.553698,0.981186,2332.756767,1845.154345,2333.256767,2251.345655,8.224939,12.201977,76121.1091,678.21656,112.237173,1278.062866,107.68934,440.705926,8.317372,12.158466,12.086282,12.23065,68.673713,0.999739,1896.585513,1827.414216,1897.085513,2269.085784,8.221722,12.199535,85113.48967,686.133557,124.047992,1385.849976,120.410956,440.717416,8.642532,11.972011,11.919092,12.024929,63.078527,0.999775,1872.841552,1755.943873,1873.341552,2340.556127,8.221553,12.191774,185598.2163,755.124647,245.784874,2486.331543,262.567765,439.856176,8.559661,12.009477,11.809113,12.209841,74.759113,0.998502,1961.36806,2223.250723,1961.86806,1873.249277,8.222167,12.24244,23068.04382,638.762241,36.113662,675.563843,32.634606,441.521577,9.676917,13.598938,12.977102,14.220774,79.566391,0.990461,2608.461674,2237.453787,2608.961674,1859.046213,8.226942,12.244747,646975.6846,1016.63826,636.387307,7694.84668,915.283362,444.808807,8.098992,12.021698,11.861623,12.181774,276.724727,0.99925,1537.011621,2713.947565,1537.511621,1382.552435,8.218994,12.295014,1193099.751,1257.315482,948.926318,13530.42285,1687.89087,446.337943,8.377418,12.094067,12.011835,12.176298,281.524329,0.999782,1128.479079,1893.021128,1128.979079,2203.478872,8.216048,12.205693,1176464.109,1253.612452,938.459176,13162.40625,1664.356251,450.327552,8.306264,12.016731,11.879775,12.153686,79.46422,0.999403
coj1m011-fa12-20190330-0063-e91.fits,0,58572.87769,2458572.877685,2458572.880825,1.406294,55,9.636372,15,30,45,0.241668,0.007808,0.024939,0.028268,0.061205,0.007237,0.273963,0.652261,0.639838,0.000379,0.000199,0.000214,0.000217,0.000243,0.000199,0.000466,0.000884,0.000869,637.71487,39.24631,116.803851,130.439173,251.512515,36.332685,587.321634,737.896973,735.878842,3013425.132,2010.23669,2065.882676,2034.451983,2066.382676,2062.048017,8.222957,12.222197,728249.5471,706.858347,1033.47831,704.658763,8368.292969,1030.262358,392.243554,3001,8.407136,11.996002,11.835141,12.156863,71.895947,0.998896,2257.356061,1894.548046,2257.856061,2201.951954,8.224381,12.20729,23529.83353,599.337062,39.259767,668.935974,33.287905,384.293265,8.679942,11.892066,11.524602,12.259529,281.040884,0.995561,2332.340623,1844.552061,2332.840623,2251.947939,8.224938,12.20197,75150.8842,641.437773,117.160054,1232.728027,106.316753,386.560878,8.438582,11.789083,11.461514,12.116651,81.501005,0.996628,1896.115896,1826.942774,1896.615896,2269.557226,8.221721,12.199545,85183.71245,650.576112,130.935814,1344.55188,120.510301,387.713562,8.287431,12.054905,12.030285,12.079526,50.830314,0.999592,1872.392059,1755.449911,1872.892059,2341.050089,8.221552,12.191782,184437.6969,722.918771,255.129213,2414.014404,260.925966,386.833853,8.367044,11.902757,11.647208,12.158306,70.581375,0.996964,1960.619356,2222.943261,1961.119356,1873.556739,8.222165,12.242463,21807.68465,600.045892,36.343361,582.79248,30.851563,387.703602,9.463138,13.508023,12.184378,14.831668,72.338192,0.943396,2608.097058,2237.064852,2608.597058,1859.435148,8.226942,12.244758,648030.4675,994.126915,651.85889,7449.214844,916.775575,390.057467,8.461263,12.047889,11.828122,12.267657,76.542444,0.998327,1536.69583,2713.523498,1537.19583,1382.976502,8.218995,12.295024,1189605.846,1237.450999,961.335718,12854.11914,1682.948006,392.683129,8.655225,12.102497,11.900622,12.304372,87.085927,0.998876,1128.066277,1892.468532,1128.566277,2204.031468,8.216048,12.205698,1175788.819,1233.482164,953.227256,12996.97754,1663.400912,395.735418,8.434445,11.962839,11.813041,12.112637,71.999083,0.999042
coj1m011-fa12-20190330-0064-e91.fits,0,58572.87864,2458572.878639,2458572.881779,1.404412,55,10.039135,15,30,45,0.24203,0.007683,0.024918,0.028226,0.060823,0.007569,0.273957,0.65207,0.640035,0.000375,0.00019,0.000205,0.000208,0.000236,0.00019,0.000461,0.000877,0.000863,644.731185,40.499902,121.359817,135.624948,257.814657,39.842493,594.452653,743.473351,741.497452,2982586.87,1973.520098,2066.131814,2034.291381,2066.631814,2062.208619,8.222958,12.2222,721874.1726,706.858347,1012.654703,712.853227,7530.234863,1021.243048,348.51897,3015,8.81486,12.472561,12.317716,12.627406,83.608961,0.999352,2257.175297,1894.701987,2257.675297,2201.798013,8.224379,12.207326,22915.15933,565.60457,40.514452,603.593445,32.418319,340.556836,8.948353,12.197673,12.113623,12.281722,288.758151,0.999698,2332.497438,1844.57424,2332.997438,2251.92576,8.224939,12.201992,74320.98392,610.424237,121.753003,1087.487793,105.142684,342.477195,8.727173,12.246626,12.083445,12.409807,85.689849,0.999274,1896.302314,1826.773319,1896.802314,2269.726681,8.221721,12.199546,84186.20685,618.22351,136.174386,1194.401978,119.09912,341.727577,8.888274,12.416372,12.19554,12.637204,74.483194,0.998278,1872.554128,1755.355748,1873.054128,2341.144252,8.221552,12.191791,181409.0818,693.327435,261.64994,2286.291748,256.641352,343.130981,8.710216,12.311127,12.075642,12.546611,72.77195,0.997849,1961.420002,2222.741417,1961.920002,1873.758583,8.22217,12.242463,22575.17744,566.413635,39.856345,557.70459,31.937343,343.445798,10.197789,14.133298,12.917267,15.34933,77.371886,0.964328,2608.222532,2236.836617,2608.722532,1859.663383,8.226942,12.244755,641387.6611,970.862328,660.637088,6712.886719,907.377926,346.135506,8.840069,12.473255,12.273489,12.673021,89.693831,0.998974,1536.718011,2713.435203,1537.218011,1383.064797,8.218994,12.295036,1177223.521,1216.863282,967.424639,11861.79395,1665.4306,348.640536,8.816951,12.459377,12.380156,12.538599,85.843761,0.999835,1128.202207,1892.328293,1128.702207,2204.171707,8.216048,12.205701,1163975.688,1213.034076,959.557288,11866.12988,1646.68875,352.292446,8.772157,12.427323,12.316172,12.538473,62.832585,0.999059
coj1m011-fa12-20190330-0065-e91.fits,0,58572.87959,2458572.879590,2458572.882729,1.402601,55,9.594952,15,30,45,0.241032,0.008102,0.025253,0.028358,0.060737,0.007631,0.273844,0.652581,0.63972,0.000368,0.000181,0.000197,0.000199,0.000228,0.000181,0.000452,0.000865,0.00085,655.061535,44.680464,128.399651,142.417942,266.672339,42.233473,605.370456,754.644179,752.535895,3004757.347,1958.03615,2065.784768,2034.74504,2066.284768,2061.75496,8.222957,12.222193,724243.2914,706.858347,999.819621,724.373953,8226.40625,1024.594665,315.627155,2984,8.450011,12.031366,11.917974,12.144758,72.041076,0.999458,2256.897544,1894.802563,2257.397544,2201.697437,8.224379,12.207281,24343.46234,544.603603,44.699415,598.64502,34.438954,308.226282,8.44965,12.144499,12.062476,12.226522,50.444416,0.994887,2332.209191,1845.012267,2332.709191,2251.487733,8.224939,12.201984,75878.9785,588.887144,128.851477,1208.300293,107.346796,310.012289,8.100149,11.891888,11.762196,12.021581,284.672259,0.999374,1896.080374,1827.219544,1896.580374,2269.280456,8.221722,12.199538,85207.56986,595.710281,143.035251,1218.866333,120.544053,310.519813,8.619785,12.030916,11.940882,12.12095,62.32927,0.999307,1872.210939,1755.743528,1872.710939,2340.756472,8.221552,12.191776,182499.3047,673.945498,270.792379,2417.099121,258.183702,311.452465,8.193309,11.852041,11.812275,11.891807,61.361303,0.999846,1960.733603,2223.117362,1961.233603,1873.382638,8.222167,12.242445,22929.00913,542.705163,42.249477,512.47998,32.437912,311.098937,9.58155,13.704477,12.613693,14.79526,83.233907,0.973528,2607.932357,2237.341539,2608.432357,1859.158461,8.226942,12.244754,645946.5989,959.183721,673.433654,7474.006348,913.827504,313.888771,8.195198,11.990701,11.8263,12.155102,78.111292,0.999102,1536.462908,2713.890584,1536.962908,1382.609416,8.218994,12.295024,1186535.912,1209.176101,981.276351,13642.32422,1678.604938,316.59347,8.270014,11.982387,11.849294,12.115481,76.833687,0.999386,1127.848294,1892.743075,1128.348294,2203.756925,8.216048,12.205687,1172274.836,1204.89224,972.929194,13363.59766,1658.429642,319.589557,8.455766,11.980383,11.875755,12.085011,66.852884,0.999361
coj1m011-fa12-20190330-0066-e91.fits,0,58572.88054,2458572.880539,2458572.883678,1.400861,55,9.387298,15,30,45,0.241043,0.007945,0.024734,0.028732,0.061581,0.007288,0.273702,0.652775,0.639764,0.000364,0.000174,0.000191,0.000194,0.000223,0.000174,0.000448,0.000859,0.000844,661.32668,45.624451,129.794835,147.974541,275.862336,41.932007,611.231848,760.243661,758.039961,3005970.632,1943.917991,2065.901644,2034.544435,2066.401644,2061.955565,8.222958,12.222201,724567.7738,706.858347,990.375845,731.608891,8635.145508,1025.053714,293.764162,3027,8.225786,11.783723,11.773454,11.793991,50.456217,0.999915,2256.800119,1894.51714,2257.300119,2201.98286,8.224378,12.20728,23881.02058,523.198047,45.644323,586.053955,33.784733,286.918219,8.168725,11.875768,11.853749,11.897786,310.262326,0.999493,2332.34565,1844.651933,2332.84565,2251.848067,8.224939,12.201975,74350.69737,570.81102,130.254488,1178.822632,105.18472,288.420445,8.176519,11.582048,11.424768,11.739328,69.97134,0.998741,1896.181601,1827.012512,1896.681601,2269.487488,8.221722,12.199545,86366.81178,580.981461,148.656743,1229.932739,122.184045,288.163836,8.5009,11.905409,11.964181,11.846637,31.679362,0.999515,1872.300985,1755.450409,1872.800985,2341.049591,8.221552,12.191774,185109.3072,660.256571,280.359659,2483.840088,261.8761,288.443151,7.948349,11.770825,11.744548,11.797102,76.462351,0.999975,1960.897873,2223.201909,1961.397873,1873.298091,8.222167,12.242485,21906.17768,522.229285,41.947433,487.210876,30.990902,288.760667,9.157908,13.398179,11.845483,14.950876,85.411997,0.946329,2608.011928,2237.129403,2608.511928,1859.370597,8.226942,12.244761,645943.5606,949.335282,680.41668,7702.132324,913.823206,292.045173,8.099559,11.793793,11.760826,11.826761,82.615241,0.999967,1536.512828,2713.618646,1537.012828,1382.881354,8.218994,12.295027,1187229.202,1201.540347,988.089334,13939.04297,1679.585743,294.188181,8.420347,11.825501,11.787182,11.863821,83.031602,0.999955,1127.97588,1892.532671,1128.47588,2203.967329,8.216048,12.205694,1172797.869,1197.447483,979.414869,13736.08691,1659.169584,299.349802,8.192634,11.75897,11.748549,11.769391,49.335836,0.999862
coj1m011-fa12-20190330-0067-e91.fits,0,58572.88149,2458572.881485,2458572.884624,1.399174,55,9.37552,15,30,45,0.240928,0.007793,0.025216,0.028324,0.061538,0.007395,0.273603,0.651278,0.641405,0.000362,0.000168,0.000187,0.000189,0.000219,0.000169,0.000444,0.000852,0.000841,666.112715,46.262421,135.197005,149.582011,280.443701,43.651547,616.016696,764.140168,762.706211,3004657.711,1931.653241,2066.013728,2034.705224,2066.513728,2061.794776,8.222957,12.222198,723906.0124,706.858347,982.071573,737.12144,8348.56543,1024.117513,274.687407,2994,8.502169,11.891998,11.805387,11.97861,286.725109,0.999695,2257.197962,1894.944428,2257.697962,2201.555572,8.224379,12.207306,23414.90875,505.908463,46.282896,569.440613,33.12532,267.795504,8.390938,11.799869,11.83274,11.766997,37.923794,0.999481,2332.490164,1844.912984,2332.990164,2251.587016,8.224939,12.201983,75765.96064,558.290721,135.710586,1128.079834,107.186908,269.497012,8.277803,11.76857,11.716331,11.820808,273.656642,0.99992,1896.286549,1827.163923,1896.786549,2269.336077,8.221721,12.199542,85104.34646,566.310936,150.27848,1273.012817,120.398021,270.145201,8.004685,11.683526,11.585249,11.781804,270.652977,0.999717,1872.469574,1755.635102,1872.969574,2340.864898,8.221552,12.191775,184901.0205,648.511711,285.115931,2327.638916,261.581435,270.098618,8.439287,11.85505,11.747491,11.962608,286.585522,0.99953,1960.94819,2223.269297,1961.44819,1873.230703,8.222166,12.242471,22219.25437,508.813661,43.668746,480.510193,31.433815,271.62405,8.33854,14.040082,13.252176,14.827988,82.608427,0.98661,2608.150525,2237.286186,2608.650525,1859.213814,8.226941,12.244756,645478.1743,940.669861,686.189917,7362.462402,913.164819,274.115874,8.320659,11.906182,11.791618,12.020746,291.312435,0.999316,1536.662204,2713.79733,1537.162204,1382.70267,8.218994,12.295024,1185062.322,1195.098384,991.602313,13705.93457,1676.520235,276.450924,8.384545,11.832644,11.80617,11.859119,306.675806,0.999756,1128.128961,1892.677102,1128.628961,2203.822898,8.216048,12.205692,1174117.215,1190.867041,985.934764,13636.35352,1661.036076,279.229116,8.333753,11.817709,11.773382,11.862036,291.128953,0.999897
