Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_err_C9,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,rel_flux_SNR_C9,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,X(IJ)_C9,Y(IJ)_C9,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Source_SNR_C9,Peak_C9,Mean_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,X-Width_C9,Y-Width_C9,Angle_C9,Roundness_C9
coj1m011-fa12-20190330-0058-e91.fits,0,58572.87293,2458572.873,2458572.876067,1.416626,55,9.221939,19.073285,1.35,19,30,45,0.239638,0.007471,0.026087,0.028013,0.060686,0.007347,0.273517,0.65034,0.642475,0.000532,0.0004,0.000407,0.000409,0.000424,0.000401,0.000664,0.001174,0.001161,450.637951,18.692253,64.092437,68.447247,143.093948,18.342027,412.053295,554.090367,553.52485,3065919.964,2747.143029,2065.89552,2034.707416,2066.39552,2061.792584,8.222956,12.222184,734709.4413,1142.880603,1491.557454,492.578706,7329.174805,642.857565,946.850482,3059,9.446307,13.950111,13.733002,14.167219,280.381896,0.998892,2256.745864,1894.754541,2257.245864,2201.745459,8.224376,12.207272,22906.60607,1225.287993,18.694875,1198.241089,20.042869,939.556865,8.938185,12.643135,12.950906,12.335365,324.742572,0.978722,2332.499051,1844.916688,2332.999051,2251.583312,8.224939,12.201971,79981.06228,1245.842203,64.198389,1636.633423,69.981993,940.719125,9.243143,13.958887,14.333019,13.584756,28.623457,0.990197,1896.223417,1827.215746,1896.723417,2269.284254,8.221721,12.199534,85886.67841,1252.424333,68.576341,1755.808838,75.149301,940.982457,8.980423,13.564788,13.094822,14.034753,281.959717,0.994268,1872.319098,1755.823111,1872.819098,2340.676889,8.221551,12.191782,186057.3889,1289.514522,144.284834,2650.772461,162.796873,940.872859,9.196859,13.909438,13.485101,14.333774,271.616444,0.996272,1960.90147,2222.81824,1961.40147,1873.68176,8.222166,12.242407,22525.678,1227.92509,18.344505,1131.403198,19.709564,943.910696,9.661051,16.244902,16.201357,16.288446,46.881095,0.993325,2607.980776,2237.372774,2608.480776,1859.127226,8.22694,12.244752,658477.1165,1466.282096,449.079422,6665.506836,576.15565,944.940832,9.229706,14.00879,13.796927,14.220652,281.115819,0.998933,1536.43314,2714.000016,1536.93314,1382.499984,8.218993,12.295027,1208169.372,1645.524605,734.215319,11360.37109,1057.1265,949.181863,9.152768,14.050167,13.899438,14.200896,289.362986,0.999244,1128.022501,1892.733338,1128.522501,2203.766662,8.216048,12.205681,1199273.475,1639.835483,731.337678,11849.0752,1049.34275,948.900869,9.149008,13.84144,13.693508,13.989371,83.711419,0.99952
coj1m011-fa12-20190330-0059-e91.fits,0,58572.87388,2458572.874,2458572.877018,1.41443,55,10.752328,21.033439,1.35,19,30,45,0.240557,0.008098,0.025041,0.028823,0.060319,0.006602,0.274855,0.651212,0.639395,0.000542,0.00041,0.000416,0.000419,0.000434,0.000409,0.000677,0.001192,0.001175,443.52174,19.760328,60.125255,68.730951,138.955806,16.154749,405.867129,546.275193,544.197032,3053661.449,2779.418946,2065.387273,2034.902385,2065.887273,2061.597615,8.222957,12.222214,734578.8986,1389.858025,1515.287971,484.778413,6637.085938,528.528012,767.309865,2975,9.329519,14.777411,14.442214,15.112609,270.05536,0.997944,2256.612232,1895.035502,2257.112232,2201.464498,8.22438,12.20731,24727.96988,1251.192281,19.763525,992.920776,17.791724,756.784477,9.992023,15.76476,16.530425,14.999094,22.762892,0.980867,2331.866119,1845.037922,2332.366119,2251.462078,8.224939,12.20199,76465.43726,1269.863194,60.215492,1422.607666,55.016725,758.683186,9.240494,14.829918,14.425356,15.23448,89.553976,0.997027,1895.750109,1827.398047,1896.250109,2269.101953,8.221722,12.199563,88015.03036,1278.06519,68.865838,1447.008057,63.326634,759.566644,9.538557,15.086744,14.585064,15.588425,74.972571,0.994109,1871.883568,1755.89665,1872.383568,2340.60335,8.221552,12.191799,184194.2788,1314.915373,140.08071,2253.839844,132.527406,758.292316,9.83051,14.751637,14.288825,15.21445,83.088973,0.995833,1960.388678,2223.452103,1960.888678,1873.047897,8.222167,12.242487,20161.44115,1247.884507,16.156496,931.468262,14.506116,762.260403,11.039889,15.62747,12.582467,18.672474,85.301833,0.855181,2607.550565,2237.498622,2608.050565,1859.001378,8.226942,12.244771,658359.8715,1488.274699,442.364486,5928.115234,473.688578,766.103686,9.621592,14.782776,14.35651,15.209043,85.255133,0.996587,1536.109557,2714.055876,1536.609557,1382.444124,8.218995,12.295051,1204315.453,1658.514396,726.141091,10134.36816,866.5025,768.640964,9.491807,14.800737,14.477675,15.123798,85.672269,0.998052,1127.568444,1892.975862,1128.068444,2203.524138,8.216049,12.205724,1190986.124,1661.185751,716.949398,10076.92285,856.912075,769.12719,9.464618,14.791837,14.515119,15.068554,79.178689,0.998381
coj1m011-fa12-20190330-0060-e91.fits,0,58572.87483,2458572.875,2458572.877969,1.4123,55,10.497541,18.993189,1.35,19,30,45,0.240733,0.007396,0.025294,0.028046,0.060571,0.007456,0.274464,0.652069,0.639197,0.000468,0.000325,0.000333,0.000336,0.000353,0.000324,0.000583,0.001052,0.001034,514.857363,22.776775,75.886425,83.452867,171.501739,22.994747,470.925794,620.078387,618.210716,3064491.349,2448.600402,2066.143036,2034.792479,2066.643036,2061.707521,8.222956,12.222198,737723.8097,1133.302014,1306.007564,564.869477,7124.209473,650.950762,627.384827,3022,9.176168,13.893725,13.710647,14.076804,75.249894,0.999083,2257.227378,1894.860104,2257.727378,2201.639896,8.224377,12.20729,22663.80333,994.875241,22.780548,865.123474,19.998026,619.802671,9.717184,13.18911,14.244343,12.133876,19.131233,0.958994,2332.653054,1844.952578,2333.153054,2251.547422,8.224938,12.201981,77512.58136,1019.549386,76.026314,1322.671631,68.395344,619.657397,9.208095,13.772689,13.35117,14.194208,71.08847,0.994006,1896.471032,1827.136113,1896.971032,2269.363887,8.221721,12.199531,85948.22293,1027.609195,83.639017,1461.792358,75.838763,621.560845,8.62816,13.539523,13.560336,13.51871,42.643188,0.9986,1872.548305,1755.768874,1873.048305,2340.731126,8.22155,12.191782,185618.5251,1072.102635,173.135033,2320.641113,163.785578,620.664012,9.333435,13.603425,13.483737,13.723112,60.179489,0.998788,1961.025996,2223.058346,1961.525996,1873.441654,8.222165,12.242437,22849.39411,993.511122,22.998629,805.736755,20.161787,621.595802,10.066333,15.731238,14.422191,17.040286,271.61745,0.972595,2608.332468,2237.393614,2608.832468,1859.106386,8.22694,12.244759,659958.4235,1278.861379,516.051571,6542.980469,582.332348,625.650385,9.17377,13.864952,13.738663,13.991241,72.126385,0.999496,1536.970755,2713.75418,1537.470755,1382.74582,8.218995,12.295002,1209549.697,1478.018112,818.359185,11351.19141,1067.279226,628.266044,9.254595,13.829499,13.653512,14.005486,71.271465,0.998972,1128.28368,1892.687588,1128.78368,2203.812412,8.216048,12.20568,1194983.228,1474.998294,810.159058,11201.98145,1054.426104,629.2116,9.167796,13.774695,13.611852,13.937538,68.9198,0.998983
coj1m011-fa12-20190330-0061-e91.fits,0,58572.87579,2458572.876,2458572.878928,1.410218,55,9.615188,17.628597,1.35,19,30,45,0.24041,0.008417,0.025137,0.02845,0.061239,0.006734,0.274202,0.653969,0.637764,0.000424,0.000269,0.00028,0.000283,0.000303,0.00027,0.000526,0.00097,0.00095,567.420459,31.299085,89.621293,100.568686,202.041407,24.945994,520.833808,674.090177,671.635599,3081116.105,2259.747765,2066.187282,2034.999818,2066.687282,2061.500182,8.222958,12.222202,740731.5179,976.304695,1187.024382,624.023844,8525.34375,758.709368,520.966484,3019,8.420986,12.74655,12.571612,12.921489,273.349049,0.999236,2257.134433,1895.013689,2257.634433,2201.486311,8.224379,12.207285,25933.99079,828.367877,31.307335,812.715759,26.563419,512.376906,7.933388,13.871424,14.900431,12.842416,333.480016,0.939776,2332.729767,1845.216849,2333.229767,2251.283151,8.224941,12.201987,77448.56963,862.307169,89.815523,1370.405762,79.328277,514.769252,8.472438,12.410278,12.591355,12.229201,24.16138,0.998075,1896.448414,1827.461248,1896.948414,2269.038752,8.221722,12.199544,87658.68225,869.255753,100.843373,1487.667725,89.786194,515.626891,8.265574,12.799252,12.584644,13.01386,76.821301,0.9986,1872.66891,1755.960869,1873.16891,2340.539131,8.221553,12.191779,188684.0708,923.578251,204.296789,2566.188721,193.263509,514.700897,8.665721,12.807126,12.652442,12.961809,81.365246,0.99936,1961.077676,2223.115589,1961.577676,1873.384411,8.222167,12.242428,20748.51731,831.598223,24.95017,732.993225,21.252092,517.664385,8.853904,14.336623,14.530086,14.14316,5.90212,0.99924,2608.330833,2237.612489,2608.830833,1858.887511,8.226943,12.244767,663040.1487,1156.384424,573.373469,7843.937012,679.132398,519.103407,8.404438,12.693742,12.562913,12.82457,286.393041,0.999399,1536.843316,2714.069437,1537.343316,1382.430563,8.218995,12.29503,1218254.256,1375.138972,885.913555,13763.07617,1247.821774,521.783382,8.561726,12.681133,12.610255,12.752011,270.352519,0.999875,1128.309,1893.037004,1128.809,2203.462996,8.216048,12.205699,1199821.7,1370.484525,875.472636,13337.92871,1228.941853,524.986951,8.460981,12.641506,12.520242,12.762769,80.187515,0.999585
coj1m011-fa12-20190330-0062-e91.fits,0,58572.87674,2458572.877,2458572.879877,1.408232,55,9.579461,17.83522,1.35,19,30,45,0.241495,0.007652,0.025036,0.028032,0.061377,0.007486,0.273453,0.65434,0.638638,0.000414,0.000253,0.000266,0.000268,0.00029,0.000254,0.000511,0.00095,0.000931,583.081634,30.235727,94.268343,104.509787,211.606524,29.440156,535.330088,688.844301,685.925313,3071571.36,2203.179894,2066.410757,2034.922105,2066.910757,2061.577895,8.222958,12.222191,741768.2463,999.325103,1155.545691,641.920308,8450.455078,742.269201,445.68977,2933,8.251648,12.814114,12.638583,12.989644,273.631768,0.999238,2257.612119,1895.133887,2258.112119,2201.366113,8.224381,12.207295,23503.56328,777.161236,30.24284,733.012207,23.519436,439.216236,8.062071,13.340399,13.335961,13.344836,45.212324,0.991944,2332.798802,1845.174995,2333.298802,2251.325005,8.224939,12.201979,76900.93796,813.899306,94.484585,1278.062866,76.952873,440.633753,8.342548,12.476305,12.340058,12.612552,283.949867,0.999389,1896.626813,1827.409773,1897.126813,2269.090227,8.221722,12.199535,86100.96752,821.537479,104.804674,1385.849976,86.159116,440.718902,8.648859,12.804464,12.566499,13.042428,287.071635,0.997985,1872.865651,1755.947096,1873.365651,2340.552904,8.221553,12.191775,188523.1387,880.591602,214.086914,2486.331543,188.650458,439.850443,8.560695,12.748687,12.362574,13.134799,75.36554,0.995187,1961.376825,2223.189564,1961.876825,1873.310436,8.222167,12.242433,22994.06335,780.870046,29.446722,675.563843,23.009592,441.561672,9.671672,13.797353,12.896969,14.697737,289.827039,0.971506,2608.511804,2237.476464,2609.011804,1859.023536,8.226943,12.24475,659569.9525,1117.322108,590.313168,7694.84668,660.015395,444.805795,8.37658,12.910184,12.741548,13.07882,278.210199,0.999258,1537.016399,2713.95719,1537.516399,1382.54281,8.218994,12.295015,1214896.672,1343.556234,904.239541,13530.42285,1215.717156,446.329188,8.377328,12.885598,12.780011,12.991184,280.27619,0.999694,1128.525253,1893.021178,1129.025253,2203.478822,8.216048,12.205693,1197104.735,1341.808332,892.157774,13162.40625,1197.913203,450.236723,8.308562,12.831131,12.652797,13.009464,84.117947,0.999194
coj1m011-fa12-20190330-0063-e91.fits,0,58572.87769,2458572.878,2458572.880825,1.406294,55,9.643081,17.767432,1.35,19,30,45,0.241679,0.007799,0.02453,0.028136,0.061405,0.00742,0.273851,0.652927,0.639368,0.000403,0.000238,0.00025,0.000253,0.000276,0.000238,0.000497,0.000928,0.000911,600.205962,32.793502,98.234176,111.280128,222.341404,31.129194,550.697858,703.764693,701.516732,3064133.959,2148.399596,2065.893507,2034.478698,2066.393507,2062.021302,8.222957,12.2222,740537.69,991.743082,1119.23363,661.647104,8368.292969,746.703157,392.25251,3007,8.40994,12.796167,12.570269,13.022066,78.913208,0.998547,2257.388281,1894.544059,2257.888281,2201.955941,8.224381,12.207289,23897.10331,728.521933,32.802174,668.935974,24.096063,384.295179,8.731735,12.16179,11.973523,12.350058,303.327533,0.993899,2332.391822,1844.575313,2332.891822,2251.924687,8.224939,12.201972,75164.2738,763.33693,98.468017,1232.728027,75.790066,386.555868,8.468023,11.937376,11.413933,12.460819,74.153199,0.989418,1896.155079,1826.937296,1896.655079,2269.562704,8.221721,12.199544,86212.72604,772.374283,111.6204,1344.55188,86.930504,387.743327,8.275815,12.538675,12.411772,12.665579,68.873358,0.999252,1872.443308,1755.503698,1872.943308,2340.996302,8.221552,12.191788,188154.5606,835.895423,225.093421,2414.014404,189.721072,386.86024,8.37095,12.801925,12.530396,13.073454,70.377081,0.997002,1960.660505,2222.811561,1961.160505,1873.688439,8.222165,12.242449,22735.69072,730.191571,31.136611,582.79248,22.92498,387.65764,9.403559,14.9141,14.143881,15.684319,66.696319,0.977516,2608.104566,2237.076091,2608.604566,1859.423909,8.226942,12.244759,658723.0295,1082.863418,608.315895,7449.214844,664.207335,390.069166,8.461779,12.84696,12.612352,13.081567,78.947704,0.998447,1536.727912,2713.545525,1537.227912,1382.954475,8.218995,12.295027,1210371.615,1313.778652,921.290366,12854.11914,1220.448761,392.61926,8.656578,12.909894,12.661771,13.158017,85.57316,0.998488,1128.060812,1892.495143,1128.560812,2204.004857,8.216048,12.205701,1195039.314,1310.348539,912.001104,12996.97754,1204.988808,395.701726,8.429885,12.745661,12.537654,12.953667,80.713278,0.998815
coj1m011-fa12-20190330-0064-e91.fits,0,58572.87864,2458572.879,2458572.881779,1.404412,55,10.037818,18.58261,1.35,19,30,45,0.242049,0.007715,0.02489,0.028039,0.060571,0.007889,0.274577,0.651554,0.639517,0.000403,0.000238,0.00025,0.000252,0.000275,0.000238,0.000498,0.000927,0.000913,600.158727,32.484711,99.538514,111.233704,219.929038,33.16339,551.170749,702.732116,700.626784,3054124.816,2143.804,2066.151717,2034.314813,2066.651717,2062.185187,8.222958,12.222203,739247.3088,1084.834029,1117.118079,661.745005,7530.234863,681.438164,348.147124,3006,8.816403,13.344789,13.166925,13.522652,77.368997,0.999132,2257.077378,1894.697269,2257.577378,2201.802731,8.224378,12.207325,23564.03889,725.199981,32.49316,603.593445,21.721331,340.483895,8.723907,12.6714,12.870456,12.472344,331.186557,0.996559,2332.586251,1844.624035,2333.086251,2251.875965,8.224939,12.201998,76017.68354,761.834816,99.78237,1087.487793,70.0731,342.512116,8.926044,13.04605,12.56918,13.52292,277.025293,0.994336,1896.38692,1826.799198,1896.88692,2269.700802,8.221722,12.199549,85633.85532,767.505049,111.574322,1194.401978,78.937287,341.722328,8.876775,13.050303,12.850065,13.250542,86.120192,0.999041,1872.58571,1755.383744,1873.08571,2341.116256,8.221552,12.191794,184990.2603,831.052686,222.597512,2286.291748,170.524021,343.085862,8.702928,13.007121,12.759804,13.254438,85.678164,0.998522,1961.398012,2222.630052,1961.898012,1873.869948,8.222169,12.242451,24093.87706,726.323457,33.172379,557.70459,22.209736,343.377461,10.218488,15.840672,14.360685,17.320659,77.177177,0.957776,2608.246567,2236.87055,2608.746567,1859.62945,8.226942,12.244758,657938.1124,1079.992627,609.206115,6712.886719,606.487347,346.138985,8.843233,13.443978,13.248937,13.63902,272.352893,0.999153,1536.734248,2713.446864,1537.234248,1383.053136,8.218994,12.295037,1204881.96,1310.732084,919.243509,11861.79395,1110.660182,348.614472,8.814349,13.333215,13.220012,13.446417,87.23903,0.999709,1128.225713,1892.353139,1128.725713,2204.146861,8.216048,12.205704,1191304.743,1308.240391,910.616085,11866.12988,1098.144703,352.266494,8.775156,13.304708,13.15434,13.455075,69.180689,0.999085
coj1m011-fa12-20190330-0065-e91.fits,0,58572.87959,2458572.88,2458572.882729,1.402601,55,9.5682,17.949844,1.35,19,30,45,0.241225,0.008392,0.025017,0.02838,0.060521,0.007742,0.274253,0.652134,0.639482,0.000389,0.000219,0.000231,0.000233,0.000258,0.000218,0.00048,0.000902,0.000887,619.607637,38.281672,108.274608,121.829466,234.766317,35.52259,571.087283,723.187321,720.930406,3057761.582,2083.828531,2065.806592,2034.770817,2066.306592,2061.729183,8.222957,12.222195,737609.3083,1012.21141,1079.11167,683.533808,8226.40625,728.710723,315.642246,2979,8.455711,12.848432,12.717846,12.979018,73.960304,0.999425,2257.105536,1894.755304,2257.605536,2201.744696,8.22438,12.207276,25662.16426,670.123017,38.294706,598.64502,25.352574,308.213949,8.431362,14.084814,13.688557,14.481072,58.893304,0.985455,2332.23082,1845.005707,2332.73082,2251.494293,8.224939,12.201984,76494.6533,704.561551,108.570576,1208.300293,75.571815,310.026057,8.102011,12.11972,11.949361,12.290078,298.230996,0.997412,1896.062353,1827.221292,1896.562353,2269.278708,8.221722,12.199538,86780.24899,709.849904,122.251547,1218.866333,85.733324,310.510525,8.619718,12.782769,12.793502,12.772035,42.536502,0.999618,1872.24854,1755.769795,1872.74854,2340.730205,8.221552,12.191779,185058.2557,778.111786,237.82991,2417.099121,182.825696,311.421825,8.208462,12.419907,12.237806,12.602008,62.193585,0.997305,1960.710058,2223.158115,1961.210058,1873.341885,8.222166,12.24245,23673.86223,666.24996,35.533004,512.47998,23.388259,311.105366,9.327018,15.014985,14.318957,15.711013,82.28121,0.990789,2607.939996,2237.359243,2608.439996,1859.140757,8.226942,12.244755,658112.1281,1040.589115,632.441872,7474.006348,650.172604,313.887958,8.194919,12.832648,12.648862,13.016433,82.408417,0.999119,1536.518551,2713.901669,1537.018551,1382.598331,8.218995,12.295025,1206966.078,1278.012734,944.408491,13642.32422,1192.405131,316.631169,8.280101,12.7704,12.611164,12.929637,79.597623,0.999289,1127.863672,1892.770444,1128.363672,2203.729556,8.216048,12.20569,1192683.375,1275.225114,935.272809,13363.59766,1178.294736,319.584645,8.456677,12.756076,12.627818,12.884334,74.460202,0.999449
coj1m011-fa12-20190330-0066-e91.fits,0,58572.88054,2458572.881,2458572.883678,1.400861,55,9.416363,17.587154,1.35,19,30,45,0.241129,0.007851,0.024636,0.028669,0.061664,0.007469,0.274021,0.653197,0.63882,0.000382,0.000205,0.000219,0.000222,0.000248,0.000205,0.00047,0.000889,0.000873,631.859069,38.277682,112.389112,128.970454,248.452997,36.425143,582.581316,734.524349,732.00874,3052603.708,2047.262166,2065.911568,2034.591934,2066.411568,2061.908066,8.222958,12.222206,736070.1814,971.719745,1055.160134,697.59097,8635.145508,757.492255,293.765449,3021,8.337361,12.577568,12.529626,12.625509,59.02757,0.999737,2256.903722,1894.45438,2257.403722,2202.04562,8.224379,12.207273,23966.03768,625.903606,38.290301,586.053955,24.663529,286.845061,8.250066,12.372312,12.421403,12.323221,42.839322,0.988909,2332.383793,1844.686794,2332.883793,2251.813206,8.22494,12.201979,75203.2415,667.229295,112.709742,1178.822632,77.391904,288.517365,8.187223,12.169063,12.16278,12.175345,45.986322,0.9991,1896.196603,1827.04285,1896.696603,2269.45715,8.221722,12.199548,87516.23784,676.032733,129.455622,1229.932739,90.063249,288.136971,8.50936,12.626825,12.780683,12.472966,28.858005,0.997919,1872.338004,1755.508318,1872.838004,2340.991682,8.221552,12.19178,188234.5002,747.034493,251.975647,2483.840088,193.712746,288.250275,7.960842,12.57423,12.604625,12.543836,22.912145,0.999952,1960.992274,2223.088838,1961.492274,1873.411162,8.222168,12.242473,22800.81933,625.776941,36.436017,487.210876,23.464398,288.80385,9.173955,15.171108,13.157485,17.184731,89.581602,0.931938,2608.014302,2237.123481,2608.514302,1859.376519,8.226942,12.244761,656565.3499,1016.348199,646.004342,7702.132324,675.673571,291.995873,8.099255,12.64033,12.581362,12.699298,89.958665,0.999913,1536.562683,2713.658199,1537.062683,1382.841801,8.218995,12.295031,1206118.035,1258.470779,958.399714,13939.04297,1241.220054,294.193927,8.440981,12.616736,12.55976,12.673711,79.528567,0.999906,1127.979352,1892.58176,1128.479352,2203.91824,8.216048,12.205699,1189920.323,1254.818717,948.280662,13736.08691,1224.550936,299.422981,8.220022,12.512872,12.476665,12.549079,67.168728,0.999931
coj1m011-fa12-20190330-0067-e91.fits,0,58572.88149,2458572.881,2458572.884624,1.399174,55,9.410614,17.449537,1.35,19,30,45,0.241204,0.007762,0.025119,0.02821,0.061497,0.007554,0.273796,0.650834,0.641523,0.000377,0.000197,0.000213,0.000215,0.000242,0.000198,0.000464,0.000879,0.000868,639.673653,39.475008,118.16092,131.236775,254.350379,38.119969,590.128927,740.844659,739.465852,3048822.241,2024.781922,2066.013909,2034.731388,2066.513909,2061.768612,8.222957,12.222201,735388.5869,956.572065,1040.735542,706.604663,8348.56543,768.774893,274.681042,2970,8.498002,12.727373,12.560299,12.894446,279.4082,0.999231,2257.32598,1895.037298,2257.82598,2201.462702,8.22438,12.207317,23666.31364,599.320446,39.48858,569.440613,24.740753,267.814684,8.358121,12.388456,13.222097,11.554815,13.65354,0.977266,2332.531623,1844.920545,2333.031623,2251.579455,8.224939,12.201984,76582.49603,646.121699,118.526426,1128.079834,80.059306,269.489247,8.31525,12.364796,12.552319,12.177273,355.418533,0.999056,1896.303467,1827.156612,1896.803467,2269.343388,8.221722,12.199541,86005.81949,652.854603,131.738092,1273.012817,89.910444,270.149796,8.004254,11.960965,11.755128,12.166802,69.08721,0.997868,1872.516228,1755.670315,1873.016228,2340.829685,8.221552,12.191779,187493.6124,726.554123,258.0587,2327.638916,196.005737,270.072831,8.637767,12.640526,12.397079,12.883972,288.129546,0.99772,1960.986641,2223.116482,1961.486641,1873.383518,8.222166,12.242455,23029.39277,603.935747,38.13219,480.510193,24.074917,271.616986,8.428714,15.214617,13.916992,16.512242,283.729295,0.963579,2608.154157,2237.322662,2608.654157,1859.177338,8.226941,12.24476,655328.0656,1000.434021,655.043763,7362.462402,685.079661,274.118724,8.313595,12.681419,12.549855,12.812982,290.557977,0.999242,1536.69206,2713.814163,1537.19206,1382.685837,8.218994,12.295026,1201984.999,1246.603847,964.207677,13705.93457,1256.55457,276.463023,8.388096,12.579515,12.53667,12.622361,300.100279,0.999812,1128.124134,1892.703895,1128.624134,2203.796105,8.216048,12.205695,1191509.176,1242.920936,958.636339,13636.35352,1245.603149,279.313657,8.33536,12.595202,12.485051,12.705354,287.651864,0.999541
