Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5,RA_T1,DEC_T1
cpt1m012-fa06-20200223-0057-e91.fits,0,58903.26502,2458903.265,2458903.268481,1.609198,23.625281,26,43,63,0.086397,1.421041,0.168675,0.131613,0.179815,0.000094,0.000804,0.000137,0.000119,0.000142,923.616439,1766.555836,1233.224324,1101.848986,1267.973552,15275007.98,4195.023074,1889.546763,1869.517986,1890.046763,1816.982014,1319718.82,2123.716634,1382.12878,954.845047,3113.108154,621.419449,193.031482,5623,26.044827,23.460357,20.522723,26.397991,77.79015,0.926671,278.750434,2530.580763,2072.238286,2531.080763,1614.261714,8965735.985,3097.273856,2894.718517,20705.13672,4221.719528,209.769965,25.054707,22.515118,19.041289,25.988946,274.144014,0.907229,270.351013,3144.220163,2203.732386,3144.720163,1482.767614,2204649.069,1665.576727,1323.655064,5552.247559,1038.108867,194.476802,24.860315,20.184069,18.038921,22.329217,277.491686,0.952658,253.141648,952.651113,1639.403286,953.151113,2047.096714,1776565.161,1528.164528,1162.548356,3971.042725,836.535879,191.853097,21.533002,26.68878,22.966402,30.411158,69.604952,0.869385,286.303647,1051.271763,1053.158386,1051.771763,2633.341614,2328057.77,1701.669941,1368.101835,5045.731445,1096.218644,193.921822,20.633552,26.499808,22.541826,30.45779,69.315592,0.848403,298.320438,10.447377,-52.489448
cpt1m012-fa06-20200223-0058-e91.fits,0,58903.26552,2458903.266,2458903.268977,1.605398,27.532733,26,43,63,0.086579,1.417218,0.168062,0.132814,0.180046,0.000092,0.000797,0.000135,0.000119,0.000141,936.035466,1779.262462,1242.389217,1117.006401,1279.321595,15257932.9,4166.996668,1889.546763,1869.517986,1890.046763,1816.982014,1321015.839,2123.716634,1364.396002,968.205592,3176.806152,622.030179,175.01256,5784,24.152971,23.288147,20.10823,26.468063,81.842123,0.921967,264.767445,2530.580763,2072.238286,2531.080763,1614.261714,8945745.228,3084.782229,2899.960051,21529.0918,4212.306428,191.214902,23.985125,22.640267,19.084057,26.196478,277.387464,0.899467,248.857139,3144.220163,2203.732386,3144.720163,1482.767614,2195326.912,1645.72791,1333.954962,5408.755371,1033.719319,175.207424,25.020324,20.373614,18.103037,22.64419,277.679167,0.947873,259.304376,952.651113,1639.403286,953.151113,2047.096714,1788877.22,1516.259078,1179.796543,3886.034912,842.33329,174.121431,21.050892,26.378978,22.779994,29.977962,71.264281,0.886075,297.94322,1051.271763,1053.158386,1051.771763,2633.341614,2327983.544,1685.383601,1381.278151,5067.291016,1096.183694,176.440408,19.82907,26.332179,22.091961,30.572397,72.086578,0.850097,290.585182,10.447426,-52.489571
cpt1m012-fa06-20200223-0059-e91.fits,0,58903.26601,2458903.266,2458903.269471,1.601628,28.864221,26,43,63,0.086646,1.426013,0.168694,0.130786,0.179517,0.000091,0.000796,0.000134,0.000117,0.000139,950.990356,1791.375019,1256.12102,1122.096321,1288.053981,15283749.87,4147.127676,1889.546763,1869.517986,1890.046763,1816.982014,1324282.608,2123.716634,1345.369463,984.326346,2960.363281,623.568411,158.803752,5554,25.948751,23.483094,20.765073,26.201114,77.240377,0.935929,296.895809,2530.580763,2072.238286,2531.080763,1614.261714,8983803.176,3082.958102,2914.020522,19793.75781,4230.226874,175.181733,24.537602,22.714286,19.334283,26.094288,276.462873,0.910759,286.704236,3144.220163,2203.732386,3144.720163,1482.767614,2206120.981,1634.367504,1349.831648,5271.684082,1038.80195,159.797414,25.347494,20.5105,18.501081,22.519919,280.289677,0.957024,267.800175,952.651113,1639.403286,953.151113,2047.096714,1767711.45,1491.865147,1184.900293,3703.273193,832.366909,156.823919,20.413484,26.381602,23.177525,29.58568,69.041277,0.896516,310.586103,1051.271763,1053.158386,1051.771763,2633.341614,2326114.263,1672.488729,1390.810128,4685.337891,1095.3035,160.386638,20.54104,26.55312,22.684834,30.421405,69.352981,0.855802,330.167481,10.447377,-52.489883
cpt1m012-fa06-20200223-0060-e91.fits,0,58903.26651,2458903.267,2458903.269971,1.597823,30.064101,26,43,63,0.086541,1.40711,0.169578,0.132336,0.18144,0.00009,0.000782,0.000134,0.000117,0.00014,957.820831,1799.400012,1263.648785,1133.985339,1299.010368,15213518.44,4120.414423,1889.546763,1869.517986,1890.046763,1816.982014,1316587.345,2123.716634,1327.508327,991.773323,2928.310059,619.944923,145.575445,5657,26.288769,23.856193,21.35018,26.362205,74.668706,0.941641,289.018409,2530.580763,2072.238286,2531.080763,1614.261714,8893276.19,3062.090815,2904.314969,19838.66992,4187.600195,161.868813,24.969521,22.668317,19.653131,25.683504,272.885598,0.930971,273.006147,3144.220163,2203.732386,3144.720163,1482.767614,2205817.422,1623.156187,1358.968064,5050.58252,1038.659012,146.294114,25.558362,20.94655,19.044247,22.848853,276.477181,0.965829,279.496586,952.651113,1639.403286,953.151113,2047.096714,1778001.847,1483.096266,1198.844531,3626.113037,837.212375,144.505112,24.223064,26.473063,23.687992,29.258134,66.74523,0.908569,320.305235,1051.271763,1053.158386,1051.771763,2633.341614,2336422.979,1663.491603,1404.529469,4771.040527,1100.157592,147.39436,20.416569,26.604829,23.339916,29.869742,65.936213,0.868771,317.667446,10.447384,-52.489431
cpt1m012-fa06-20200223-0061-e91.fits,0,58903.26701,2458903.267,2458903.270467,1.594073,28.495209,26,43,63,0.085461,1.434452,0.165466,0.131484,0.180067,0.000088,0.00079,0.000131,0.000115,0.000137,966.118683,1815.498507,1267.179681,1146.153756,1310.646,15409276.95,4129.771781,1889.546763,1869.517986,1890.046763,1816.982014,1316889.922,2123.716634,1316.588274,1000.229113,2990.5896,620.087398,134.533871,5450,23.579676,24.025668,20.498205,27.553132,80.195713,0.906889,283.136312,2530.580763,2072.238286,2531.080763,1614.261714,9079607.739,3087.4094,2940.849936,20449.66211,4275.338618,151.21398,24.134779,22.812061,19.278667,26.345456,278.66099,0.899576,278.403778,3144.220163,2203.732386,3144.720163,1482.767614,2187723.938,1607.619913,1360.846504,5222.905273,1030.139287,135.896034,25.010266,20.596654,18.254243,22.939065,277.642791,0.945811,268.100159,952.651113,1639.403286,953.151113,2047.096714,1790636.297,1477.72969,1211.748203,3901.150635,843.161592,134.547932,19.263139,26.810895,22.654133,30.967657,73.30023,0.868448,289.52112,1051.271763,1053.158386,1051.771763,2633.341614,2351308.974,1659.75641,1416.659072,4854.584473,1107.167,136.63125,20.424083,26.56075,22.224792,30.896709,72.113833,0.846364,319.872106,10.447423,-52.489097
cpt1m012-fa06-20200223-0062-e91.fits,0,58903.2675,2458903.268,2458903.270961,1.590399,29.321441,26,43,63,0.086737,1.418719,0.168364,0.131941,0.180328,0.000089,0.00078,0.000132,0.000115,0.000137,978.530336,1817.954603,1277.92947,1149.66702,1312.462961,15284771.18,4099.426824,1889.546763,1869.517986,1890.046763,1816.982014,1325752.377,2123.716634,1307.34902,1014.076851,3067.57666,624.260486,124.940819,5593,26.314685,23.775453,21.084506,26.466401,73.495247,0.928966,275.195378,2530.580763,2072.238286,2531.080763,1614.261714,8965404.003,3063.452457,2926.568677,20863.24609,4221.563207,141.149706,24.954358,22.813012,19.252871,26.373153,272.746727,0.906303,260.720175,3144.220163,2203.732386,3144.720163,1482.767614,2202574.747,1602.191316,1374.726429,5333.990234,1037.132126,125.862727,25.153841,20.473369,18.370334,22.576403,277.534321,0.955675,260.615588,952.651113,1639.403286,953.151113,2047.096714,1781617.897,1465.033787,1216.093385,3859.414307,838.915074,124.767495,20.677162,26.842751,23.303298,30.382205,68.364854,0.873267,296.336199,1051.271763,1053.158386,1051.771763,2633.341614,2335174.53,1645.36267,1419.246087,5068.816406,1099.569732,126.889003,21.011949,26.581628,22.817107,30.346149,68.032635,0.851323,289.35265,10.447431,-52.489329
cpt1m012-fa06-20200223-0063-e91.fits,0,58903.26798,2458903.268,2458903.271441,1.586773,30.293318,26,43,63,0.086794,1.415142,0.16771,0.131737,0.182073,0.000088,0.000774,0.000131,0.000114,0.000137,988.085343,1828.481273,1283.741717,1157.881466,1325.997889,15329338.77,4091.889235,1889.546763,1869.517986,1890.046763,1816.982014,1330489.901,2123.716634,1298.853537,1024.357145,3148.391602,626.491256,115.776939,5628,26.330072,23.857574,20.937751,26.777397,74.419909,0.920578,260.710845,2530.580763,2072.238286,2531.080763,1614.261714,8982158.584,3061.891504,2933.532613,21888.26367,4229.45248,131.461306,25.04874,22.646049,19.225541,26.066558,274.397644,0.910682,238.505885,3144.220163,2203.732386,3144.720163,1482.767614,2201646.155,1594.320007,1380.931146,5311.607422,1036.694877,116.218089,25.435119,20.352992,18.325131,22.380852,279.490778,0.956463,262.045351,952.651113,1639.403286,953.151113,2047.096714,1784378.216,1456.411034,1225.188614,3785.112305,840.214833,115.259982,25.118479,26.218923,22.983354,29.454491,69.800743,0.898094,301.322884,1051.271763,1053.158386,1051.771763,2633.341614,2361155.814,1644.806537,1435.521905,5047.810547,1111.803607,117.598954,20.212739,25.931763,22.32411,29.539416,69.591895,0.869917,296.909092,10.447441,-52.490119
cpt1m012-fa06-20200223-0064-e91.fits,0,58903.26848,2458903.268,2458903.271938,1.583088,28.889219,26,43,63,0.086007,1.411866,0.168956,0.131773,0.181545,0.000087,0.00077,0.000131,0.000113,0.000137,988.683213,1832.934147,1291.223635,1162.779951,1328.16687,15299292.27,4077.359424,1889.546763,1869.517986,1890.046763,1816.982014,1315842.559,2123.716634,1283.872648,1024.901155,3121.676758,619.594224,108.433032,5619,25.875309,23.656069,20.501317,26.810822,81.707851,0.925235,258.355157,2530.580763,2072.238286,2531.080763,1614.261714,8955950.981,3054.024528,2932.507876,21318.75391,4217.112038,124.101735,25.123558,22.764786,19.180043,26.349529,277.539741,0.8987,253.338208,3144.220163,2203.732386,3144.720163,1482.767614,2211291.237,1590.756598,1390.087736,5903.801758,1041.236482,108.838048,24.880711,20.23535,18.036533,22.434168,278.64436,0.949397,219.747955,952.651113,1639.403286,953.151113,2047.096714,1781308.993,1447.24993,1230.82334,3810.712891,838.76962,107.532755,19.840942,26.503171,22.550054,30.456287,74.407389,0.883643,298.907572,1051.271763,1053.158386,1051.771763,2633.341614,2350741.059,1634.856305,1437.888487,5267.48291,1106.899584,109.9548,18.432256,26.604462,22.057123,31.1518,73.606336,0.843906,270.518766,10.447425,-52.489135
cpt1m012-fa06-20200223-0065-e91.fits,0,58903.26898,2458903.269,2458903.272434,1.57942,29.415312,26,43,63,0.086392,1.422231,0.166218,0.131957,0.181671,0.000086,0.000773,0.000129,0.000113,0.000136,999.20261,1840.61268,1290.356118,1171.117348,1335.708999,15373287.52,4078.463795,1889.546763,1869.517986,1890.046763,1816.982014,1328133.672,2123.716634,1281.642108,1036.274997,3328.447266,625.381772,101.968551,5500,26.579119,23.695333,20.946107,26.444558,73.662957,0.926011,236.714769,2530.580763,2072.238286,2531.080763,1614.261714,9026541.218,3063.084473,2946.879623,22760.33594,4250.351047,117.681063,25.239484,22.466312,19.156289,25.776335,274.190207,0.915017,228.433939,3144.220163,2203.732386,3144.720163,1482.767614,2191111.147,1578.840004,1387.798093,5694.666992,1031.73423,103.227347,25.759519,20.456253,18.438452,22.474053,275.391184,0.960443,231.626364,952.651113,1639.403286,953.151113,2047.096714,1792134.485,1445.155181,1240.098301,4242.204102,843.867047,101.416952,20.376816,26.462787,22.950009,29.975564,69.243238,0.878609,249.74393,1051.271763,1053.158386,1051.771763,2633.341614,2363500.667,1634.065843,1446.392553,5685.947266,1112.907734,104.09337,20.232403,26.41693,22.596426,30.237435,68.279282,0.847738,240.147495,10.447454,-52.489576
cpt1m012-fa06-20200223-0066-e91.fits,0,58903.26947,2458903.269,2458903.272929,1.575799,29.965087,26,43,63,0.08667,1.412505,0.167856,0.132103,0.182156,0.000086,0.000766,0.000129,0.000113,0.000136,1004.341083,1843.75331,1297.247502,1173.689689,1339.117202,15331358.65,4065.053517,1889.546763,1869.517986,1890.046763,1816.982014,1328763.011,2123.716634,1275.246659,1041.965491,3118.803711,625.678111,96.336247,5578,26.340725,23.586427,21.016181,26.156673,73.402091,0.93375,264.827474,2530.580763,2072.238286,2531.080763,1614.261714,8976403.971,3051.509047,2941.627841,21939.16992,4226.74279,113.27102,25.111075,22.402969,19.183876,25.622062,275.888571,0.917273,240.192717,3144.220163,2203.732386,3144.720163,1482.767614,2203579.616,1577.973966,1396.461326,5781.366699,1037.605291,97.551949,25.496766,20.206136,18.222113,22.190159,278.648481,0.9585,224.66801,952.651113,1639.403286,953.151113,2047.096714,1788993.333,1439.130284,1243.10728,3929.941895,842.387965,96.872366,22.726824,26.686358,23.467452,29.905264,66.871749,0.881736,281.986989,1051.271763,1053.158386,1051.771763,2633.341614,2362381.731,1628.451664,1450.691957,5198.07959,1112.380858,98.6359,20.734731,26.558143,22.951767,30.164518,66.940644,0.852,279.814944,10.447427,-52.489819
