Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,Variance_C8
cpt1m012-fa06-20201024-0117-e91.fits,0,59147.37593,2459147.376,2459147.381009,1.691542,24.247075,26,42,63,0.245008,0.03874,0.015237,0.067503,0.011244,0.853256,0.307304,0.437864,0.000241,0.000131,0.000117,0.000148,0.000114,0.000725,0.000316,0.000406,1015.694819,295.117207,130.763757,455.065608,98.804984,1177.434575,972.272366,1077.972245,6864980.834,2916.940855,2040.860057,2043.163784,2041.360057,2053.336216,4.279348,-12.085202,1681977.188,2123.716634,1493.831418,1125.948462,4106.533691,791.996993,189.199664,6012,24.805424,20.945983,19.87183,22.020135,87.045647,0.989424,890338.4812,2278.840534,2194.829337,2279.340534,1901.670663,4.281092,-12.06851,265946.2955,894.041832,297.465159,862.466309,125.226827,184.515073,24.188532,20.7554,19.360893,22.149907,272.370293,0.981982,23061.61229,2012.863946,1778.656636,2013.363946,2317.843364,4.279162,-12.113868,104601.7851,798.693798,130.966067,445.846649,49.254116,184.396431,24.723778,20.71685,19.519482,21.914219,80.906446,0.985294,3710.551835,1719.249767,2492.653726,1719.749767,1603.846274,4.27694,-12.03691,463404.2267,999.106443,463.818675,1228.456421,218.204359,185.682813,25.171444,21.11434,20.315632,21.913047,280.269988,0.993491,65753.62012,2442.489633,2072.75432,2442.989633,2023.74568,4.28231,-12.081535,77192.04585,780.567802,98.892173,397.712311,36.34762,183.900957,22.227761,21.601854,21.409073,21.794635,67.548374,0.999365,2206.455776,1294.058184,1467.122509,1294.558184,2629.377491,4.27388,-12.148406,3160700.878,1928.443789,1638.990411,7307.288086,1488.287481,192.468627,25.661061,21.472771,20.899743,22.045799,65.051297,0.993145,2888474.647,2761.117117,1711.065159,2761.617117,2385.434841,4.284691,-12.120315,1613729.106,1467.905202,1099.3415,4001.397949,759.86084,187.356633,23.545666,20.646722,18.924199,22.369245,87.912533,0.972396,864242.14,2856.719897,1177.69915,2857.219897,2918.80085,4.285439,-12.17794,2090550.85,1623.238375,1287.889001,5385.592285,984.383141,189.328,23.652933,20.631484,18.739065,22.523902,81.891928,0.964106,1461141.285
cpt1m012-fa06-20201024-0118-e91.fits,0,59147.37658,2459147.377,2459147.381656,1.683779,27.590235,26,42,63,0.244138,0.038077,0.015408,0.067277,0.011111,0.851539,0.307796,0.438304,0.000241,0.000131,0.000116,0.000148,0.000114,0.000723,0.000316,0.000407,1014.187346,291.140583,132.417021,454.189058,97.874447,1177.250701,973.031817,1078.085847,6857768.829,2914.113769,2040.762674,2043.166165,2041.262674,2053.333835,4.279349,-12.085203,1674240.6,2123.716634,1489.648186,1123.916785,3954.11377,788.354045,188.544556,5877,24.889666,21.156,20.234513,22.077486,86.685666,0.992338,854221.1168,2278.667276,2194.891836,2279.167276,1901.608164,4.281093,-12.068503,261124.2737,890.01067,293.394543,866.542175,122.956269,184.357761,24.316392,20.62509,19.482879,21.767301,270.575143,0.987802,22226.22425,2012.549864,1778.663697,2013.049864,2317.836303,4.279161,-12.113869,105664.8901,796.706342,132.627148,447.13031,49.754703,182.840866,24.596795,21.093535,20.030854,22.156216,85.787107,0.989677,3597.983797,1719.129534,2492.675863,1719.629534,1603.824137,4.27694,-12.036907,461372.9643,996.718104,462.892128,1248.206665,217.247893,184.926917,25.124091,21.257474,20.688474,21.826473,285.370473,0.996126,63960.4481,2442.160383,2073.120499,2442.660383,2023.379501,4.282309,-12.081496,76199.16539,777.866299,97.959207,375.362732,35.8801,182.614251,23.949303,21.444408,21.208143,21.680673,286.641417,0.999305,2160.623932,1293.886816,1467.065161,1294.386816,2629.434839,4.27388,-12.148414,3153947.507,1926.046485,1637.524085,6903.047852,1485.107503,191.380884,25.860986,21.687698,21.229591,22.145805,62.802793,0.994739,2786830.147,2760.933847,1711.071161,2761.433847,2385.428839,4.284691,-12.120316,1614007.651,1466.50844,1100.578495,4055.556152,759.992,185.981016,23.844141,20.801152,19.259295,22.34301,84.834995,0.97754,843971.9468,2856.577774,1177.78556,2857.077774,2918.71444,4.28544,-12.177934,2089813.67,1622.269087,1288.204089,5143.736328,984.036023,187.365899,23.893428,20.864609,19.158025,22.571193,80.088157,0.970162,1409400.551
cpt1m012-fa06-20201024-0119-e91.fits,0,59147.37723,2459147.377,2459147.382306,1.676038,28.076536,26,42,63,0.244386,0.03851,0.015343,0.067557,0.011113,0.849685,0.308461,0.43862,0.000241,0.000132,0.000116,0.000148,0.000113,0.000722,0.000317,0.000407,1015.34261,292.73177,132.037269,455.618164,98.2045,1176.629399,972.564327,1077.989914,6850660.59,2912.585605,2041.012738,2043.174289,2041.512738,2053.325711,4.279348,-12.085193,1674208.565,2123.716634,1487.363428,1125.62171,3824.058838,788.338961,187.083378,5979,25.24251,21.432934,20.446065,22.419803,86.975669,0.991461,818188.333,2278.859144,2194.845354,2279.359144,1901.654646,4.281092,-12.0685,263821.3235,894.232095,295.025559,788.578003,124.226236,183.560618,24.755915,21.13549,20.01798,22.253,271.903604,0.988831,21611.57561,2012.844005,1778.643532,2013.344005,2317.856468,4.279161,-12.113863,105109.538,794.804329,132.245805,444.726929,49.493203,182.363397,25.190867,21.157762,19.806482,22.509041,88.605174,0.983778,3512.174259,1719.418437,2492.542887,1719.918437,1603.957113,4.27694,-12.036912,462811.6342,996.548584,464.414522,1185.90625,217.925323,184.204445,25.108764,21.49286,20.840426,22.145295,279.088321,0.995924,62199.74807,2442.360001,2072.970977,2442.860001,2023.529023,4.282308,-12.081504,76128.94766,774.532365,98.290208,402.735565,35.847036,182.071743,22.912194,21.823172,22.017974,21.62837,334.90878,0.999223,2068.005387,1294.294397,1467.005008,1294.794397,2629.494992,4.273881,-12.148413,3146970.583,1923.559186,1636.014429,6648.066406,1481.822261,191.374632,25.979785,21.874463,21.341249,22.407677,65.08706,0.994296,2694394.752,2761.217203,1710.940603,2761.717203,2385.559397,4.284691,-12.120323,1614996.7,1468.116782,1100.046481,3899.120117,760.457715,186.473882,23.722937,21.109311,19.499427,22.719195,86.280206,0.976611,810227.0257,2856.812062,1177.701368,2857.312062,2918.798632,4.285439,-12.177937,2088693.307,1621.020691,1288.505025,4957.78418,983.508475,187.201051,24.109083,21.159501,19.395749,22.923252,81.59481,0.970088,1346321.429
cpt1m012-fa06-20201024-0120-e91.fits,0,59147.37788,2459147.378,2459147.382951,1.668498,28.435629,26,42,63,0.244277,0.038276,0.015402,0.067192,0.010991,0.851699,0.307701,0.438322,0.00024,0.00013,0.000116,0.000148,0.000113,0.000723,0.000316,0.000406,1015.768149,293.458852,133.059206,454.867762,97.156881,1178.136254,974.48706,1078.934895,6856926.24,2911.344031,2041.048344,2043.624549,2041.548344,2052.875451,4.279348,-12.085187,1674986.729,2123.716634,1487.744957,1125.856096,3668.381104,788.705377,185.988004,5846,25.326152,21.74816,20.689895,22.806425,270.402407,0.990572,785513.8159,2278.915075,2195.410076,2279.415075,1901.089924,4.281092,-12.06848,262457.3322,887.388738,295.76365,792.381348,123.58397,182.491553,24.826427,21.542284,20.316117,22.76845,273.498979,0.98693,20277.05313,2012.775312,1779.052978,2013.275312,2317.447022,4.27916,-12.113863,105607.6031,792.421201,133.272057,430.817139,49.727728,181.033585,25.412269,22.004185,21.235829,22.772541,85.732832,0.995025,3312.500189,1719.516365,2492.98978,1720.016365,1603.51022,4.27694,-12.036904,460733.5689,993.826072,463.595776,1174.085693,216.946819,182.623827,25.38007,21.764635,21.084437,22.444834,283.276938,0.995127,59198.5846,2442.363714,2073.257597,2442.863714,2023.242403,4.282308,-12.081514,75366.75145,775.061926,97.239651,405.09436,35.488139,180.939666,24.121994,21.274858,20.998588,21.551128,290.540898,0.998813,2048.182638,1294.245124,1467.547231,1294.745124,2628.952769,4.27388,-12.148401,3153880.603,1925.39261,1638.045449,6515.412109,1485.076,189.894682,26.24851,22.183706,21.617288,22.750124,68.624036,0.99517,2580302.877,2761.264492,1711.589159,2761.764492,2384.910841,4.284691,-12.120295,1613429.426,1463.387161,1102.530806,3791.86499,759.719729,184.334581,24.046566,21.315805,19.727013,22.904598,86.959071,0.977773,783114.6315,2856.869437,1178.1298,2857.369437,2918.3702,4.28544,-12.177936,2089616.211,1620.890305,1289.178055,4815.993164,983.943045,185.62614,24.046507,21.386223,19.594466,23.177981,81.803748,0.969917,1308060.619
cpt1m012-fa06-20201024-0121-e91.fits,0,59147.37852,2459147.379,2459147.383598,1.661,28.232641,26,42,63,0.243297,0.038275,0.015393,0.066952,0.011248,0.850916,0.308038,0.438387,0.000239,0.00013,0.000115,0.000147,0.000112,0.000719,0.000315,0.000405,1018.60417,295.382547,134.261884,455.758505,100.643179,1182.946668,978.843155,1083.107634,6897961.14,2916.903572,2041.137998,2043.278961,2041.637998,2053.221039,4.279348,-12.085204,1678253.444,2123.716634,1486.927215,1128.672222,3933.032715,790.243584,185.111934,5771,25.144942,20.946597,19.922317,21.970878,87.732321,0.990421,883003.0287,2279.006533,2195.032269,2279.506533,1901.467731,4.281092,-12.068502,264017.9728,886.817154,297.714102,806.713196,124.318833,180.867442,24.387238,20.616304,19.411807,21.8208,274.797863,0.986051,23103.40075,2012.889338,1778.617478,2013.389338,2317.882522,4.27916,-12.113889,106182.4364,789.584979,134.478795,469.76947,49.998401,179.650771,24.379242,21.13333,19.919107,22.347553,87.245548,0.98676,3681.914544,1719.637141,2492.721877,1720.137141,1603.778123,4.27694,-12.036914,461830.053,994.325087,464.465856,1216.639282,217.463124,182.498192,25.385889,20.935633,20.330322,21.540945,280.306712,0.996189,67189.57831,2442.437689,2073.058568,2442.937689,2023.441432,4.282308,-12.081517,77589.91764,770.242162,100.734446,398.082245,36.534967,179.149217,24.333489,21.621002,21.276935,21.96507,300.914344,0.995458,2223.809367,1294.372381,1467.268516,1294.872381,2629.231484,4.27388,-12.148406,3171178.26,1928.137283,1644.684893,6780.530273,1493.220993,188.825817,26.016649,21.462308,20.950024,21.974593,64.266036,0.994134,2908407.544,2761.334879,1711.317319,2761.834879,2385.182681,4.28469,-12.120305,1624444.399,1466.588524,1107.63474,4087.52832,764.906378,183.086565,24.004335,20.546389,18.901101,22.191676,84.895165,0.973855,887625.8144,2857.018184,1177.879107,2857.518184,2918.620893,4.28544,-12.177942,2102338.481,1624.724952,1293.965775,5190.832031,989.933613,184.890064,23.773717,20.508128,18.716824,22.299433,78.270817,0.964283,1507879.243
cpt1m012-fa06-20201024-0122-e91.fits,0,59147.37917,2459147.379,2459147.384244,1.653595,28.505268,26,42,63,0.243469,0.038362,0.015368,0.067663,0.011108,0.853246,0.307219,0.437972,0.000239,0.00013,0.000115,0.000147,0.000112,0.000722,0.000315,0.000405,1017.586055,295.69757,133.924949,458.879988,98.922096,1182.034943,976.69952,1082.132015,6888045.293,2915.201121,2041.38965,2042.936619,2041.88965,2053.563381,4.279349,-12.085197,1677025.798,2123.716634,1487.375358,1127.506779,3881.981201,789.665519,185.617947,5825,25.432018,21.016308,20.080674,21.951942,89.469764,0.992101,871209.11,2279.27664,2194.686231,2279.77664,1901.813769,4.281092,-12.068496,264238.8228,886.586367,298.040701,801.550964,124.422825,181.41654,25.001172,20.844259,19.881732,21.806786,272.098918,0.991461,22496.85763,2013.064333,1778.43386,2013.564333,2318.06614,4.27916,-12.113862,105854.8816,789.133811,134.140598,437.645935,49.844165,179.674123,25.398444,20.995254,20.025583,21.964926,80.18582,0.990423,3673.413365,1719.826406,2492.377672,1720.326406,1604.122328,4.276941,-12.036911,466067.4889,996.324883,467.786659,1198.552124,219.458416,181.718407,25.410819,21.134135,20.473699,21.794571,279.910912,0.995595,66105.50316,2442.78078,2072.683352,2443.28078,2023.816648,4.282309,-12.081513,76510.6167,772.765,99.008905,391.750885,36.026754,179.618111,23.861157,20.990757,20.447918,21.533596,87.202352,0.997303,2201.766906,1294.609335,1466.838849,1295.109335,2629.661151,4.273881,-12.148404,3171298.211,1927.986817,1644.875464,6701.428711,1493.277474,188.566682,26.154384,21.476329,21.006734,21.945923,62.775417,0.994348,2912064.883,2761.494407,1710.832344,2761.994407,2385.667656,4.28469,-12.12031,1618811.092,1465.49256,1104.619113,3887.529297,762.253809,182.963371,24.381517,20.683055,19.121528,22.244583,86.795435,0.977174,863840.7652,2857.16411,1177.447387,2857.66411,2919.052613,4.285439,-12.177936,2097935.99,1622.83578,1292.759265,4987.109375,987.860601,184.754601,24.169992,20.654803,18.92646,22.383146,80.001235,0.968723,1461113.137
cpt1m012-fa06-20201024-0123-e91.fits,0,59147.37982,2459147.38,2459147.384896,1.646193,28.330441,26,42,63,0.244562,0.038488,0.015657,0.067146,0.011004,0.854214,0.307246,0.437358,0.00024,0.000129,0.000114,0.000147,0.000112,0.000722,0.000314,0.000404,1020.741113,297.439362,136.769235,456.761163,98.528855,1182.735744,976.981552,1082.462294,6880947.655,2910.598452,2040.524385,2043.676323,2041.024385,2052.823677,4.279348,-12.085198,1682821.728,2123.716634,1487.037284,1131.66075,3994.666504,792.394664,183.573298,5832,25.004091,20.925322,19.916725,21.93392,86.82107,0.990635,893768.8333,2278.465743,2195.323172,2278.965743,1901.176828,4.281092,-12.068509,264834.1631,883.305137,299.82183,802.72998,124.703154,178.915176,24.722425,20.792201,19.691102,21.8933,270.676123,0.988839,22936.96499,2012.194887,1779.264659,2012.694887,2317.235341,4.27916,-12.113852,107737.0442,786.409311,136.998688,442.47226,50.730423,177.449218,25.361571,21.140882,20.128269,22.153496,79.451162,0.989505,3740.954102,1718.898383,2493.226574,1719.398383,1603.273426,4.27694,-12.036902,462029.1758,992.474082,465.532737,1232.210938,217.556885,180.452071,25.062189,20.987779,20.378506,21.597052,280.923965,0.996094,67293.45001,2441.954887,2073.501085,2442.454887,2022.998915,4.282309,-12.081506,75719.09977,767.82898,98.614538,388.191223,35.65405,178.282021,23.793517,20.751928,20.154499,21.349358,89.379139,0.996689,2256.99628,1293.641664,1467.479328,1294.141664,2629.020672,4.27388,-12.148414,3169970.482,1925.21217,1646.556432,6842.978516,1492.652283,186.194548,25.844039,21.419827,20.914031,21.925624,62.994514,0.993548,2941334.999,2760.793925,1711.590827,2761.293925,2384.909173,4.284691,-12.120308,1617248.037,1463.812959,1104.818773,3870.50415,761.517809,181.801451,24.364615,20.677017,19.080806,22.273228,86.564425,0.976102,865982.0466,2856.339832,1178.252169,2856.839832,2918.247831,4.285439,-12.177927,2093729.136,1619.380458,1292.919848,5057.633789,985.879708,182.399021,23.985816,20.686298,18.963902,22.408695,80.687938,0.969544,1453926.796
cpt1m012-fa06-20201024-0124-e91.fits,0,59147.38047,2459147.38,2459147.385546,1.638916,28.110775,26,42,63,0.244614,0.038382,0.01511,0.067768,0.011328,0.852323,0.308524,0.436952,0.00024,0.00013,0.000115,0.000147,0.000112,0.000721,0.000315,0.000404,1020.83768,296.122644,131.944276,460.865383,101.52619,1181.687185,978.241737,1081.460146,6872466.771,2909.203321,2041.221104,2042.81614,2041.721104,2053.68386,4.279348,-12.085193,1681100.105,2123.716634,1485.08639,1131.988089,4094.883789,791.583999,182.725821,5911,25.003378,20.529633,19.43807,21.621196,88.709263,0.988733,947784.8583,2279.055859,2194.428444,2279.555859,1902.071556,4.281092,-12.068507,263778.7854,883.749263,298.476951,829.549255,124.206206,178.819336,24.492672,20.330879,18.970689,21.69107,274.212985,0.981866,24368.89757,2013.132173,1778.433461,2013.632173,2318.066539,4.279162,-12.113846,103843.1994,785.794576,132.150568,456.491547,48.896919,178.326089,24.609703,20.592413,19.580787,21.60404,85.335221,0.990134,3903.544869,1719.628339,2492.303484,1720.128339,1604.196516,4.27694,-12.036901,465731.6911,991.141477,469.89426,1305.239136,219.300298,180.038854,24.95775,20.680419,19.989202,21.371635,281.57623,0.994726,71683.76732,2442.640083,2072.669741,2443.140083,2023.830259,4.282309,-12.081498,77854.31723,766.131215,101.620083,407.643402,36.659466,177.001154,24.116965,21.125215,20.715986,21.534445,279.847757,0.998308,2321.753964,1294.368114,1466.723373,1294.868114,2629.776627,4.27388,-12.148402,3162278.831,1924.408267,1643.247374,7211.651855,1489.030495,186.970152,25.729457,21.027627,20.388189,21.667065,67.373259,0.99255,3106776.336,2761.470298,1710.717804,2761.970298,2385.782196,4.284691,-12.120307,1620391.386,1463.575034,1107.146097,3988.696777,762.997925,180.995902,23.708655,20.242786,18.529322,21.956251,88.120183,0.971625,928467.7785,2857.084577,1177.359044,2857.584577,2919.140956,4.28544,-12.177932,2089796.555,1618.043543,1291.557674,5240.219238,984.027964,182.915354,23.937181,20.251997,18.343373,22.16062,82.077185,0.962283,1547959.781
cpt1m012-fa06-20201024-0125-e91.fits,0,59147.38112,2459147.381,2459147.386196,1.631771,28.284804,26,42,63,0.244188,0.038242,0.015088,0.067013,0.011105,0.853566,0.306998,0.438048,0.00024,0.00013,0.000115,0.000147,0.000112,0.000723,0.000315,0.000405,1018.61745,295.105844,131.689609,455.376429,99.431261,1181.029331,974.989927,1081.613705,6872843.747,2911.301888,2040.939438,2043.016366,2041.439438,2053.483634,4.279348,-12.085194,1678267.675,2123.716634,1486.330385,1129.135011,3916.804443,790.250285,184.255466,5904,25.143495,21.060307,20.131399,21.989215,270.239829,0.992248,876041.3047,2278.881525,2194.89179,2279.381525,1901.60821,4.281092,-12.068476,262833.5769,883.655589,297.438934,801.284729,123.761133,180.01432,24.772589,20.931528,19.781384,22.081673,273.252271,0.987839,22248.71908,2012.765961,1778.787297,2013.265961,2317.712703,4.279161,-12.113833,103698.7396,786.222027,131.894981,464.382629,48.828896,178.688068,24.666515,20.917094,20.091754,21.742435,273.65733,0.993689,3613.539401,1719.447152,2492.522997,1719.947152,1603.977003,4.27694,-12.036894,460570.1521,992.410514,464.092375,1231.866699,216.869871,181.019641,25.32801,21.068095,20.404738,21.731452,283.559832,0.995004,65502.13184,2442.245718,2073.149013,2442.745718,2023.350987,4.282308,-12.081467,76323.21186,766.916594,99.519573,393.241028,35.93851,178.664955,24.029023,21.191755,21.08826,21.295251,274.428543,0.999902,2197.804927,1294.175384,1466.932051,1294.675384,2629.567949,4.27388,-12.14841,3164940.673,1925.423891,1643.763064,6984.66748,1490.283884,187.205687,25.967623,21.480759,21.039675,21.921844,64.20326,0.995634,2901273.925,2761.219687,1711.074372,2761.719687,2385.425628,4.284691,-12.120294,1614346.938,1464.53719,1102.291529,3976.146973,760.151761,181.889371,24.038918,20.595954,19.072968,22.11894,85.999084,0.977938,874273.3805,2856.814977,1177.649454,2857.314977,2918.850546,4.28544,-12.177933,2093556.136,1619.738356,1292.527357,5108.473633,985.798247,183.456386,24.22148,20.672769,18.911159,22.434379,81.074411,0.968402,1459356.357
cpt1m012-fa06-20201024-0126-e91.fits,0,59147.38177,2459147.382,2459147.386841,1.624708,28.075542,26,42,63,0.244039,0.038522,0.015299,0.067278,0.010933,0.852513,0.308135,0.437307,0.000239,0.000129,0.000114,0.000147,0.000111,0.000721,0.000315,0.000404,1020.613566,297.566706,133.88954,458.494583,98.083063,1183.007973,978.442111,1083.34326,6884528.794,2911.02336,2041.053687,2043.439915,2041.553687,2053.060085,4.279348,-12.08519,1680094.748,2123.716634,1484.982885,1131.389975,4072.180908,791.110604,182.685365,6050,24.850749,20.264813,19.199437,21.330189,271.569098,0.988972,992846.009,2278.924818,2195.175905,2279.424818,1901.324095,4.281092,-12.06849,265205.6948,884.165007,299.950453,859.855896,124.878098,179.068532,24.332271,20.031209,18.673904,21.388515,274.406947,0.981365,25953.85983,2012.824454,1778.88939,2013.324454,2317.61061,4.27916,-12.113862,105325.3594,785.396955,134.104619,460.015717,49.594827,177.943525,24.743426,20.094532,18.668904,21.52016,84.280852,0.979252,4193.277516,1719.524457,2492.907062,1720.024457,1603.592938,4.27694,-12.036898,463173.8976,991.039858,467.361523,1301.156982,218.095903,179.764115,24.899017,20.440053,19.77136,21.108746,282.246549,0.994841,74503.91756,2442.529598,2073.203686,2443.029598,2023.296314,4.282309,-12.081505,75266.87648,766.718701,98.167524,394.857758,35.441111,177.333192,24.017814,20.284704,19.910733,20.658675,299.089955,0.995113,2442.720517,1294.289522,1467.264714,1294.789522,2629.235286,4.27388,-12.148408,3168210.796,1925.936345,1645.023629,7130.652832,1491.823695,186.817566,25.577546,20.784309,20.204869,21.363748,69.22655,0.994458,3263265.624,2761.216536,1711.319133,2761.716536,2385.180867,4.28469,-12.120309,1621669.98,1464.977679,1106.958831,4253.599609,763.59998,180.933276,23.96464,19.846482,18.152255,21.54071,87.775629,0.971096,992959.4889,2856.828602,1177.957947,2857.328602,2918.542053,4.285439,-12.177936,2094648.018,1618.229463,1294.407292,5334.702148,986.312385,182.55228,23.934066,19.905368,18.026426,21.784311,82.049885,0.962145,1656212.684
