# TESS Object of Interest
# File Created: 2022-01-13
# Sectors: S0001-S0045
# Date of previous TOI list release: 2022-01-06
Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated
qlp-s17-ffi,SPOC/QLP,176860064,1457.01,PC,354.8366797,45.7198967,354.836651361,45.7198506408,7.114,0.006,1766.359365,0.0013,6.375556,0.0007,2.784942,0.204,2638.408383,40.5502,[17],No information on the star; V-shaped,,,1,,,,,1545.0,6393.0,280.6,947.389,35.813244,false,3,4,3,3,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
spoc-s14s26-b0A,SPOC,236887394,1465.01,KP,303.381740156372,65.1620808095522,303.381869677,65.1623312629,11.8478,0.0061,1766.00673423593,7.952616e-05,1.42002275599582,8.5512517e-07,1.62301416409148,0.0094359005,23593.2582326676,89.22266,"[17, 21, 24, 25]",Qatar-1 b,4.57248,0.0828462,1,0.768108,0.0452562,12.2933025291975,0.72636545,1251.95203665062,4910.0,108.354,580.592960353173,280.14877,false,5,5,5,5,5,5,5,2019-12-05 16:42:06+00,2020-09-11 14:14:29+00
spoc-s18-b02,SPOC,427654774,1474.01,PC,349.287338823568,70.1900205123051,349.289072331,70.1905763421,14.1431,0.00750768,1765.04247419616,0.003387887,5.222621,0.0014355369,4.6936290484816,0.6133603,15867.9920175369,2007.716,"[17, 18]",3-sigma centroid offset towards another star.,4.95337,0.00864275,1,0.275946,0.00848293,3.72160154867344,0.3812006,329.650849473633,3453.0,157.0,2.79085837659531,8.069622,false,2,4,2,2,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
spoc-s14s26-b0A,SPOC,237086564,1466.01,PC,307.395885514864,61.550432632946,307.396531942,61.5507252827,11.0278,0.006,1766.25322946332,0.0012718028,1.87189203781549,2.206175e-05,1.64478878302506,0.26036605,1031.77365407548,75.49385,"[17, 24]",potential L1 candidate,4.5079,0.110712,1,0.749646,0.0713216,2.36637027974547,1.9681431,997.39235059972,4201.0,125.587,233.875718218315,12.58456,false,1,4,1,1,4,4,4,2019-12-05 16:42:06+00,2020-09-23 11:19:07+00
spoc-s17-b02,SPOC,240968774,1467.01,PC,19.1139293871073,49.2337799841556,19.1146441112,49.2331382045,10.5977,0.00730051,1766.98372762557,0.002811904,5.97338386322362,0.0014128793,1.60569779013089,0.75323486,1373.41127746593,166.74307,[17],,4.74552,0.00770691,1,0.490737,0.0145151,1.82700312598923,2.4079738,525.913555999014,3834.0,157.0,18.079168948509,8.569228,false,3,4,3,3,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
spoc-s17-b02,SPOC,431514478,1475.01,PC,357.001182008044,49.7905348073279,357.001275293,49.790533025,8.77994,0.0061,1767.61829577361,0.0017830785,8.49535132634527,0.0012701285,0.906055458598115,0.4871705,718.486944789073,96.2614,[17],Significant scattered light; only two transits; period could be doubled; second transit deeper than the first one; low priority,4.29876,0.0639379,1,1.88016,0.0501608,5.29616992031407,5.2599535,1813.34520704192,10012.0,185.641,2555.30624680163,8.222785,false,3,4,3,3,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
spoc-s42-s43-b0A,SPOC,243185500,1468.01,PC,16.6540615005115,19.2258783057026,16.6538724273,19.2249194715,10.8858,0.0075423,2450.35602476075,0.0014795243,15.532425984423,0.0007931862,1.80407345035114,0.25415292,2939.44405212998,169.89784,"[17, 42, 43]",possible multi,4.85532,0.00108728,1,0.369305998086929,0.010922,2.02183946717093,0.5099718,308.474442420528,3382.0,157.0,2.13992106226473,16.461031,false,2,4,1,1,4,4,4,2019-12-05 16:42:06+00,2022-01-13 16:32:31+00
spoc-s17-b02,SPOC,16920150,1459.01,PC,19.3615048815678,26.7461746694682,19.361773127,26.7459508923,10.1583,0.0062,1765.54598078991,0.0045762593,9.15593402361673,0.0031593652,3.14120217238704,0.8620384,908.241256215217,124.59452,[17],,4.55718,0.0853711,1,0.82204,0.047289,2.49490922786496,2.5167987,727.365786682157,5219.0,133.609,66.1504005707602,7.5956173,false,2,4,2,2,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
spoc-s17-b02,SPOC,243185500,1468.02,PC,16.6540615005115,19.2258783057026,16.6538724273,19.2249194715,10.8858,0.0075423,1765.67877570577,0.0018470113,1.88030530879287,0.0002664729,1.05541616702124,0.5500137,1529.82210835241,180.69878,[17],Centroid offset; but not towards a particular star; possible multi,4.85532,0.00108728,2,0.369306,0.010922,1.45235059678316,1.9256406,623.576147751723,3382.0,157.0,35.7337817647592,9.774991,false,3,4,3,3,4,4,4,2019-12-05 16:42:06+00,2022-01-13 16:34:48+00
spoc-s17-b02,SPOC,17005768,1460.01,PC,20.6105697550288,26.9257488919661,20.6106392934,26.9257286559,9.9176,0.006,1765.2651742061,0.0008373867,6.84265060735988,0.00047554626,3.34563211756247,0.07143164,8120.0775571105,152.06758,[17],There is a positive flare-like feature following the transit events,4.438,0.0,1,1.1282,0.0,17.1040188388551,7.614216,977.188738886238,5766.0,0.0,215.493818011063,47.321503,false,3,4,3,3,4,4,4,2019-12-05 16:42:06+00,2019-12-05 16:42:06+00
