,TIC_ID,TOI,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,Rs,dRs,Teff,Logg,Teq,Disposition,Sectors
2616,146776480,2605.01,20.6005792537882,1.9684267e-05,1536.55189699439,1.47162881946009,124.355025357476,-34.4646426549043,10.4767,12106.6702220666,8.17828638114223,3.5458872,0.494574993848801,0.0147011,3821.0,4.74216,347.811200645422,PC,"[8, 34, 35]"
2618,176772671,2603.01,1.33268442954426,6.6682034e-05,2255.82308779415,1.59384440671025,142.566678758766,-18.8430663544658,13.8995,38662.372217449,11.7282926321396,0.56832457,0.594491004943848,0.0222335,3947.0,4.65587,953.933699138328,PC,[35]
2620,268914377,2610.01,2.15389594108506,0.00016268548,2229.71647777107,2.17769433476963,118.049988951791,-48.4986214768524,15.8953,96363.0926603748,16.016673198443,1.006073,0.483749002218246,0.0205474,3148.0,4.75166,603.810699679456,PC,"[34, 35]"
2648,135036669,2640.01,0.910652449169047,0.00027842718,2307.40102006283,2.1064593905255,150.273362640638,-52.435827579795,15.709,73259.0959435487,7.91853549580865,0.75924504,0.274906992912292,0.0089431,2999.0,4.95462,645.259163889064,PC,"[36, 37]"
2754,317417916,2781.01,2.7636665,9.1e-06,2226.4280523,1.279,87.82053,-13.3809478,12.94,6370.0,5.94208,0.353204,0.7,0.02,3868.0,4.57,673.0,PC,"[6, 33]"
2957,302527524,2952.01,10.7845114,2.1e-05,2330.0998483,1.999,134.1936573,-68.5106783,12.636,13710.0,6.21857,0.232425,0.51,0.02,3558.0,4.73,374.0,PC,"[9, 10, 11, 36]"
3054,362607799,3088.01,2.6337971,1.54e-05,2303.4292394,2.591,145.3865108,-50.9395296,12.928,4790.0,,,,,3946.9,,996.0,PC,"[9, 10, 36]"
3078,463070290,3064.01,0.6771705,2e-06,2331.8565106,1.425,152.9921564,-59.7537201,10.432,1140.0,,,,,3194.0,,1255.0,PC,"[9, 10, 36, 37]"
3083,464067218,3059.01,1.3935975,7.9e-06,2330.7510224,2.809,155.3075423,-58.5370109,11.201,2530.0,,,,,3301.0,,1345.0,PC,"[9, 10, 36, 37]"
3113,465540915,3029.01,2.0250957,0.0007397,1621.1938709,3.624,163.67553,-60.3478002,10.826,1080.0,,,,,3600.5,,1267.0,PC,"[10, 11]"
3155,243641947,3235.01,2.5927363,9.05e-05,1619.2480244,1.351,207.4749061,-46.0662383,13.249,74480.0,10.4623,0.411151,0.37,0.01,3375.0,4.85,571.0,PC,[11]
3167,297668572,3223.01,4.6342981,0.0008823,1617.3773132,5.611,180.606477,-66.5291668,13.227,45990.0,,,,,3905.6,,1017.0,PC,[11]
3170,304950588,3220.01,7.4239508,0.0025042,1622.5434301,2.889,178.3571425,-61.0977344,13.257,19120.0,,,,,3505.0,,543.0,PC,"[10, 11]"
3174,306547699,3216.01,2.6991103,0.000966,1622.2527165,5.504,179.4578968,-62.3275491,13.123,14880.0,,,,,3922.8,,1467.0,PC,"[10, 11]"
3177,314013231,3213.01,2.5404165,0.0006127,1621.0587667,3.046,184.0442951,-66.0550793,13.043,21900.0,,,,,3931.6,,1065.0,PC,[11]
